step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2
1000,2782,0.9184,36972.8,913,924,938,920,20,28,27,60040,17233,5014
2000,2765,0.9074,51699.8,1800,973,927,865,21,35,29,59189,7497,1223
3000,2864,0.8813,62249.9,2554,1109,931,824,25,32,29,50271,4517,1227
4000,2169,0.6395,36322.9,599,1186,689,294,29,38,40,68953,12133,1772
5000,1978,0.6815,43524.3,1012,1109,590,279,23,31,53,64344,10224,1225
6000,1981,0.6896,52071.5,1389,1104,557,320,26,39,50,57696,7801,1367
7000,2227,0.5945,43067.1,813,1235,692,300,40,31,43,65134,10553,1492
8000,2296,0.6542,44743.6,906,1280,745,271,41,26,57,65865,10982,1585
9000,2293,0.6712,42130.9,1042,1264,762,267,39,40,44,68794,12498,1783
10000,1961,0.6930,30882.3,1003,1086,659,216,35,39,37,76976,16295,1597
11000,1720,0.6953,21280.0,929,891,603,226,57,44,49,84339,20565,1576
12000,1374,0.8326,13934.1,1078,625,547,202,52,52,49,91209,23894,1461
13000,1018,0.8703,10069.1,1309,488,386,144,43,41,38,95410,25340,1294
14000,823,0.7631,6243.0,1139,410,297,116,35,36,44,99121,27095,1065
15000,568,0.8574,4452.4,1158,249,226,93,29,31,40,101024,28127,878
16000,608,0.7253,4322.6,1014,292,234,82,40,32,47,100856,28088,903
17000,826,0.6223,7340.6,706,345,344,137,62,51,75,99114,27099,1058
18000,1028,0.6158,13985.5,714,443,402,183,64,66,97,95079,24384,961
19000,1526,0.5734,23861.8,718,695,616,215,63,68,104,88474,19121,720
20000,2117,0.5394,28115.5,624,950,878,289,91,86,117,83518,17144,837
21000,2514,0.5191,26357.0,537,1219,987,308,94,95,107,81613,17019,1207
22000,2558,0.5215,32278.0,603,1227,1049,282,96,99,117,76821,13437,1292
23000,2812,0.5363,35412.8,615,1409,1049,354,87,101,148,73913,12056,1410
24000,2977,0.5233,38386.6,678,1651,974,352,93,99,144,69983,11047,1296
25000,3274,0.5428,40365.7,679,1704,1162,408,103,140,151,68096,11185,1573
26000,3360,0.5256,43653.5,761,1824,1030,506,114,145,127,66579,11269,1587
27000,3256,0.5344,47617.0,818,1725,1115,416,124,129,124,65040,9879,1535
28000,3414,0.5070,41897.9,634,1753,1190,471,112,120,116,68962,11885,1247
29000,3079,0.5304,36636.4,650,1453,1180,446,100,120,108,74417,12930,886
30000,2893,0.5790,32703.1,672,1356,993,544,111,109,147,78891,15823,829
31000,2490,0.6028,26190.4,703,1140,991,359,98,106,93,84968,19023,741
32000,2087,0.5980,18469.9,648,977,757,353,111,110,122,90648,22624,827
33000,1634,0.6157,11128.1,610,678,652,304,89,107,103,96928,25929,671
34000,1275,0.6345,9107.7,652,491,497,287,101,106,128,99843,26549,504
35000,1195,0.5983,8617.8,648,422,436,337,113,119,184,101031,26832,355
36000,1267,0.6156,8720.6,660,477,442,348,147,113,200,101213,26665,253
37000,1403,0.5973,9584.7,601,511,535,357,127,114,191,100454,25649,291
38000,1763,0.5576,11960.1,557,672,717,374,104,162,198,97967,24144,484
39000,1933,0.5132,14552.6,494,828,734,371,104,121,177,94793,22115,516
40000,2235,0.4922,21625.7,492,1025,887,323,138,127,157,88946,18398,711
41000,2571,0.4893,27488.8,529,1158,1092,321,117,111,118,82948,15454,711
42000,2648,0.4898,33558.7,631,1187,1075,386,138,111,119,77437,12752,818
43000,2681,0.4965,38442.1,674,1281,1103,297,122,116,91,73102,10596,926
44000,2878,0.4899,41866.9,686,1433,1132,313,115,130,102,69413,9359,1064
45000,3092,0.4858,44846.8,679,1558,1181,353,158,101,92,65969,8557,1216
46000,3476,0.4891,41453.0,594,1768,1262,446,128,97,90,67976,9920,1331
47000,3308,0.4752,41091.0,612,1649,1237,422,126,128,98,68539,11182,1078
48000,3374,0.5009,43270.7,658,1587,1220,567,123,109,106,70585,10518,598
49000,3217,0.4753,35833.1,587,1517,1239,461,152,146,105,76179,12848,740
50000,2816,0.4822,28462.7,547,1361,1059,396,127,148,101,81644,15560,798
51000,2605,0.5267,25508.2,547,1189,988,428,136,124,115,86423,17965,400
52000,2188,0.5594,19205.8,573,893,836,459,119,102,121,91889,21331,381
53000,1888,0.5779,13759.5,587,753,735,400,135,124,140,96322,24732,372
54000,1473,0.5920,11206.3,717,541,584,348,145,144,154,99756,25867,144
55000,1234,0.5981,8762.6,737,456,448,330,129,118,174,101198,26843,222
56000,1280,0.5695,9681.4,701,420,481,379,135,128,211,100915,26341,177
57000,1688,0.5355,9436.9,499,653,584,451,150,123,247,100507,25693,225
58000,1943,0.4905,12856.4,466,738,728,477,149,143,257,98169,23619,274
59000,2331,0.5191,18885.5,515,940,933,458,162,133,209,93267,20279,391
60000,2750,0.5084,26264.4,572,1077,1137,536,144,135,217,87348,16248,284
61000,3132,0.4968,31630.5,563,1298,1254,580,166,132,205,81931,13166,516
62000,3382,0.4965,36985.1,580,1407,1381,594,157,137,180,77278,10900,657
63000,3774,0.4584,43493.1,623,1660,1430,684,162,149,168,70966,9678,647
64000,4468,0.4521,38733.8,478,2078,1651,739,172,170,171,70374,10089,1205
65000,4059,0.4664,40958.9,545,1961,1448,650,160,165,156,70299,10544,1290
66000,3977,0.4886,43380.8,615,1976,1388,613,154,159,146,69179,9885,1100
67000,4126,0.4438,45669.7,592,1883,1528,715,131,162,133,67695,9345,889
68000,3987,0.4841,39318.1,555,1768,1541,678,191,125,165,71734,11346,1330
69000,3457,0.5198,35056.2,592,1464,1387,606,179,135,175,78005,13569,873
70000,3034,0.5603,32307.7,635,1260,1208,566,151,114,143,81368,15060,769
71000,2576,0.5477,24672.3,647,1053,1031,492,153,126,174,87181,18075,788
72000,2181,0.5961,20795.2,663,868,846,467,98,160,172,91752,20787,579
73000,1884,0.6178,15162.9,695,667,789,428,136,149,146,96267,23699,441
74000,1533,0.6432,9518.4,673,569,509,455,172,111,194,100175,26500,425
75000,1275,0.6078,8384.2,747,427,443,405,131,97,173,101756,26521,288
76000,1318,0.6024,8354.1,663,496,420,402,161,99,194,101844,26462,200
77000,1458,0.5761,8708.1,570,550,487,421,163,97,188,101150,25757,262
78000,1741,0.5503,12326.9,561,601,709,431,120,135,200,98359,24125,346
79000,2006,0.5503,18013.3,546,704,830,472,125,110,190,94093,20687,240
80000,2390,0.5238,27045.2,582,916,984,490,102,123,191,87170,15585,403
81000,2814,0.5359,31809.9,623,1151,1147,516,101,133,157,82077,13227,556
82000,2876,0.5212,40411.1,680,1274,1152,450,121,136,136,73938,11214,818
83000,3336,0.4943,41526.3,617,1507,1250,579,114,144,143,71233,10633,734
84000,3394,0.5109,44007.7,665,1569,1203,622,127,142,156,68428,10232,989
85000,3700,0.5284,45308.5,717,1812,1237,651,123,146,170,65059,9566,1478
86000,3856,0.5078,45408.8,691,1869,1330,657,122,145,155,65979,10138,1387
87000,3572,0.5288,42995.0,710,1796,1146,630,137,120,177,66507,11605,1585
88000,3401,0.5437,44396.6,739,1681,1158,562,122,121,162,67610,11650,1490
89000,3086,0.5334,42016.9,744,1509,1008,569,94,127,137,71336,12564,1083
90000,2934,0.5808,34146.2,717,1260,1087,587,115,140,136,76772,15732,1619
91000,2456,0.6022,27810.0,803,1055,886,515,84,121,115,82425,19140,1749
92000,2026,0.5874,20692.7,721,756,809,461,92,143,164,88921,21748,1686
93000,1705,0.6405,13056.2,706,599,688,418,114,143,132,95434,25207,1401
94000,1467,0.5930,8645.1,601,510,585,372,108,162,166,99330,27306,1288
95000,1280,0.6523,8571.1,788,431,477,372,106,147,164,100554,27275,970
96000,1343,0.6463,8068.2,744,433,442,468,102,115,197,101058,26994,831
97000,1501,0.6049,8208.1,612,524,558,419,126,143,196,100195,26583,735
98000,1879,0.5844,13174.0,582,662,725,492,132,130,208,97222,23862,480
99000,2042,0.5881,18412.5,613,854,758,430,112,119,141,93128,21051,569
100000,2382,0.5882,25960.4,646,1025,871,486,86,92,158,86195,18129,830
