step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2
1000,2651,0.9355,26335.4,922,919,924,808,20,18,19,21349,4116,2764
2000,2547,0.9431,39219.0,1874,883,884,780,21,19,18,27197,3914,2527
3000,2526,0.9331,49071.2,2795,882,875,769,23,23,19,30046,3668,2342
4000,2343,0.6709,41250.0,568,1001,768,574,34,34,44,54262,11716,3423
5000,2318,0.7092,53763.3,1055,1088,704,526,42,36,36,54208,9748,2632
6000,2145,0.7841,61179.2,1625,1049,621,475,33,44,31,48013,7364,2294
7000,2377,0.6706,48320.2,830,1096,780,501,27,53,32,57757,12604,3429
8000,2492,0.6750,50531.0,932,1235,793,464,44,56,49,57751,11774,3170
9000,2554,0.6911,47930.9,1052,1226,868,460,47,57,52,60311,13306,3635
10000,2301,0.6484,37668.2,827,1184,763,354,44,55,39,69375,17541,3368
11000,2034,0.7011,28649.6,866,930,785,319,41,80,33,75773,21645,3853
12000,1575,0.7359,23820.9,1018,813,494,268,38,64,47,80551,24067,3842
13000,1113,0.7655,13350.8,1120,641,319,153,36,45,37,87229,28181,4415
14000,708,0.7147,7405.9,1032,496,162,50,21,34,24,92216,30655,3943
15000,553,0.7324,6609.8,1108,389,128,36,20,56,31,93685,31786,3839
16000,593,0.5902,6429.1,747,452,100,41,15,70,35,94644,31854,3359
17000,1044,0.4828,13732.0,604,551,293,200,44,152,129,91235,28809,2651
18000,1635,0.4679,26052.1,773,763,424,448,71,180,259,84801,23383,1775
19000,2442,0.5799,31011.6,723,1005,756,681,98,163,230,78860,20430,3116
20000,2630,0.5840,29850.6,711,1126,894,610,84,105,158,77424,19461,2869
21000,2981,0.5877,38795.1,752,1222,1156,603,86,98,148,70780,15639,3056
22000,3262,0.5466,42557.0,692,1405,1275,582,118,122,148,65941,14072,3619
23000,3830,0.5428,46575.1,676,1842,1307,681,123,131,161,61413,13426,3609
24000,3834,0.5490,49030.8,732,1745,1390,699,102,154,165,56874,12109,3599
25000,3736,0.5447,51942.4,776,1669,1397,670,103,171,152,55133,11316,3540
26000,4120,0.5371,54243.0,731,1818,1583,719,111,190,154,53300,10445,3430
27000,4107,0.5569,47462.3,700,1950,1379,778,108,185,163,52525,10305,3416
28000,3708,0.5690,47055.8,741,1829,1168,711,114,159,197,55400,11779,3387
29000,3397,0.5340,42071.1,683,1597,1099,701,108,151,135,61668,15246,3937
30000,3147,0.5386,34654.4,619,1417,1106,624,122,161,171,69378,19516,4138
31000,2834,0.4929,23119.6,461,1244,939,651,119,171,171,77858,24537,5019
32000,2363,0.5235,17155.7,453,1082,757,524,133,139,199,83268,27546,5349
33000,1554,0.5553,12243.3,511,836,388,330,103,120,168,87911,30162,5191
34000,1012,0.5702,7779.8,591,623,230,159,59,135,110,91807,32195,4828
35000,751,0.5393,5723.7,574,592,115,44,30,86,38,93587,33575,4767
36000,855,0.5368,6130.2,443,598,165,92,12,137,89,94185,32893,4137
37000,1412,0.4596,11406.6,462,800,339,273,59,172,175,91938,29476,2983
38000,1954,0.4616,16215.2,469,983,539,432,98,153,211,89689,26376,2361
39000,2485,0.4656,16620.0,375,1126,890,469,124,127,166,87565,24067,3005
40000,2623,0.4571,22012.3,403,1040,1015,568,106,123,182,83731,20442,2023
41000,3218,0.4335,34423.3,472,1323,1210,685,131,120,166,75170,15027,1896
42000,3388,0.4649,39037.6,526,1382,1367,639,141,125,135,69278,12467,1944
43000,3705,0.4664,42018.1,539,1507,1472,726,155,140,153,64911,11821,1996
44000,3852,0.4647,42604.8,512,1590,1554,708,156,148,141,64348,10675,2386
45000,3973,0.4797,46882.0,543,1663,1592,718,150,164,133,61871,9541,1946
46000,3685,0.4640,47892.4,601,1571,1493,621,171,178,130,60332,9945,2494
47000,3496,0.4491,50561.5,638,1475,1359,662,161,172,124,58951,9205,2005
48000,3222,0.4966,49979.6,641,1427,1166,629,124,161,117,61191,10106,1992
49000,3243,0.4974,42274.7,638,1356,1238,649,158,144,107,66841,12730,2451
50000,2917,0.5218,40694.7,682,1150,1122,645,112,138,106,69942,13900,2143
51000,2715,0.5330,34046.0,663,1084,1063,568,144,133,118,74974,17658,2771
52000,2239,0.5547,23489.7,684,960,820,459,110,120,106,81296,23756,3740
53000,1635,0.5939,15535.1,728,871,472,292,94,93,91,87056,28149,4338
54000,1064,0.6128,10642.7,833,656,254,154,46,107,87,90656,31046,4671
55000,764,0.5550,6436.0,700,591,120,53,31,79,44,93363,33166,4876
56000,775,0.4994,7782.5,579,547,131,97,15,100,95,93632,32012,3859
57000,1176,0.4294,17497.3,688,711,254,211,24,186,182,89781,27301,2360
58000,1980,0.4717,20580.2,589,960,562,458,87,192,246,86914,24645,2532
59000,2456,0.4825,22828.1,538,1105,815,536,109,134,192,83482,22758,3032
60000,2727,0.4947,32462.6,589,1178,990,559,135,104,164,78074,17769,1713
61000,2903,0.5215,39503.5,661,1180,1105,618,133,125,161,72040,13477,1818
62000,3118,0.5112,46471.0,681,1310,1208,600,182,110,142,65334,10645,1860
63000,3130,0.5105,52322.6,735,1322,1213,595,158,107,122,60751,8657,1725
64000,3106,0.4977,58029.6,753,1280,1220,606,156,147,128,55375,6996,1836
65000,3319,0.4887,59475.7,739,1448,1231,640,142,143,130,53418,6419,1913
66000,3502,0.4857,63141.0,735,1583,1273,646,128,145,127,51441,6373,1894
67000,3305,0.5120,60967.3,814,1480,1216,609,128,146,118,50918,8076,2326
68000,3372,0.4784,57377.6,741,1495,1220,657,118,137,117,53352,9591,2201
69000,3124,0.5493,52831.0,773,1315,1167,642,99,127,117,58774,11601,2403
70000,2878,0.5563,46217.3,768,1237,1018,623,129,112,109,63487,13737,3061
71000,2625,0.5371,35871.5,721,1136,943,546,113,111,118,72236,18015,3399
72000,2257,0.5733,27041.6,747,1015,710,532,110,121,134,78572,23075,4234
73000,1718,0.5792,18625.7,770,876,477,365,93,94,110,84866,27319,4864
74000,1073,0.6365,11867.2,908,704,211,158,63,77,77,89434,30446,5102
75000,744,0.5793,8624.9,830,574,130,40,26,83,33,92085,32109,4966
76000,800,0.5112,9770.4,684,589,132,79,24,119,75,91980,31462,4356
77000,1212,0.4158,17177.6,729,731,255,226,22,198,187,89373,27639,2879
78000,1967,0.4443,25943.9,704,976,541,450,58,258,274,84270,22882,2257
79000,2417,0.4717,23869.6,559,1181,729,507,118,127,198,82085,23631,3453
80000,2595,0.4663,32052.6,591,1125,881,589,99,93,172,77529,17763,2388
81000,2798,0.4771,41080.7,696,1196,943,659,90,93,152,69792,14268,2045
82000,3313,0.4709,51428.5,681,1502,1123,688,110,119,153,61756,10374,1721
83000,3556,0.4933,53151.1,698,1566,1271,719,119,141,131,58197,8778,2165
84000,3476,0.5037,56497.7,764,1567,1326,583,97,133,78,55241,8262,1917
85000,3683,0.4939,61294.9,730,1662,1288,733,120,149,117,50788,7002,2279
86000,3597,0.4804,60194.7,724,1604,1356,637,141,150,120,51505,8298,2219
87000,3664,0.4784,61271.8,682,1700,1239,725,150,141,108,51604,7807,2338
88000,3327,0.5101,60093.9,787,1554,1181,592,182,155,117,52384,8348,3060
89000,3292,0.5213,53048.5,742,1398,1185,709,138,161,134,59001,9854,2416
90000,3077,0.5635,45942.4,763,1308,1072,697,146,137,123,64537,13901,2604
91000,2673,0.5686,34800.5,772,1178,989,506,125,132,116,72880,18980,3588
92000,2098,0.5515,26223.5,778,975,735,388,119,112,127,80500,22698,3368
93000,1657,0.6005,19786.8,829,844,502,311,94,121,124,85137,26818,4018
94000,1040,0.5990,11062.3,932,605,292,143,54,88,74,90328,30918,4680
95000,684,0.5249,8659.6,816,508,124,52,25,86,45,92621,32225,4413
96000,679,0.4816,9687.7,771,483,112,84,14,90,80,93016,31226,3498
97000,1132,0.4019,16550.9,691,692,237,203,28,167,169,90526,27140,2357
98000,1913,0.4757,23684.8,640,884,557,472,71,168,277,86086,23161,1897
99000,2489,0.5227,22710.2,514,1088,796,605,118,115,190,83546,22371,2658
100000,2663,0.5171,30081.1,581,1046,1011,606,104,105,137,78874,18124,2038
