run,unit,kinds_at,placed_at,kills,pop,travel,d_hunger,d_thirst,d_cold,d_broken,d_wound,pop_land,w_drunk,w_air,w_sweat,born_dry,w_err,stand_spring,stand_summer,stand_autumn,stand_winter,lawn_spring,lawn_summer,lawn_autumn,lawn_winter,fill_stand_spring,fill_stand_summer,fill_stand_autumn,fill_stand_winter,fill_lawn_spring,fill_lawn_summer,fill_lawn_autumn,fill_lawn_winter,home,lawn_autumn_share,lawn_spring_share,n_stand_spring,water_stand_spring,cool_stand_spring,warm_stand_spring,n_stand_summer,water_stand_summer,cool_stand_summer,warm_stand_summer,n_stand_autumn,water_stand_autumn,cool_stand_autumn,warm_stand_autumn,n_stand_winter,water_stand_winter,cool_stand_winter,warm_stand_winter,n_lawn_spring,water_lawn_spring,cool_lawn_spring,warm_lawn_spring,n_lawn_summer,water_lawn_summer,cool_lawn_summer,warm_lawn_summer,n_lawn_autumn,water_lawn_autumn,cool_lawn_autumn,warm_lawn_autumn,n_lawn_winter,water_lawn_winter,cool_lawn_winter,warm_lawn_winter,lines,top_share
life9_u0,0.0,7.08,4.44,0.28189704173222596,9509.0,4.75,0.35887906425078114,0.4813635689136505,0.01790174508678738,0.0020727899493294955,0.13978283179945147,4138.129032258064,0.0,0.0,0.0,0.0,2.28e-14,0.09548496212956835,0.027045075125208682,0.11205336951605609,0.0807671937656049,0.027983323811293828,0.005773411966959168,0.046268166610407294,0.01705035509147964,0.7454964188543275,0.436171036913374,0.6137069802502638,0.8699670235303019,0.3172520339305832,0.16386170494922986,0.25995072873108704,0.3652311537720442,2.7925817231327628,0.4129118723536247,0.2930652449054946,1753,0.7790867084997164,0.0021650664900877185,0.0027954565652939713,250,0.2005479999999999,0.003938328533812128,0.00015715912688284714,1651,0.4636638400969113,0.001953132606058541,0.002364502937685238,906,0.8924470198675497,0.0005774247613053627,0.011324843695018122,7060,0.6441007082152973,0.0014379853867254547,0.00521277688679611,1041,0.25843227665706037,0.002903925955434164,0.00033514313565245166,10570,0.30978684957426855,0.0009661415178593633,0.004811340916590262,3545,0.6955458392101556,0.0003186817978410043,0.01562543545331638,4,0.550360347947027
life9_u28,28.0,5.8,4.52,0.21926410646706831,11082.41935483871,2.0,0.2898143539258522,0.5697577830977533,0.01565389609192496,0.002651560043297226,0.1221224068411724,3908.6774193548385,4493.018470967741,2082.361716129032,3443.233570967742,0.11457472319620697,2.79e-12,0.05594272681196148,0.004429074141487683,0.13957982669409638,0.1089448798497312,0.026516852913020004,0.001706383695162516,0.0652691996325168,0.02483846148608624,0.5773897364419665,0.4428447215143793,0.5314118446480892,0.651718058164389,0.4058299135236177,0.24032726664634171,0.3169364879430947,0.4540049259317261,2.1386505152511264,0.46761198361107725,0.47400000722435753,670,0.3015149253731346,0.0012274790542508298,0.0015258524343360609,43,0.1693488372093023,0.0022655064012835568,0.002951992076800058,1225,0.16716489795918374,0.0014530673005715101,0.0009700994144029125,849,0.38421554770317956,0.00040157411493934485,0.00505478848564288,8515,0.20384216089254256,0.0004230872318037302,0.009920006985012535,424,0.12901179245283037,0.0010285759549574784,0.0010120347193434008,17719,0.08802059935662238,0.0004384490140370325,0.003956822509218834,4862,0.23892698477992563,0.00014846792545261778,0.014764707102201966,2,0.2947280766219815
life9_u4.7,4.7,7.56,4.72,0.2769648320691245,8954.774193548386,2.75,0.35865399368862205,0.4972035289210557,0.019971074235962668,0.0018024595208249437,0.12236894363353461,3690.1612903225805,888.6296032258065,320.33405161290324,840.2672935483871,0.05440544606541521,2.11e-12,0.0585006567836367,0.022117123382946167,0.1262805079544918,0.08452722063037249,0.02641082489543096,0.0030268894017657618,0.061655105809874065,0.021137147914298847,0.6462177706886844,0.4319922659618865,0.5833990652882027,0.7962970821394457,0.3649933900939408,0.1936956622980547,0.28865228451836883,0.41109913169154355,2.096330134421822,0.4882392921011448,0.45146202363352556,807,0.4541660470879799,0.0018755841606788858,0.001406541608296584,156,0.21305128205128207,0.0031617085350756136,0.00014265356332664026,1371,0.28476732312180886,0.00206343301613603,0.0014274646013455348,741,0.667541160593792,0.0004602703924897179,0.0069809118047739595,7000,0.3519859999999985,0.0009022406405344246,0.007480365303949911,701,0.195447931526391,0.002064412660002336,0.00026509844491012015,15666,0.17395646623260502,0.0006334413713032353,0.003605944680159354,4749,0.39438913455464214,0.00020259408077561212,0.0164949148466151,1,0.5573682696662036
life9_u9.4,9.4,6.88,3.2,0.24085598076860074,8428.967741935483,2.25,0.30921425454488016,0.5153564327306402,0.028244206228070348,0.002439041246008976,0.14474606525040035,3819.6129032258063,1715.958122580645,716.1321064516129,1530.4514741935484,0.06686131146811575,4.75e-12,0.07562692040836555,0.014307638992029309,0.13545209930446261,0.10120164275211682,0.026320777337550384,0.0024119931438980466,0.057405149996683766,0.0203853691293563,0.6400960501536327,0.4544793455121539,0.5984937807787989,0.779724108908381,0.38713391466185587,0.2095303577027024,0.29852540372287256,0.43257567323109825,2.513157713305398,0.42380406277536736,0.3480344987661151,952,0.3545955882352943,0.0020379716850627027,0.007011392594694185,149,0.16894630872483235,0.002337888180118306,0.003451495298973434,1482,0.2280809716599193,0.002100256217171231,0.007152892483973995,877,0.5963169897377425,0.0007526704028178419,0.017984531249367976,7097,0.268562632098069,0.0009521332651783619,0.011551008119622064,494,0.14055263157894737,0.0017532193961109538,0.0005540724954118879,13764,0.11837191223481458,0.0006119606003756224,0.004330810751873368,3829,0.3455053538782982,0.0003308951904875477,0.020448431413496698,1,0.6687652412125644
