step,cause,age,size,n,worn
10000,hunger,350,4,20,0
10000,hunger,350,8,43,0
10000,hunger,350,12,47,0
10000,hunger,350,16,64,0
10000,hunger,350,20,63,1
10000,hunger,350,24,165,4
10000,hunger,350,28,71,1
10000,hunger,350,32,125,4
10000,hunger,350,36,428,17
10000,hunger,350,40,48,0
10000,hunger,350,44,49,2
10000,hunger,350,48,610,21
10000,hunger,350,52,36,1
10000,hunger,350,56,21,1
10000,hunger,350,60,56,3
10000,hunger,350,64,436,16
10000,hunger,350,68,4,0
10000,hunger,350,72,4,1
10000,hunger,350,76,3,0
10000,hunger,350,80,113,6
10000,hunger,350,84,3,0
10000,hunger,350,92,3,0
10000,hunger,350,96,1,0
10000,hunger,350,100,21,1
10000,hunger,350,116,1,0
10000,hunger,350,120,5,0
10000,hunger,400,0,1,0
10000,hunger,400,4,13,0
10000,hunger,400,8,28,1
10000,hunger,400,12,34,0
10000,hunger,400,16,38,0
10000,hunger,400,20,29,0
10000,hunger,400,24,139,2
10000,hunger,400,28,59,0
10000,hunger,400,32,67,2
10000,hunger,400,36,338,11
10000,hunger,400,40,34,1
10000,hunger,400,44,36,0
10000,hunger,400,48,440,15
10000,hunger,400,52,21,2
10000,hunger,400,56,20,4
10000,hunger,400,60,22,1
10000,hunger,400,64,283,11
10000,hunger,400,68,3,0
10000,hunger,400,72,8,0
10000,hunger,400,76,5,0
10000,hunger,400,80,114,9
10000,hunger,400,92,2,0
10000,hunger,400,100,12,1
10000,hunger,400,120,4,1
10000,hunger,450,0,1,0
10000,hunger,450,4,13,0
10000,hunger,450,8,19,0
10000,hunger,450,12,15,1
10000,hunger,450,16,20,1
10000,hunger,450,20,21,1
10000,hunger,450,24,77,2
10000,hunger,450,28,35,0
10000,hunger,450,32,60,0
10000,hunger,450,36,220,9
10000,hunger,450,40,16,0
10000,hunger,450,44,24,1
10000,hunger,450,48,333,14
10000,hunger,450,52,12,0
10000,hunger,450,56,11,1
10000,hunger,450,60,21,3
10000,hunger,450,64,197,11
10000,hunger,450,68,3,0
