run,seed,arm,censuses,grown,lineage_e060,forms,form,form_low,form_high,form_held,null_medium,null_medium_held,held_one_medium,one_medium,land_open,land_fill,land_hard,land_blocks,land_wood,land_tooth,land_btemp,land_store,land_cold,land_mild,land_hot,steps,pop,pop_min,pop_end,lineages,top_lineage,births_per_body,blocked,no_room,kills,size_mean,ms_step,err,sighted,land_drift,sea_drift,carried,wood_intake,pop_land,pop_surface,pop_bottom,open_land,open_surface,open_bottom,warm_land,warm_surface,warm_bottom,deaths_hunger,deaths_broken,deaths_wear,deaths_thirst,deaths_suffocation,deaths_cold
control9,9,control,6,2413.5,1.6666666666666667,235,3.1666666666666665,3,4,3,3.1666666666666665,3,0,,0.866437135511857,0.07017000000000001,0.05367692226022463,27.03772811154398,0.0,0.034857494361287676,0.0,5.0,0.060488004921058026,0.1096985851958171,0.8298134098831249,100000,8101.7,6395.0,6729.0,9.56,0.73176,4.38356394336991,0.32706,0.42744,0.10313443748402122,23.2104,17.14596,3.75e-14,0.091438,0.0,0.0,0.0,0.0,2882.26,2949.3,2270.14,0.843176,1.230636,1.0608360000000001,0.0,0.0,0.0,0.6884934375110753,0.036148116311684894,0.00013951371594219856,0.26307055062350815,0.012148381837789428,0.0
sets9,9,sets,6,3437.1666666666665,2.6666666666666665,738,6,5,8,4,4.666666666666667,2.2,2,mixed / no tooth / roams / land | plant / no tooth / stays / land,0.7625345339883982,0.03554663999396998,0.023832129379765556,27.278543809732252,0.0009467893447782783,0.009630115999124535,25.86,9.64,0.07332020135697088,0.08740059823447874,0.8392792004085504,100000,10317.76,7603.0,9974.0,11.84,0.30302,5.278649629376919,0.536,0.55052,0.10328242127653821,27.2094,28.4938,3.19e-14,0.02136,0.08366278300197068,-0.051254022484119026,3.194518,20.938404,5111.08,1682.24,3524.44,0.744696,1.150712,0.92275,0.07944,0.004902,0.004192,0.29247729411298407,0.0531924029412326,7.193072337352156e-05,0.5918643415916655,0.036745222845784936,0.025648807784959433
control10,10,control,6,2408.3333333333335,2,366,3.1666666666666665,3,4,3,3.1666666666666665,3,0,,0.8342298152225411,0.06982083333333335,0.03925011380210511,25.393489030431706,0.0,0.03491389478650625,0.0,5.0,0.05543760320830385,0.09105921207832036,0.8535031847133758,100000,8672.76,7241.0,8664.0,13.94,0.75764,4.568893870002167,0.35304,0.38438,0.09965441816900154,21.398600000000002,17.91772,3.56e-14,0.042998,0.0,0.0,0.0,0.0,2805.8,3235.44,2631.52,0.834392,1.082482,0.990544,0.0,0.0,0.0,0.7172981153174047,0.034699272800854615,6.76182676300756e-05,0.23164908339401316,0.016285910220097462,0.0
sets10,10,sets,6,4246.0,2.6666666666666665,1011,4.666666666666667,4,5,3,5.166666666666667,4,2,plant / tooth / stays / land | plant / no tooth / stays / land,0.6069417995301706,0.08124142459501105,0.1591659214572435,33.76807134661521,0.000796933336964502,0.2742776676749765,27.27,5.359,0.035308229894649004,0.07285908000417232,0.8918326901011787,100000,10263.98,7305.0,10613.0,60.42,0.30774,4.622384299267925,0.61242,0.65558,0.09471732339610668,34.501,22.95772,2.81e-14,0.067472,0.08744960284726534,-0.05503824702807829,3.089562,31.365658,5678.56,1588.94,2996.48,0.609352,0.923008,0.862768,0.061514,0.003622,0.004088,0.2764227779455709,0.034356908924326045,0.0006221938005031544,0.5909128489979938,0.07440552018776332,0.02327975014384277
control11,11,control,6,2607.8333333333335,2.6666666666666665,418,4,3,5,3,3.1666666666666665,3,0,,0.906560261919378,0.067912,0.01827706159197872,26.496421600520495,0.0,0.02147039687703318,0.0,5.0,0.09629147690305791,0.1262199089134678,0.7774886141834743,100000,8099.84,6609.0,8003.0,18.62,0.6731,3.9528607972503162,0.45194,0.4325,0.12878435406720454,26.0332,17.6795,3.61e-14,0.03673,0.0,0.0,0.0,0.0,2532.74,2689.04,2878.06,0.86399,1.09786,1.062116,0.0,0.0,0.0,0.7046887423500879,0.05049347627731532,0.00021531467772073498,0.20956234327275813,0.035040123422117875,0.0
sets11,11,sets,6,2874.0,2,415,6.666666666666667,6,8,2,5.666666666666667,2,1,plant / no tooth / stays / land,0.5484807864164433,0.06600214019660806,0.1739815846813467,36.21490909090909,0.0007793110440471902,0.173,26.72,5.467,0.04727272727272727,0.08127272727272727,0.8714545454545455,100000,8797.84,5955.0,8518.0,9.94,0.66884,5.368167641148282,0.55872,0.6288,0.11512861301323095,36.2098,19.11148,3.91e-14,0.049922,0.0941308843937423,-0.05908259995299402,3.13998,18.816884,4229.04,1610.12,2958.68,0.558126,1.052712,0.952192,0.066674,0.006086,0.005076,0.27042861104114235,0.04343938717236095,0.00016975952145595249,0.6061430933063524,0.05623781573260123,0.023581333226087086
