run,seed,arm,step,kinds,land_open,land_wood,share_land,share_surface,share_bottom,land_cold,land_mild,land_hot
control9,9,control,10000,,0.8743066561014263,0.0,0.27459016393442626,0.3145491803278688,0.4108606557377049,0.033582089552238806,0.13059701492537312,0.835820895522388
control9,9,control,20000,,0.8809742446106082,0.0,0.3567208271787297,0.3068685376661743,0.336410635155096,0.07246376811594203,0.08695652173913043,0.8405797101449275
control9,9,control,30000,,0.9419645652037814,0.0,0.2943650126156434,0.315811606391926,0.38982338099243063,0.03428571428571429,0.12714285714285714,0.8385714285714285
control9,9,control,40000,,0.9809502955988614,0.0,0.2757417102966841,0.3621291448516579,0.3621291448516579,0.03955696202531646,0.12025316455696203,0.8401898734177216
control9,9,control,50000,3,0.9304556354916067,0.0,0.3283318623124448,0.3115622241835834,0.36010591350397175,0.07258064516129033,0.125,0.8024193548387096
control9,9,control,60000,4,0.776659125188537,0.0,0.3257292445774121,0.31264023934181,0.36163051608077784,0.02870264064293915,0.12284730195177956,0.8484500574052812
control9,9,control,70000,3,0.8962246861541281,0.0,0.3500206868018204,0.302027306578403,0.3479520066197766,0.031914893617021274,0.11229314420803782,0.8557919621749409
control9,9,control,80000,3,0.8859738533126523,0.0,0.34443541835905767,0.276604386677498,0.37896019496344435,0.12264150943396226,0.07193396226415094,0.8054245283018868
control9,9,control,90000,3,0.8332946456205509,0.0,0.3814860938148609,0.24906600249066002,0.36944790369447905,0.062023939064200215,0.11643090315560392,0.8215451577801959
control9,9,control,100000,3,0.9242915723116469,0.0,0.28806036395916557,0.32268086995117623,0.38925876608965826,0.04314329738058552,0.11093990755007704,0.8459167950693375
sets9,9,sets,10000,,0.6186245095776598,0.3174213626625399,0.6818523153942428,0.07684605757196496,0.24130162703379224,0.008076358296622614,0.07782672540381791,0.9140969162995595
sets9,9,sets,20000,,0.5914285714285714,0.016987062614743146,0.6490110626885686,0.07576265504525645,0.275226282266175,0.06456611570247933,0.002066115702479339,0.9333677685950413
sets9,9,sets,30000,,0.7361933455593398,0.003605846537717961,0.7224602974539954,0.04386186034786993,0.23367784219813462,0.050942079553384506,0.05408234473133287,0.8949755757152826
sets9,9,sets,40000,,0.8134536056856021,0.005964475705688009,0.5339087546239211,0.093711467324291,0.3723797780517879,0.016166281755196306,0.06351039260969978,0.9203233256351039
sets9,9,sets,50000,5,0.8348402387640449,0.00031629442703528116,0.5964482547458665,0.09246785058175137,0.3110838946723821,0.023613963039014373,0.029774127310061602,0.946611909650924
sets9,9,sets,60000,8,0.7445677274007322,0.0003757677113824883,0.7677232034841519,0.059520929107186066,0.172755867408662,0.04538291837377876,0.13016073116924046,0.8244563504569807
sets9,9,sets,70000,6,0.79239622353679,0.00046475841232718185,0.7301790281329923,0.0610613810741688,0.20875959079283887,0.01576182136602452,0.12740805604203154,0.8568301225919439
sets9,9,sets,80000,5,0.7183869774324825,0.00023178854197521714,0.6852336448598131,0.07925233644859814,0.23551401869158878,0.13693398799781778,0.0032733224222585926,0.8597926895799236
sets9,9,sets,90000,6,0.734667275854655,0.00015236365663139672,0.6051451498701912,0.058767996223743214,0.33608685390606563,0.18681747269890794,0.11037441497659907,0.702808112324493
sets9,9,sets,100000,6,0.7817089324451441,0.00484788460720117,0.5983040201005025,0.07883165829145729,0.3228643216080402,0.025721784776902887,0.07716535433070866,0.8971128608923884
control10,10,control,10000,,0.7656197539907823,0.0,0.38645980253878703,0.2524682651622003,0.3610719322990127,0.01916058394160584,0.09215328467153285,0.8886861313868614
control10,10,control,20000,,0.9234826932195354,0.0,0.28253968253968254,0.3376984126984127,0.37976190476190474,0.19241573033707865,0.09269662921348315,0.7148876404494382
control10,10,control,30000,,0.9514635050018525,0.0,0.28872282608695654,0.33186141304347827,0.37941576086956524,0.09058823529411765,0.12588235294117647,0.7835294117647059
control10,10,control,40000,,0.9357138467211603,0.0,0.2623502994011976,0.34468562874251496,0.3929640718562874,0.029957203994293864,0.08416547788873038,0.8858773181169758
control10,10,control,50000,3,0.9087853423844988,0.0,0.2600557546794106,0.34767025089605735,0.39227399442453204,0.07963246554364471,0.09341500765696784,0.8269525267993875
control10,10,control,60000,3,0.802667377967458,0.0,0.2982905982905983,0.31196581196581197,0.38974358974358975,0.055873925501432664,0.11031518624641834,0.833810888252149
control10,10,control,70000,3,0.8573451513085436,0.0,0.2980956082394092,0.34045860862806065,0.3614457831325301,0.01564537157757497,0.12255541069100391,0.8617992177314211
control10,10,control,80000,3,0.8111784271798527,0.0,0.2680320569902048,0.3365983971504898,0.39536954585930545,0.10132890365448505,0.08471760797342193,0.813953488372093
control10,10,control,90000,4,0.8544090630740968,0.0,0.341010101010101,0.28444444444444444,0.37454545454545457,0.061611374407582936,0.0509478672985782,0.8874407582938388
