run,seed,arm,step,kinds,land_open,land_wood,share_land,share_surface,share_bottom,land_cold,land_mild,land_hot
control10,10,control,100000,3,0.7800395040052672,0.0,0.2928416485900217,0.32841648590021694,0.3787418655097614,0.028148148148148148,0.08888888888888889,0.882962962962963
sets10,10,sets,10000,,0.6054807830320964,0.27093596836300404,0.7261277094317516,0.06912712360867018,0.2047451669595782,0.0052440500201694235,0.100040338846309,0.8947156111335216
sets10,10,sets,20000,,0.6697362850057461,0.019354642953604388,0.69435833849969,0.0722256664600124,0.23341599504029759,0.11160714285714286,0.00625,0.8821428571428571
sets10,10,sets,30000,,0.662931674086065,0.006527041872107851,0.773876404494382,0.04113162118780096,0.18499197431781703,0.036038371791547834,0.0700025926886181,0.893959035519834
sets10,10,sets,40000,,0.6578774805867127,0.0024726225631076073,0.7054626532887402,0.06465997770345597,0.22987736900780378,0.00695322376738306,0.060998735777496836,0.9320480404551201
sets10,10,sets,50000,4,0.5871405517124225,0.001923895918014425,0.7605959414333419,0.06421782686873877,0.17518623169791933,0.007429922323539345,0.047619047619047616,0.944951030057413
sets10,10,sets,60000,4,0.5620420947302771,0.0005465508085729148,0.7738145195132187,0.05581200167855644,0.17037347880822493,0.02928416485900217,0.1331344902386117,0.8375813449023861
sets10,10,sets,70000,5,0.6303923916390134,0.0015043215623751246,0.7425423273313625,0.051599032518140284,0.20585864015049718,0.00579080709373869,0.1444082519001086,0.8498009410061528
sets10,10,sets,80000,5,0.6034959858794056,0.0002639420721920163,0.7835446770864052,0.04806841639634326,0.16838690651725155,0.048174633044787356,0.0,0.9518253669552127
sets10,10,sets,90000,5,0.6266188074192375,3.3541558794139015e-05,0.7377521613832853,0.04399615754082613,0.21825168107588858,0.0953125,0.0390625,0.865625
sets10,10,sets,100000,5,0.6540183102052153,0.0007616470335692732,0.7255555555555555,0.05333333333333334,0.22111111111111112,0.011332312404287902,0.066156202143951,0.9225114854517611
control11,11,control,10000,,0.9604429406336512,0.0,0.2864114114114114,0.32244744744744747,0.3911411411411411,0.0327653997378768,0.12975098296199214,0.8374836173001311
control11,11,control,20000,,0.8909559954358287,0.0,0.28390137781000724,0.30239303843364757,0.4137055837563452,0.10344827586206896,0.09067688378033206,0.8058748403575989
control11,11,control,30000,,1.0030820598433285,0.0,0.2333965844402277,0.2915876027830487,0.4750158127767236,0.037940379403794036,0.14634146341463414,0.8157181571815718
control11,11,control,40000,,0.83295994754385,0.0,0.23895434462444773,0.3089101620029455,0.4521354933726068,0.032357473035439135,0.07704160246533127,0.8906009244992296
control11,11,control,50000,4,0.833936056546396,0.0,0.2640562248995984,0.2674029451137885,0.4685408299866131,0.08998732572877059,0.16603295310519645,0.743979721166033
control11,11,control,60000,4,0.9912677538137822,0.0,0.2990720913633119,0.2651677373304782,0.43576017130620986,0.0513126491646778,0.10978520286396182,0.8389021479713604
control11,11,control,70000,5,0.9343660355708548,0.0,0.26122785331685205,0.25793160280181293,0.48084054388133496,0.033123028391167195,0.14826498422712933,0.8186119873817035
control11,11,control,80000,4,0.8531863841555167,0.0,0.3634907926341073,0.2389911929543635,0.39751801441152923,0.24118942731277532,0.09691629955947137,0.6618942731277533
control11,11,control,90000,3,0.8763808275603819,0.0,0.30095475300954755,0.25280199252801994,0.44624325446243257,0.0910344827586207,0.14482758620689656,0.7641379310344828
control11,11,control,100000,4,1.0120403935784568,0.0,0.28418549346016647,0.2500990883868411,0.46571541815299244,0.03347280334728033,0.100418410041841,0.8661087866108786
sets11,11,sets,10000,,0.6027886358177014,0.24231699995823752,0.7507046664578766,0.07140620106482931,0.17788913247729407,0.0050062578222778474,0.10638297872340426,0.8886107634543179
sets11,11,sets,20000,,0.5841198501872659,0.022561026022804555,0.7202320027294439,0.087683384510406,0.19208461276015013,0.0720037896731407,0.0028422548555187117,0.9251539554713406
sets11,11,sets,30000,,0.6033831133041128,0.013531215225267589,0.6313755795981453,0.11411643482740855,0.25450798557444615,0.046103631170950635,0.07833537331701346,0.8755609955120359
sets11,11,sets,40000,,0.6673518968417118,0.013800819638266518,0.5675372086492558,0.15417017691659646,0.2782926144341477,0.012864918357248886,0.04601682335477486,0.9411182582879762
sets11,11,sets,50000,6,0.5723045929277042,0.0011480631170762941,0.5640234495526072,0.136686207960506,0.29929034248688674,0.016411378555798686,0.06728665207877461,0.9163019693654267
sets11,11,sets,60000,6,0.5136376753944669,5.9850025502937217e-05,0.7021276595744681,0.07954545454545454,0.21832688588007737,0.023760330578512397,0.10915977961432508,0.8670798898071626
sets11,11,sets,70000,7,0.5723420746673556,0.0007614364300694474,0.6895752895752896,0.08841698841698842,0.222007722007722,0.005039193729003359,0.09910414333706608,0.8958566629339306
sets11,11,sets,80000,7,0.5333006627461963,0.0019250881451721535,0.6297895304910955,0.13869400971397733,0.23151645979492713,0.07712082262210797,0.004284490145672665,0.9185946872322194
sets11,11,sets,90000,6,0.5768839514944051,0.0006007334599751008,0.6797872340425531,0.07907801418439717,0.24113475177304963,0.15127803860198227,0.04903495044340115,0.7996870109546166
sets11,11,sets,100000,8,0.5598548714118023,0.0015688097354911077,0.5368663594470046,0.10215053763440861,0.36098310291858676,0.022889842632331903,0.12732474964234622,0.8497854077253219
