step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
7000,126,9,98.31,0.00,0.00,0.00,96.33,0.00,0.000,1673,146.59,54.48,2
7000,498,8,33.95,0.75,26.25,0.00,11.12,2.38,0.625,4476,252.00,18.15,8
7000,515,8,57.34,11.00,16.25,0.00,22.25,3.75,0.875,3717,230.53,10.49,8
7000,62,8,36.26,0.00,0.00,0.00,35.88,0.00,0.000,322,18.00,7.90,5
7000,345,6,113.84,0.00,33.00,0.00,78.17,0.00,0.000,2264,189.22,28.07,5
7000,128,6,20.52,4.67,7.83,0.00,4.50,1.33,0.333,4640,229.49,38.45,6
7000,93,5,74.01,0.00,0.00,0.00,59.20,0.00,0.000,2438,82.61,53.15,4
7000,474,5,13.10,0.00,0.00,0.00,10.60,0.00,0.000,1590,37.99,18.80,5
8000,1,5322,45.83,3.45,9.35,1.18,25.70,1.03,0.256,652,40.80,10.81,3052
8000,66,674,61.89,4.21,12.45,0.02,20.35,2.57,0.684,758,47.21,21.66,583
8000,2,176,43.49,4.31,13.88,0.43,13.42,1.41,0.364,1086,55.22,31.08,158
8000,87,77,60.49,8.29,13.47,1.27,31.17,3.75,0.818,1498,135.04,35.05,62
8000,479,70,85.32,15.81,6.37,0.29,28.01,2.81,0.929,4491,316.06,99.44,61
8000,478,67,60.12,2.46,12.12,1.75,31.46,0.09,0.030,478,40.32,18.77,56
8000,76,56,35.72,1.11,5.59,0.00,21.14,0.41,0.125,433,18.75,6.55,33
8000,344,54,47.83,6.46,17.52,0.00,9.91,3.67,0.722,3706,205.87,53.06,52
8000,222,46,63.43,3.26,21.93,0.00,34.87,5.24,0.848,3165,294.36,54.93,41
8000,321,35,38.87,13.06,4.06,0.00,9.26,1.77,0.600,2054,105.85,23.43,35
8000,473,35,39.14,0.09,10.71,9.23,23.29,0.00,0.000,614,39.79,1.80,15
8000,491,28,60.33,21.39,17.43,0.00,12.54,3.54,0.893,5331,358.32,34.30,28
8000,126,24,82.92,0.00,0.00,0.00,83.25,0.00,0.000,293,32.12,19.54,11
8000,452,17,26.06,1.18,0.00,0.24,19.24,0.00,0.000,759,39.74,24.91,9
8000,508,15,23.61,0.00,8.20,0.00,10.13,0.00,0.000,1016,31.22,17.40,14
8000,477,10,61.97,16.10,5.30,0.30,23.90,2.20,0.700,2982,199.61,58.65,10
9000,1,4962,40.42,1.70,6.08,1.29,28.59,0.51,0.113,254,23.48,5.89,2059
9000,66,816,59.94,4.16,12.10,0.01,19.31,2.36,0.623,732,45.54,19.54,740
9000,478,247,58.40,3.77,14.64,0.68,24.81,0.81,0.219,358,25.46,13.64,197
9000,473,245,46.68,0.28,5.46,3.44,36.61,0.03,0.008,335,27.45,11.34,119
9000,2,215,43.12,2.65,12.87,0.77,16.27,0.81,0.209,884,43.45,23.47,189
9000,76,206,28.93,0.00,5.83,0.11,20.53,0.00,0.000,189,12.88,4.81,125
9000,541,117,55.39,0.00,15.41,1.44,27.15,0.00,0.000,265,17.50,8.76,87
9000,542,88,36.43,0.34,10.39,0.25,12.19,0.18,0.068,465,14.63,17.36,61
9000,479,56,79.27,15.25,5.66,0.36,25.00,2.61,0.821,4479,284.73,96.13,44
9000,344,43,47.13,5.98,14.81,0.00,12.00,1.88,0.395,2261,123.96,31.27,38
9000,87,34,63.92,9.97,13.50,0.00,33.41,4.24,0.912,2124,198.44,39.73,26
9000,222,31,52.82,3.42,17.06,0.00,27.90,3.55,0.548,2360,234.11,53.71,30
9000,491,27,55.37,19.93,14.48,0.00,12.07,2.96,0.815,3543,235.29,36.59,23
9000,477,22,78.00,23.27,9.05,0.09,24.73,2.41,0.773,813,63.60,14.72,10
9000,321,21,39.28,13.43,3.71,0.00,8.90,1.67,0.524,1932,112.42,27.36,21
9000,452,13,18.07,0.00,0.00,0.00,14.77,0.00,0.000,518,19.29,27.76,2
9000,544,8,54.87,26.38,3.00,0.00,10.75,1.75,0.750,5550,411.76,159.33,8
10000,1,3685,41.16,2.57,8.43,0.51,24.24,0.85,0.216,387,24.25,6.90,1966
10000,66,1037,58.75,3.40,12.07,0.10,19.46,1.95,0.504,658,39.72,17.20,921
10000,478,494,56.22,5.17,12.29,1.44,20.78,1.80,0.462,329,27.12,11.24,333
10000,574,246,47.76,0.66,12.33,0.00,15.96,0.33,0.077,329,15.58,8.92,179
10000,76,194,47.06,0.06,11.18,0.00,34.04,0.01,0.005,198,13.13,3.70,122
10000,473,95,37.61,0.82,8.81,6.44,23.59,0.13,0.032,373,22.52,5.69,52
10000,557,67,27.97,0.00,9.49,0.69,17.49,0.00,0.000,149,10.68,2.86,44
10000,541,65,56.55,0.00,15.43,1.54,27.97,0.00,0.000,459,24.83,19.08,46
10000,2,47,45.73,9.23,12.19,0.43,7.17,2.30,0.596,2292,100.83,38.33,47
10000,344,42,51.53,9.02,12.21,0.00,11.83,2.17,0.524,1798,93.63,22.45,38
10000,556,35,63.27,14.94,12.00,0.29,9.80,2.17,0.629,632,29.23,12.57,31
10000,479,28,76.81,15.18,5.21,0.36,23.64,2.50,0.786,3245,239.01,80.28,24
10000,542,28,42.00,0.96,10.71,0.21,14.00,0.21,0.107,772,28.45,19.04,24
10000,321,27,43.63,14.15,4.22,0.00,12.33,2.11,0.630,1717,111.67,25.89,24
10000,222,23,59.85,4.35,17.00,0.00,33.70,4.70,0.696,1638,158.70,50.12,23
10000,452,20,15.77,0.60,0.00,1.50,11.00,0.00,0.000,402,13.90,22.05,7
10000,491,13,57.43,22.85,12.62,0.00,10.77,2.85,0.769,2574,175.47,29.31,13
10000,87,13,65.51,14.85,9.23,0.00,28.46,3.08,0.846,4174,322.76,61.62,13
10000,508,9,55.13,3.11,15.56,0.00,18.00,1.22,0.444,102,6.39,4.16,6
10000,544,5,41.92,21.20,2.20,0.00,6.20,1.20,0.400,6028,408.86,122.70,5
10000,570,5,20.45,1.00,2.60,0.00,13.80,0.00,0.000,1642,39.22,33.44,5
11000,1,3728,40.89,2.31,7.47,0.78,25.66,0.56,0.147,449,29.69,7.98,1885
11000,66,1176,57.47,3.62,10.28,0.13,19.90,2.05,0.542,756,45.11,17.56,1038
11000,541,709,58.43,0.15,16.25,1.41,28.17,0.02,0.004,263,23.31,9.71,401
11000,574,201,50.76,1.43,12.48,0.00,16.10,0.44,0.124,499,18.74,11.95,150
11000,473,153,39.05,0.88,9.02,7.88,23.97,0.06,0.026,364,23.53,2.64,63
11000,478,127,60.86,7.26,9.88,1.15,20.96,2.87,0.717,802,46.28,21.46,85
11000,587,126,55.97,2.35,12.67,0.00,35.43,1.12,0.302,220,16.44,11.27,91
11000,76,73,35.33,0.00,8.97,0.00,21.55,0.00,0.000,266,16.37,5.88,56
11000,556,57,60.16,11.91,13.46,0.12,11.70,2.56,0.702,836,37.59,15.10,51
11000,344,46,50.86,8.76,11.74,0.00,12.41,1.57,0.370,1799,95.12,24.91,40
11000,2,42,75.87,2.45,18.71,0.10,27.14,1.88,0.405,344,29.33,19.77,33
11000,479,29,77.59,15.24,5.21,0.34,24.14,2.45,0.759,2460,181.17,53.93,22
11000,321,27,39.34,11.30,3.44,0.00,15.15,1.63,0.481,2071,123.76,37.08,26
11000,222,22,44.99,3.59,9.41,0.00,27.82,2.82,0.500,2206,184.32,83.05,21
11000,542,10,32.81,1.60,8.00,0.00,10.00,0.80,0.400,642,22.31,20.53,10
11000,557,10,21.82,0.00,9.60,0.00,12.60,0.00,0.000,714,42.53,4.13,8
11000,491,9,64.59,26.78,12.00,0.00,12.33,2.89,0.778,2178,123.00,19.94,9
11000,87,7,52.19,16.71,5.86,0.00,14.00,2.57,0.714,5486,427.60,64.58,7
11000,576,7,74.08,6.86,26.71,0.00,26.00,0.71,0.143,797,52.06,5.02,7
11000,570,5,28.59,0.00,0.80,0.00,20.60,0.00,0.000,1026,33.79,30.15,4
11000,578,5,33.49,2.00,6.60,5.60,14.60,2.00,0.600,2500,144.75,89.77,5
12000,1,2991,43.38,2.54,8.43,0.41,26.12,0.61,0.166,476,29.85,6.72,1445
12000,66,1266,53.29,3.39,10.51,0.03,16.11,2.05,0.543,873,46.47,20.34,1093
12000,574,472,49.58,1.49,11.17,0.00,15.96,0.36,0.108,440,16.54,12.83,354
12000,473,406,35.65,0.49,8.10,4.23,24.55,0.03,0.007,304,19.39,5.70,196
12000,596,286,60.47,3.10,12.22,0.41,19.87,1.50,0.402,1090,57.44,18.64,234
12000,541,130,67.38,0.53,20.63,0.71,28.85,0.04,0.015,493,27.17,18.72,84
12000,587,129,39.20,1.89,13.22,0.35,19.45,1.25,0.372,304,14.25,15.15,107
12000,2,96,83.75,1.23,15.58,0.08,34.08,1.19,0.208,243,18.91,13.32,86
12000,595,78,75.40,10.58,0.00,1.55,42.38,0.00,0.000,217,14.33,13.21,30
12000,344,55,41.28,4.67,11.49,0.00,12.56,0.93,0.218,1364,85.21,16.82,48
12000,556,51,68.41,14.51,15.73,0.14,10.59,3.20,0.824,1063,41.55,17.52,46
12000,598,44,66.77,5.48,11.14,0.05,17.09,2.84,0.841,887,41.89,13.90,32
12000,597,32,29.76,0.00,0.00,5.38,23.03,0.00,0.000,1151,53.46,19.00,30
12000,479,28,82.76,15.57,6.07,1.00,26.39,2.79,0.857,2559,184.78,48.11,21
12000,321,26,37.39,10.38,3.31,0.12,14.12,1.50,0.423,1708,92.56,28.51,24
12000,542,26,39.59,3.73,9.19,0.08,10.27,0.81,0.346,362,9.65,7.64,25
12000,222,22,57.93,3.55,13.73,0.00,36.27,2.68,0.455,2366,189.82,63.56,22
12000,570,22,26.14,0.00,2.09,0.00,17.59,0.00,0.000,515,15.60,27.69,15
12000,478,20,58.04,5.30,8.75,1.80,20.65,3.65,0.900,1238,61.92,31.24,14
12000,76,20,26.47,0.00,0.00,0.00,20.85,0.00,0.000,665,15.88,26.26,8
12000,602,10,37.38,0.00,0.90,0.40,31.80,0.00,0.000,973,27.38,58.84,5
12000,491,7,62.90,26.14,11.57,0.00,12.00,2.86,0.857,3202,159.59,27.05,7
12000,578,6,36.75,2.00,8.17,7.33,14.67,2.17,0.667,2497,132.20,72.61,6
13000,1,8457,50.28,1.33,7.20,1.49,35.28,0.27,0.073,272,27.57,7.54,3557
13000,66,1449,48.64,3.11,9.23,0.05,15.18,1.74,0.464,657,33.82,16.70,1154
13000,574,593,52.34,1.64,10.57,0.00,17.72,0.40,0.103,476,18.37,13.31,447
13000,596,366,66.17,2.99,14.06,0.29,24.43,1.40,0.377,1030,55.14,17.75,281
13000,597,290,28.24,0.38,0.01,1.89,27.69,0.00,0.000,276,17.01,8.09,114
13000,2,82,46.69,1.09,13.62,0.00,16.99,0.56,0.134,221,19.56,11.25,72
13000,621,78,60.63,0.00,15.06,0.18,22.69,0.00,0.000,1002,56.17,26.51,64
13000,630,76,34.56,0.86,4.67,0.00,27.59,0.03,0.013,212,14.81,4.85,46
13000,598,58,64.59,5.00,8.31,0.53,19.22,2.10,0.690,820,39.72,8.61,50
13000,344,46,49.40,7.89,12.04,0.00,11.93,1.48,0.391,2146,117.49,27.63,41
13000,623,45,39.57,1.04,12.13,0.00,16.36,0.40,0.178,106,9.18,2.28,28
13000,76,33,13.13,0.00,0.00,0.00,9.73,0.00,0.000,398,10.03,12.98,16
13000,618,30,74.18,17.30,12.73,0.27,21.77,4.40,0.933,3307,241.57,31.08,28
13000,587,30,28.92,0.00,3.50,0.00,16.83,0.00,0.000,307,5.87,11.23,15
13000,479,25,74.35,14.04,5.44,1.04,23.60,2.52,0.800,3572,235.39,57.82,19
13000,556,21,76.30,15.48,14.33,0.00,16.14,2.76,0.619,1307,54.93,17.23,20
13000,321,16,37.51,12.44,2.50,0.00,12.06,1.44,0.438,2620,152.66,42.72,16
13000,222,14,52.08,3.57,11.21,0.00,33.29,2.93,0.429,3557,273.66,86.18,14
13000,473,14,36.43,0.00,0.00,3.36,32.50,0.00,0.000,325,15.97,11.73,7
13000,633,8,70.88,10.12,9.62,7.00,14.25,3.38,0.875,3264,142.08,28.92,8
13000,491,6,59.70,26.83,9.17,0.00,9.17,2.67,0.833,3750,174.26,22.46,6
13000,578,6,46.23,0.83,2.33,10.00,31.33,0.83,0.167,2520,135.93,39.35,6
13000,636,5,74.74,12.00,13.60,0.40,17.00,2.20,0.800,2636,133.24,10.52,4
14000,1,3828,49.92,2.02,8.49,0.91,28.82,0.36,0.101,431,29.22,9.13,1735
14000,66,842,45.42,1.41,9.87,0.09,13.55,1.30,0.329,596,28.03,16.03,643
14000,574,563,44.78,0.68,9.72,0.00,15.50,0.17,0.048,561,17.85,19.96,443
14000,596,213,55.18,2.82,12.23,0.53,16.54,1.69,0.479,1416,64.15,26.30,192
14000,630,159,37.15,0.40,6.41,0.35,30.56,0.03,0.013,225,16.05,4.52,74
14000,621,118,67.91,0.22,15.17,0.13,26.68,0.03,0.008,740,42.04,21.15,84
14000,597,70,43.72,0.00,0.13,2.49,34.90,0.00,0.000,528,22.17,20.90,36
14000,344,62,48.07,6.39,12.74,0.00,12.76,1.39,0.339,1858,99.85,26.12,52
14000,598,58,62.30,5.62,8.36,0.21,17.05,1.98,0.672,1169,47.82,13.81,55
14000,2,56,61.44,6.59,15.36,0.00,28.39,3.89,0.804,301,23.35,14.09,47
14000,638,36,51.50,8.08,7.14,0.00,13.47,1.72,0.556,2403,114.73,39.62,35
14000,641,29,45.26,6.52,10.62,0.17,6.97,2.41,0.690,1530,67.40,24.45,29
14000,479,25,80.42,14.72,5.96,0.64,26.36,2.64,0.800,3153,199.76,41.59,18
14000,643,19,36.09,0.00,7.21,1.74,15.37,0.00,0.000,1557,81.40,23.97,17
14000,646,18,30.23,0.00,0.61,7.56,22.78,0.00,0.000,1628,65.80,36.49,17
14000,76,18,18.00,0.00,1.00,0.00,12.17,0.00,0.000,632,18.08,15.48,12
14000,321,14,32.41,11.43,2.14,0.00,9.29,1.43,0.500,3390,181.66,52.00,14
14000,222,11,63.14,4.36,9.73,0.00,43.00,2.27,0.364,3097,208.69,63.20,11
14000,633,8,53.47,10.62,5.62,3.38,7.12,1.88,0.500,3400,154.80,31.99,8
14000,664,8,50.05,0.00,17.25,0.00,27.00,0.00,0.000,524,35.34,1.60,5
14000,659,7,73.27,17.71,6.43,0.00,14.43,2.71,0.857,4634,318.39,82.45,6
15000,1,2021,52.03,1.18,6.75,1.04,34.73,0.20,0.045,297,24.01,4.71,649
15000,66,966,47.56,1.75,8.99,0.02,15.40,1.30,0.357,724,35.43,15.77,774
15000,574,303,49.16,0.66,10.08,0.00,17.15,0.24,0.050,720,24.37,17.01,195
15000,630,160,33.09,0.69,6.37,0.01,24.93,0.06,0.006,263,16.30,4.65,54
15000,596,115,64.28,3.42,15.70,0.37,17.10,1.96,0.417,1913,85.94,37.49,108
15000,666,86,55.66,6.08,13.85,0.12,13.00,3.51,0.860,2433,122.78,36.07,73
15000,344,70,49.10,7.83,12.10,0.00,11.76,1.71,0.471,1659,85.37,23.41,55
15000,665,66,44.81,5.94,10.39,0.12,14.64,1.79,0.470,537,22.51,10.50,48
15000,598,54,62.51,6.09,9.69,0.22,15.17,1.89,0.611,1501,55.10,19.68,47
15000,621,48,60.08,0.08,13.19,0.00,23.96,0.00,0.000,1056,57.37,27.95,39
15000,638,45,51.80,8.84,5.53,0.00,13.91,1.31,0.422,1820,88.50,28.35,37
15000,479,26,72.18,14.31,5.31,0.58,21.58,2.27,0.654,3606,219.53,47.68,24
15000,641,26,48.59,8.54,9.08,0.50,6.35,1.96,0.692,1735,67.50,33.68,26
15000,670,26,43.15,1.15,10.27,0.00,13.77,1.73,0.500,902,51.28,19.52,25
15000,673,21,39.05,0.00,7.24,0.19,16.52,0.00,0.000,1499,65.18,26.19,15
15000,681,17,81.91,19.47,1.24,0.00,15.59,0.29,0.118,2354,95.68,15.41,15
15000,643,12,31.83,0.00,6.75,0.58,13.75,0.00,0.000,1208,73.29,21.52,11
15000,646,12,34.06,0.00,0.67,3.50,27.33,0.00,0.000,1754,60.49,35.82,9
15000,597,12,38.07,0.00,0.00,0.25,30.92,0.00,0.000,759,28.68,35.99,8
15000,2,12,32.18,4.33,10.50,0.00,13.83,2.08,0.583,603,50.65,5.44,9
15000,76,11,23.02,0.00,0.00,0.00,17.36,0.00,0.000,949,27.01,17.65,8
15000,676,10,69.62,0.00,18.50,0.00,22.80,0.00,0.000,158,12.81,3.27,9
15000,222,9,57.96,4.56,7.00,0.00,38.00,1.33,0.222,3288,258.58,73.35,8
15000,659,6,76.03,19.17,6.17,0.00,14.00,2.67,0.833,3286,227.95,52.98,5
15000,671,6,114.37,28.00,25.83,0.00,4.33,3.33,0.833,281,8.76,59.43,2
15000,633,5,46.67,9.00,6.80,2.20,5.60,2.20,0.600,4598,194.04,35.01,5
15000,321,5,34.60,13.60,2.00,0.00,7.80,1.20,0.400,3008,192.57,31.05,5
15000,682,5,46.25,0.00,11.20,0.00,16.40,0.00,0.000,3553,153.55,19.66,5
16000,1,2368,38.52,0.97,6.99,0.48,27.48,0.14,0.035,255,19.62,3.80,768
16000,66,947,50.92,2.64,8.61,0.04,16.26,1.55,0.433,874,41.77,16.03,771
16000,630,421,31.61,0.68,5.11,0.37,25.16,0.04,0.007,244,16.49,5.00,225
16000,665,181,49.41,3.34,6.61,0.31,24.33,0.99,0.315,358,20.89,8.73,97
16000,574,110,44.22,0.05,12.41,0.02,11.38,0.02,0.009,296,8.14,10.80,77
16000,666,83,55.53,6.76,14.37,0.00,11.36,3.40,0.807,1878,87.60,25.44,71
16000,646,83,48.00,0.00,2.36,0.93,43.27,0.00,0.000,663,34.47,13.19,38
16000,596,69,59.92,4.87,12.25,0.13,15.29,2.00,0.449,2482,112.40,36.86,66
16000,638,62,42.00,8.24,3.56,0.00,10.60,1.08,0.403,1562,74.56,27.41,47
16000,701,55,65.98,8.20,11.31,2.11,11.73,2.29,0.564,1356,63.01,22.54,54
16000,344,51,48.60,8.41,11.82,0.00,10.27,1.78,0.471,2429,117.06,29.17,46
16000,621,50,102.76,6.12,4.88,0.00,44.66,0.46,0.040,432,40.71,14.16,36
16000,598,41,60.44,5.32,10.98,0.29,13.73,1.56,0.537,1949,72.50,31.91,39
16000,76,30,26.14,0.00,0.00,0.00,20.20,0.00,0.000,692,19.07,14.99,16
16000,479,29,63.24,12.41,4.21,0.52,19.41,2.00,0.552,3570,202.15,59.89,24
16000,641,19,46.14,8.05,8.58,0.47,6.37,1.89,0.684,2642,89.07,41.53,19
16000,681,17,75.25,17.88,0.94,0.00,14.47,0.24,0.118,2939,123.87,23.42,15
16000,673,11,33.15,0.00,3.45,0.27,16.09,0.00,0.000,2214,93.86,37.62,11
16000,670,10,42.41,2.40,6.80,0.00,15.10,1.60,0.500,1148,61.20,38.28,10
16000,222,8,54.17,3.62,5.88,0.00,37.25,1.00,0.125,4077,319.91,90.33,7
16000,659,7,72.72,17.14,6.43,0.00,15.14,2.71,0.857,3556,227.49,62.78,6
16000,643,7,32.36,0.00,7.14,0.14,13.71,0.00,0.000,1770,97.34,38.50,6
17000,1,6002,45.54,0.85,7.63,1.83,32.25,0.19,0.050,222,21.14,6.11,2702
17000,66,905,48.23,2.38,9.00,0.06,14.30,1.66,0.473,910,41.55,16.84,741
17000,734,426,43.55,1.05,9.62,0.08,12.55,0.40,0.110,571,27.27,19.95,331
17000,676,97,76.77,2.40,9.13,0.23,33.46,1.12,0.247,311,28.72,4.41,52
17000,630,91,37.81,0.81,5.23,0.08,30.34,0.05,0.011,385,23.71,3.22,42
17000,755,63,54.46,3.78,10.00,0.00,13.92,1.83,0.587,940,49.82,19.20,54
17000,621,61,81.57,4.43,9.79,0.10,29.62,0.44,0.066,637,40.96,20.42,46
17000,641,50,42.06,6.50,4.64,0.10,13.34,1.10,0.320,1071,53.08,18.61,33
17000,574,45,43.49,0.09,11.87,0.02,11.07,0.00,0.000,586,15.81,15.13,33
17000,598,44,56.70,5.86,9.34,0.20,12.20,2.09,0.568,1839,69.76,28.87,42
17000,638,35,57.56,9.46,9.37,0.00,12.31,1.83,0.543,1873,90.13,40.09,32
17000,744,33,65.74,10.18,8.18,0.00,13.52,2.52,0.879,1409,70.10,33.11,31
17000,344,31,49.91,10.23,10.00,0.00,9.97,2.06,0.548,2980,123.48,32.47,29
17000,701,29,48.62,6.69,8.38,1.24,7.66,2.38,0.621,1493,62.55,27.37,29
17000,735,28,60.49,0.00,19.75,0.14,27.14,0.00,0.000,353,22.05,3.76,20
17000,596,27,60.37,6.85,8.44,0.63,15.19,2.30,0.593,2545,129.70,31.06,27
17000,479,22,54.67,11.73,4.18,1.95,13.45,1.73,0.500,3100,179.53,69.23,18
17000,76,19,33.66,0.00,0.74,0.00,24.32,0.00,0.000,1348,40.44,18.53,16
17000,646,15,43.11,0.00,0.00,0.80,37.60,0.00,0.000,1829,66.91,28.02,14
17000,681,13,84.06,20.46,1.00,0.00,15.08,0.23,0.077,2683,117.30,29.81,11
17000,659,6,68.62,16.67,5.33,0.00,14.00,2.50,0.833,3916,248.17,62.68,6
17000,222,6,60.53,3.00,8.17,0.00,43.00,0.00,0.000,3400,320.44,103.28,6
17000,738,5,50.04,6.00,6.40,0.00,11.60,1.40,0.600,2164,65.92,17.55,5
18000,1,1740,46.91,2.87,9.74,1.01,28.10,0.85,0.186,376,26.70,5.75,849
