run,seed,arm,band,bodies,open,hard,blocks,fat_fill,mass,temp,btemp,warmed,cooled,wood,store,travel,height,tooth,in_land,in_surface,in_bottom
control9,9,control,cold,295,0.881285766467795,0.06124436868379399,27.840677966101694,0.07026666666666667,31.22,13.4,0.0,0.0,0.0,0.0,5.0,19.0,235.0,0.05423728813559322,1.0,0.0,0.0
control9,9,control,mild,535,0.9452520145362616,0.05735503239058303,23.659813084112148,0.07225068119891008,28.85,13.7,0.0,0.0,0.0,0.0,5.0,27.0,192.0,0.04299065420560748,1.0,0.0,0.0
control9,9,control,hot,4047,0.8563500072077267,0.05269749171111431,27.425747467259697,0.07011428571428573,32.0,18.0,0.0,0.0,0.0,0.0,5.0,20.75,322.0,0.03236965653570546,1.0,0.0,0.0
sets9,9,sets,cold,1005,0.8236234955416051,0.01271542244791875,24.88457711442786,0.03243741765480896,50.0,16.6,26.31,0.08838771384126512,0.0010455317237884586,0.0011365545022367458,9.714,9.25,389.0,0.020895522388059702,1.0,0.0,0.0
sets9,9,sets,mild,1198,0.7873892977422976,0.025913683422726704,26.76794657762938,0.031925488430713696,50.0,7.0,24.165,0.08725602163911353,0.0010326880688811195,0.001271692210329242,9.649,10.75,579.5,0.02003338898163606,1.0,0.0,0.0
sets9,9,sets,hot,11504,0.7551967932329641,0.02449894265063283,27.54085535465925,0.03602238601040042,50.0,18.9,26.09,0.027788139934134266,0.0020206536494301597,0.0009056355217128111,9.639,3.5,547.0,0.007562586926286509,1.0,0.0,0.0
control10,10,control,cold,235,0.8718685176320409,0.024732726982607308,26.66808510638298,0.07790601023017903,25.9,15.2,0.0,0.0,0.0,0.0,5.0,29.25,310.0,0.01276595744680851,1.0,0.0,0.0
control10,10,control,mild,386,0.9190357061632931,0.017966795542415284,22.78238341968912,0.07635456968463886,23.275,11.8,0.0,0.0,0.0,0.0,5.0,37.125,201.0,0.018134715025906734,1.0,0.0,0.0
control10,10,control,hot,3618,0.8236266228856581,0.042254433907238986,25.589275843007186,0.06906472222222224,27.66,18.0,0.0,0.0,0.0,0.0,5.0,25.875,331.5,0.03814262023217247,1.0,0.0,0.0
sets10,10,sets,cold,677,0.675945537065053,0.07058569267343852,34.172821270310195,0.04227340412963696,49.94,13.9,26.46,0.08724450775071145,0.000910749026848588,0.0005910150055904304,6.02,7.25,337.0,0.1358936484490399,1.0,0.0,0.0
sets10,10,sets,mild,1397,0.5921651464234278,0.1600576092174748,37.27630637079456,0.060766875376923,57.35,2.1,23.97,0.0514578942218632,0.0009660882150917476,0.0004569453868897016,5.226,2.75,1006.0,0.2534001431639227,1.0,0.0,0.0
sets10,10,sets,hot,17100,0.6054968117583123,0.16266585584499327,33.465438596491225,0.08513874896753806,48.36,19.5,27.72,0.01956164385867533,0.0023437201124331744,0.0008236824529943071,5.375,1.25,823.0,0.2814619883040936,1.0,0.0,0.0
control11,11,control,cold,444,0.749060856498873,0.025106436263461058,35.972972972972975,0.06282901668950056,36.865,19.95,0.0,0.0,0.0,0.0,5.0,10.375,344.0,0.02927927927927928,1.0,0.0,0.0
control11,11,control,mild,582,0.8719406379031776,0.02567171324277422,28.713058419243985,0.06892329109062979,32.0,18.25,0.0,0.0,0.0,0.0,5.0,26.5,193.0,0.030927835051546393,1.0,0.0,0.0
control11,11,control,hot,3585,0.9411344030751352,0.0156773789835963,24.962900976290097,0.0684,32.0,19.3,0.0,0.0,0.0,0.0,5.0,26.25,327.0,0.01896792189679219,1.0,0.0,0.0
sets11,11,sets,cold,520,0.6569101987358351,0.08239849666875462,33.771153846153844,0.04266001477023482,47.125,15.149999999999999,24.775,0.08298126755196183,0.0011572826628049057,7.862763812527473e-05,5.467,7.5,342.5,0.03653846153846154,1.0,0.0,0.0
sets11,11,sets,mild,894,0.5583338324249866,0.1758399712523208,37.35346756152125,0.05263691827492846,52.47,3.4,24.22,0.057321910611808614,0.0013672768799609118,0.00020480762147765804,5.467,5.0,941.5,0.13870246085011187,1.0,0.0,0.0
sets11,11,sets,hot,9586,0.5420527389906421,0.17843233767691682,36.24128938034634,0.06897528369043018,47.63,16.1,27.08,0.0218163459448205,0.0024655003244964005,0.000843399558022671,5.467,2.0,637.0,0.18360108491550178,1.0,0.0,0.0
