run,kind,share,censuses,held,forms,lineages,top_lineages,born_size,density,open_born,grass,algae,detritus,meat,kills,travel,land,surface,bottom,side,cells,seed,arm,bodies,open,hard,blocks,fat_fill,mass,temp,btemp,warmed,cooled,wood,store,height,tooth,in_land,in_surface,in_bottom,band_cold,band_mild,band_hot
control9,plant / no tooth / roams / shore,0.6520958497341344,6,True,52,29,1:0.80 1777:0.06 1172:0.06,17,1.0,1.2941176470588236,0.10664284491115578,0.4435003850538412,0.3117810669366921,0.13807570309831094,0.09872786929558267,34.0,0.26061632955628505,0.449539341311024,0.28984432913269087,7,2220000220000044400004440000440000044000004400000,9,control,9443,1.1954174290630035,0.01808995821612912,19.388435878428467,0.10246249999999998,17.0,30.5,0.0,0.0,0.0,0.0,5.0,-148.0,0.012813724451975008,0.26061632955628505,0.449539341311024,0.28984432913269087,0.027321825690988035,0.15778883829291537,0.8148893360160966
control9,mixed / no tooth / roams / shore,0.1515779297009875,6,True,36,28,1:0.22 1172:0.21 1606:0.16,27,1.686,1.0,0.21863129205095577,0.0,0.3687726086042143,0.41259609934482994,0.33728751301624776,30.25,0.4924829157175399,0.0,0.5075170842824601,6,222220222220224400244400004400000000,9,control,2195,1.0334911286715371,0.01668033397942448,24.444646924829158,0.06987163706699491,36.67,29.7,0.0,0.0,0.0,0.0,5.0,-12.0,0.022779043280182234,0.4924829157175399,0.0,0.5075170842824601,0.015945330296127564,0.12027334851936218,0.8637813211845102
control9,plant / no tooth / stays / shore,0.11387335128789448,6,True,8,7,1:0.81 1172:0.07 1606:0.04,30,1.096,0.9166666666666666,0.21532091586905674,0.0,0.5859007533303701,0.1987783308005732,0.0754616765589133,0.5,0.33596118859915103,0.0,0.664038811400849,7,4444444444444444444444444444444444444444444444444,9,control,1649,0.9106720436163742,0.03205893617500619,26.917525773195877,0.06762800796091911,29.65,29.6,0.0,0.0,0.0,0.0,5.0,-67.0,0.026682838083687082,0.33596118859915103,0.0,0.664038811400849,0.053972104305639784,0.16616130988477865,0.7798665858095816
control9,plant / no tooth / stays / land,0.02354809750707824,1,False,30,27,1566:0.34 1972:0.25 1819:0.06,64,1.251,0.5,0.7544372411149928,0.0,0.008472294697740237,0.2370904641872669,0.0649914650864547,0.0,0.9882697947214076,0.0,0.011730205278592375,9,333311111333311111333441111344444111444444411444444411444444441444444441444444441,9,control,341,0.4802846289658124,0.12005778182012733,54.81231671554252,0.03914583333333333,73.47,-3.1,0.0,0.0,0.0,0.0,5.0,536.0,0.05865102639296188,0.9882697947214076,0.0,0.011730205278592375,0.002932551319648094,0.04985337243401759,0.9472140762463344
sets9,mixed / no tooth / roams / shore,0.244726761382922,6,True,48,29,1136:0.51 4367:0.10 4088:0.08,25,2.0,0.8,0.4123468603961796,0.0,0.1259571791975748,0.46169596040624566,0.34937212863799505,13.5,0.7136913017634238,0.0,0.2863086982365762,5,2222222222244422444244444,9,sets,5047,0.9276830906941737,0.0024752225174528445,19.611848622944322,0.04353562005277045,36.0,21.5,26.52,0.04415047248389427,0.0014131761450232845,2.046657389278202e-05,9.678,282.0,0.004359025163463444,0.7136913017634238,0.0,0.2863086982365762,0.07727362789776104,0.13374281751535566,0.7889835545868833
sets9,mixed / no tooth / roams / land,0.16699801192842942,6,True,24,19,1136:0.83 4088:0.06 2675:0.05,25.0,2.0,0.8,0.5860249188683835,0.0,0.025492879355607064,0.3884822017760094,0.27852821189140775,12.75,0.9326364692218351,0.0,0.06736353077816493,5,2222422222244424444444444,9,sets,3444,0.8453716092932734,0.0001216397031991242,23.870499419279906,0.036958253945975184,50.0,15.8,27.07,0.026048324404887396,0.0019953947092168803,3.1118357914183503e-06,9.655,804.5,0.00029036004645760743,0.9326364692218351,0.0,0.06736353077816493,0.03774680603948897,0.09843205574912892,0.8638211382113821
sets9,plant / no tooth / stays / shore,0.16496145080735103,6,True,59,43,1136:0.48 4493:0.10 1213:0.08,25.0,2.0,0.9090909090909091,0.43553226814026896,0.0010231538859542518,0.31010263249986963,0.2533419454739071,0.03983224688253296,0.0,0.5705467372134039,0.0005878894767783657,0.4288653733098178,4,4444444444444444,9,sets,3402,0.8645832133850743,0.02491853114240641,25.527042915931805,0.03874395833647156,32.0,26.0,28.32,0.02241686339614385,0.001198857806129416,0.0027184645998532013,9.0655,49.5,0.007642563198118754,0.5705467372134039,0.0005878894767783657,0.4288653733098178,0.04614932392710171,0.15432098765432098,0.7995296884185773
sets9,plant / no tooth / stays / land,0.12873975658245648,6,True,229,217,1136:0.36 5991:0.05 3996:0.04,49,2.0,0.6666666666666666,0.760544158667697,0.0004247728898378503,0.015532874964389369,0.22349819347807584,0.05195594988379224,0.0,0.976271186440678,0.0007532956685499058,0.022975517890772127,6,222224222222224422244444444444444444,9,sets,2655,0.6043133290993175,0.030377572835508484,42.106591337099815,0.028873217184832392,66.23,23.2,26.41,0.015804377613121517,0.0018209588375496886,0.00041612093410575864,9.205,510.0,0.008662900188323917,0.976271186440678,0.0007532956685499058,0.022975517890772127,0.040301318267419964,0.0711864406779661,0.8885122410546139
sets9,mixed / no tooth / stays / shore,0.05270814139552926,3,False,31,24,4088:0.42 5564:0.12 4596:0.07,25,2.0,1.0,0.3821375060877513,0.0,0.218514499771688,0.39934799414056077,0.20063142395970218,0.75,0.593376264949402,0.0,0.40662373505059796,4,4444444444444444,9,sets,1087,0.8905452770752917,0.01681529792803585,20.73505059797608,0.04191465715163126,32.0,16.4,25.03,0.030825746883948436,0.0011706146637619822,0.00029947670985357405,9.673,157.0,0.0027598896044158236,0.593376264949402,0.0,0.40662373505059796,0.028518859245630176,0.15915363385464582,0.812327506899724
sets9,plant / no tooth / roams / surface,0.04611356252727537,2,False,24,21,1213:0.32 3416:0.23 6674:0.11,21,0.997,1.4285714285714286,0.031849192333851056,0.8878135784803705,0.0,0.08033722918577854,0.07440445504880243,21.75,0.04311251314405889,0.9568874868559412,0.0,7,2222222444444444000044000000400000040000004000000,9,sets,951,1.3826146837588729,0.013031041423879649,19.85068349106204,0.10098255530488964,19.22,22.9,25.75,0.015567698980400365,0.00012004697447833271,0.00061945237715814,5.741,-150.0,0.006309148264984227,0.04311251314405889,0.9568874868559412,0.0,0.013669821240799159,0.3890641430073607,0.5972660357518401
