x,y,land,air,ground
0,0,0.000,-0.0000,-0.0000
1,0,0.000,-0.0000,-0.0000
2,0,0.000,-0.0000,-0.0000
3,0,0.000,-0.0000,-0.0000
4,0,0.000,-0.0000,-0.0000
5,0,0.000,-0.0000,-0.0000
6,0,0.000,-0.0000,-0.0000
7,0,0.000,-0.0000,-0.0000
8,0,0.000,-0.0000,-0.0000
9,0,0.000,-0.0000,-0.0000
10,0,0.000,-0.0000,-0.0000
11,0,0.000,-0.0000,-0.0000
12,0,0.000,-0.0000,-0.0000
13,0,0.000,-0.0000,-0.0000
14,0,0.000,-0.0000,-0.0000
15,0,0.000,-0.0000,-0.0000
16,0,0.000,-0.0000,-0.0000
17,0,0.000,-0.0000,-0.0000
18,0,0.000,-0.0000,-0.0000
19,0,0.000,-0.0000,-0.0000
20,0,0.000,-0.0000,-0.0000
21,0,0.000,-0.0000,-0.0000
22,0,0.000,-0.0000,-0.0000
23,0,0.000,-0.0000,-0.0000
24,0,0.000,-0.0000,-0.0000
25,0,0.000,-0.0000,-0.0000
26,0,0.000,-0.0000,-0.0000
27,0,0.000,-0.0000,-0.0000
28,0,0.000,-0.0000,-0.0000
29,0,0.000,-0.0000,-0.0000
30,0,0.188,0.2718,0.3020
31,0,1.000,0.3860,0.6892
32,0,1.000,0.4621,0.8482
33,0,1.000,0.4466,0.7700
34,0,1.000,0.4182,0.6762
35,0,1.000,0.4157,0.6753
36,0,1.000,0.4207,0.6929
37,0,1.000,0.4168,0.6765
38,0,1.000,0.4014,0.6184
39,0,1.000,0.3866,0.5512
40,0,1.000,0.3785,0.5023
41,0,1.000,0.3698,0.4526
42,0,1.000,0.3599,0.3937
43,0,1.000,0.3511,0.3343
44,0,1.000,0.3341,0.2127
45,0,1.000,0.3188,0.0867
46,0,1.000,0.3176,0.0769
47,0,1.000,0.2385,0.0573
48,0,1.000,0.2571,0.0584
49,0,1.000,0.3157,0.0706
50,0,1.000,0.3172,0.0755
51,0,1.000,0.2586,0.0634
52,0,1.000,0.3191,0.0821
53,0,1.000,0.2602,0.0715
54,0,1.000,0.2959,0.0635
55,0,1.000,0.2181,0.0506
56,0,1.000,0.3154,0.0659
57,0,1.000,0.3178,0.0783
58,0,1.000,0.3202,0.0883
59,0,1.000,0.3222,0.0934
60,0,0.312,0.3347,0.0852
61,0,0.000,-0.0000,-0.0000
62,0,0.000,-0.0000,-0.0000
63,0,0.000,-0.0000,-0.0000
64,0,0.000,-0.0000,-0.0000
65,0,0.000,-0.0000,-0.0000
66,0,0.000,-0.0000,-0.0000
67,0,0.000,-0.0000,-0.0000
68,0,0.000,-0.0000,-0.0000
69,0,0.000,-0.0000,-0.0000
70,0,0.188,0.2705,0.3015
71,0,1.000,0.3703,0.6596
72,0,1.000,0.4165,0.6890
73,0,1.000,0.3843,0.5210
74,0,1.000,0.3687,0.4521
75,0,1.000,0.3587,0.3972
76,0,1.000,0.3552,0.3738
77,0,1.000,0.3584,0.3922
78,0,1.000,0.3586,0.3958
79,0,1.000,0.3626,0.4166
80,0,1.000,0.3673,0.4444
81,0,1.000,0.3643,0.4314
82,0,1.000,0.3679,0.4456
83,0,1.000,0.3655,0.4357
84,0,1.000,0.3611,0.4090
85,0,1.000,0.3561,0.3754
86,0,1.000,0.3048,0.2825
87,0,1.000,0.3321,0.2045
88,0,1.000,0.3236,0.1397
89,0,1.000,0.3191,0.0909
90,0,1.000,0.3163,0.0759
91,0,1.000,0.3155,0.0719
