run,seed,arm,medium,bodies,open,hard,blocks,fat_fill,mass,temp,btemp,warmed,cooled,wood,store,travel,height,tooth,in_land,in_surface,in_bottom
control9,9,control,land,4877,0.866437135511857,0.05367692226022463,27.03772811154398,0.07017000000000001,32.0,16.7,0.0,0.0,0.0,0.0,5.0,21.5,303.0,0.034857494361287676,1.0,0.0,0.0
control9,9,control,surface,4280,1.346595693969969,0.003161992531977437,14.70443925233645,0.12769285714285714,14.0,32.0,0.0,0.0,0.0,0.0,5.0,37.25,-280.0,0.0016355140186915889,0.0,1.0,0.0
control9,9,control,bottom,5324,1.144167376231602,0.008449904715565828,23.162096168294514,0.08199192051719567,30.0,31.1,0.0,0.0,0.0,0.0,5.0,24.25,-190.5,0.013335837716003005,0.0,0.0,1.0
sets9,9,sets,land,13707,0.7625345339883982,0.023832129379765556,27.278543809732252,0.03554663999396998,50.0,17.5,25.86,0.0361888134697073,0.0018832516388920671,0.0009467893447782783,9.64,4.25,524.0,0.009630115999124535,1.0,0.0,0.0
sets9,9,sets,surface,1451,1.3540998049210244,0.01255427600528601,21.903514817367334,0.08785284428136067,20.9,23.5,26.41,0.006982237035778829,0.00014056785840017304,0.00040096140071334014,5.726,19.0,-156.0,0.006202618883528601,0.0,1.0,0.0
sets9,9,sets,bottom,5465,1.026597722126466,0.017675487512251176,21.65709057639524,0.05489136600862264,32.0,24.8,28.38,0.018112302399313683,0.00039744803125229964,0.0007943022726763126,6.029,5.25,-131.0,0.008051235132662397,0.0,0.0,1.0
control10,10,control,land,4239,0.8342298152225411,0.03925011380210511,25.393489030431706,0.06982083333333335,26.69,17.1,0.0,0.0,0.0,0.0,5.0,26.75,315.0,0.03491389478650625,1.0,0.0,0.0
control10,10,control,surface,4696,1.130954348406453,0.00026696838331574733,16.75063884156729,0.11170189531572228,17.0,31.7,0.0,0.0,0.0,0.0,5.0,31.75,-257.5,0.0008517887563884157,0.0,1.0,0.0
control10,10,control,bottom,5515,1.0643161494431541,0.001938445220635298,19.83064369900272,0.08524093123984841,23.65,31.5,0.0,0.0,0.0,0.0,5.0,23.25,-187.0,0.002357207615593835,0.0,0.0,1.0
sets10,10,sets,land,19174,0.6069417995301706,0.1591659214572435,33.76807134661521,0.08124142459501105,49.16,17.5,27.27,0.022969962124154905,0.0022389757965850226,0.000796933336964502,5.359,1.5,798.0,0.2742776676749765,1.0,0.0,0.0
sets10,10,sets,surface,1340,1.151103872602244,0.01801871671578512,28.867164179104478,0.08323622321614724,27.665,22.2,25.33,0.0036269262711928095,6.37852978234553e-05,5.23378095768352e-07,4.859,15.375,-142.0,0.019402985074626865,0.0,1.0,0.0
sets10,10,sets,bottom,4962,1.0026934965937397,0.021420425557456258,26.860943168077387,0.07324600038524381,33.78,24.6,28.03,0.009871639955983821,0.0002965448028410167,0.0006900279715808318,5.2745,3.0,-119.0,0.034058847239016525,0.0,0.0,1.0
control11,11,control,land,4611,0.906560261919378,0.01827706159197872,26.496421600520495,0.067912,32.0,19.3,0.0,0.0,0.0,0.0,5.0,25.0,320.0,0.02147039687703318,1.0,0.0,0.0
control11,11,control,surface,4005,1.1989975263637547,0.0010880279725482174,26.849937578027465,0.07789333333333333,28.0,32.4,0.0,0.0,0.0,0.0,5.0,26.25,-200.0,0.0022471910112359553,0.0,1.0,0.0
control11,11,control,bottom,7031,1.1541804188345848,0.0055705288038856784,19.736310624377754,0.08102689486552568,30.0,32.0,0.0,0.0,0.0,0.0,5.0,16.5,-167.0,0.0065424548428388565,0.0,0.0,1.0
sets11,11,sets,land,11000,0.5484807864164433,0.1739815846813467,36.21490909090909,0.06600214019660806,48.18,14.7,26.72,0.026332454432443152,0.002349191963262318,0.0007793110440471902,5.467,2.25,610.0,0.173,1.0,0.0,0.0
sets11,11,sets,surface,1747,1.2276639148312243,0.015650400025499632,35.916428162564394,0.08143715435792692,33.0,23.4,26.05,0.004300526794454658,7.706023080860889e-05,9.921348470207881e-05,5.074,13.5,-146.0,0.008586147681740127,0.0,1.0,0.0
sets11,11,sets,bottom,4497,1.0729327306567402,0.01945404590977577,25.090060040026685,0.05836729649984795,32.0,23.9,27.31,0.00904617302172418,0.000273188050284605,0.0002863986363091187,5.966,6.0,-134.0,0.01823437847453858,0.0,0.0,1.0
