x,y,land,air,ground
0,0,0.000,-0.0000,-0.0000
1,0,0.000,-0.0000,-0.0000
2,0,0.000,-0.0000,-0.0000
3,0,0.000,-0.0000,-0.0000
4,0,0.000,-0.0000,-0.0000
5,0,0.000,-0.0000,-0.0000
6,0,0.000,-0.0000,-0.0000
7,0,0.000,-0.0000,-0.0000
8,0,0.000,-0.0000,-0.0000
9,0,0.000,-0.0000,-0.0000
10,0,0.000,-0.0000,-0.0000
11,0,0.000,-0.0000,-0.0000
12,0,0.000,-0.0000,-0.0000
13,0,0.000,-0.0000,-0.0000
14,0,0.000,-0.0000,-0.0000
15,0,0.000,-0.0000,-0.0000
16,0,0.000,-0.0000,-0.0000
17,0,0.000,-0.0000,-0.0000
18,0,0.000,-0.0000,-0.0000
19,0,0.000,-0.0000,-0.0000
20,0,0.000,-0.0000,-0.0000
21,0,0.000,-0.0000,-0.0000
22,0,0.000,-0.0000,-0.0000
23,0,0.000,-0.0000,-0.0000
24,0,0.000,-0.0000,-0.0000
25,0,0.000,-0.0000,-0.0000
26,0,0.000,-0.0000,-0.0000
27,0,0.000,-0.0000,-0.0000
28,0,0.000,-0.0000,-0.0000
29,0,0.000,-0.0000,-0.0000
30,0,0.188,0.1525,0.3406
31,0,1.000,0.3296,0.7419
32,0,1.000,0.4367,0.8597
33,0,1.000,0.4104,0.7381
34,0,1.000,0.3768,0.6195
35,0,1.000,0.3783,0.6301
36,0,1.000,0.3852,0.6526
37,0,1.000,0.3809,0.6306
38,0,1.000,0.3662,0.5660
39,0,1.000,0.3546,0.4969
40,0,1.000,0.3481,0.4432
41,0,1.000,0.3397,0.3866
42,0,1.000,0.3307,0.3232
43,0,1.000,0.3230,0.2590
44,0,1.000,0.3078,0.1345
45,0,1.000,0.2941,0.0032
46,0,1.000,0.2942,0.0020
47,0,1.000,0.2215,0.0001
48,0,1.000,0.2390,0.0003
49,0,1.000,0.2932,0.0003
50,0,1.000,0.2940,0.0014
51,0,1.000,0.2395,0.0018
52,0,1.000,0.2947,0.0007
53,0,1.000,0.2402,0.0004
54,0,1.000,0.2750,0.0015
55,0,1.000,0.2024,0.0009
56,0,1.000,0.2944,0.0014
57,0,1.000,0.2955,0.0017
58,0,1.000,0.2968,0.0005
59,0,1.000,0.2982,0.0001
60,0,0.312,0.3140,0.0000
61,0,0.000,-0.0000,-0.0000
62,0,0.000,-0.0000,-0.0000
63,0,0.000,-0.0000,-0.0000
64,0,0.000,-0.0000,-0.0000
65,0,0.000,-0.0000,-0.0000
66,0,0.000,-0.0000,-0.0000
67,0,0.000,-0.0000,-0.0000
68,0,0.000,-0.0000,-0.0000
69,0,0.000,-0.0000,-0.0000
70,0,0.188,0.1530,0.3386
71,0,1.000,0.3250,0.7231
72,0,1.000,0.3955,0.6712
73,0,1.000,0.3548,0.4547
74,0,1.000,0.3409,0.3896
75,0,1.000,0.3317,0.3351
76,0,1.000,0.3289,0.3116
77,0,1.000,0.3316,0.3289
78,0,1.000,0.3317,0.3325
79,0,1.000,0.3355,0.3531
80,0,1.000,0.3395,0.3803
81,0,1.000,0.3369,0.3679
82,0,1.000,0.3403,0.3803
83,0,1.000,0.3372,0.3681
84,0,1.000,0.3329,0.3396
85,0,1.000,0.3282,0.3029
86,0,1.000,0.2810,0.2155
87,0,1.000,0.3055,0.1252
88,0,1.000,0.2976,0.0568
89,0,1.000,0.2942,0.0096
90,0,1.000,0.2929,0.0000
91,0,1.000,0.2925,0.0000
