step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
5000,1,5873,44.21,2.61,9.20,0.41,24.61,0.80,0.199,579,37.99,10.59,2997
5000,194,306,62.21,7.28,14.64,0.00,28.12,3.85,0.712,1034,113.51,27.80,246
5000,32,269,49.86,5.94,8.32,0.00,13.81,1.91,0.535,857,59.79,18.33,168
5000,180,216,32.03,7.28,7.69,0.20,12.29,2.71,0.815,1751,135.16,35.38,185
5000,73,166,53.12,8.28,16.89,1.03,28.85,2.66,0.765,1055,94.11,22.22,109
5000,31,147,97.33,13.85,22.51,0.00,20.37,4.38,0.918,2479,195.50,29.32,143
5000,217,140,75.28,14.47,10.26,0.00,17.77,3.39,0.864,2243,162.52,26.61,116
5000,39,83,43.59,10.33,11.89,0.08,17.48,3.65,0.807,1788,156.30,32.88,76
5000,343,82,40.61,8.09,9.87,0.28,26.07,2.63,0.841,315,30.37,3.68,64
5000,57,77,55.41,12.64,10.35,0.03,13.83,2.22,0.623,1772,96.62,19.95,61
5000,25,30,39.75,2.67,0.47,1.83,33.27,0.00,0.000,925,53.10,14.07,24
5000,273,28,27.86,1.75,0.89,0.07,21.39,0.29,0.071,705,31.80,14.31,17
5000,365,21,100.70,10.62,14.57,0.00,36.10,4.10,0.905,3417,284.30,77.99,17
5000,197,19,78.49,31.37,4.68,0.00,21.05,2.58,0.842,3464,252.47,41.32,15
5000,43,19,17.54,0.11,0.00,0.21,14.74,0.00,0.000,506,22.28,11.12,10
5000,33,18,21.55,0.00,5.78,2.72,14.06,0.00,0.000,244,11.66,2.89,14
5000,22,16,20.46,1.31,6.38,0.00,15.25,0.62,0.250,127,12.47,1.03,13
5000,99,13,36.64,0.69,7.46,0.15,27.38,0.69,0.231,995,41.19,30.71,12
5000,301,12,34.29,6.25,10.75,2.42,13.17,2.58,0.833,1147,104.25,7.98,12
5000,13,10,52.77,7.30,20.50,0.00,11.00,3.10,0.700,2682,199.92,25.82,10
5000,23,7,43.62,4.00,0.00,0.00,31.71,0.00,0.000,1274,45.34,22.64,6
6000,1,8049,40.89,2.36,7.65,0.65,23.15,0.76,0.199,532,33.19,11.10,4042
6000,194,337,65.79,8.94,13.85,0.07,28.09,4.31,0.798,1360,128.71,29.25,269
6000,32,278,49.85,5.64,8.29,0.00,14.40,1.93,0.568,1115,73.55,23.24,201
6000,180,171,32.10,6.78,8.12,0.16,12.76,2.58,0.778,1847,127.35,35.39,147
6000,73,145,53.75,9.94,17.47,0.70,25.09,3.23,0.848,1460,109.44,31.12,126
6000,31,134,93.86,13.15,21.77,0.00,19.93,4.34,0.903,3330,229.43,33.79,133
6000,217,127,74.29,14.69,9.84,0.00,16.82,3.29,0.874,3014,193.06,32.82,117
6000,39,87,42.57,10.77,10.48,0.26,16.32,3.40,0.805,1950,152.05,36.27,85
6000,57,78,55.38,11.60,12.42,0.00,13.72,2.77,0.718,1897,97.45,23.85,77
6000,25,67,34.87,1.22,5.24,0.55,27.73,0.07,0.015,570,37.96,7.33,48
6000,453,38,38.42,6.76,13.47,0.00,13.53,3.39,0.658,3054,171.01,26.86,31
6000,463,37,21.54,0.00,6.08,0.00,14.68,0.00,0.000,349,18.43,2.23,26
6000,472,24,87.48,10.79,20.29,27.38,30.54,4.25,0.875,2844,370.84,43.90,24
6000,43,22,15.51,0.05,0.09,0.18,12.82,0.00,0.000,683,20.15,15.39,12
6000,343,22,47.86,11.82,7.36,0.18,21.41,2.36,0.773,685,48.99,4.41,21
