step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
10000,0,1176,34.72,0.80,8.83,0.19,9.30,0.01,1.21,0.002,0.258,388143.8,358382.9,2,87,3.55,1.23,1.23,21.7425,855.99,20452.8,0.0451,32.8164,5462,26.7000,2405,9.2199,38795.9,149.79,2.2854,0.0,0.0000,1.000,0.7360,2.7654,3.8058
10000,1,1068,32.59,0.96,8.66,0.07,8.56,0.01,1.30,0.005,0.222,379480.4,337935.0,2,98,3.41,1.31,1.36,20.9549,755.73,21488.1,0.0502,31.7568,5461,26.6951,2250,9.6733,40271.0,94.51,10.4683,0.0,0.0000,1.000,0.2913,2.6761,3.7179
10000,2,883,32.68,0.92,9.19,0.42,8.37,0.05,1.28,0.022,0.192,314953.1,268369.2,1,146,3.46,1.28,1.39,15.5569,606.04,27519.4,0.0463,26.4851,5461,26.6951,1896,6.3376,23710.5,55.70,27.7507,0.0,0.0000,1.000,0.0101,2.2188,3.0741
20000,0,1397,26.01,0.85,7.12,0.46,9.96,0.14,1.26,0.077,0.294,220962.7,182722.5,8,118,3.43,1.36,1.21,8.4844,857.96,15643.1,0.2875,20.6327,5462,12.2140,1679,3.5949,11618.1,149.79,1.0445,0.0,0.0000,1.000,0.7360,1.8295,2.0151
20000,1,1144,28.89,0.62,8.19,0.50,10.37,0.07,1.14,0.030,0.258,131106.0,98765.2,7,129,3.58,1.17,1.13,4.2033,629.07,29605.5,0.0000,12.1900,5461,12.2118,1662,1.9113,5251.2,94.51,3.2570,0.0,0.0000,1.000,0.2913,1.8492,1.2316
20000,2,849,27.02,0.44,8.94,0.60,8.26,0.05,1.11,0.022,0.177,89424.2,61945.1,7,159,3.39,1.11,1.12,2.3706,449.34,37238.5,0.0000,8.4008,5461,12.2118,1475,1.0827,2700.1,55.70,7.6541,0.0,0.0000,1.000,0.0101,1.6246,0.8614
30000,0,1749,21.88,1.26,6.49,0.30,8.53,0.61,1.39,0.244,0.330,393463.3,369920.2,9,163,3.19,1.54,1.20,18.9735,513.30,19848.4,0.1176,36.1972,5462,28.3677,1443,8.1667,35868.7,149.79,2.3873,0.0,0.0000,1.000,0.7360,1.5023,4.1001
30000,1,1422,24.59,0.87,7.48,0.16,8.94,0.40,1.26,0.143,0.285,383297.6,369842.0,10,166,3.21,1.36,1.17,19.0311,426.82,26071.6,0.0000,34.9794,5461,28.3625,1578,9.8611,38684.2,94.51,11.2301,0.0,0.0000,1.000,0.2913,1.6873,3.8916
30000,2,930,25.11,1.33,7.52,0.25,9.26,0.71,1.38,0.259,0.196,305777.0,279470.6,7,174,3.42,1.54,1.23,12.7757,191.23,31628.6,0.0000,28.7172,5461,28.3625,1495,5.9275,22645.9,55.70,29.3238,0.0,0.0000,1.000,0.0101,1.6792,3.2507
40000,0,1359,24.90,0.67,7.32,0.38,8.83,0.26,1.17,0.103,0.269,212688.8,135185.0,11,166,3.23,1.27,1.07,5.3882,403.36,12298.3,1.5161,20.6528,5462,13.1210,1794,2.7621,9954.2,149.79,1.0366,0.0,0.0000,1.000,0.7360,1.9307,2.1028
40000,1,1198,25.57,0.39,7.55,0.26,8.63,0.11,1.10,0.038,0.228,128852.4,76802.0,12,160,3.17,1.14,1.06,2.8359,288.43,28229.8,0.0000,12.6406,5461,13.1186,1751,1.5041,4819.2,94.51,3.2770,0.0,0.0000,1.000,0.2913,1.9794,1.2282
40000,2,919,25.22,0.44,7.67,0.18,9.27,0.29,1.13,0.090,0.187,87322.9,49657.7,10,219,3.26,1.19,1.03,1.7634,222.43,37675.5,0.0000,8.5635,5461,13.1186,1545,0.9005,2647.5,55.70,7.6548,0.0,0.0000,1.000,0.0101,1.7222,0.8535
50000,0,1482,29.30,0.65,7.59,0.10,8.05,0.31,1.19,0.101,0.278,378317.9,266689.6,18,154,3.26,1.29,1.07,12.9668,350.21,16075.6,0.4276,34.5080,5462,30.5767,1780,10.2183,40960.8,149.79,2.4524,0.0,0.0000,1.000,0.7360,1.9803,3.3172
50000,1,1328,28.53,0.93,7.56,0.02,7.97,0.37,1.27,0.120,0.251,374438.5,273382.6,21,205,3.28,1.37,1.15,13.6214,340.05,21529.8,0.0017,34.1904,5461,30.5711,1879,10.1596,40844.3,94.51,11.1786,0.0,0.0000,1.000,0.2913,2.1555,3.2653
50000,2,986,29.26,0.90,7.66,0.07,9.45,0.37,1.23,0.118,0.204,303890.6,210301.6,18,228,3.44,1.33,1.14,9.5035,152.80,29158.2,0.0000,28.4843,5461,30.5711,1469,5.9996,23468.8,55.70,29.1859,0.0,0.0000,1.000,0.0101,1.6894,2.8231
60000,0,1304,26.54,1.21,6.67,0.17,10.03,0.70,1.32,0.230,0.271,214383.0,109309.7,11,158,3.53,1.45,1.13,4.6460,351.19,13545.1,1.6030,20.3849,5462,13.6117,1565,3.0440,10800.6,149.79,1.0348,0.0,0.0000,1.000,0.7360,1.6765,1.7300
60000,1,1271,26.14,1.01,6.95,0.27,9.78,0.56,1.27,0.176,0.262,131947.6,69849.7,11,170,3.38,1.40,1.11,2.8154,250.49,29836.9,0.0000,12.4141,5461,13.6092,1434,1.6347,5347.2,94.51,3.2361,0.0,0.0000,1.000,0.2913,1.5766,1.0948
60000,2,870,26.20,1.32,6.91,0.29,10.50,0.63,1.35,0.207,0.188,89131.4,42571.5,12,200,3.61,1.52,1.16,1.6543,196.08,39293.9,0.0000,8.5535,5461,13.6092,1277,0.8577,2633.0,55.70,7.6096,0.0,0.0000,1.000,0.0101,1.3924,0.7531
70000,0,1575,20.45,1.57,5.20,0.19,7.70,1.12,1.64,0.360,0.264,380089.4,283540.5,7,160,3.20,1.96,1.25,14.7606,531.16,20323.4,1.1142,35.1516,5462,30.0548,1768,8.0103,35773.2,149.79,2.3558,0.0,0.0000,1.000,0.7360,1.9463,4.0005
70000,1,1467,20.76,1.65,5.35,0.13,8.29,1.23,1.63,0.382,0.258,377048.0,297954.9,8,146,3.20,1.96,1.21,14.6993,546.00,26618.3,0.0113,34.8046,5461,30.0493,1627,7.9770,35247.8,94.51,10.7920,0.0,0.0000,1.000,0.2913,1.8217,3.9385
70000,2,1187,21.66,1.77,5.95,0.20,8.71,1.41,1.66,0.429,0.226,298503.8,224166.5,7,219,3.44,1.97,1.21,10.2996,390.37,34929.3,0.0000,28.2242,5461,30.0493,1402,5.3149,21462.4,55.70,28.4879,0.0,0.0000,1.000,0.0101,1.5942,3.2248
80000,0,1502,20.94,1.49,6.02,0.25,8.09,1.27,1.60,0.392,0.273,213653.8,139746.1,3,151,3.34,1.92,1.20,6.2178,663.79,15127.5,0.9189,20.3746,5462,12.7434,1600,2.9224,10835.9,149.79,1.0227,0.0,0.0000,1.000,0.7360,1.7477,2.2518
80000,1,1338,21.41,1.38,5.75,0.29,9.22,1.14,1.51,0.372,0.254,128350.0,79829.1,4,160,3.50,1.77,1.14,3.2458,392.94,30662.4,0.0000,12.2927,5461,12.7410,1531,1.5197,5234.1,94.51,3.2296,0.0,0.0000,1.000,0.2913,1.6825,1.3891
80000,2,972,21.71,1.20,6.57,0.75,8.88,1.20,1.45,0.373,0.194,86869.7,52232.9,5,213,3.47,1.72,1.09,2.0274,319.56,39609.6,0.0000,8.4721,5461,12.7410,1474,0.8828,2824.5,55.70,7.5264,0.0,0.0000,1.000,0.0101,1.6100,0.9469
90000,0,1466,22.48,1.99,5.26,0.28,9.43,1.51,1.77,0.464,0.285,376985.4,334321.6,1,156,3.47,2.28,1.26,18.0081,573.06,22785.8,0.0523,35.0744,5462,28.4699,1710,7.0340,33494.9,149.79,2.2964,0.0,0.0000,1.000,0.7360,1.9110,5.0565
90000,1,1451,22.31,2.20,5.54,0.20,8.63,1.62,1.84,0.496,0.276,370408.9,330498.8,1,166,3.45,2.38,1.26,17.5264,558.31,26742.2,0.0000,34.3844,5461,28.4647,1642,6.8266,33339.6,94.51,10.4549,0.0,0.0000,1.000,0.2913,1.8080,4.8569
90000,2,1006,23.44,1.87,6.07,0.27,9.57,1.53,1.70,0.492,0.204,298016.6,251290.8,1,174,3.52,2.15,1.18,12.2724,304.64,33547.7,0.0000,28.1901,5461,28.4647,1409,4.5612,20453.9,55.70,27.8968,0.0,0.0000,1.000,0.0101,1.6104,3.9787
100000,0,1478,22.85,1.96,5.63,0.10,9.37,1.43,1.76,0.477,0.288,213571.4,130408.0,4,134,3.60,2.25,1.22,6.0696,520.12,15633.3,1.0639,20.3282,5462,12.7692,1526,2.8808,11065.7,149.79,1.0241,0.0,0.0000,1.000,0.7360,1.6408,2.1354
100000,1,1150,23.43,1.80,5.89,0.24,9.91,1.47,1.70,0.487,0.235,127496.5,73105.5,4,169,3.64,2.13,1.16,3.2393,354.70,30790.2,0.0000,12.2677,5461,12.7668,1565,1.4912,5152.1,94.51,3.2047,0.0,0.0000,1.000,0.2913,1.7361,1.2801
100000,2,945,23.83,2.18,6.29,0.18,9.22,1.60,1.85,0.553,0.193,86528.5,45678.8,4,232,3.66,2.36,1.22,1.8474,272.59,39564.7,0.0000,8.4596,5461,12.7668,1492,0.9134,2844.4,55.70,7.5234,0.0,0.0000,1.000,0.0101,1.6654,0.8766
