step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
70000,2,1220,24.43,0.32,6.26,0.50,7.81,0.00,1.11,0.002,0.207,317470.0,198950.2,8,223,2.95,1.10,1.11,7.5207,210.87,31283.5,0.0000,29.9343,5461,33.4275,1348,4.7564,21973.4,57.87,27.9349,0.0,0.0000,1.000,0.0291,1.4349,3.4356
80000,0,1577,26.52,0.67,6.61,0.37,8.25,0.01,1.23,0.004,0.287,240653.9,133717.0,14,149,3.26,1.21,1.19,4.5805,280.97,11160.4,0.4922,23.0943,5462,14.6648,1450,2.7139,11050.2,148.26,1.0695,0.0,0.0000,1.000,0.7810,1.5632,2.3876
80000,1,1240,27.72,0.67,6.83,0.25,8.85,0.00,1.22,0.004,0.236,137257.9,74281.4,13,167,3.28,1.24,1.19,2.5253,186.50,27002.9,0.0000,13.4170,5461,14.6621,1476,1.2935,4801.8,93.87,3.1506,0.0,0.0000,1.000,0.3216,1.5998,1.3768
80000,2,1110,28.20,0.72,6.74,0.51,9.11,0.01,1.24,0.005,0.217,91651.5,46183.0,13,218,3.29,1.22,1.20,1.5139,203.36,37819.4,0.0000,8.9675,5461,14.6621,1334,0.8014,2675.8,57.87,7.3455,0.0,0.0000,1.000,0.0291,1.4637,0.9368
90000,0,1708,29.11,0.51,6.15,0.27,9.34,0.01,1.18,0.008,0.317,384107.8,216028.0,14,177,3.24,1.19,1.15,9.6685,351.25,17031.4,0.5084,35.7392,5462,33.2699,1443,7.0305,34385.5,148.26,2.1495,0.0,0.0000,1.000,0.7810,1.5402,3.5082
90000,1,1460,27.97,0.45,6.47,0.18,8.90,0.01,1.16,0.009,0.268,383033.8,216653.4,16,179,3.18,1.15,1.13,9.7863,213.16,22129.3,0.0151,35.3698,5461,33.2638,1426,7.3524,36036.7,93.87,10.3763,0.0,0.0000,1.000,0.3216,1.5373,3.3848
90000,2,1205,26.85,0.49,5.98,0.26,9.27,0.01,1.15,0.004,0.221,315436.9,178806.2,18,185,3.20,1.16,1.13,7.0814,186.42,29414.2,0.0000,29.7587,5461,33.2638,1265,4.4898,21537.0,57.87,27.6233,0.0,0.0000,1.000,0.0291,1.3775,3.0504
100000,0,1469,30.60,0.43,7.22,0.32,9.52,0.02,1.14,0.011,0.293,238827.3,113634.3,19,139,3.33,1.15,1.12,4.5911,255.70,10635.2,0.5102,22.9718,5462,14.6793,1433,2.6397,10684.1,148.26,1.0700,0.0,0.0000,1.000,0.7810,1.5131,1.9571
100000,1,1196,30.65,0.50,7.46,0.23,9.68,0.02,1.17,0.008,0.247,138542.5,68860.0,18,141,3.39,1.19,1.16,2.6440,209.13,25898.7,0.0000,13.4479,5461,14.6766,1378,1.1307,4438.4,93.87,3.1358,0.0,0.0000,1.000,0.3216,1.5157,1.2069
100000,2,1046,27.91,0.33,7.10,0.09,9.15,0.00,1.11,0.003,0.198,92151.1,41490.0,16,194,3.21,1.11,1.10,1.4911,236.83,36172.9,0.0000,9.1019,5461,14.6766,1399,0.6933,2405.4,57.87,7.3618,0.0,0.0000,1.000,0.0291,1.5110,0.7939
