step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved
10000,2738,1.477,1.825,16.85,145967,113327,0,30769,590,2184441,1249527.8,1099607.6,0.084,0.620,0.055,0.241,89,36.67,20.81,0.56,2.22,8.77,6.88,0.15,0.94,11.14,10.24,0.14,0.64,0.246,0.136,2095,0.016,0.039,0.944,0.005,0.012,264706,209250,6,0.141,0.644,0.056,2676186,0.204,2.986,0.206,112.11,111388,215,0.503,0.242,0.295,13686708,1.17,2.23,0.294,0.645,0.050,12.0,32.0,59.9,220.2,56427,0.215,0.00,0.0041,0.069,691,0.570,0.000,0.548,0.463,3.78,4.74,4.73,0.20,0.072,1.21,1.11,1.19,0.607,0.00406,72.43,55.4315,1245.66,81812.7,140135.6,0.095,39.3518,264.393,0.000,1.000,0.002,85.7,104.708,117.037,4627,26538.3,27.26,113.827,6.03,23.771,795.1,9.432,0.134,2.00,8.1380,22281.9,0.6046,0.3746,20.61,1.824,0.355,1.5488,0.0000,0.306,0.152,0.126,0.0000,5.29,1.07,7,18,36,111,95.3810,0.0031,0.4434,0.0000,0.0000,45.3472,100.00,61.2158,277.5270,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0033,0.0013,0.000004,6,0.2291,0.0321,0.0135,46,173,477,0.0000,0.0000,0.0193,0.067,7.7986,0.0154,2.8308,0.0248,0.3076,0.1172
20000,2474,1.283,1.630,18.15,39195,33850,0,5587,13,553529,474744.3,272745.4,0.060,0.718,0.082,0.140,138,31.38,15.65,0.17,0.99,8.74,6.67,0.24,1.05,11.82,9.51,0.02,0.19,0.273,0.152,1803,0.038,0.068,0.915,0.006,0.010,49161,35144,7,0.282,0.151,0.103,1074371,0.155,2.839,0.182,45.53,25171,348,0.493,0.226,0.316,4126606,1.04,2.35,0.335,0.612,0.012,10.0,31.6,50.0,159.9,51879,0.198,0.00,0.0016,0.078,621,0.440,0.000,0.430,0.275,3.76,4.75,4.76,0.06,0.031,1.04,1.05,1.05,0.461,0.00253,10.33,9.3229,870.45,89884.2,140135.6,1.421,6.9234,100.812,0.000,1.000,0.231,76.9,43.652,42.241,4164,23707.2,14.60,34.646,5.76,4.235,653.7,1.526,0.135,2.01,7.5755,18741.9,0.5502,0.4005,20.97,1.558,0.430,0.4512,0.0000,0.346,0.184,0.252,0.0000,5.35,0.88,7,21,36,81,39.2615,0.0122,0.4293,0.0000,0.0000,12.4063,100.00,91.8033,218.8347,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0028,0.0012,0.000003,9,0.2520,0.0275,0.0315,57,184,682,0.0000,0.0000,0.0048,0.015,1.3019,0.0334,0.5139,0.0206,0.4104,0.0654
30000,2742,1.063,1.684,17.93,138340,110426,0,27583,49,2084825,1193555.1,1002113.7,0.076,0.730,0.089,0.105,85,29.04,14.77,1.64,3.02,8.23,6.38,0.30,1.49,10.15,9.52,0.85,1.59,0.275,0.156,2096,0.046,0.027,0.957,0.004,0.012,231273,160502,12,0.265,0.357,0.084,2797530,0.187,2.875,0.189,117.41,116004,250,0.481,0.211,0.323,18719298,1.51,2.64,0.202,0.736,0.275,10.3,28.0,49.0,116.0,55722,0.213,0.00,0.0043,0.090,669,0.620,0.000,0.537,0.421,3.81,4.71,4.77,0.90,0.293,1.64,1.17,1.69,0.647,0.00416,70.89,43.7243,1116.12,86091.2,140135.6,0.276,28.8304,266.842,0.000,1.000,0.026,89.7,107.471,122.272,4290,24419.8,21.29,103.226,5.26,19.270,630.5,8.429,0.135,2.00,7.9718,21858.8,0.6290,0.3664,20.32,1.466,0.432,1.5488,0.0000,0.377,0.189,0.295,0.0000,5.40,1.09,6,16,36,64,98.3704,0.0073,0.5073,0.0000,0.0000,45.9018,100.00,63.6108,308.4876,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0030,0.0012,0.000005,14,0.5417,0.0518,0.0192,54,179,549,0.0000,0.0000,0.0095,0.026,6.7462,0.0672,2.8144,0.0463,0.2755,0.1269
40000,2397,1.228,1.410,17.76,34511,32078,0,2739,19,432267,470963.9,227931.1,0.045,0.803,0.095,0.057,133,31.57,15.49,1.45,2.55,8.02,5.72,0.33,1.90,11.19,8.64,1.07,1.81,0.249,0.139,1792,0.033,0.063,0.920,0.004,0.012,41631,28292,3,0.532,0.029,0.071,1498740,0.157,2.639,0.154,45.01,19457,413,0.527,0.206,0.248,5632409,1.40,2.43,0.270,0.686,0.290,11.4,32.0,52.0,100.0,50334,0.192,0.00,0.0018,0.095,618,0.519,0.000,0.497,0.244,3.92,4.82,4.81,1.12,0.310,1.53,1.13,1.50,0.534,0.00222,10.79,7.8630,668.39,90722.8,140135.6,1.850,5.7713,99.973,0.000,1.000,0.234,74.7,43.681,42.562,3752,20444.8,14.41,34.490,5.70,3.975,480.1,1.514,0.135,2.00,9.0840,21774.4,0.6449,0.4219,21.00,1.552,0.390,0.4512,0.0000,0.295,0.215,0.179,0.0000,5.42,1.21,7,16,40,64,39.9719,0.0038,0.4526,0.0000,0.0000,12.2950,100.00,90.3615,231.9045,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0025,0.0011,0.000002,20,0.3110,0.0434,0.0403,68,219,806,0.0000,0.0000,0.0141,0.036,2.7598,0.0491,0.9447,0.0426,0.3569,0.0653
50000,2937,1.090,1.460,20.39,93711,84122,0,8754,25,1030347,1222943.9,654971.9,0.027,0.848,0.048,0.076,93,31.00,14.34,2.08,3.13,7.58,5.37,0.14,0.97,9.95,7.44,1.36,1.87,0.241,0.130,2203,0.061,0.038,0.956,0.000,0.005,134439,88918,5,0.473,0.147,0.038,1211235,0.149,2.687,0.162,120.22,69845,399,0.636,0.221,0.210,24349321,1.56,2.09,0.254,0.725,0.381,12.0,32.0,50.0,162.0,57999,0.221,0.00,0.0042,0.096,670,0.677,0.000,0.516,0.334,3.77,4.69,4.63,1.40,0.394,1.83,1.14,1.66,0.687,0.00296,68.44,30.5212,923.95,80135.4,140135.6,2.854,18.8821,271.337,0.000,1.000,0.047,96.6,116.361,128.933,3842,21026.2,27.28,102.354,4.92,16.080,492.5,8.255,0.134,2.00,10.5407,30958.0,0.8508,0.4531,19.75,1.599,0.427,1.5488,0.0000,0.221,0.205,0.107,0.0000,5.18,1.11,6,16,36,81,109.7724,0.0019,0.5056,0.0000,0.0000,46.1572,100.00,53.1945,330.5545,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0022,0.0009,0.000002,270,2.0605,0.1045,0.0531,72,224,902,0.0000,0.0000,0.0074,0.026,5.4834,0.3107,2.0295,0.0463,0.2546,0.0932
60000,2264,1.245,1.182,12.78,28341,27382,0,1564,19,341248,473196.9,211327.6,0.027,0.817,0.109,0.047,153,33.95,14.84,2.41,2.70,8.68,5.66,0.23,1.17,12.76,8.32,1.94,1.88,0.250,0.124,1908,0.028,0.061,0.927,0.003,0.010,34268,24387,4,0.810,0.061,0.081,822922,0.147,2.403,0.125,45.39,14898,697,0.619,0.154,0.205,5531024,1.61,2.42,0.207,0.755,0.568,13.5,33.0,51.8,103.9,54524,0.208,0.00,0.0016,0.087,571,0.515,0.000,0.483,0.249,4.35,5.29,5.26,1.97,0.577,1.91,1.13,1.75,0.526,0.00225,11.32,7.7250,712.94,92791.2,140135.6,1.777,5.0272,101.350,0.000,1.000,0.262,78.4,44.866,41.889,3263,16773.1,18.62,33.497,5.77,3.233,316.0,1.362,0.135,1.99,10.3975,23539.8,0.6223,0.4855,24.08,1.371,0.319,0.4512,0.0000,0.389,0.168,0.197,0.0000,5.88,0.95,8,24,37,64,41.4361,0.0004,0.4660,0.0000,0.0000,12.2100,100.00,91.3887,239.8292,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0022,0.0010,0.000002,49,0.4705,0.0649,0.0652,76,247,1055,0.0000,0.0000,0.0131,0.041,2.3443,0.0709,0.7733,0.0486,0.3708,0.0622
70000,3015,1.041,1.426,23.51,95802,87226,0,7633,56,1091326,1220761.2,691525.4,0.016,0.838,0.079,0.067,86,30.32,13.02,1.30,2.35,6.74,4.60,0.09,0.88,9.67,6.63,0.95,1.68,0.222,0.115,1957,0.106,0.057,0.936,0.001,0.006,141984,98526,5,0.342,0.180,0.028,1500320,0.146,2.646,0.156,120.89,69081,400,0.634,0.212,0.162,23478417,1.34,1.75,0.351,0.630,0.269,13.3,32.0,48.4,104.0,53677,0.205,0.00,0.0042,0.103,726,0.664,0.000,0.560,0.353,3.49,4.43,4.37,0.97,0.276,1.50,1.08,1.42,0.676,0.00285,72.49,30.1903,852.55,74769.2,140135.6,0.859,17.1137,272.708,0.000,1.000,0.040,91.9,115.924,126.942,3797,20515.8,16.98,101.343,5.04,13.951,490.4,7.553,0.136,2.00,12.2510,36936.8,1.0270,0.4631,17.80,1.738,0.367,1.5488,0.0000,0.183,0.206,0.071,0.0000,4.83,1.06,7,16,34,64,109.3934,0.0013,0.4945,0.0000,0.0000,45.5611,100.00,58.4686,329.2834,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0022,0.0010,0.000002,136,1.3359,0.1294,0.0452,76,233,874,0.0000,0.0000,0.0116,0.034,6.7640,0.1764,2.4395,0.0461,0.2659,0.0901
80000,2399,1.179,1.231,12.30,31331,29998,0,1868,14,368097,474962.8,228625.6,0.018,0.857,0.083,0.042,138,31.59,14.13,1.91,1.91,7.62,5.18,0.62,1.62,11.50,7.26,1.98,1.85,0.237,0.128,1928,0.044,0.051,0.940,0.002,0.007,37446,27125,4,0.816,0.001,0.326,2615453,0.091,2.455,0.131,45.60,15506,646,0.621,0.172,0.216,6295354,1.52,2.51,0.145,0.769,0.589,12.0,32.0,48.5,98.0,51933,0.198,0.00,0.0017,0.088,587,0.512,0.000,0.501,0.237,4.10,5.05,4.97,1.99,0.590,1.77,1.09,1.65,0.522,0.00215,10.95,8.3164,630.60,92837.7,140135.6,1.799,5.4109,103.029,0.000,1.000,0.251,78.6,45.308,43.042,3319,17536.3,18.63,34.527,5.42,3.314,337.9,1.393,0.135,2.00,9.4666,22710.4,0.6321,0.4906,21.65,1.416,0.282,0.4512,0.0000,0.385,0.170,0.118,0.0000,5.64,0.79,7,22,35,63,41.7859,0.0014,0.4764,0.0000,0.0000,12.2724,100.00,90.2448,241.0613,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0022,0.0010,0.000002,67,0.5271,0.0367,0.0640,76,247,1064,0.0000,0.0000,0.0116,0.034,2.5722,0.0887,0.9015,0.0488,0.3795,0.0641
90000,2776,1.201,1.914,21.62,105529,93294,0,11650,21,1256920,1212000.9,787273.8,0.014,0.858,0.058,0.071,90,32.51,17.91,2.28,3.45,7.69,7.32,0.23,1.08,8.40,7.07,1.29,1.94,0.221,0.142,2068,0.052,0.035,0.947,0.004,0.014,154675,105753,6,0.432,0.130,0.104,4819528,0.098,3.032,0.216,121.19,73426,445,0.626,0.197,0.278,24449493,1.69,2.54,0.224,0.706,0.346,10.1,32.0,56.3,137.7,51622,0.197,0.00,0.0052,0.085,737,0.646,0.000,0.536,0.344,3.55,4.48,4.58,1.34,0.359,1.85,1.19,2.00,0.659,0.00341,70.45,34.0668,1297.37,79289.4,140135.6,1.839,20.3561,274.888,0.000,1.000,0.019,85.4,114.051,128.382,4782,27860.8,20.93,101.802,4.82,14.574,822.1,7.639,0.134,2.00,8.7387,24258.8,0.7948,0.4719,18.60,1.705,0.339,1.5488,0.0000,0.218,0.196,0.069,0.0000,5.17,1.16,6,16,35,64,106.7522,0.0030,0.4838,0.0000,0.0000,45.7000,100.00,55.9129,331.7306,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0023,0.0010,0.000003,187,1.3963,0.0544,0.0426,70,220,834,0.0000,0.0000,0.0119,0.037,8.1724,0.1904,2.8452,0.0385,0.2807,0.1095
100000,2567,1.136,1.283,15.12,34149,31283,0,3038,11,444155,477633.9,252661.6,0.014,0.872,0.072,0.042,131,31.74,13.94,1.84,2.04,7.66,5.10,0.65,1.82,10.95,7.28,1.71,1.84,0.238,0.126,2072,0.027,0.050,0.939,0.005,0.007,40473,29182,2,0.714,0.024,0.275,3309141,0.093,2.521,0.140,45.01,17129,513,0.569,0.150,0.233,6076057,1.49,2.25,0.175,0.755,0.518,12.6,32.0,48.6,98.0,54180,0.207,0.00,0.0017,0.095,614,0.500,0.000,0.493,0.231,4.01,4.96,4.89,1.73,0.521,1.72,1.09,1.61,0.513,0.00217,10.84,8.5147,580.99,90625.7,140135.6,1.666,6.4697,102.334,0.000,1.000,0.240,86.1,43.781,42.508,3404,18504.9,17.04,35.090,5.48,4.112,394.3,1.586,0.134,2.00,9.2908,23849.6,0.6541,0.4649,21.11,1.486,0.327,0.4512,0.0000,0.348,0.176,0.070,0.0000,5.49,0.89,7,20,35,64,39.9139,0.0037,0.4912,0.0000,0.0000,12.3062,100.00,89.9026,230.2408,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3458,0.0000,0.0000,0.0024,0.0010,0.000002,26,0.2919,0.0366,0.0406,72,230,863,0.0000,0.0000,0.0132,0.044,3.0107,0.0414,0.9645,0.0514,0.3884,0.0604
