step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel
100000,1.29,35,0,0,0,1,0,1.00,20,0.000,3364,0.00,184.94,42.04,225,2,0,0,1.00,1.00,1.00,1,1,1,37.5,3.398,1,1.294,0.457,6,1.000,10,47.45
100000,3.88,35,1,0,0,1,0,2.00,18,0.000,3077,0.00,151.87,32.43,225,1,1,0,3.00,1.00,2.00,1,2,1,28.1,5.051,2,1.294,0.457,6,1.000,6,22.22
100000,16.00,16,0,4,0,4,0,1.00,0,0.250,2991,0.00,92.86,80.70,804,1,1,0,1.00,1.00,1.00,2,4,4,36.8,32.595,8,2.000,0.078,4,1.000,5,55.19
100000,16.83,36,3,6,0,1,3,2.12,8,0.357,2848,0.00,157.71,56.76,225,0,0,3,3.00,1.00,2.20,2,5,3,26.3,24.264,10,1.294,0.457,6,1.000,13,10.68
100000,9.06,35,2,1,0,2,0,1.86,10,0.110,2805,0.00,143.90,25.71,225,2,1,0,2.00,2.00,1.67,2,3,4,40.8,8.439,5,1.294,0.457,6,1.000,4,18.98
100000,3.88,36,0,0,0,3,0,1.00,16,0.000,2791,0.00,169.52,33.67,225,2,2,0,1.00,1.00,1.00,2,3,1,55.0,9.188,3,1.294,0.457,6,1.000,1,17.24
100000,3.88,36,0,1,0,2,0,1.00,16,0.258,2786,0.00,171.35,23.15,225,2,2,0,1.00,1.00,1.00,2,1,3,51.9,12.675,3,1.294,0.457,6,1.000,2,16.09
100000,22.00,35,1,5,0,10,2,1.27,2,0.227,2741,0.00,147.28,28.16,225,2,1,2,1.40,1.00,1.33,4,6,5,53.9,26.647,16,1.294,0.457,6,1.000,7,28.17
100000,12.94,35,3,2,0,2,1,2.71,10,0.155,2659,-0.00,124.61,12.04,225,0,0,1,2.50,1.50,3.67,2,3,4,20.6,13.033,7,1.294,0.457,6,1.000,3,17.84
100000,8.00,16,0,4,0,0,0,1.00,4,0.500,2552,0.00,50.79,66.50,804,0,1,0,1.00,1.00,1.00,3,2,4,25.3,2.590,4,2.000,0.051,4,1.000,3,24.02
100000,14.00,16,0,3,0,4,0,1.00,2,0.214,2493,0.00,84.44,67.01,804,0,0,0,1.00,1.00,1.00,3,3,4,20.1,19.120,7,2.000,0.056,4,1.000,2,11.76
100000,8.00,16,0,2,0,2,0,1.00,6,0.250,2356,0.00,68.11,51.76,804,2,0,0,1.00,1.00,1.00,3,3,2,41.4,23.563,4,2.000,0.105,4,1.000,2,37.58
100000,14.24,36,4,2,0,1,2,3.25,8,0.140,2344,0.00,97.19,45.02,225,0,0,2,3.00,2.50,3.75,2,4,4,23.0,0.452,7,1.294,0.457,6,1.000,1,41.06
100000,6.47,36,2,0,0,1,0,3.00,16,0.000,2320,0.00,89.89,29.11,225,2,0,0,3.00,2.00,3.50,1,2,2,45.5,2.321,3,1.294,0.457,6,1.000,2,31.75
100000,19.41,36,4,6,0,1,3,2.89,6,0.309,2312,0.00,91.44,68.50,225,1,0,3,3.00,2.00,3.20,2,5,4,34.1,15.044,11,1.294,0.457,6,1.000,2,25.18
100000,10.35,35,3,1,0,1,1,3.17,12,0.097,2264,0.00,162.70,26.55,225,1,1,1,3.00,2.33,3.67,1,3,3,33.5,20.290,5,1.294,0.457,6,1.000,2,1.06
100000,8.00,16,0,2,0,2,0,1.00,6,0.250,2216,0.00,66.84,31.52,804,1,1,0,1.00,1.00,1.00,2,4,1,30.9,5.247,4,2.000,0.078,4,1.000,1,47.24
100000,10.00,16,0,2,0,3,0,1.00,4,0.200,2213,0.00,60.89,32.46,804,1,0,0,1.00,1.00,1.00,2,4,2,34.1,5.779,5,2.000,0.078,4,1.000,1,22.45
100000,20.00,16,0,5,0,5,0,1.00,2,0.250,2193,0.00,70.60,98.14,804,0,1,0,1.00,1.00,1.00,1,4,3,20.2,48.225,10,2.000,0.072,4,1.000,0,20.02
100000,1.28,35,0,0,0,1,0,1.00,20,0.000,2189,0.01,138.25,28.83,225,1,0,0,1.00,1.00,1.00,1,1,1,30.9,3.804,1,1.276,0.479,6,1.000,2,28.18
100000,26.00,16,0,7,0,6,0,1.00,0,0.269,2175,0.00,65.54,126.69,804,2,0,0,1.00,1.00,1.00,4,4,4,39.3,64.746,13,2.000,0.051,4,1.000,2,33.84
100000,6.00,16,0,1,0,2,0,1.00,8,0.167,2162,0.00,58.19,27.65,804,1,0,0,1.00,1.00,1.00,2,2,2,32.3,12.696,3,2.000,0.106,4,1.000,1,21.09
100000,20.06,35,2,3,1,8,2,1.78,6,0.150,2136,0.71,77.40,70.46,225,0,1,2,1.80,1.00,2.25,3,4,5,21.8,25.656,14,1.294,0.457,6,1.000,0,21.43
100000,19.41,36,4,2,0,5,2,2.70,4,0.103,2083,0.00,107.95,28.99,225,2,0,2,2.60,1.80,3.20,3,5,5,46.1,10.742,11,1.294,0.457,6,1.000,0,27.66
