step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3790,0.00,136.62,49.70,963,1,0,0,1.00,1.00,1.00,1,1,1,31.4,0.093,1,2.000,0.994,4,1.000,13,22.98
100000,2.00,16,0,1,0,0,0,1.00,12,0.500,3716,0.00,133.26,22.94,823,1,0,0,1.00,1.00,1.00,1,1,1,32.9,3.256,1,2.000,0.994,4,1.000,13,10.90
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3707,0.00,153.55,46.83,823,0,0,0,1.00,1.00,1.00,1,1,1,6.9,7.050,1,2.000,0.994,4,1.000,12,6.56
100000,6.00,16,0,0,0,3,0,1.00,8,0.000,3679,0.00,143.02,82.02,963,0,0,0,1.00,1.00,1.00,1,2,2,23.7,23.406,3,2.000,0.994,4,1.000,12,23.80
100000,4.00,16,0,0,0,2,0,1.00,10,0.000,3625,0.00,115.10,33.84,959,0,0,0,1.00,1.00,1.00,2,1,2,15.1,0.502,2,2.000,0.996,4,1.000,12,11.37
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3574,0.00,114.82,26.46,945,0,0,0,1.00,1.00,1.00,1,1,1,10.3,1.098,1,2.000,0.991,4,1.000,12,12.81
100000,4.00,16,0,0,0,2,0,1.00,8,0.000,3567,0.00,132.23,56.94,963,0,0,0,1.00,1.00,1.00,2,2,2,23.1,16.920,2,2.000,0.999,4,1.000,12,12.73
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3555,0.00,148.78,48.38,1006,1,0,0,1.00,1.00,1.00,1,1,1,30.8,0.574,1,2.000,0.996,4,1.000,13,12.67
100000,4.00,16,0,2,0,0,0,1.00,10,0.500,3542,0.00,149.64,17.25,963,0,0,0,1.00,1.00,1.00,1,1,2,20.8,9.723,2,2.000,0.978,4,1.000,12,8.98
100000,2.00,16,0,1,0,0,0,1.00,12,0.500,3542,0.00,131.20,64.45,873,0,0,0,1.00,1.00,1.00,1,1,1,22.7,5.572,1,2.000,0.990,4,1.000,11,11.43
100000,6.00,16,0,0,0,3,0,1.00,6,0.000,3490,0.00,115.87,58.07,651,2,0,0,1.00,1.00,1.00,2,3,2,49.9,7.328,3,2.000,0.990,4,1.000,12,33.55
100000,4.00,16,0,0,0,2,0,1.00,8,0.000,3477,0.00,128.51,41.15,963,0,0,0,1.00,1.00,1.00,2,2,2,13.7,12.113,2,2.000,0.998,4,1.000,14,4.96
