step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel
100000,9.86,36,4,0,0,0,0,4.80,14,0.000,2653,0.00,101.48,31.42,67,2,0,0,3.00,3.00,12.00,1,1,4,45.8,3.278,4,1.232,0.357,6,1.000,3,45.19
100000,18.48,36,6,1,0,2,1,3.70,4,0.054,2456,0.00,102.19,14.57,67,0,0,1,3.00,2.33,5.25,4,4,6,19.3,4.284,9,1.232,0.357,6,1.000,2,32.90
100000,13.55,36,4,0,0,3,0,3.43,10,0.000,2289,0.00,110.20,83.64,67,2,0,0,3.00,2.00,4.67,2,3,4,39.6,6.831,7,1.232,0.357,6,1.000,1,66.97
100000,30.80,36,5,7,0,8,3,2.04,0,0.227,2194,0.00,88.53,26.21,67,0,1,3,2.67,1.33,2.08,4,6,6,25.4,9.345,20,1.232,0.357,6,1.000,2,57.88
100000,30.80,36,6,6,0,7,3,3.27,2,0.195,2117,0.00,92.74,44.89,67,0,1,3,3.00,1.67,4.40,4,5,6,25.5,40.391,19,1.232,0.357,6,1.000,0,48.66
100000,16.02,36,5,1,0,2,0,3.56,6,0.062,2099,0.00,106.58,47.88,67,2,2,0,3.20,3.20,4.00,3,4,5,40.7,8.589,8,1.232,0.357,6,1.000,3,43.35
100000,20.94,36,6,2,0,3,1,3.70,4,0.095,2002,0.00,91.50,81.59,67,0,0,1,3.00,2.33,5.25,3,4,6,26.3,13.191,11,1.232,0.357,6,1.000,1,44.15
100000,11.09,36,3,0,0,3,0,3.00,12,0.000,1651,0.00,42.27,67.76,67,0,2,0,2.50,1.50,5.00,3,2,4,12.3,2.676,6,1.232,0.357,6,1.000,0,48.50
100000,8.61,36,0,2,0,5,0,1.00,10,0.232,1650,0.00,118.83,9.58,67,1,0,0,1.00,1.00,1.00,3,5,2,37.8,12.280,7,1.230,0.347,6,1.000,2,49.11
100000,4.93,36,1,0,0,2,0,1.75,16,0.000,1616,0.00,54.06,63.84,67,0,0,0,3.00,1.00,1.67,2,3,1,20.1,5.027,3,1.232,0.357,6,1.000,0,5.88
100000,29.57,36,4,7,0,9,1,1.91,2,0.237,1611,0.00,65.60,44.92,67,2,1,1,2.33,1.33,2.00,4,5,6,39.6,3.240,20,1.232,0.357,6,1.000,1,45.16
100000,36.96,36,5,9,0,11,3,1.96,0,0.244,1574,4.50,81.97,59.58,67,2,1,3,2.67,1.00,2.08,4,6,6,41.2,58.648,25,1.232,0.357,6,1.000,0,46.35
100000,22.18,36,3,5,0,7,2,2.22,6,0.225,1497,0.00,71.58,53.67,67,0,1,2,3.00,1.00,2.33,2,6,3,12.6,20.711,15,1.232,0.357,6,1.000,1,61.00
100000,27.10,36,6,1,0,9,1,3.50,4,0.037,1480,0.00,51.34,21.24,67,0,0,1,3.00,1.67,5.25,3,4,6,11.1,2.208,16,1.232,0.357,6,1.000,0,8.87
