step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel
100000,4.00,16,0,2,0,0,0,1.00,8,0.500,3369,0.00,90.97,109.92,511,1,0,0,1.00,1.00,1.00,2,2,2,33.8,1.183,2,2.000,0.967,4,1.000,12,43.17
100000,6.00,16,0,1,0,2,0,1.00,6,0.167,3303,0.03,74.43,113.57,511,1,0,0,1.00,1.00,1.00,1,3,2,31.1,5.338,3,2.000,0.967,4,1.000,11,66.60
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3282,0.00,88.39,228.90,511,2,0,0,1.00,1.00,1.00,1,1,1,43.3,3.623,1,2.000,0.967,4,1.000,10,43.79
100000,16.00,16,0,5,0,3,0,1.00,0,0.312,3219,0.00,75.05,176.56,511,0,0,0,1.00,1.00,1.00,4,4,4,8.2,30.679,8,2.000,0.967,4,1.000,7,57.79
100000,12.00,16,0,4,0,2,0,1.00,0,0.333,3211,0.00,119.24,108.12,511,1,0,0,1.00,1.00,1.00,3,4,4,35.9,10.434,6,2.000,0.967,4,1.000,7,48.66
100000,10.00,16,0,2,0,3,0,1.00,4,0.200,3206,0.02,82.69,109.64,511,1,0,0,1.00,1.00,1.00,3,4,2,33.6,12.748,5,2.000,0.967,4,1.000,8,32.02
100000,18.00,16,0,4,0,5,0,1.00,0,0.222,3173,-0.00,88.35,157.62,511,0,2,0,1.00,1.00,1.00,2,4,4,20.4,6.324,9,2.000,0.968,4,1.000,5,50.45
100000,4.00,16,0,2,0,0,0,1.00,10,0.500,3170,0.00,61.68,199.01,511,0,0,0,1.00,1.00,1.00,2,1,2,3.2,2.895,2,2.000,0.967,4,1.000,12,22.59
100000,8.00,16,0,3,0,1,0,1.00,2,0.375,3169,0.00,72.86,110.74,511,0,0,0,1.00,1.00,1.00,2,4,3,23.1,3.701,4,2.000,0.966,4,1.000,10,48.12
100000,8.00,16,0,2,0,2,0,1.00,4,0.250,3153,0.00,75.45,193.79,511,1,0,0,1.00,1.00,1.00,2,3,3,31.1,11.832,4,2.000,0.967,4,1.000,11,65.59
100000,10.00,16,0,4,0,1,0,1.00,4,0.400,3086,0.04,50.41,116.00,511,0,0,0,1.00,1.00,1.00,2,3,3,13.5,6.477,5,2.000,0.967,4,1.000,9,57.60
100000,10.00,16,0,2,0,3,0,1.00,2,0.200,3073,0.00,81.63,125.31,511,0,0,0,1.00,1.00,1.00,2,3,4,16.9,3.822,5,2.000,0.969,4,1.000,11,14.43
100000,10.00,16,0,3,0,2,0,1.00,4,0.300,3066,0.00,89.99,198.92,511,2,0,0,1.00,1.00,1.00,4,4,2,44.4,10.060,5,2.000,0.967,4,1.000,9,61.25
100000,10.00,16,0,1,0,4,0,1.00,4,0.100,3057,0.00,115.92,57.76,511,1,0,0,1.00,1.00,1.00,2,2,4,29.9,15.877,5,2.000,0.970,4,1.000,9,64.45
100000,12.00,16,0,5,0,1,0,1.00,2,0.417,3051,0.00,88.07,169.82,511,0,0,0,1.00,1.00,1.00,2,3,4,18.5,15.445,6,2.000,0.967,4,1.000,8,44.39
100000,16.00,16,0,3,0,5,0,1.00,0,0.188,3046,0.00,94.30,127.26,511,2,0,0,1.00,1.00,1.00,3,4,4,37.8,4.610,8,2.000,0.967,4,1.000,8,35.37
100000,10.00,16,0,4,0,1,0,1.00,4,0.400,3040,0.00,54.59,182.21,511,1,0,0,1.00,1.00,1.00,2,3,3,33.5,14.013,5,2.000,0.967,4,1.000,8,63.73
100000,16.00,16,0,5,0,3,0,1.00,0,0.312,3037,0.00,84.93,142.73,511,0,2,0,1.00,1.00,1.00,4,4,4,19.3,13.642,8,2.000,0.967,4,1.000,8,50.98
100000,20.00,16,0,6,0,4,0,1.00,0,0.300,3037,0.00,90.61,114.88,511,0,0,0,1.00,1.00,1.00,2,4,4,16.8,8.236,10,2.000,0.967,4,1.000,6,22.25
100000,14.00,16,0,4,0,3,0,1.00,2,0.286,3028,0.50,103.90,126.50,511,2,0,0,1.00,1.00,1.00,1,4,3,50.5,24.398,7,2.000,0.967,4,1.000,7,44.53
100000,12.00,16,0,2,0,4,0,1.00,2,0.167,3027,0.00,74.35,199.35,511,2,0,0,1.00,1.00,1.00,3,3,4,49.5,0.021,6,2.000,0.967,4,1.000,10,61.19
100000,14.00,16,0,5,0,2,0,1.00,0,0.357,3020,-0.00,84.15,159.20,511,0,0,0,1.00,1.00,1.00,3,4,4,19.1,35.037,7,2.000,0.967,4,1.000,7,60.77
100000,16.00,16,0,6,0,2,0,1.00,2,0.375,3015,0.00,76.49,64.47,511,0,0,0,1.00,1.00,1.00,4,3,4,13.2,6.372,8,2.000,0.967,4,1.000,7,7.85
100000,10.00,16,0,2,0,3,0,1.00,4,0.200,3011,0.00,96.17,155.80,511,2,0,0,1.00,1.00,1.00,2,3,3,59.3,14.938,5,2.000,0.970,4,1.000,10,55.26
100000,10.00,16,0,3,0,2,0,1.00,4,0.300,3003,0.00,84.67,160.91,511,0,0,0,1.00,1.00,1.00,3,4,2,16.5,24.099,5,2.000,0.970,4,1.000,8,11.72
100000,16.00,16,0,3,0,5,0,1.00,2,0.188,3001,0.00,94.83,163.83,511,1,0,0,1.00,1.00,1.00,2,4,3,27.7,35.043,8,2.000,0.967,4,1.000,7,43.05
100000,18.00,16,0,5,0,4,0,1.00,0,0.278,2975,0.41,77.61,205.34,511,2,0,0,1.00,1.00,1.00,3,4,4,41.8,7.306,9,2.000,0.967,4,1.000,6,50.19
100000,14.00,16,0,2,0,5,0,1.00,2,0.143,2972,0.47,101.77,79.06,511,1,0,0,1.00,1.00,1.00,3,3,4,26.1,8.441,7,2.000,0.967,4,1.000,7,65.06
100000,18.00,16,0,4,0,5,0,1.00,0,0.222,2966,0.03,92.94,232.17,511,0,0,0,1.00,1.00,1.00,3,4,4,18.1,27.563,9,2.000,0.970,4,1.000,7,18.66
100000,20.00,16,0,5,0,5,0,1.00,0,0.250,2942,1.41,85.87,130.28,511,0,0,0,1.00,1.00,1.00,3,4,4,23.9,8.384,10,2.000,0.967,4,1.000,6,54.33
100000,16.00,16,0,5,0,3,0,1.00,2,0.312,2936,0.00,57.36,156.67,511,0,0,0,1.00,1.00,1.00,2,4,3,20.8,16.057,8,2.000,0.967,4,1.000,7,35.20
100000,24.00,16,0,5,0,7,0,1.00,0,0.208,2927,0.00,85.36,164.61,511,2,0,0,1.00,1.00,1.00,4,4,4,40.8,19.855,12,2.000,0.967,4,1.000,4,52.65
100000,16.00,16,0,2,0,6,0,1.00,2,0.125,2915,0.00,94.62,151.25,511,0,0,0,1.00,1.00,1.00,4,3,4,25.5,18.766,8,2.000,0.970,4,1.000,8,73.25
100000,20.00,16,0,7,0,3,0,1.00,0,0.350,2894,0.01,53.69,278.51,511,1,0,0,1.00,1.00,1.00,2,4,4,29.8,13.265,10,2.000,0.967,4,1.000,5,61.13
100000,24.00,16,0,6,0,6,0,1.00,0,0.250,2875,0.00,72.05,114.95,511,0,2,0,1.00,1.00,1.00,4,4,4,22.0,18.465,12,2.000,0.967,4,1.000,3,38.63
100000,22.00,16,0,7,0,4,0,1.00,0,0.318,2851,0.00,88.80,78.25,511,0,1,0,1.00,1.00,1.00,1,4,4,12.4,21.458,11,2.000,0.967,4,1.000,4,51.52
100000,20.00,16,0,7,0,3,0,1.00,0,0.350,2836,0.00,72.14,156.09,511,0,0,0,1.00,1.00,1.00,2,4,4,1.0,22.424,10,2.000,0.967,4,1.000,5,60.06
100000,16.00,16,0,3,0,5,0,1.00,0,0.188,2827,0.00,72.16,109.61,511,0,0,0,1.00,1.00,1.00,4,4,4,19.4,10.080,8,2.000,0.967,4,1.000,7,3.47
100000,28.00,16,0,8,0,6,0,1.00,0,0.286,2819,3.00,86.18,162.38,511,1,0,0,1.00,1.00,1.00,4,4,4,33.8,55.632,14,2.000,0.970,4,1.000,2,27.17
100000,18.00,16,0,5,0,4,0,1.00,0,0.278,2788,2.84,82.18,100.41,511,0,0,0,1.00,1.00,1.00,2,4,4,10.0,15.214,9,2.000,0.967,4,1.000,6,62.24
100000,28.00,16,0,5,0,9,0,1.00,0,0.179,2757,0.00,85.68,66.29,511,0,1,0,1.00,1.00,1.00,3,4,4,18.6,21.505,14,2.000,0.950,4,1.000,2,46.50
100000,14.00,16,0,3,0,4,0,1.00,2,0.214,2755,1.05,84.07,115.36,511,0,0,0,1.00,1.00,1.00,2,4,3,16.8,13.606,7,2.000,0.968,4,1.000,8,30.85
100000,22.00,16,0,6,0,5,0,1.00,0,0.273,2744,0.00,63.84,162.71,511,0,0,0,1.00,1.00,1.00,4,4,4,18.9,23.994,11,2.000,0.967,4,1.000,4,37.50
100000,22.00,16,0,7,0,4,0,1.00,0,0.318,2729,3.70,71.50,79.87,511,1,0,0,1.00,1.00,1.00,4,4,4,32.1,18.422,11,2.000,0.967,4,1.000,4,65.65
100000,24.00,16,0,6,0,6,0,1.00,0,0.250,2702,0.00,76.15,118.66,511,1,2,0,1.00,1.00,1.00,2,4,4,32.1,12.191,12,2.000,0.967,4,1.000,3,61.65
100000,22.00,16,0,6,0,5,0,1.00,0,0.273,2692,3.32,72.86,211.16,511,0,0,0,1.00,1.00,1.00,3,4,4,20.7,24.377,11,2.000,0.967,4,1.000,4,31.94
100000,14.00,16,0,6,0,1,0,1.00,0,0.429,2661,0.00,74.23,83.80,511,0,1,0,1.00,1.00,1.00,3,4,4,16.5,0.676,7,2.000,0.967,4,1.000,5,63.81
100000,24.00,16,0,7,0,5,0,1.00,0,0.292,2661,0.00,85.67,109.45,511,0,0,0,1.00,1.00,1.00,4,4,4,22.7,29.629,12,2.000,0.967,4,1.000,3,13.14
100000,20.00,16,0,6,0,4,0,1.00,0,0.300,2651,0.00,48.86,130.54,511,2,1,0,1.00,1.00,1.00,3,4,4,39.9,2.091,10,2.000,0.967,4,1.000,5,43.56
100000,22.00,16,0,5,0,6,0,1.00,0,0.227,2635,0.00,51.04,117.75,511,1,1,0,1.00,1.00,1.00,3,4,4,29.8,27.124,11,2.000,0.967,4,1.000,4,71.67
100000,20.00,16,0,5,0,5,0,1.00,0,0.250,2625,0.18,74.70,100.83,511,1,1,0,1.00,1.00,1.00,4,4,4,35.4,13.720,10,2.000,0.970,4,1.000,6,69.17
100000,18.00,16,0,7,0,2,0,1.00,0,0.389,2621,0.00,63.58,92.58,511,1,0,0,1.00,1.00,1.00,2,4,4,30.2,2.360,9,2.000,0.967,4,1.000,6,59.26
100000,24.00,16,0,6,0,6,0,1.00,0,0.250,2617,1.35,78.97,216.18,511,0,0,0,1.00,1.00,1.00,2,4,4,20.1,73.857,12,2.000,0.969,4,1.000,4,62.07
100000,22.00,16,0,4,0,7,0,1.00,0,0.182,2609,3.01,106.93,111.45,511,0,0,0,1.00,1.00,1.00,4,4,4,3.1,34.860,11,2.000,0.970,4,1.000,5,21.54
100000,24.00,16,0,3,0,9,0,1.00,0,0.125,2584,0.00,81.95,98.73,511,0,0,0,1.00,1.00,1.00,4,4,4,19.5,32.810,12,2.000,0.975,4,1.000,4,14.56
100000,14.00,16,0,6,0,1,0,1.00,4,0.429,2580,0.00,86.05,127.65,511,1,0,0,1.00,1.00,1.00,2,3,3,29.1,23.287,7,2.000,0.968,4,1.000,6,67.20
