step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved
10000,2645,1.022,1.398,14.98,137255,108736,0,26855,482,2397683,1234888.2,1118177.0,0.071,0.784,0.070,0.076,91,22.68,9.78,1.97,3.50,6.03,4.69,0.16,1.06,10.87,8.63,0.62,1.15,0.264,0.177,2113,0.008,0.043,0.939,0.005,0.012,267288,206703,2,0.556,0.255,0.042,3393603,0.165,2.625,0.151,109.75,110741,229,0.466,0.183,0.283,17800077,1.53,2.36,0.226,0.755,0.250,8.6,24.0,32.0,77.3,50311,0.192,0.00,0.0043,0.115,658,0.620,0.000,0.484,0.501,3.52,4.60,4.56,0.65,0.262,1.72,1.21,1.60,0.650,0.00397,70.74,59.0167,673.49,97376.5,140221.4,0.109,33.8796,264.017,0.000,1.000,0.053,82.5,104.475,119.067,3725,20066.1,17.19,109.837,6.03,18.864,535.7,8.362,0.135,2.00,6.0300,15949.3,0.5487,0.3273,19.02,1.319,0.607,1.5308,0.0000,0.697,0.218,0.791,0.0000,5.17,1.05,6,16,36,64,95.5842,0.0018,0.4726,0.0000,0.0000,51.3445,100.00,70.5982,268.3605,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0033,0.0014,0.000005,3,0.2066,0.0208,0.0140,53,181,473,0.0000,0.0000,0.0115,0.029,10.1166,0.0122,3.5687,0.0265,0.2829,0.1157
20000,2517,1.043,1.393,12.17,50096,45852,0,4344,22,604094,489450.6,266321.7,0.067,0.814,0.069,0.051,139,23.19,10.75,2.66,4.22,6.48,5.16,0.42,1.99,11.88,9.55,0.90,1.38,0.272,0.178,2056,0.006,0.041,0.946,0.002,0.011,62428,45257,3,0.697,0.157,0.099,898340,0.149,2.631,0.152,47.08,26363,352,0.441,0.189,0.280,5910449,1.66,2.63,0.192,0.751,0.333,8.4,24.0,33.6,74.3,53969,0.206,0.00,0.0016,0.110,620,0.484,0.000,0.382,0.266,3.76,4.94,4.85,0.93,0.339,2.01,1.25,1.70,0.504,0.00189,11.29,9.7518,726.56,97808.9,140221.4,0.004,6.1930,105.174,0.000,1.000,0.214,81.5,45.296,42.665,3689,20149.2,11.84,35.013,5.60,4.361,490.2,1.749,0.133,2.01,6.2412,15709.0,0.5257,0.3398,21.44,1.175,0.545,0.4692,0.0000,0.676,0.214,0.853,0.0000,5.55,1.09,6,19,36,64,41.9417,0.0028,0.4672,0.0000,0.0000,14.1302,100.00,99.3890,216.3910,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0033,0.0015,0.000003,6,0.1172,0.0159,0.0183,56,179,598,0.0000,0.0000,0.0036,0.006,3.8646,0.0064,1.3022,0.0318,0.3816,0.0766
30000,2657,0.985,1.079,11.74,133449,118460,0,14727,117,1714701,1197065.8,839582.0,0.048,0.806,0.068,0.078,102,24.03,10.66,2.28,3.59,6.67,4.88,0.17,1.03,13.37,9.77,0.93,1.35,0.276,0.170,2205,0.007,0.037,0.944,0.004,0.016,222014,165133,5,0.747,0.149,0.048,2352444,0.142,2.307,0.113,115.74,88308,297,0.490,0.207,0.234,20169257,1.58,2.50,0.189,0.743,0.361,9.6,25.0,36.6,85.3,59775,0.228,0.00,0.0034,0.102,626,0.623,0.000,0.528,0.420,3.93,5.10,4.98,0.98,0.380,1.88,1.21,1.63,0.644,0.00286,68.29,39.4594,752.40,99748.1,140221.4,0.006,19.7578,266.624,0.000,1.000,0.080,92.0,110.825,124.214,2930,15073.3,15.17,97.722,5.55,14.654,301.3,7.842,0.135,2.00,7.0793,18809.7,0.5129,0.3414,22.50,1.129,0.503,1.5308,0.0000,0.662,0.194,0.877,0.0000,5.66,1.01,7,21,36,64,104.9555,0.0074,0.4987,0.0000,0.0000,52.1217,100.00,77.9997,297.1314,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0032,0.0014,0.000004,5,0.2558,0.0294,0.0163,58,193,578,0.0000,0.0000,0.0055,0.009,10.8292,0.0195,3.7233,0.0388,0.2900,0.1178
40000,2703,1.184,1.496,21.97,45428,40762,0,4600,14,548111,484635.7,249880.2,0.062,0.747,0.100,0.090,143,26.57,10.84,0.54,1.91,7.48,4.99,0.43,1.82,10.16,10.20,0.09,0.50,0.272,0.157,1474,0.051,0.051,0.916,0.007,0.026,56507,38835,4,0.506,0.250,0.114,1231702,0.153,2.719,0.162,47.33,24811,313,0.456,0.244,0.364,4739897,1.09,2.14,0.442,0.549,0.036,10.0,30.5,38.8,85.3,50297,0.192,0.00,0.0018,0.119,651,0.440,0.000,0.378,0.263,3.42,4.37,4.38,0.13,0.056,1.11,1.07,1.09,0.461,0.00192,11.78,9.4474,740.54,89898.6,140221.4,0.010,5.6918,102.605,0.000,1.000,0.105,80.1,44.281,42.322,3885,21549.2,24.19,33.620,5.73,3.624,599.8,1.466,0.134,2.00,7.8025,21090.1,0.6558,0.3496,18.61,1.610,0.517,0.4692,0.0000,0.847,0.204,0.972,0.0000,4.91,1.24,7,16,36,64,40.8058,0.0054,0.4458,0.0000,0.0000,14.1288,100.00,100.2902,212.4045,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0030,0.0014,0.000003,6,0.2096,0.0377,0.0257,52,169,661,0.0000,0.0000,0.0038,0.006,2.8557,0.0219,0.9664,0.0163,0.4050,0.0724
50000,3121,0.982,1.470,27.58,116307,99388,0,16221,51,1196421,1205230.8,653231.7,0.059,0.788,0.070,0.083,83,27.27,9.25,0.64,2.53,6.96,3.78,0.20,1.25,8.75,7.11,0.26,0.89,0.253,0.116,1606,0.109,0.066,0.921,0.002,0.012,167903,116633,8,0.624,0.087,0.057,2978141,0.177,2.727,0.162,116.44,87143,245,0.546,0.278,0.123,21132546,1.14,1.20,0.448,0.544,0.087,13.0,30.0,32.0,97.1,51660,0.197,0.00,0.0044,0.120,792,0.628,0.000,0.419,0.338,3.05,4.22,4.15,0.29,0.100,1.22,1.06,1.14,0.642,0.00296,60.62,31.3817,1104.54,67165.8,140221.4,1.553,20.6511,260.992,0.000,1.000,0.007,92.1,112.041,127.696,3826,20955.4,48.70,99.039,4.80,18.524,492.5,8.767,0.134,2.00,14.1356,44117.3,1.1829,0.3809,16.55,1.787,0.428,1.5308,0.0000,0.916,0.164,0.961,0.0000,4.48,0.99,7,16,30,64,105.1070,0.0081,0.4877,0.0000,0.0000,53.6693,100.00,58.4537,304.8034,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0025,0.0011,0.000003,229,1.9360,0.1772,0.0357,53,185,671,0.0000,0.0000,0.0032,0.006,4.7584,0.3023,2.0843,0.0548,0.2847,0.1071
60000,2529,1.001,1.251,24.70,28925,27009,0,2075,9,216123,501219.2,163469.3,0.080,0.705,0.131,0.084,141,26.00,9.96,0.69,2.24,7.02,4.07,0.31,1.37,8.68,6.23,0.44,1.14,0.271,0.140,1505,0.139,0.069,0.906,0.002,0.023,31245,20843,9,0.303,0.055,0.095,1050866,0.195,2.458,0.133,48.28,18225,385,0.756,0.314,0.215,4973280,1.13,1.75,0.416,0.580,0.142,10.0,30.0,32.9,95.9,42232,0.161,0.00,0.0023,0.110,575,0.450,0.000,0.282,0.192,3.15,4.29,4.19,0.45,0.146,1.23,1.05,1.13,0.458,0.00198,11.06,11.4506,763.47,84178.0,140221.4,0.098,7.4176,103.051,0.000,1.000,0.059,72.7,45.858,43.872,3428,17674.4,17.00,35.665,4.75,3.290,337.6,1.341,0.135,1.99,12.5076,31631.6,1.0085,0.4788,16.70,1.677,0.478,0.4692,0.0000,0.895,0.148,0.992,0.0000,4.68,1.02,6,16,32,64,42.6391,0.0182,0.4650,0.0000,0.0000,14.1424,100.00,89.2399,234.6205,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0018,0.0008,0.000002,424,1.8890,0.1190,0.0996,59,203,1474,0.0000,0.0000,0.0024,0.003,0.9653,0.3647,0.6066,0.0467,0.4158,0.0693
70000,3348,0.920,1.344,33.83,84130,73696,0,8393,2,516675,1235637.1,401010.2,0.040,0.822,0.082,0.055,79,27.11,7.80,0.01,0.19,5.68,2.63,0.28,1.18,7.72,2.95,0.00,0.00,0.208,0.089,1399,0.148,0.070,0.919,0.001,0.010,95589,56001,17,0.380,0.208,0.103,3739991,0.184,2.553,0.148,121.93,63948,196,0.776,0.355,0.034,23253071,1.00,0.73,0.558,0.442,0.000,14.0,31.0,32.0,42.0,45807,0.175,0.00,0.0048,0.113,820,0.633,0.000,0.308,0.187,2.75,3.81,3.82,0.01,0.003,1.01,1.00,1.00,0.638,0.00272,55.15,31.0533,1437.21,50969.1,140221.4,6.474,17.8207,258.078,0.000,1.000,0.000,89.9,112.838,141.073,3551,18726.9,18.49,101.288,4.08,12.048,321.5,6.310,0.135,2.01,18.5946,62254.7,1.6384,0.4131,13.68,2.000,0.000,1.5308,0.0000,0.994,0.008,1.000,0.0000,4.00,0.00,7,16,16,16,106.3889,0.0330,0.4836,0.0000,0.0000,55.2020,100.00,39.6817,306.9537,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0018,0.0008,0.000002,1220,5.6412,0.3193,0.0825,55,183,1128,0.0000,0.0000,0.0001,0.000,1.0263,1.0196,1.1941,0.0774,0.2893,0.0959
80000,2681,0.992,1.279,34.25,25488,24289,0,863,0,79517,510091.1,113651.0,0.091,0.741,0.089,0.079,123,28.46,6.35,0.03,0.45,5.37,2.59,0.41,1.42,8.59,2.88,0.00,0.00,0.186,0.082,1078,0.089,0.111,0.872,0.001,0.016,21393,12313,19,0.235,0.187,0.152,2155234,0.204,2.508,0.138,49.38,17940,315,1.429,0.320,0.028,5428081,1.01,0.41,0.639,0.361,0.000,19.0,32.0,32.0,64.0,38602,0.147,0.00,0.0022,0.127,649,0.430,0.000,0.166,0.070,2.77,3.90,3.89,0.01,0.007,1.02,1.01,1.01,0.432,0.00159,8.85,15.7571,673.35,63618.5,140221.4,0.503,10.1603,100.061,0.000,1.000,0.000,72.1,43.920,48.964,3498,18330.8,29.80,39.074,3.96,3.432,335.1,1.287,0.133,2.01,19.1690,51392.1,1.5232,0.4499,14.40,2.000,0.000,0.4692,0.0000,0.992,0.026,0.999,0.0000,4.00,0.00,10,16,16,16,41.1469,0.0257,0.4651,0.0000,0.0000,14.7058,100.00,80.7100,236.9094,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0015,0.0007,0.000001,1003,3.2422,0.2063,0.1413,71,211,3043,0.0000,0.0000,0.0000,0.000,0.0719,0.6369,0.4624,0.0451,0.4647,0.0566
90000,3331,0.863,1.146,34.55,66974,61916,0,2215,0,225185,1224424.9,335447.8,0.064,0.764,0.100,0.072,96,26.87,8.18,0.03,0.35,4.95,2.46,0.17,0.89,8.34,3.20,0.00,0.05,0.184,0.087,1426,0.136,0.074,0.914,0.001,0.011,70859,39598,33,0.279,0.120,0.069,4062819,0.215,2.344,0.121,122.84,51403,273,1.490,0.276,0.028,18606880,1.01,0.79,0.548,0.452,0.001,12.0,32.0,32.0,48.0,44933,0.171,0.00,0.0044,0.115,866,0.547,0.000,0.222,0.148,2.77,3.81,3.80,0.02,0.008,1.01,1.01,1.01,0.549,0.00254,57.16,39.9954,1623.02,52275.0,140221.4,8.410,18.5858,256.675,0.000,1.000,0.001,91.5,111.009,141.653,3109,15241.5,23.54,98.451,3.97,7.885,220.3,4.543,0.135,2.00,19.3372,64412.3,1.7755,0.3999,13.49,2.000,0.000,1.5308,0.0000,0.992,0.012,1.000,0.0000,4.00,0.00,6,16,16,16,105.6604,0.0536,0.5143,0.0000,0.0000,54.5071,100.00,34.5700,303.5110,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0015,0.0007,0.000002,2193,8.1371,0.3449,0.1216,72,199,2238,0.0000,0.0000,0.0000,0.000,0.2299,1.4878,1.1364,0.1003,0.3745,0.0886
100000,2852,0.985,1.144,34.30,24605,23410,0,464,0,62580,509810.6,118897.7,0.093,0.692,0.117,0.097,130,28.19,6.90,0.06,0.57,4.93,2.56,0.40,1.36,8.84,3.06,0.00,0.03,0.173,0.086,1126,0.128,0.101,0.881,0.000,0.018,20382,11964,25,0.174,0.097,0.166,1745484,0.217,2.320,0.118,49.65,17259,393,1.900,0.226,0.029,4418098,1.02,0.52,0.637,0.363,0.001,18.0,32.0,32.0,52.0,40599,0.155,0.00,0.0020,0.122,667,0.372,0.000,0.158,0.070,2.87,3.86,3.88,0.02,0.011,1.03,1.01,1.02,0.373,0.00139,9.63,17.3636,833.48,64121.4,140221.4,0.379,9.9570,100.604,0.000,1.000,0.000,74.2,43.506,47.932,3239,15833.9,21.81,37.814,3.96,2.629,254.2,1.007,0.136,2.00,18.5372,52868.1,1.5352,0.4499,14.24,2.000,0.000,0.4692,0.0000,0.990,0.022,1.000,0.0000,4.00,0.00,9,16,16,16,41.0993,0.0244,0.4646,0.0000,0.0000,14.5862,100.00,82.3939,231.1859,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3182,0.0000,0.0000,0.0014,0.0007,0.000001,1210,3.5769,0.1974,0.1568,73,211,3239,0.0000,0.0000,0.0000,0.000,0.0535,0.7068,0.4945,0.0449,0.5235,0.0495
