step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
1000,-60,0,4200,1060.5145,658.82,110.93,48.94,772,7.29,4.138,15.555,0.5360,84.055
1000,-60,1,3529,1982.6600,1226.57,1027.28,38.67,1567,5.81,3.860,16.570,0.8852,132.386
1000,-60,2,5,3.2285,0.71,5.25,47.80,3,10.19,3.812,12.430,0.9663,152.706
1000,-50,0,5379,1230.6423,624.36,83.51,46.51,190,15.41,5.989,10.592,0.3768,107.008
1000,-50,1,2774,1532.3916,695.94,1276.41,51.28,682,14.35,5.714,11.206,0.7215,193.529
1000,-50,2,545,350.2216,117.86,702.55,71.01,186,15.50,6.037,10.629,0.8599,241.184
1000,-40,0,4782,1176.6087,484.57,90.97,51.18,28,23.44,8.657,7.050,0.3381,169.917
1000,-40,1,2611,1416.7856,555.68,1081.41,59.15,38,23.09,8.527,7.215,0.5502,271.964
1000,-40,2,688,439.6656,132.41,845.20,74.80,45,21.56,8.081,8.024,0.7139,305.296
1000,-30,0,2388,643.9281,247.57,51.00,55.94,24,29.31,11.574,5.184,0.3442,268.015
1000,-30,1,3158,1707.1823,741.19,1297.11,52.29,28,28.67,11.237,5.386,0.4821,371.304
1000,-30,2,2631,1520.9069,371.39,5126.45,70.57,67,29.07,11.612,5.435,0.6981,541.166
1000,-20,0,1374,334.4236,181.07,24.26,52.72,3,33.96,14.371,4.066,0.2707,308.069
1000,-20,1,2427,1403.8278,791.84,1081.79,51.89,2,32.94,13.727,4.280,0.4350,492.090
1000,-20,2,4418,2647.7790,757.11,12728.75,64.07,536,32.20,13.434,4.614,0.7633,765.049
1000,-10,0,1686,588.1376,559.81,38.11,53.33,22,36.66,16.054,3.447,0.2925,419.783
1000,-10,1,2259,1588.5273,1470.43,1091.33,47.70,1,35.98,15.551,3.499,0.4039,612.788
1000,-10,2,4279,2750.9843,971.58,13791.24,60.04,890,33.77,14.486,4.319,0.7810,909.097
1000,0,0,1714,564.1583,422.72,29.24,42.09,60,37.50,16.523,3.212,0.2370,389.018
1000,0,1,1914,1565.2646,1955.40,988.20,36.36,127,36.87,16.093,3.282,0.3920,661.246
1000,0,2,4739,3208.0542,1540.06,13512.09,50.01,1106,33.97,14.650,4.319,0.7248,891.398
1000,10,0,2624,752.0291,298.27,34.35,27.78,223,35.57,15.277,3.634,0.2204,321.036
1000,10,1,2677,1939.9547,1066.80,1373.44,22.28,530,35.19,15.111,3.732,0.4035,598.646
1000,10,2,4144,2772.5130,825.94,10121.85,41.98,1420,30.64,12.933,5.433,0.7042,721.517
1000,20,0,3173,553.0386,136.48,29.80,19.93,315,30.26,12.391,5.235,0.1623,156.919
1000,20,1,2583,1699.0271,371.38,1336.30,17.05,653,30.04,12.345,5.323,0.4553,467.015
1000,20,2,2689,1837.6147,458.87,5567.73,30.65,1260,27.65,11.304,6.330,0.6997,594.188
1000,30,0,5007,978.0382,253.46,83.00,13.37,502,23.47,9.211,7.591,0.2212,147.605
1000,30,1,2689,1624.8783,324.28,1192.49,6.30,698,25.68,10.098,6.621,0.5032,372.858
1000,30,2,1578,1101.2471,196.36,2607.20,9.90,699,25.01,9.784,6.861,0.7100,485.855
1000,40,0,5393,827.9054,245.19,51.61,1.73,438,16.31,6.661,10.811,0.2141,90.587
1000,40,1,2177,1359.8919,270.68,980.48,-5.39,643,20.87,8.031,8.289,0.6459,316.052
1000,40,2,600,402.7600,69.45,791.08,-3.64,205,20.85,7.870,8.110,0.7966,384.366
1000,50,0,4903,381.6717,157.28,13.05,-11.17,190,8.67,4.381,15.103,0.1745,42.939
1000,50,1,797,580.2087,144.21,332.62,-12.01,328,15.23,5.897,10.893,0.8273,256.107
1000,50,2,16,10.1696,2.59,18.87,-6.66,5,17.08,5.383,8.541,0.9280,283.460
1000,60,0,3847,104.6276,114.13,1.72,-24.96,30,1.14,2.468,19.731,0.1332,16.574
1000,60,1,8,7.2719,4.54,1.26,-8.15,2,8.29,2.600,13.182,0.9264,116.201
1000,70,0,4656,66.3481,91.92,0.48,-31.41,11,-3.15,1.385,22.500,0.1411,10.750
1000,80,0,3564,49.7418,63.24,0.22,-30.79,19,-4.69,0.783,23.764,0.1574,9.612
2000,-60,0,4229,328.4785,383.64,111.60,13.89,542,4.46,2.497,16.186,0.5483,92.094
2000,-60,1,3502,598.0145,539.02,1013.93,18.73,976,2.91,2.197,17.241,0.9062,133.529
2000,-60,2,3,0.2361,0.00,3.21,0.73,2,7.88,2.303,12.814,0.9827,180.692
2000,-50,0,5386,506.9320,596.53,82.95,20.73,166,12.91,4.385,11.039,0.3876,114.346
2000,-50,1,2772,481.9937,388.87,1272.74,17.98,370,11.86,4.138,11.668,0.7408,197.931
2000,-50,2,540,76.7546,56.24,694.99,6.18,112,12.85,4.323,11.122,0.8794,256.257
2000,-40,0,4790,599.2721,601.82,90.51,22.70,89,21.35,7.226,7.352,0.3485,177.436
2000,-40,1,2605,537.0797,343.71,1080.38,22.92,210,21.22,7.226,7.483,0.5641,277.916
2000,-40,2,686,171.5503,143.03,842.26,7.86,53,19.17,6.398,8.367,0.7289,323.753
2000,-30,0,2391,370.4593,271.46,51.15,21.58,57,27.68,10.395,5.385,0.3513,275.676
2000,-30,1,3151,1028.6865,777.37,1292.42,31.95,134,27.42,10.359,5.569,0.4918,372.728
2000,-30,2,2635,650.0530,497.33,5138.03,16.44,61,27.53,10.492,5.617,0.7083,562.883
2000,-20,0,1376,251.7176,197.16,24.29,11.46,7,32.28,13.161,4.247,0.2751,327.685
2000,-20,1,2424,1109.4404,980.84,1080.58,36.94,21,32.24,13.237,4.390,0.4393,494.663
2000,-20,2,4419,1028.4363,824.05,12763.81,20.52,125,31.32,12.780,4.710,0.7688,793.513
2000,-10,0,1688,625.9374,678.01,37.97,9.09,10,35.46,15.216,3.565,0.2922,443.710
2000,-10,1,2258,1700.0538,1922.55,1091.25,37.96,14,35.79,15.425,3.536,0.4022,619.660
2000,-10,2,4278,1267.1867,998.32,13842.09,18.33,263,33.41,14.196,4.327,0.7773,945.740
2000,0,0,1714,445.5063,565.16,28.94,7.00,4,36.81,16.132,3.303,0.2339,406.884
2000,0,1,1916,1521.1924,2027.91,988.32,37.41,38,37.22,16.335,3.217,0.3852,670.249
2000,0,2,4737,1674.1358,1290.89,13562.20,15.10,385,34.05,14.701,4.254,0.7177,923.471
2000,10,0,2629,286.7357,278.92,34.52,-0.64,69,35.29,15.336,3.771,0.2182,333.933
2000,10,1,2675,950.1013,869.77,1373.16,31.01,75,36.05,15.643,3.527,0.3966,606.883
2000,10,2,4141,829.7727,635.88,10162.40,14.70,99,31.43,13.352,5.158,0.6971,738.278
2000,20,0,3173,106.8132,105.83,29.55,-7.44,51,30.44,12.735,5.320,0.1612,159.625
2000,20,1,2582,319.7268,232.09,1334.73,16.22,46,31.24,12.970,4.946,0.4508,470.546
2000,20,2,2690,376.4985,242.49,5592.61,10.59,79,28.95,11.866,5.794,0.6952,601.879
2000,30,0,5014,252.6059,223.19,82.97,-7.09,123,24.39,9.571,7.260,0.2209,147.771
2000,30,1,2680,298.8973,188.76,1191.10,10.21,75,27.40,10.627,5.852,0.5015,373.138
