step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
1000,-60,0,4200,666.5588,656.69,110.93,48.94,186,7.29,4.138,15.555,0.5360,84.055
1000,-60,1,3529,942.1924,788.20,1027.28,38.67,354,5.81,3.860,16.570,0.8852,132.386
1000,-60,2,5,1.4301,0.44,5.25,47.80,0,10.19,3.812,12.430,0.9663,152.706
1000,-50,0,5379,885.2662,584.73,83.51,46.51,180,15.41,5.989,10.592,0.3768,107.008
1000,-50,1,2774,1085.2253,588.21,1276.41,51.28,359,14.35,5.714,11.206,0.7215,193.529
1000,-50,2,545,202.3808,58.39,702.55,71.01,63,15.50,6.037,10.629,0.8599,241.184
1000,-40,0,4782,921.2707,407.48,90.97,51.18,191,23.44,8.657,7.050,0.3381,169.917
1000,-40,1,2611,1182.7812,498.79,1081.39,59.15,319,23.09,8.527,7.215,0.5502,271.964
1000,-40,2,688,314.6728,79.66,845.20,74.80,114,21.56,8.081,8.024,0.7139,305.296
1000,-30,0,2389,574.2767,210.18,51.03,55.90,112,29.31,11.572,5.184,0.3443,268.067
1000,-30,1,3157,1461.7625,482.98,1297.02,52.32,256,28.67,11.237,5.386,0.4821,371.297
1000,-30,2,2631,1426.8285,454.61,5126.54,70.57,405,29.07,11.612,5.435,0.6981,541.166
1000,-20,0,1374,258.1493,80.37,24.26,52.72,19,33.96,14.371,4.066,0.2707,308.069
1000,-20,1,2427,1161.1862,328.84,1081.76,51.89,187,32.94,13.727,4.280,0.4350,492.090
1000,-20,2,4418,2319.7845,463.35,12730.78,64.07,848,32.20,13.434,4.614,0.7633,765.049
1000,-10,0,1686,393.4156,120.51,38.10,53.33,20,36.66,16.054,3.447,0.2925,419.783
1000,-10,1,2259,1151.5240,320.77,1091.32,47.70,120,35.98,15.551,3.499,0.4039,612.788
1000,-10,2,4279,2504.2608,797.83,13795.75,60.04,1004,33.77,14.486,4.319,0.7810,909.097
1000,0,0,1715,322.0099,116.32,29.34,42.07,18,37.50,16.522,3.212,0.2371,389.248
1000,0,1,1913,1008.4584,369.07,988.09,36.37,122,36.87,16.093,3.282,0.3919,661.182
1000,0,2,4739,2537.1650,590.11,13513.15,50.01,939,33.97,14.650,4.319,0.7248,891.398
1000,10,0,2624,515.7447,186.28,34.35,27.78,116,35.57,15.277,3.634,0.2204,321.036
1000,10,1,2677,1349.3974,257.52,1373.42,22.28,375,35.19,15.111,3.732,0.4035,598.646
1000,10,2,4144,2299.0963,691.29,10121.63,41.98,802,30.64,12.933,5.433,0.7042,721.517
1000,20,0,3173,415.7419,164.84,29.80,19.93,117,30.26,12.391,5.235,0.1623,156.919
1000,20,1,2583,1313.8291,257.10,1336.35,17.05,382,30.04,12.345,5.323,0.4553,467.015
1000,20,2,2689,1477.0505,406.30,5568.77,30.65,410,27.65,11.304,6.330,0.6997,594.188
