step,month,steps_sea,steps_fed,steps_seasonal,steps_never,torpid_sea,torpid_fed,torpid_seasonal,torpid_never,births_sea,births_fed,births_seasonal,births_never,deaths_sea,deaths_fed,deaths_seasonal,deaths_never,young_sea,young_fed,young_seasonal,young_never,grown_sea,grown_fed,grown_seasonal,grown_never,winter,winter_torpid,winter_grown,winter_grown_torpid,winter_temp,entered,fat_in,resolved,lived,moved,fed_end
91,0,2181885,1038601,387941,51699,0,0,0,0,20425,12991,4176,155,6867,2037,1602,402,5757,1775,1440,348,0,0,0,0,55725,0,0,0,17.67,0,0.0,0,0,0.00,0
191,1,3062770,2068085,599800,21590,0,0,0,0,12109,13612,2788,19,10463,5637,1501,287,837,2513,306,2,0,0,0,0,228175,0,0,0,17.17,0,0.0,0,0,0.00,0
291,2,2918691,2523059,642017,5186,0,0,0,0,6308,9739,1519,15,10113,8643,2067,74,1168,4651,534,4,0,0,0,0,385281,0,0,0,15.87,0,0.0,0,0,0.00,0
391,3,2295423,2437893,525963,2503,0,0,0,0,5147,7141,738,13,13525,9300,2158,29,1839,4387,431,3,3340,864,405,3,296159,0,70867,0,15.48,0,0.0,0,0,0.00,0
491,4,1404966,2160362,389606,2006,0,0,0,0,6865,5983,483,20,13675,9383,1720,25,3357,3990,332,13,5082,2296,766,3,149754,0,87452,0,15.80,18,98.1,0,0,0.00,0
591,5,1059730,1884089,295244,1692,0,0,0,0,6125,5349,295,24,8031,7556,921,23,3163,3363,142,15,2492,2401,605,4,10454,0,6751,0,21.35,16,60.4,7,1,0.00,1
691,6,828263,1639781,251788,1224,0,0,0,0,3466,3995,210,10,6138,6766,578,22,2145,2881,115,16,1385,2366,366,1,7186,0,5076,0,19.13,50,76.3,8,5,0.00,5
791,7,580616,1408862,212758,1005,0,0,0,0,2283,3246,160,10,4208,5281,544,7,1241,1813,57,2,916,2215,378,2,30814,0,26432,0,16.22,270,186.6,0,0,0.00,0
891,8,419915,1188459,179126,964,0,0,0,0,1717,2519,331,12,2889,4696,709,15,901,1562,203,9,867,2028,403,1,63568,0,57542,0,15.24,461,215.4,0,0,0.00,0
991,9,346232,966112,140559,583,0,0,0,0,1850,1804,220,0,2135,4119,573,9,703,1219,178,2,652,2039,315,0,37876,0,34606,0,15.18,35,198.5,94,73,0.03,73
1091,10,319636,752361,113618,342,0,0,0,0,1961,1613,164,0,2148,3601,327,3,872,1047,61,0,429,1809,222,0,8427,0,7804,0,16.03,1,54.5,361,173,0.08,173
1191,11,327933,602426,100130,187,0,0,0,0,2161,1819,82,0,1781,2916,250,7,724,1104,37,1,321,1285,154,2,114,0,68,0,20.88,0,0.0,292,59,0.47,56
1291,0,352598,516982,87772,335,0,0,0,0,2450,1873,113,2,2044,2567,230,1,865,969,37,0,271,1050,137,1,297,0,100,0,19.40,0,0.0,73,0,0.00,0
1391,1,414188,470136,76022,372,0,0,0,0,2897,2081,183,0,2067,2455,307,5,836,999,85,0,218,859,151,1,31250,0,26467,0,16.13,294,206.8,15,0,0.00,0
1491,2,529151,439536,60891,271,0,0,0,0,4385,2214,121,4,2488,2562,309,3,1079,1046,93,0,272,710,144,2,44085,0,32899,0,15.31,155,219.8,1,0,0.00,0
1591,3,796022,403883,47651,431,0,0,0,0,7597,2335,125,20,4658,2755,247,20,2458,1253,73,18,320,598,116,1,28967,0,23869,0,15.34,15,243.5,31,20,0.39,20
1691,4,1028605,366392,41475,923,0,0,0,0,8857,2226,165,25,7029,2804,210,18,3603,1320,67,18,455,485,81,0,15952,0,12340,0,16.84,1,25.6,103,57,0.04,57
