step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err
1000,17859,9563,154145,848868,810994,680980,13743,57562,552,1,214811,4164056,186457.251,74754.089,0.8822,62909.340,0.239,0.248,0.293,0.221,0.629,0.324,546,0.0201,0.5868,0.101,5.4,33.6,73.8,36.09,1.69,3.70,2.20,28.50,8.44,1.035,0.121,0.022,0.023,13.334,0.384,0.0025,131,458,1526,7524,38,0,0.000,6552,1508,4411,11940,703,4650,12506,0.00,0.79,19602,44.7648,79521,9579,553270,8995.2,-0.0,416755,32.889,2617293.567,2.06e-14,0.00028,28.91,253574,104.578,2.192,100.972,1.414,104.582,14548,1188,2123,0.4557,0.834,1.012,1.264,1.029,0.939,1.132,37611.623,10903.196,181568.756,38264.218,29533.617,7099.913,3115.927,1628.909,0.714,0.538,0.516,0.855,0.706,0.624,8219,83814,0.4721,0.5946,0.6497,0.9999,0.0520,0.0495,0.6415,0.7691,0.7931,0.0463,0.0538,0.0460,0.0000,0.6528,0.9360,0.1582,0.7075,0.9190,0.00353,12652,0.9998,0.8049,0.7607,0.9984,0.0520,0.0495,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0026,5.0937,5.1751,0.1014,0.1682,0.1358,0.344,0.316,0.303,0.335,0,0.0000,0.0000,0.0000,0.00367,0.00181,0.00159,19.40,25.12,23.74,46.5010,0.0245,66.8962,11.6394,21.2494,1071683,1527528,0.6544,0.0093,2093.2,46.5010,20.50,0,0,0,0,0,0,5969,11844.749,10717.516,0.9773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.01e-16
2000,17395,3433,85363,167044,148883,79328,2353,36374,812,0,320872,3192899,34979.845,30390.758,0.8256,13834.658,0.117,0.592,0.180,0.111,0.534,0.315,1171,0.0643,0.6218,0.077,8.3,23.9,59.0,27.17,0.88,5.84,1.10,19.35,8.48,1.104,0.245,0.019,0.019,6.978,0.371,0.0041,86,535,618,17274,22,0,0.000,7618,2277,2935,12183,581,1297,15517,0.00,6.86,17916,19.5487,79715,12700,510414,3514.8,0.0,487680,17.313,2617293.567,3.74e-15,0.00005,7.39,60243,40.152,2.247,36.447,1.458,40.156,4854,4520,8021,0.3544,0.910,1.064,1.322,1.139,0.957,1.166,12265.923,10326.133,20379.950,12226.324,16208.228,9339.073,3338.790,3878.237,0.531,0.538,0.534,0.541,0.431,0.445,17268,28660,0.5357,0.4165,0.4892,0.9997,0.0401,0.0458,0.7037,0.8958,0.9455,0.0588,0.0175,0.0185,0.0000,0.0000,0.7799,0.1276,0.5659,0.8835,0.00353,4835,0.9987,0.8369,0.8136,0.9974,0.0401,0.0458,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9101,4.8853,5.0659,0.0541,0.1007,0.0832,0.155,0.176,0.171,0.185,0,0.0000,0.0000,0.0000,0.00318,0.00084,0.00074,16.65,27.14,26.22,61.4298,0.0785,28.5767,9.6940,7.6194,1083938,1523377,1.2133,0.0169,3780.0,61.4298,18.69,0,0,0,0,0,0,15146,16556.100,14379.942,0.9655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.91e-14
3000,8601,1813,77463,141189,123910,61518,2208,31205,391,0,276913,2782731,28205.449,23750.724,0.8078,9770.312,0.065,0.736,0.134,0.066,0.472,0.347,1061,0.1560,0.6967,0.075,11.4,28.6,58.3,25.89,0.84,7.58,0.63,16.84,7.28,1.265,0.270,0.027,0.029,5.654,0.300,0.0044,70,311,512,24214,36,0,0.000,4026,1146,2054,5401,182,1187,7232,2.50,15.76,24746,24.1279,79899,16203,473195,1383.2,-0.0,526013,12.142,2617293.567,2.47e-14,0.00132,29.63,49203,29.122,2.252,26.467,0.402,29.125,4071,1629,2901,0.2381,0.956,1.244,1.763,1.381,0.955,1.276,10103.397,11030.135,10225.834,9997.634,17752.292,5221.300,1902.812,6856.300,0.431,0.492,0.484,0.420,0.449,0.452,22500,36245,0.5364,0.2360,0.3247,0.9997,0.0387,0.0439,0.8264,0.9179,0.9637,0.0540,0.0060,0.0188,0.0000,0.6672,0.9530,0.0319,0.5666,0.9076,0.00355,3603,0.9997,0.8641,0.8770,0.9978,0.0387,0.0439,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9942,5.0674,5.0426,0.0414,0.0693,0.0616,0.080,0.151,0.124,0.121,0,0.0000,0.0000,0.0000,0.00338,0.00111,0.00087,17.86,26.23,25.21,115.8457,0.0696,28.0469,3.3614,8.7807,1087456,1525417,1.5484,0.0225,5115.8,115.8457,21.70,0,0,0,0,0,0,14813,13980.412,12003.112,0.9576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,7.85e-15
4000,9589,1598,82183,157307,139495,73347,1777,29897,273,1,300948,3269097,34541.011,26756.750,0.8510,10750.191,0.060,0.785,0.109,0.045,0.507,0.346,665,0.1208,0.6954,0.066,11.0,30.3,61.5,26.65,0.66,7.89,0.38,17.73,7.12,1.388,0.247,0.036,0.037,5.092,0.248,0.0041,75,300,429,16121,33,0,0.000,4542,572,1032,7985,127,1151,8311,5.00,15.26,27847,29.1883,80140,15642,444911,2844.2,-0.0,557065,10.624,2617293.567,2.14e-14,0.00090,25.00,61750,32.776,2.277,29.898,0.601,32.779,4758,1662,3169,0.2232,0.973,1.345,1.894,1.601,0.954,1.296,10968.609,10616.283,17670.496,10874.010,16746.696,9702.435,2143.503,4160.621,0.505,0.501,0.513,0.487,0.435,0.478,29100,36159,0.4127,0.2893,0.3213,0.9998,0.0301,0.0467,0.8707,0.8768,0.9228,0.0413,0.0035,0.0161,0.0000,0.3266,0.9183,0.1266,0.5946,0.9376,0.00353,2087,0.9994,0.7709,0.8220,0.9972,0.0301,0.0467,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.6669,5.0399,5.2264,0.0366,0.0418,0.0360,0.055,0.085,0.065,0.085,0,0.0000,0.0000,0.0000,0.00405,0.00088,0.00087,22.24,27.79,27.40,389.7812,0.0925,27.8725,3.3367,7.2874,1088696,1523780,1.4703,0.0242,5937.5,389.7812,26.23,0,0,0,0,0,0,12778,16006.559,13800.528,0.9514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,3.22e-15
5000,10281,2010,80228,149003,131282,67458,1317,26611,365,0,293427,2985271,34220.784,25488.935,0.8534,9837.953,0.059,0.810,0.089,0.042,0.487,0.363,455,0.1076,0.6712,0.059,12.2,31.7,60.8,28.37,0.92,7.91,0.71,18.83,7.23,1.289,0.236,0.081,0.083,5.448,0.283,0.0040,69,291,383,17057,36,6,0.171,5104,812,2120,7349,431,1756,8094,2.25,13.86,30992,29.3966,80284,15732,421379,2544.1,-0.0,584191,9.498,2617293.567,1.32e-14,0.00001,13.90,58547,31.670,2.248,28.734,0.688,31.673,4697,2134,3450,0.2833,0.928,1.171,1.862,1.444,0.951,1.287,10763.107,11175.484,17166.394,10639.265,16253.079,8806.155,2246.638,4598.188,0.479,0.495,0.490,0.505,0.389,0.445,34414,37511,0.4373,0.3384,0.2804,0.9996,0.0383,0.0481,0.7760,0.9282,0.9777,0.0580,0.0068,0.0167,0.0000,0.0000,0.9096,0.0442,0.5412,0.8963,0.00354,2103,0.9989,0.8402,0.8765,0.9977,0.0383,0.0481,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9449,4.9639,5.0849,0.0399,0.1004,0.0781,0.119,0.127,0.137,0.091,0,0.0000,0.0000,0.0000,0.00365,0.00080,0.00080,12.89,26.66,25.68,815.3694,0.0909,27.2512,3.0181,6.4798,1090028,1521930,1.5301,0.0306,6264.2,815.3694,20.58,0,0,0,0,0,0,12946,15650.982,13443.316,0.9583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,3.22e-15
6000,7855,1703,75687,143673,127091,66496,1490,25757,611,0,309741,2812060,31110.699,25120.503,0.8468,8726.792,0.040,0.810,0.118,0.032,0.485,0.360,700,0.1367,0.6498,0.060,12.3,32.4,58.3,26.33,1.65,7.84,0.57,16.27,6.92,1.340,0.227,0.184,0.194,5.411,0.300,0.0041,69,302,335,18070,28,11,0.161,4336,562,1726,5567,207,738,6910,3.25,13.74,33063,29.7526,80530,16871,402234,1680.0,0.0,608477,8.877,2617293.567,2.81e-14,0.00263,34.46,56158,29.418,2.262,26.693,0.463,29.421,3519,1648,2688,0.2681,0.959,1.177,1.926,1.516,0.968,1.338,8837.505,8668.253,18364.225,8727.635,12745.631,10538.204,2089.323,3766.184,0.489,0.487,0.478,0.500,0.389,0.466,39453,36319,0.6048,0.2435,0.2185,0.9995,0.0470,0.0534,0.7679,0.9916,0.9701,0.1229,0.0044,0.0317,0.0000,0.8008,0.9490,0.1149,0.6177,0.8956,0.00354,1028,0.9988,0.8609,0.8770,0.9979,0.0470,0.0534,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.8321,4.7091,4.8986,0.0403,0.0788,0.0685,0.104,0.127,0.117,0.110,0,0.0000,0.0000,0.0000,0.00360,0.00074,0.00073,23.20,26.73,26.32,1315.3192,0.0908,21.7828,2.9884,5.8889,1092040,1521238,1.8748,0.0367,6110.5,1315.3192,21.33,0,0,0,0,0,0,14398,16393.711,14041.889,0.9531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,3.02e-15
7000,10590,1841,65040,118404,103617,52365,999,21900,243,0,250058,2824597,28612.570,23349.316,0.9592,8357.817,0.048,0.817,0.102,0.032,0.522,0.349,266,0.0781,0.6500,0.055,9.0,29.2,60.1,22.99,1.28,6.50,0.50,14.70,8.03,1.344,0.234,0.114,0.118,4.876,0.288,0.0037,76,338,328,11760,17,15,0.273,5234,315,2392,7883,171,941,9478,3.25,11.37,37674,32.2579,80668,19172,390247,2245.8,-0.0,623196,8.290,2617293.567,2.14e-15,0.00064,8.15,48376,28.735,2.257,25.647,0.831,28.738,3698,2760,4132,0.2901,0.972,1.203,1.956,1.583,0.972,1.380,7756.890,9397.925,15461.295,7669.204,13839.889,9103.571,1939.337,3948.591,0.529,0.533,0.505,0.490,0.344,0.461,45859,29358,0.4445,0.1721,0.2347,0.9997,0.0397,0.0598,0.7573,1.0505,0.9341,0.1081,0.0181,0.0257,0.0000,0.0000,0.6430,0.1334,0.6094,0.9017,0.00355,1457,0.9997,0.9250,0.8323,0.9974,0.0397,0.0598,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9240,5.0313,5.1841,0.0411,0.0703,0.0629,0.098,0.112,0.103,0.095,0,0.0000,0.0000,0.0000,0.00425,0.00046,0.00059,18.73,26.54,25.69,1542.9544,0.0775,21.8579,2.9709,5.3193,1093279,1519048,1.8399,0.0357,5803.1,1542.9544,18.29,0,0,0,0,0,0,9347,14991.499,13045.577,0.9506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.87e-15
8000,9766,2001,61666,115022,100983,52521,835,21547,218,0,225756,2689031,27514.855,22444.485,1.0368,7816.052,0.046,0.809,0.111,0.034,0.518,0.360,205,0.0766,0.6262,0.060,16.5,33.5,64.5,27.20,1.65,7.93,0.34,17.28,6.42,1.430,0.211,0.204,0.211,5.468,0.265,0.0037,75,351,370,10020,39,22,0.048,5563,1834,2323,5609,203,1375,8188,2.50,10.27,41216,34.7949,80855,21719,383359,2181.4,-0.0,634042,8.104,2617293.567,5.16e-15,0.00016,22.50,49104,28.745,2.270,25.686,0.789,28.748,5632,1347,2787,0.1706,0.976,1.410,1.933,1.558,0.945,1.405,6989.901,7529.792,16825.407,6903.822,11601.679,9209.726,1422.816,3995.891,0.533,0.539,0.486,0.489,0.390,0.463,53263,30471,0.4972,0.2171,0.2210,0.9993,0.0378,0.0583,0.7477,0.9290,0.9286,0.0909,0.0105,0.0269,0.0000,0.3755,0.9440,0.0353,0.5816,0.8935,0.00356,1402,0.9994,0.8437,0.8325,0.9969,0.0378,0.0583,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1135,5.0775,4.9904,0.0351,0.0570,0.0443,0.071,0.060,0.075,0.050,0,0.0000,0.0000,0.0000,0.00380,0.00045,0.00049,21.97,24.50,24.98,1582.7832,0.0744,18.7845,2.9414,5.1631,1093454,1518617,1.8821,0.0404,5526.7,1582.7832,18.23,0,0,0,0,0,0,8852,14628.433,12694.268,0.9478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.01e-15
9000,9645,1923,59241,114092,101160,53990,861,19253,160,0,198703,2431791,27596.063,19649.282,0.9813,7462.646,0.056,0.805,0.099,0.040,0.506,0.368,199,0.0733,0.6365,0.066,12.5,31.5,58.8,24.62,1.38,6.90,0.41,15.92,6.55,1.427,0.213,0.166,0.178,4.801,0.255,0.0036,75,331,362,10335,20,29,0.175,5236,1388,2751,5506,162,1831,7652,4.50,12.83,44778,35.5228,81092,22523,377494,1431.4,0.0,644261,7.658,2617293.567,2.78e-14,0.00377,26.70,47409,26.469,2.267,23.430,0.771,26.472,4958,1822,2865,0.2691,0.933,1.394,1.971,1.567,0.947,1.492,7535.796,8251.399,15680.816,7447.657,11930.237,7567.195,886.713,3732.728,0.492,0.569,0.486,0.500,0.460,0.456,59329,30334,0.5015,0.1311,0.2082,0.9998,0.0405,0.0510,0.8430,0.9138,0.9078,0.0951,0.0100,0.0251,0.0000,0.4400,0.9059,0.2245,0.5610,0.9117,0.00353,1321,0.9997,0.8686,0.8332,0.9973,0.0405,0.0510,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.8769,4.8882,5.0792,0.0372,0.0673,0.0586,0.089,0.094,0.095,0.087,0,0.0000,0.0000,0.0000,0.00403,0.00039,0.00042,23.15,24.63,24.31,1122.1183,0.0703,19.6476,2.6064,5.0518,1095244,1517424,2.0392,0.0399,5746.2,1122.1183,24.72,0,0,0,0,0,0,8294,12186.635,10516.154,0.9455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.03e-14
10000,8109,2154,81827,166380,147626,83086,1467,23597,280,0,323414,2944980,36103.438,30164.530,0.9543,10874.325,0.063,0.796,0.106,0.035,0.494,0.364,438,0.1219,0.6467,0.069,16.0,32.8,59.2,24.67,1.79,7.79,0.51,14.58,6.18,1.491,0.225,0.232,0.245,5.480,0.268,0.0036,66,292,420,23438,26,29,0.119,4728,1011,1435,5663,100,1425,6584,3.25,11.54,41569,35.2227,81167,22068,370870,2493.5,0.0,657190,8.290,2617293.567,1.96e-14,0.00046,12.26,67941,32.775,2.276,29.886,0.613,32.778,4958,976,2175,0.1905,0.979,1.582,1.985,1.570,0.964,1.546,8693.140,9273.322,24268.691,8594.020,14115.052,13249.903,1512.435,4527.868,0.505,0.505,0.467,0.515,0.467,0.503,61896,40188,0.3746,0.1364,0.2280,0.9999,0.0410,0.0520,0.7824,1.0928,0.9796,0.1090,0.0120,0.0216,0.0000,0.0000,0.8534,0.0293,0.5559,0.9298,0.00358,2358,0.9996,0.9180,0.8263,0.9974,0.0410,0.0520,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.8809,4.7816,4.9959,0.0364,0.0824,0.0744,0.153,0.077,0.119,0.112,0,0.0000,0.0000,0.0000,0.00398,0.00047,0.00047,12.10,25.31,24.72,1359.1938,0.0889,23.0300,3.1621,5.1276,1096385,1516652,1.8362,0.0373,5741.8,1359.1938,22.53,0,0,0,0,0,0,16940,19290.206,16469.952,0.9384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,3.42e-15
