step,month,steps_sea,steps_fed,steps_seasonal,steps_never,torpid_sea,torpid_fed,torpid_seasonal,torpid_never,births_sea,births_fed,births_seasonal,births_never,deaths_sea,deaths_fed,deaths_seasonal,deaths_never,young_sea,young_fed,young_seasonal,young_never,grown_sea,grown_fed,grown_seasonal,grown_never,winter,winter_torpid,winter_grown,winter_grown_torpid,winter_temp,entered,fat_in,resolved,lived,moved,fed_end
91,0,2405172,1010421,407251,64063,244836,81443,149399,19656,21257,11553,3283,145,4325,1627,415,140,3401,1208,302,93,0,0,0,0,82557,56799,0,0,-0.47,0,0.0,0,0,0.00,0
191,1,3392123,1889818,605860,42500,359103,174426,264611,9286,10694,12511,2234,21,9672,6076,1238,447,901,2459,195,8,0,0,0,0,229783,152501,0,0,3.57,0,0.0,0,0,0.00,0
291,2,3123788,2206133,639860,9199,321389,411150,334300,155,4924,10387,1530,12,10525,10550,1791,187,907,5293,484,4,0,0,0,0,340053,298414,0,0,-6.49,0,0.0,0,0,0.00,0
391,3,2331876,2054125,593648,1789,252485,515314,371667,1,4694,10369,1242,12,15340,12082,1701,27,1960,7624,615,9,4839,803,370,8,330618,321156,125499,124257,-11.40,0,0.0,0,0,0.00,0
491,4,1306976,1872995,555910,1396,197718,387886,371894,0,6356,8123,1335,18,13015,10435,1582,22,3793,6649,677,14,5337,1485,526,1,251947,238810,163840,157288,-9.75,36,29.5,0,0,0.00,0
591,5,1002292,1723368,579154,1236,155183,335402,354644,71,4536,6387,1186,13,5920,7250,628,12,2162,4300,293,7,2048,1380,216,1,31298,24419,21387,16394,-2.54,39,61.0,0,0,0.00,0
691,6,810249,1664606,639601,922,115965,214007,226350,92,2385,5567,1147,4,4721,5861,534,10,1314,2552,64,2,1334,1976,276,2,10010,7333,6846,5111,-1.15,38,90.4,1,0,0.00,0
791,7,600327,1590455,679992,542,81916,161800,162174,137,1614,5065,962,2,3355,6886,857,7,823,2598,102,3,1087,2845,377,0,48051,40268,32718,28808,-2.73,245,227.2,0,0,0.00,0
891,8,455135,1394260,654261,268,54704,248790,131564,228,1450,4941,685,0,2635,6424,1356,1,599,2268,179,0,1077,2965,652,1,116544,110634,78036,75934,-7.49,300,214.4,0,0,0.00,0
991,9,362107,1176272,539360,254,34736,345722,120429,254,1683,4594,533,0,2308,7056,2128,0,831,2742,327,0,829,2994,1189,0,107238,105909,93799,93054,-11.27,28,107.8,43,40,0.00,40
1091,10,319343,982454,403160,277,22175,243090,117162,256,1514,5206,612,0,1729,7062,1524,1,549,3322,348,0,525,1830,920,1,58939,55358,53394,52330,-9.99,1,262.2,232,221,0.00,221
1191,11,318089,813901,360682,191,15283,164006,116504,98,1725,4506,536,1,1728,6153,597,2,627,3011,187,0,338,1262,302,2,11687,11195,10079,9975,-13.27,0,0.0,275,258,0.01,258
1291,0,319193,657855,348999,89,10806,100024,131279,7,1889,3409,279,0,1594,4757,438,2,612,2076,67,0,260,1376,245,1,4081,3916,3592,3499,-12.90,0,0.0,76,51,0.00,51
1391,1,366403,522248,329449,56,8255,40680,200814,50,2353,2673,294,0,1872,3606,596,0,716,1334,157,0,289,996,281,0,163032,148537,141423,130302,-4.16,1388,243.1,40,11,0.07,11
1491,2,418290,441969,304182,32,7428,71407,228856,0,3135,2522,186,0,2532,3363,497,1,1041,1398,113,0,300,918,265,1,224870,221577,195188,193876,-12.10,428,266.4,17,3,0.00,3
1591,3,506940,371058,271940,81,7745,89723,226054,0,4830,2123,115,1,3244,2742,386,1,1618,1093,92,1,279,672,221,0,218085,217452,206063,205707,-14.63,39,91.1,46,40,0.49,39
1691,4,701576,314001,253725,53,7857,60941,219120,0,6289,1984,94,2,4099,2493,227,2,2118,1043,31,1,293,376,161,1,176870,175819,172759,172006,-13.47,4,111.6,270,254,0.01,254
1791,5,961671,293536,243651,680,7356,49939,190944,0,9498,2080,143,23,6652,1950,218,5,3439,911,18,4,319,254,169,0,15017,13861,13491,12885,-7.59,3,73.1,1434,1348,0.00,1348
