step,month,steps_sea,steps_fed,steps_seasonal,steps_never,torpid_sea,torpid_fed,torpid_seasonal,torpid_never,births_sea,births_fed,births_seasonal,births_never,deaths_sea,deaths_fed,deaths_seasonal,deaths_never,young_sea,young_fed,young_seasonal,young_never,grown_sea,grown_fed,grown_seasonal,grown_never,winter,winter_torpid,winter_grown,winter_grown_torpid,winter_temp,entered,fat_in,resolved,lived,moved,fed_end
91,0,2307930,1021764,421335,62715,235465,80938,152573,17635,20689,12099,3577,150,4177,1751,452,133,3272,1320,349,87,0,0,0,0,87030,58359,0,0,-0.28,0,0.0,0,0,0.00,0
191,1,3442750,1987577,643960,44527,351981,183139,281446,9782,13185,13694,2484,20,10015,6390,1377,412,1098,2688,161,0,0,0,0,0,257166,171290,0,0,3.21,0,0.0,0,0,0.00,0
291,2,3320613,2290511,688244,10607,320428,421642,367838,229,6985,11224,1648,17,11664,12175,1980,201,1365,6392,539,5,0,0,0,0,378279,328008,0,0,-6.13,0,0.0,0,0,0.00,0
391,3,2549342,2096784,624317,2300,258025,545575,402374,0,5707,9960,1311,13,17354,11921,1789,40,2874,7731,650,11,4228,781,335,9,365175,354010,122371,120991,-11.42,0,0.0,0,0,0.00,0
491,4,1371151,1913002,588393,1331,201172,400548,398664,15,6394,7812,1509,14,14226,9870,1777,17,3866,6286,812,7,5283,1413,586,3,296114,278269,190144,181189,-9.59,20,41.6,0,0,0.00,0
591,5,963344,1808643,602815,1146,152064,350381,367577,44,4429,6047,1401,2,6695,6627,891,9,2616,3839,404,6,2139,1321,285,1,36359,27684,26406,20713,-2.36,34,68.2,0,0,0.00,0
691,6,749711,1714986,672027,1016,113553,214815,247666,331,2117,4933,1466,2,4116,5858,695,3,1082,2557,126,0,1354,1908,368,0,13055,9101,10033,7343,2.04,67,79.1,2,0,0.00,0
791,7,559668,1573606,722353,953,82523,150185,182328,448,1308,3705,1282,0,2898,6001,1118,1,566,2022,192,0,995,2887,546,0,52426,45548,38757,34481,-2.98,284,208.5,0,0,0.00,0
891,8,419008,1339631,724424,874,57481,226757,145462,527,1030,3187,1115,1,2299,5450,1268,2,401,1503,237,0,966,3031,626,1,126529,119746,81449,79228,-7.57,295,210.0,1,1,0.00,1
991,9,300556,1045709,638613,740,38612,288701,129742,413,919,3552,903,1,1805,6402,2655,1,471,2307,538,0,735,3275,1279,1,116798,115186,100404,99561,-11.59,40,115.5,52,50,0.00,50
1091,10,252050,829926,471463,584,24802,199135,127489,278,1111,3526,974,0,1252,5265,2101,3,451,2635,599,0,473,1731,1006,2,56597,55719,54197,53649,-11.89,0,0.0,232,224,0.02,223
1191,11,269482,729716,416836,532,14998,131476,136419,213,1792,3174,865,1,1168,4085,964,2,427,2042,380,1,338,1098,404,0,14445,14269,13841,13793,-10.63,0,0.0,283,265,0.04,264
1291,0,370275,599447,408068,610,8915,65274,157813,123,3206,2496,553,3,2118,3913,721,5,1084,1643,134,1,286,1306,402,2,3940,3722,3458,3376,-6.98,0,0.0,120,77,0.25,76
1391,1,471063,482897,380249,538,7031,31477,243348,23,4197,2174,214,7,2977,3222,574,9,1642,1168,58,5,232,1231,344,2,201527,180320,151925,139721,-4.01,1486,226.2,35,17,0.37,17
1491,2,621482,397759,347913,519,6595,59738,283635,0,5340,1989,215,20,3839,2778,570,23,1957,1112,126,22,244,904,328,0,275662,272399,211933,210880,-12.25,434,240.3,15,2,6.00,2
1591,3,699420,350558,318391,212,5860,74056,278928,0,4997,1707,132,12,4312,1851,366,19,1960,641,44,18,284,589,251,0,269517,268070,237561,237208,-14.02,57,122.9,44,41,0.23,39
1691,4,749156,351114,303091,222,6442,62791,266795,0,5319,1914,138,13,5043,2045,307,6,2283,861,37,6,353,462,211,0,213796,212071,203634,202796,-13.06,1,275.5,299,274,0.01,274
1791,5,757164,341651,285895,1353,7035,51405,219660,197,5034,2013,189,18,4828,2107,410,6,2063,895,43,6,469,384,317,0,15879,14583,14734,13812,-8.44,3,45.6,1529,1409,0.01,1409
1891,6,765821,342380,261189,1281,6180,24917,100615,104,4592,2347,452,6,4753,2568,728,16,1922,1224,129,4,581,419,490,0,1354,623,564,510,9.76,2,99.5,105,82,0.00,82
1991,7,728159,308603,230225,879,6016,15724,45352,169,4108,2351,756,5,4361,2781,1065,3,1577,1262,329,0,625,477,553,0,10547,7914,7676,6534,1.75,68,191.5,0,0,0.00,0
2091,8,716981,244869,189569,942,6605,23350,24415,597,4189,1705,957,1,4281,2504,1529,3,1606,1215,711,0,656,344,539,1,22135,20565,14238,13808,-6.49,54,256.3,0,0,0.00,0
2191,9,727824,185906,130120,814,6948,37197,23774,529,4856,1317,476,1,4538,1410,981,3,1880,665,398,0,656,234,357,2,22016,21356,14511,14372,-8.85,2,232.8,14,14,0.00,14
2291,10,706046,195771,98161,648,6646,31351,23517,559,5925,1701,379,0,6489,1745,515,2,3375,1039,165,0,681,182,194,1,12846,11862,10026,9792,-7.41,0,0.0,29,28,0.21,28
2391,11,624747,196218,96511,942,6117,18530,26378,529,5420,1821,443,4,5994,2134,435,5,3400,1404,185,5,598,149,115,0,1867,1810,1578,1554,-9.46,0,0.0,78,71,0.02,71
2491,0,534606,160078,97823,934,5452,10697,33721,146,3935,1022,340,0,4881,1488,301,8,2491,761,79,0,545,170,100,7,408,400,408,400,-13.48,1,22.1,5,4,0.25,4
2591,1,501924,134198,100426,569,5575,5439,71410,30,3912,796,151,3,3624,772,176,5,1728,325,32,0,479,156,67,4,61206,57135,23186,21469,-5.37,213,209.0,3,1,2.75,1
2691,2,587828,152853,95874,400,6076,13685,78432,0,4406,1078,95,0,3168,878,131,0,1486,433,11,0,349,151,51,0,77519,76004,36121,35816,-12.12,43,250.7,1,0,0.00,0
2791,3,676202,191465,97734,279,6395,22523,82606,0,5327,1719,140,0,4367,1315,131,2,2119,831,30,0,399,153,62,0,78849,78143,52489,52207,-14.43,12,135.4,4,4,0.50,4
2891,4,738948,246673,99391,334,7048,28957,85179,1,6316,2270,150,2,5879,1833,189,1,3163,1107,47,1,416,172,86,0,71181,70868,55054,54892,-14.42,0,0.0,32,30,0.51,29
2991,5,730608,311206,103323,297,7409,33859,75011,17,5508,2757,250,0,6298,1950,259,1,3190,1150,71,0,568,177,114,1,3367,2529,1959,1770,-2.39,3,39.7,216,170,0.38,170
