step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
10000,16,825,45.19,0.15,12.51,0.44,15.74,0.00,1.05,0.002,0.091,379873.2,172097.2,2,0,4.54,1.05,1.04,13.0851,160.49,115180.3,1.9506,25.4754,16384,31.5575,2180,3.0671,8832.4,100.00,9.3172,0.0,0.0000,1.000,0.3289,0.8758,2.3399
10000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,975.3,447.0,0,0,-0.00,-0.00,-0.00,0.0727,0.00,0.0,0.0000,0.0008,0,0.1950,0,0.0000,0.0,0.00,0.0008,0.0,0.0000,-0.000,0.0000,0.0000,0.0084
20000,16,742,47.28,0.01,10.92,0.50,14.25,0.00,1.00,0.000,0.073,115569.7,47926.5,5,0,4.16,1.00,1.00,1.4643,179.35,110381.4,0.0024,11.8009,16384,10.6560,3172,1.2100,2294.4,100.00,2.4420,0.0,0.0000,1.000,0.3289,1.1426,0.6497
20000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,60.8,2.8,0,0,-0.00,-0.00,-0.00,0.0010,0.00,0.0,0.0000,0.0002,0,0.0686,0,0.0000,0.0,0.00,0.0002,0.0,0.0000,-0.000,0.0000,0.0000,0.0011
30000,16,820,26.59,0.14,6.02,0.55,6.77,0.01,1.04,0.004,0.043,281590.1,177282.4,2,0,2.86,1.04,1.04,5.1131,155.59,99035.9,0.5257,27.8818,15880,25.6403,3845,4.9972,11428.6,101.93,9.7170,0.0,0.0000,1.000,0.3394,1.6875,2.3716
30000,0,1,31.81,0.00,7.00,0.00,9.00,0.00,1.00,0.000,0.002,16.1,29.4,0,1,2.00,1.00,1.00,0.0025,1.10,5597.0,0.0000,0.0001,504,0.1607,3,0.0000,0.0,39.26,0.0002,0.0,0.0000,1.000,0.0000,0.0499,0.0037
40000,16,671,31.86,0.03,7.07,0.08,8.77,0.00,1.01,0.000,0.042,119751.3,50686.3,3,0,3.07,1.00,1.02,1.5111,122.37,107653.7,0.1872,11.0848,16047,11.0076,3231,2.0996,3973.8,101.05,2.6644,0.0,0.0000,1.000,0.3353,1.3194,1.0414
40000,0,5,27.60,0.00,7.60,0.00,6.20,0.00,1.00,0.000,0.012,105.8,32.3,1,5,3.60,1.00,1.00,0.0043,0.72,3265.4,0.0000,0.0004,337,0.2881,22,0.0000,0.0,50.05,0.0001,0.0,0.0000,1.000,0.0267,0.2584,0.0062
50000,16,878,32.65,0.25,5.71,0.19,10.02,0.01,1.10,0.008,0.056,239908.2,126146.3,3,0,3.18,1.10,1.10,3.5385,114.85,97868.0,5.0441,23.3245,15981,21.3990,3704,5.6383,12248.7,100.44,10.6063,0.0,0.0000,1.000,0.3326,1.5887,2.3216
50000,0,2,41.00,0.00,10.00,0.00,10.50,0.00,1.00,0.000,0.006,104.0,41.6,1,2,4.00,1.00,1.00,0.0055,0.07,5417.2,0.0000,0.0026,403,0.5664,18,0.0000,0.0,82.50,0.0004,0.0,0.0000,1.000,0.1811,0.2283,0.0097
