step,mass,born_size,born_hard,born_muscle,born_sensor,born_digestive,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace,rich,born_rich
100000,46.13,25,0,6,0,19,0,6,0,18,0,1.00,0,0.130,4119,1.03,141.16,24.54,249,6,6,0,1.00,1.00,1.00,4,5,5,31.0,75.221,24,1.922,0.543,5,1.000,1,14.33,-12.50,0,0.0772,0.763,0.0000,2395,0.5890,1,1
100000,11.71,47,8,12,0,27,4,0,0,3,0,2.88,12,0.000,4077,-0.00,161.11,28.32,176,6,6,0,2.00,6.00,2.50,2,6,2,34.0,4.255,7,1.065,0.521,7,1.000,4,27.25,15.00,0,0.0578,0.153,0.0000,2522,1.0000,1,1
100000,38.36,25,0,7,0,18,0,3,0,17,0,1.00,0,0.078,3973,4.45,145.20,9.66,276,6,6,0,1.00,1.00,1.00,3,5,5,22.3,32.920,20,1.918,0.616,5,1.000,1,5.51,-5.50,0,0.0858,0.867,0.0000,2400,0.6458,1,1
100000,42.28,25,0,6,0,19,0,6,0,16,0,1.00,0,0.142,3902,2.48,161.48,9.15,249,6,6,0,1.00,1.00,1.00,4,5,5,26.8,62.107,22,1.922,0.543,5,1.000,3,17.16,-16.25,0,0.0772,0.763,0.0000,2277,0.6152,1,0
100000,40.90,49,1,14,0,34,1,13,0,23,0,1.14,0,0.318,3771,2.49,229.03,16.74,176,6,6,3,1.00,1.29,1.14,6,7,7,53.6,84.586,37,1.076,0.512,7,1.000,4,31.77,31.25,0,0.0630,0.166,0.0000,2235,0.6254,1,0
100000,59.40,64,0,19,0,45,0,19,0,35,0,1.00,0,0.320,3579,4.10,204.08,6.73,176,6,6,0,1.00,1.00,1.00,6,8,8,37.8,42.345,54,1.100,0.500,8,1.000,0,46.33,-12.00,0,0.0636,0.159,0.0000,1849,0.5190,1,1
100000,20.98,49,0,12,0,37,0,2,0,16,0,1.00,4,0.095,3391,0.00,166.65,27.90,176,6,6,0,1.00,1.00,1.00,3,7,5,20.7,27.087,18,1.165,0.504,7,1.000,5,11.96,11.75,0,0.0725,0.220,0.0000,1940,0.8734,1,0
100000,40.84,36,0,9,0,27,0,9,0,19,0,1.00,0,0.220,3296,0.00,160.27,7.43,251,6,6,0,1.00,1.00,1.00,6,6,6,46.1,76.816,28,1.459,0.436,6,1.000,2,39.86,-39.00,0,0.0000,0.337,0.0000,1906,0.6259,1,1
100000,54.35,49,0,11,0,38,0,11,0,38,0,1.00,0,0.202,3166,0.00,144.91,6.68,176,6,6,0,1.00,1.00,1.00,6,7,7,29.0,46.475,49,1.109,0.516,7,1.000,0,9.25,8.75,0,0.0663,0.167,0.0000,1717,0.5426,1,1
100000,59.48,36,0,11,0,25,0,11,0,22,0,1.00,0,0.185,3147,0.00,119.36,11.91,239,6,6,0,1.00,1.00,1.00,6,6,6,10.4,5.959,33,1.802,0.655,6,1.000,0,11.62,-11.00,0,0.0058,0.630,0.0000,1618,0.5187,0,0
100000,47.39,36,0,11,0,25,0,10,0,22,0,1.00,0,0.211,3116,3.73,136.45,2.71,251,6,6,0,1.00,1.00,1.00,6,6,6,48.3,22.790,32,1.481,0.420,6,1.000,1,46.99,42.75,0,0.0000,0.354,0.0000,1783,0.5810,1,1
100000,35.36,21,0,5,0,16,0,4,0,14,0,1.00,0,0.113,3019,4.41,100.37,3.42,249,6,6,0,1.00,1.00,1.00,4,5,5,4.7,38.833,18,1.965,0.526,5,1.000,2,5.84,-1.00,0,0.0841,0.546,0.0000,1939,0.6726,1,1
100000,53.05,49,0,13,0,36,0,12,0,35,0,1.00,0,0.226,3019,0.00,169.86,6.19,176,6,6,0,1.00,1.00,1.00,4,7,7,26.2,36.365,47,1.129,0.492,7,1.000,1,17.89,-9.75,0,0.0621,0.203,0.0000,1628,0.5492,1,1
100000,38.75,22,0,4,0,18,0,4,0,16,0,1.00,0,0.103,2996,0.00,104.30,13.20,249,6,6,0,1.00,1.00,1.00,4,5,5,13.6,49.081,20,1.938,0.572,5,1.000,1,8.31,-1.00,0,0.0796,0.353,0.0000,1867,0.6426,1,1
100000,42.21,25,0,9,0,16,0,9,0,13,0,1.00,0,0.213,2935,0.00,92.60,1.78,234,6,6,0,1.00,1.00,1.00,4,5,5,9.4,25.801,22,1.918,0.485,5,1.000,0,6.25,-1.75,0,0.0510,0.613,0.0000,1803,0.6157,1,1
100000,48.34,25,0,3,1,21,0,3,1,21,0,1.00,0,0.062,2923,0.00,61.42,34.17,249,6,6,0,1.00,1.00,1.00,4,5,5,21.0,33.456,25,1.973,0.533,5,1.000,0,7.42,5.25,1,0.0863,0.743,0.0000,1681,0.5753,1,0
100000,47.36,49,0,14,0,35,0,13,0,31,0,1.00,0,0.274,2916,0.00,190.15,1.18,176,6,6,0,1.00,1.00,1.00,4,7,7,16.8,62.097,44,1.076,0.512,7,1.000,1,5.34,5.25,0,0.0630,0.166,0.0000,1676,0.5812,0,0
100000,39.10,25,0,13,0,12,0,11,0,10,0,1.00,0,0.281,2909,0.00,75.37,5.00,234,6,6,0,1.00,1.00,1.00,4,5,5,25.7,6.370,21,1.862,0.442,5,1.000,2,12.62,-10.50,0,0.0623,0.597,0.0000,1751,0.6397,0,1
100000,37.84,49,0,12,0,37,0,10,0,24,0,1.00,0,0.264,2908,1.25,122.03,2.01,176,6,6,0,1.00,1.00,1.00,7,7,7,31.0,16.163,34,1.113,0.494,7,1.000,4,17.00,-17.00,0,0.0702,0.194,0.0000,1772,0.6503,1,1
100000,43.22,36,2,16,0,18,2,16,0,16,0,1.17,0,0.370,2893,0.00,61.12,90.61,176,6,6,4,1.00,1.67,1.00,4,6,6,24.6,6.227,34,1.201,0.435,6,1.000,0,19.89,-19.25,0,0.0522,0.211,0.0000,1739,0.6084,0,1
100000,53.32,36,0,11,0,25,0,11,0,25,0,1.00,0,0.206,2852,0.00,145.67,18.42,251,6,6,0,1.00,1.00,1.00,6,6,6,36.1,93.573,36,1.481,0.420,6,1.000,0,25.31,13.75,0,0.0000,0.354,0.0000,1562,0.5478,1,1
100000,50.79,49,0,13,0,36,0,13,0,32,0,1.00,0,0.256,2841,-0.00,170.79,10.79,176,6,6,0,1.00,1.00,1.00,6,7,7,15.3,81.940,45,1.129,0.492,7,1.000,0,59.03,59.00,0,0.0621,0.203,0.0000,1539,0.5613,1,0
100000,32.81,49,0,12,0,37,0,6,0,23,0,1.00,4,0.183,2816,0.00,96.68,65.19,176,6,6,0,1.00,1.00,1.00,4,5,7,20.2,19.221,29,1.132,0.491,7,1.000,1,9.71,-5.50,0,0.0691,0.209,0.0000,1768,0.6983,1,1
100000,25.83,49,1,14,0,34,1,3,0,19,0,1.14,0,0.116,2787,0.00,145.41,4.88,176,6,6,3,1.00,1.29,1.14,9,7,7,49.5,0.680,23,1.076,0.512,7,1.000,0,22.82,-16.75,0,0.0630,0.166,0.0000,1764,0.7870,0,1
100000,61.60,64,0,19,0,45,0,18,0,38,0,1.00,0,0.292,2776,0.00,218.43,6.84,176,6,6,0,1.00,1.00,1.00,6,8,8,33.1,104.124,56,1.100,0.500,8,1.000,2,40.41,38.00,0,0.0636,0.159,0.0000,1380,0.5097,0,1
100000,48.53,49,0,13,0,36,0,13,0,30,0,1.00,0,0.268,2770,2.82,131.83,5.81,176,6,6,0,1.00,1.00,1.00,8,7,7,45.2,42.190,43,1.129,0.492,7,1.000,2,50.31,33.25,0,0.0621,0.203,0.0000,1540,0.5742,0,1
100000,32.49,24,0,4,3,17,0,3,3,12,0,1.00,0,0.092,2761,0.00,76.90,1.17,249,6,6,0,1.00,1.00,1.00,3,5,5,10.2,18.532,18,1.969,0.530,5,1.000,1,12.43,-12.00,3,0.0874,0.730,0.0000,1895,0.7018,0,1
100000,51.83,36,0,11,0,25,0,11,0,24,0,1.00,0,0.212,2759,0.00,117.22,12.82,251,6,6,0,1.00,1.00,1.00,9,6,6,57.2,34.452,35,1.481,0.420,6,1.000,1,35.54,24.75,0,0.0000,0.354,0.0000,1519,0.5556,0,1
100000,53.32,36,0,11,0,25,0,11,0,25,0,1.00,0,0.206,2705,0.00,97.20,0.82,251,6,6,0,1.00,1.00,1.00,6,6,6,42.3,11.482,36,1.481,0.420,6,1.000,0,43.32,-31.25,0,0.0000,0.354,0.0000,1481,0.5478,0,1
100000,50.60,64,0,19,0,45,0,18,0,28,0,1.00,0,0.356,2677,0.95,167.55,13.31,176,6,6,0,1.00,1.00,1.00,9,8,8,35.0,71.353,46,1.100,0.500,8,1.000,1,34.77,13.00,0,0.0636,0.159,0.0000,1417,0.5623,1,1
100000,49.63,25,0,14,0,11,0,14,0,11,0,1.00,0,0.282,2665,3.79,80.36,16.65,257,6,6,0,1.00,1.00,1.00,4,5,5,51.6,33.817,25,1.985,0.703,5,1.000,0,31.91,-15.75,0,0.0893,0.915,0.0000,1513,0.5678,0,1
100000,48.94,49,0,12,0,37,0,12,0,30,0,1.00,0,0.245,2617,4.21,159.56,1.07,176,6,6,0,1.00,1.00,1.00,5,7,7,10.6,85.157,42,1.165,0.504,7,1.000,0,17.86,2.00,0,0.0725,0.220,0.0000,1447,0.5718,1,0
100000,39.83,49,0,14,0,35,0,12,0,25,0,1.00,0,0.301,2591,1.13,174.95,4.05,176,6,6,0,1.00,1.00,1.00,6,7,7,22.7,52.549,37,1.076,0.512,7,1.000,2,36.29,-34.50,0,0.0630,0.166,0.0000,1511,0.6338,0,1
100000,64.94,49,3,26,0,20,3,26,0,20,0,1.00,0,0.400,2585,0.00,103.05,24.10,176,6,6,0,1.00,1.00,1.00,9,7,7,3.8,36.353,49,1.249,0.458,7,1.000,0,4.76,-0.25,0,0.0704,0.211,0.0000,1283,0.4964,0,1
100000,73.70,64,0,8,0,56,0,8,0,53,0,1.00,0,0.109,2453,2.45,120.18,7.08,176,6,6,0,1.00,1.00,1.00,9,8,8,17.0,31.156,61,1.208,0.546,8,1.000,0,15.26,-8.75,0,0.0733,0.203,0.0000,1127,0.4659,1,1
100000,45.25,25,0,10,3,12,0,10,3,12,0,1.00,0,0.221,2447,0.00,82.58,32.08,234,6,6,0,1.00,1.00,1.00,4,5,5,24.4,45.525,25,1.925,0.545,5,1.000,0,15.66,5.25,3,0.0722,0.728,0.0000,1455,0.5947,0,1
100000,65.24,64,0,8,0,56,0,8,0,46,0,1.00,0,0.123,2426,1.65,139.89,6.87,176,6,6,0,1.00,1.00,1.00,6,8,8,6.0,66.691,54,1.208,0.546,8,1.000,1,7.62,-5.75,0,0.0733,0.203,0.0000,1126,0.4952,1,1
100000,49.10,49,0,14,0,35,0,13,0,32,0,1.00,0,0.265,2383,0.68,156.63,11.39,176,6,6,0,1.00,1.00,1.00,9,7,7,30.6,66.969,45,1.091,0.529,7,1.000,1,14.53,11.00,0,0.0646,0.159,0.0000,1328,0.5709,0,1
100000,38.46,49,0,12,0,37,0,12,0,21,0,1.00,0,0.312,2373,0.75,124.65,2.69,176,6,6,0,1.00,1.00,1.00,7,7,7,19.2,43.976,33,1.165,0.504,7,1.000,2,28.46,-20.25,0,0.0725,0.220,0.0000,1393,0.6450,0,0
100000,38.09,25,0,9,0,16,0,8,0,12,0,1.00,0,0.210,2289,1.31,69.59,5.25,276,6,6,0,1.00,1.00,1.00,4,5,5,20.7,26.455,20,1.904,0.567,5,1.000,1,9.55,-7.00,0,0.0825,0.881,0.0000,1355,0.6481,1,1
100000,50.11,49,0,12,0,37,0,12,0,31,0,1.00,0,0.239,2280,0.07,114.08,2.46,176,6,6,0,1.00,1.00,1.00,9,7,7,36.6,21.824,43,1.165,0.504,7,1.000,0,12.07,2.75,0,0.0725,0.220,0.0000,1283,0.5651,0,0
100000,51.28,49,0,14,0,35,0,14,0,33,0,1.00,0,0.273,2262,0.00,107.01,3.41,176,6,6,0,1.00,1.00,1.00,6,7,7,33.6,19.581,47,1.091,0.529,7,1.000,0,31.38,-16.00,0,0.0646,0.159,0.0000,1239,0.5586,0,1
100000,31.22,49,0,14,0,35,0,12,0,17,0,1.00,0,0.384,2258,0.00,101.96,0.91,176,6,6,0,1.00,1.00,1.00,7,7,7,36.0,8.966,29,1.076,0.512,7,1.000,1,40.00,-0.50,0,0.0630,0.166,0.0000,1412,0.7159,1,0
100000,35.52,49,0,14,0,35,0,9,0,24,0,1.00,0,0.253,2247,3.11,95.03,21.70,176,6,6,0,1.00,1.00,1.00,4,7,7,37.6,30.788,33,1.076,0.512,7,1.000,2,17.10,13.50,0,0.0630,0.166,0.0000,1349,0.6711,1,1
100000,49.58,25,0,9,0,16,0,9,0,16,0,1.00,0,0.182,2172,1.58,69.54,40.62,257,6,6,0,1.00,1.00,1.00,4,5,5,29.9,63.634,25,1.983,0.679,5,1.000,0,6.05,-3.75,0,0.0892,0.900,0.0000,1233,0.5681,1,1
100000,61.56,64,0,17,0,47,0,17,0,43,0,1.00,0,0.276,2170,0.00,132.45,1.02,176,6,6,0,1.00,1.00,1.00,9,8,8,26.9,18.799,60,1.026,0.539,8,1.000,0,34.14,8.75,0,0.0577,0.125,0.0000,1106,0.5098,0,1
100000,73.70,64,0,8,0,56,0,8,0,53,0,1.00,0,0.109,2166,0.00,94.72,0.49,176,6,6,0,1.00,1.00,1.00,9,8,8,20.5,35.813,61,1.208,0.546,8,1.000,0,8.84,-8.75,0,0.0733,0.203,0.0000,1000,0.4659,0,0
100000,20.45,49,0,14,0,35,0,4,0,15,0,1.00,2,0.196,2164,0.00,110.48,4.08,176,6,6,0,1.00,1.00,1.00,4,7,6,14.1,5.275,19,1.076,0.512,7,1.000,0,14.85,14.75,0,0.0630,0.166,0.0000,1286,0.8845,0,0
100000,55.30,49,0,13,0,36,0,13,0,36,0,1.00,0,0.235,2155,0.00,115.87,9.12,176,6,6,0,1.00,1.00,1.00,4,7,7,43.1,48.787,49,1.129,0.492,7,1.000,0,15.77,15.25,0,0.0621,0.203,0.0000,1159,0.5379,0,1
100000,52.74,49,0,14,0,35,0,14,0,35,0,1.00,0,0.265,2138,0.00,114.87,2.98,176,6,6,0,1.00,1.00,1.00,9,7,7,55.4,36.327,49,1.076,0.512,7,1.000,0,27.40,-23.25,0,0.0630,0.166,0.0000,1177,0.5508,0,1
100000,35.70,25,0,9,0,16,0,8,0,10,0,1.00,0,0.224,2132,0.00,57.37,41.97,257,6,6,0,1.00,1.00,1.00,3,5,5,29.8,30.201,18,1.983,0.679,5,1.000,0,3.26,2.75,0,0.0892,0.900,0.0000,1225,0.6695,1,1
100000,35.91,64,0,17,0,47,0,15,0,20,0,1.00,0,0.418,2127,2.88,132.36,13.21,176,6,6,0,1.00,1.00,1.00,6,8,8,15.5,43.830,35,1.026,0.539,8,1.000,0,55.25,5.25,0,0.0577,0.125,0.0000,1229,0.6675,1,1
100000,38.67,25,0,8,8,9,0,8,8,9,0,1.00,0,0.207,2122,0.04,51.53,17.22,276,6,6,0,1.00,1.00,1.00,4,5,5,29.5,19.087,25,1.841,0.563,5,1.000,0,16.87,-16.75,8,0.0846,0.863,0.0000,1365,0.6433,1,1
100000,62.87,64,1,32,0,31,1,30,0,25,0,1.12,0,0.477,2104,0.00,118.44,23.67,176,6,6,3,1.00,1.25,1.12,8,8,8,43.3,25.730,56,1.103,0.495,8,1.000,0,33.15,31.00,0,0.0672,0.203,0.0000,1024,0.5045,0,1
