step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest,pace,turned,rich,plant_rich,plant_thin,pop_rich,hunger_rich,hunger_thin,fouled,foul_mean,foul_p90,foul_free,covered,plant_std
10000,467,1.059,0.808,9.04,21518,21035,0,837,597,180132,353072.7,120608.7,0.184,0.486,0.187,0.144,145,41.46,16.59,0.87,3.77,13.09,9.12,1.46,2.60,21.49,13.51,0.06,0.53,0.317,0.165,347,0.028,0.039,0.953,0.000,0.009,55756,51715,6,0.593,0.221,0.368,1865772,0.216,2.026,0.080,22.41,19039,347,0.670,0.215,0.150,1836327,1.11,1.33,0.302,0.542,0.019,22.1,38.3,63.6,97.2,17235,0.066,0.00,0.0035,0.000,10,0.575,0.000,0.458,0.627,5.44,6.32,6.34,0.17,0.051,1.11,1.09,1.12,0.591,0.00360,11.09,12.9475,101.88,119958.0,140122.1,0.066,8.8162,63.059,0.000,1.000,0.335,16.9,29.806,24.445,2132,11154.6,19.16,31.109,6.91,4.221,120.1,1.242,0.135,2.00,12.9224,6034.8,0.4487,0.2768,36.91,1.164,0.232,1.5345,0.0000,0.586,0.075,0.848,0.0000,6.66,0.98,19,35,62,81,28.6511,0.0014,0.5310,0.0000,0.0000,12.6917,100.00,79.2634,241.7293,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0035,0.0016,0.000006,3,0.1045,0.0814,0.0304,91,293,761,0.0000,0.0000,0.0300,0.096,0.3378,0.0099,0.1096,0.0385,0.3184,0.0871,0.0000,-0.00038,0.488,0.0069,0.779,0.253,1.37,0.368,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8405,0.0000,1.1955,0.00000,0.07430,0.6738,0.6730,0.3181,1.329,0.544,0.7152,1.2211,0.8824,0.0000,0.0000,0.0000,0.0000,0.1343,2.0107
20000,371,0.879,0.547,8.38,4179,4119,0,150,6,33094,86561.0,16042.4,0.082,0.659,0.147,0.112,179,40.99,11.22,0.58,1.81,11.63,7.06,3.28,2.89,30.07,9.53,0.00,0.00,0.274,0.129,240,0.189,0.092,0.903,0.000,0.005,4663,4135,3,0.712,0.043,0.765,763593,0.196,1.618,0.051,8.09,2008,487,0.485,0.233,0.043,389530,1.06,0.46,0.450,0.520,0.000,28.0,39.2,54.1,83.9,16906,0.064,0.00,0.0008,0.000,12,0.370,0.000,0.246,0.250,6.22,7.01,6.96,0.48,0.167,1.05,1.07,1.07,0.378,0.00242,1.35,0.9475,75.38,124129.4,140122.1,0.000,0.9873,16.933,0.000,1.000,0.408,16.1,8.184,7.838,1480,7154.2,8.59,6.068,6.81,0.659,93.7,0.155,0.131,1.98,17.1871,6376.4,0.4452,0.3430,45.57,0.923,0.136,0.4655,0.0000,0.568,0.052,0.965,0.0000,7.10,0.48,31,49,58,81,7.6633,0.0000,0.5822,0.0000,0.0000,3.8796,100.00,108.0466,156.1540,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0027,0.0013,0.000003,0,0.0952,0.1132,0.0602,97,305,1249,0.0000,0.0000,0.0091,0.011,0.0526,0.0139,0.0255,0.0270,0.4616,0.0585,0.0000,0.00006,0.919,0.0107,0.426,0.092,3.09,0.765,0.000,0.000,0.0000,0.000,0.000,0.0000,0.5507,0.0000,0.8609,0.00000,0.13972,0.6421,0.6415,0.2956,1.054,0.320,0.6631,0.2909,0.1210,0.0000,0.0000,0.0000,0.0000,0.1277,1.6064
30000,579,1.398,0.696,10.77,12066,11227,0,610,10,163342,241005.2,81750.5,0.100,0.677,0.152,0.070,176,47.46,20.12,0.60,2.78,14.39,10.78,1.27,3.35,21.79,10.58,0.04,0.34,0.289,0.158,456,0.016,0.066,0.929,0.000,0.005,18142,14924,5,0.200,0.468,0.287,1680074,0.203,1.872,0.068,23.52,7769,829,0.500,0.089,0.128,1523737,1.10,1.48,0.287,0.570,0.019,22.9,46.4,73.2,143.2,22031,0.084,0.00,0.0019,0.000,4,0.492,0.000,0.460,0.394,5.47,6.53,6.52,0.17,0.060,1.10,1.11,1.09,0.506,0.00402,10.55,4.4089,163.35,118923.0,140122.1,0.652,3.3944,47.599,0.000,1.000,0.421,19.8,21.780,27.310,1854,9532.0,12.73,17.456,6.87,2.176,110.9,0.902,0.133,2.01,14.5317,8413.8,0.4996,0.3616,38.05,1.245,0.206,1.5345,0.0000,0.558,0.089,0.763,0.0000,6.89,0.74,18,38,51,81,20.2697,0.0025,0.5078,0.0000,0.0000,14.6524,100.00,99.9119,306.5274,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0026,0.0012,0.000005,11,0.2393,0.0984,0.0596,107,328,1261,0.0000,0.0000,0.0061,0.012,0.3198,0.0425,0.1275,0.0415,0.3723,0.0870,0.0000,-0.00028,0.794,0.0138,0.889,0.250,1.03,0.287,0.000,0.000,0.0000,0.000,0.000,0.0000,0.5846,0.0000,0.9399,0.00000,0.10853,0.6305,0.6298,0.3282,1.285,0.384,0.7375,0.8234,0.2993,0.0000,0.0000,0.0000,0.0000,0.1672,1.8517
40000,459,1.246,0.510,11.75,3885,3825,0,169,4,40554,90318.8,21869.9,0.106,0.673,0.146,0.076,202,48.45,15.71,0.40,2.02,14.45,8.89,0.88,2.20,26.99,10.33,0.01,0.17,0.295,0.149,326,0.048,0.111,0.887,0.000,0.002,4581,3971,2,0.749,0.000,0.192,437332,0.252,1.535,0.044,8.61,2247,803,0.539,0.112,0.111,320311,1.08,1.05,0.486,0.486,0.004,29.2,49.1,70.2,107.8,19608,0.075,0.00,0.0007,0.000,10,0.299,0.000,0.334,0.280,6.02,6.78,6.71,0.17,0.048,1.07,1.11,1.07,0.310,0.00250,1.65,1.2807,139.08,122655.7,140122.1,0.001,1.0491,17.729,0.000,1.000,0.461,15.5,8.425,7.719,1388,6400.1,28.74,6.095,6.96,0.487,56.2,0.133,0.131,2.01,17.5861,8072.0,0.4897,0.3932,42.72,1.132,0.069,0.4655,0.0000,0.668,0.046,0.998,0.0000,7.01,0.66,26,46,61,81,7.7686,0.0012,0.5033,0.0000,0.0000,3.3966,100.00,109.8415,192.5871,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0025,0.0012,0.000003,7,0.1310,0.0915,0.0690,117,359,1512,0.0000,0.0000,0.0090,0.019,0.0581,0.0332,0.0327,0.0218,0.5218,0.0501,0.0000,-0.00063,0.730,0.0120,0.996,0.287,0.83,0.192,0.000,0.000,0.0000,0.000,0.000,0.0000,0.5163,0.0000,0.7913,0.00000,0.14696,0.5944,0.5939,0.3295,0.916,0.293,0.7582,0.2771,0.1054,0.0000,0.0000,0.0000,0.0000,0.1495,1.5061
50000,567,1.362,0.710,11.62,12977,11827,0,1023,14,196806,239585.5,100143.6,0.053,0.650,0.257,0.040,180,49.87,17.53,1.20,3.15,13.12,8.50,0.02,0.40,20.13,11.72,0.24,0.80,0.263,0.147,492,0.011,0.035,0.961,0.000,0.004,19727,15755,7,0.235,0.457,0.004,143714,0.283,1.925,0.071,23.50,9621,738,0.509,0.106,0.168,1333783,1.28,1.50,0.273,0.674,0.090,27.6,50.6,70.2,126.1,19545,0.075,0.00,0.0021,0.000,12,0.400,0.000,0.537,0.391,5.28,6.15,6.14,0.67,0.210,1.26,1.30,1.29,0.420,0.00557,10.92,4.6457,154.86,119569.2,140122.1,1.415,3.5960,47.946,0.000,1.000,0.463,16.6,21.738,26.440,1850,9788.5,17.73,17.222,6.34,2.141,115.6,0.848,0.130,1.99,13.3572,7573.5,0.5223,0.3906,34.47,1.411,0.167,1.5345,0.0000,0.707,0.071,1.000,0.0000,6.52,0.73,19,35,49,81,19.7454,0.0009,0.5132,0.0000,0.0000,12.7799,100.00,100.5491,300.3113,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0024,0.0011,0.000009,5,0.1630,0.0882,0.0522,111,356,1306,0.0000,0.0000,0.0045,0.011,0.3389,0.0195,0.1387,0.0282,0.4259,0.1223,0.0000,0.00032,0.787,0.0254,0.981,0.317,0.02,0.004,0.000,0.000,0.0000,0.000,0.000,0.0000,0.6501,0.0000,0.9133,0.00000,0.12168,0.6277,0.6271,0.3027,1.289,0.434,0.7972,0.8573,0.3254,0.0000,0.0000,0.0000,0.0000,0.1550,1.9003
60000,618,1.598,0.594,12.15,4152,3954,0,134,2,35980,90836.8,19338.4,0.087,0.663,0.215,0.035,198,47.74,15.71,1.46,3.73,10.26,6.05,0.13,0.85,21.89,9.00,0.03,0.29,0.220,0.126,457,0.032,0.099,0.895,0.002,0.005,4422,3691,6,0.440,0.008,0.028,19475,0.271,1.659,0.054,8.75,2447,855,0.537,0.127,0.083,333843,1.29,0.92,0.392,0.524,0.013,28.1,49.0,63.1,121.0,20848,0.080,0.00,0.0007,0.000,12,0.280,0.000,0.416,0.225,5.19,6.03,6.01,0.36,0.134,1.20,1.36,1.29,0.289,0.00185,1.69,1.1271,148.64,120212.8,140122.1,0.032,1.1454,17.596,0.000,1.000,0.386,16.6,8.383,7.897,1670,7707.7,14.14,6.465,6.31,0.718,84.6,0.168,0.127,2.00,13.8822,8579.2,0.5527,0.3889,33.73,1.358,0.132,0.4655,0.0000,0.676,0.123,0.843,0.0000,6.25,0.66,21,35,46,96,7.7285,0.0002,0.4660,0.0000,0.0000,3.0374,100.00,107.7358,187.1326,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0023,0.0010,0.000003,11,0.1238,0.0696,0.0690,124,373,1666,0.0000,0.0000,0.0022,0.008,0.0537,0.0217,0.0321,0.0097,0.5513,0.0387,0.0000,0.00057,0.492,0.0065,0.995,0.320,0.12,0.028,0.000,0.000,0.0000,0.000,0.000,0.0000,0.5771,0.0000,0.7658,0.00000,0.10914,0.5952,0.5948,0.2896,1.068,0.381,0.8042,0.2831,0.1123,0.0000,0.0000,0.0000,0.0000,0.1619,1.6326
70000,804,1.378,0.654,14.79,13925,12880,0,836,5,146638,244446.2,91939.9,0.067,0.646,0.241,0.046,172,42.04,17.34,0.83,2.51,9.14,6.18,0.00,0.00,15.05,9.45,0.07,0.44,0.222,0.119,653,0.014,0.075,0.919,0.002,0.004,18671,14921,5,0.372,0.351,0.000,32625,0.167,1.830,0.066,23.77,10228,766,0.627,0.099,0.174,1662434,1.21,1.26,0.377,0.601,0.034,21.3,42.3,64.4,155.5,20113,0.077,0.00,0.0020,0.000,12,0.413,0.000,0.517,0.321,4.22,5.26,5.20,0.39,0.143,1.19,1.25,1.22,0.425,0.00314,10.07,4.2854,183.89,118642.4,140122.1,1.786,3.2619,49.511,0.000,1.000,0.453,19.9,22.438,27.344,1739,8993.0,17.47,17.946,5.56,2.089,83.9,0.852,0.132,2.01,11.1523,8966.4,0.6130,0.4738,25.02,1.637,0.192,1.5345,0.0000,0.673,0.120,0.909,0.0000,5.54,0.67,12,25,36,81,20.8282,0.0012,0.4739,0.0000,0.0000,11.8342,100.00,99.0503,310.9219,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0022,0.0010,0.000004,18,0.2562,0.0672,0.0579,122,379,1474,0.0000,0.0000,0.0012,0.003,0.2972,0.0415,0.1573,0.0323,0.4559,0.0758,0.0000,-0.00006,0.690,0.0180,0.994,0.470,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.6634,0.0000,0.8530,0.00000,0.07499,0.6430,0.6424,0.3007,1.149,0.417,0.7575,0.9866,0.3014,0.0000,0.0000,0.0000,0.0000,0.1704,1.8075
80000,638,2.027,0.819,14.96,4217,4192,0,179,2,37262,86539.0,22166.6,0.079,0.691,0.194,0.036,189,59.88,31.80,0.96,3.54,11.74,10.40,0.16,2.28,24.12,19.02,0.12,0.59,0.201,0.129,488,0.027,0.116,0.875,0.002,0.008,4488,3567,4,0.346,0.215,0.014,5486,0.262,1.991,0.078,8.77,2733,784,0.595,0.106,0.107,414607,1.23,0.95,0.411,0.552,0.050,25.9,52.7,97.5,227.5,23598,0.090,0.00,0.0006,0.000,13,0.295,0.000,0.372,0.218,5.30,6.20,6.18,0.31,0.110,1.22,1.23,1.23,0.303,0.00167,1.61,1.1936,131.20,116016.2,140122.1,0.011,1.3210,17.003,0.000,1.000,0.314,15.6,8.012,8.227,2236,11108.7,16.80,6.244,5.84,0.823,107.5,0.173,0.137,2.00,13.4911,8607.3,0.5665,0.4541,36.99,1.601,0.162,0.4655,0.0000,0.605,0.100,0.842,0.0000,6.43,1.35,16,34,64,141,7.3921,0.0008,0.4169,0.0000,0.0000,3.2791,100.00,107.9160,184.7095,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0021,0.0010,0.000003,10,0.1206,0.0564,0.0737,130,421,1760,0.0000,0.0000,0.0000,0.000,0.0604,0.0243,0.0394,0.0204,0.5597,0.0371,0.0000,0.00039,0.721,0.0242,0.987,0.400,0.07,0.014,0.000,0.000,0.0000,0.000,0.000,0.0000,0.6402,0.0000,0.8386,0.00000,0.08924,0.6229,0.6224,0.2922,1.330,0.588,0.7712,0.3046,0.1146,0.0000,0.0000,0.0000,0.0000,0.1685,1.9726
90000,716,1.279,0.980,20.09,17210,15116,0,1986,24,243012,238494.7,129554.2,0.080,0.709,0.181,0.030,149,44.25,22.83,0.70,2.56,7.58,5.68,0.25,1.36,13.92,9.36,0.12,0.61,0.183,0.118,540,0.024,0.078,0.918,0.000,0.004,24429,17951,7,0.131,0.634,0.053,814425,0.158,2.289,0.104,23.01,14177,550,0.533,0.136,0.163,1974323,1.19,0.96,0.334,0.529,0.047,23.6,39.8,71.3,258.5,16067,0.061,0.00,0.0024,0.000,13,0.436,0.000,0.502,0.343,3.91,4.97,5.02,0.22,0.080,1.21,1.13,1.21,0.454,0.00410,10.49,5.6796,112.82,115018.6,140122.1,1.161,5.5837,48.336,0.000,1.000,0.404,18.3,21.107,26.493,2489,14137.1,9.86,18.373,5.56,3.776,191.6,1.200,0.135,2.01,10.4498,7482.0,0.6304,0.4238,22.44,1.931,0.126,1.5345,0.0000,0.477,0.246,0.584,0.0000,5.23,0.88,11,21,36,121,19.1322,0.0000,0.5251,0.0000,0.0000,12.3425,100.00,96.4105,276.2593,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0025,0.0011,0.000007,6,0.1169,0.0531,0.0355,101,354,1179,0.0000,0.0000,0.0016,0.004,0.4855,0.0170,0.2061,0.0279,0.4417,0.0869,0.0000,0.00101,0.648,0.0200,0.483,0.258,0.22,0.053,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8103,0.0000,1.1748,0.00000,0.06291,0.6298,0.6290,0.2923,1.727,0.645,0.7137,1.1057,0.4059,0.0000,0.0000,0.0000,0.0000,0.1421,2.2696
100000,702,1.551,1.163,20.29,5664,5380,0,267,19,31255,84156.0,19966.0,0.145,0.689,0.135,0.032,159,41.53,19.32,0.69,2.82,7.48,5.77,0.23,1.12,13.00,7.59,0.09,0.50,0.183,0.110,488,0.031,0.128,0.848,0.000,0.024,5492,4569,6,0.295,0.037,0.063,84462,0.174,2.431,0.120,8.53,3764,471,0.639,0.266,0.105,511137,1.16,0.67,0.481,0.487,0.044,21.9,36.5,64.4,142.4,15019,0.057,0.00,0.0009,0.000,6,0.322,0.000,0.283,0.158,3.71,4.72,4.72,0.37,0.120,1.17,1.14,1.17,0.328,0.00123,1.11,1.1221,118.93,112037.1,140122.1,0.014,1.7096,16.501,0.000,1.000,0.229,14.4,7.823,8.460,3036,16663.6,11.22,6.421,4.97,1.301,237.7,0.204,0.128,2.01,10.4559,7340.0,0.6882,0.4780,21.39,1.924,0.116,0.4655,0.0000,0.562,0.279,0.570,0.0000,4.89,0.91,11,19,36,64,7.2928,0.0001,0.4558,0.0000,0.0000,3.5234,100.00,103.9540,164.4845,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0024,0.0011,0.000002,12,0.1052,0.0484,0.0511,112,364,1365,0.0000,0.0000,0.0044,0.010,0.0563,0.0159,0.0326,0.0199,0.5600,0.0308,0.0000,-0.00008,0.754,0.0213,0.620,0.383,0.21,0.063,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7438,0.0000,1.1394,0.00000,0.05706,0.6528,0.6522,0.3049,2.029,0.752,0.7279,0.3834,0.1546,0.0000,0.0000,0.0000,0.0000,0.1279,2.4095
