step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
110000,8,762,58.87,0.01,10.99,0.00,18.42,0.00,1.00,0.000,0.112,241089.9,70932.9,7,0,4.54,1.00,1.01,5.0945,233.54,58396.6,3.5960,22.2851,12535,15.1945,2780,4.7208,15521.7,90.43,11.5881,0.0,0.0000,1.000,0.3319,1.3871,1.1771
110000,0,7,88.86,0.00,15.00,0.00,29.43,0.00,1.00,0.000,0.005,811.4,50.9,3,4,6.43,1.00,1.00,0.0145,2.40,44258.7,0.0000,0.0205,3849,6.0553,442,0.0000,0.2,131.15,0.0035,0.0,0.0000,1.000,0.5357,0.7537,0.0066
120000,8,324,48.96,0.10,6.47,0.00,17.80,0.01,1.03,0.003,0.036,52571.1,12456.0,1,0,4.01,1.00,1.04,1.4483,54.99,73621.9,0.0032,7.1854,13771,4.6348,5889,2.1720,1609.2,97.23,3.0069,0.0,0.0000,1.000,0.3694,2.8116,0.3029
120000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,154.3,21.3,0,0,-0.00,-0.00,-0.00,0.0150,0.00,21262.6,0.0000,0.0052,2613,1.1744,277,0.0000,0.0,114.61,0.0008,0.0,0.0000,-0.000,0.4344,0.7225,0.0019
130000,8,869,38.98,0.38,7.79,0.12,12.21,0.09,1.11,0.032,0.077,248327.8,75377.1,13,0,3.72,1.14,1.06,6.1373,209.61,84681.6,1.1954,21.8887,14504,18.5361,3302,8.2602,15927.2,97.02,10.5572,0.0,0.0000,1.000,0.3633,1.4116,1.5919
130000,0,8,38.09,1.62,12.75,0.00,8.88,1.12,1.57,0.375,0.006,2102.1,328.5,1,4,3.88,1.80,1.35,0.0495,1.42,19903.6,0.0000,0.0166,1880,3.0152,219,0.0000,0.4,123.02,0.0056,0.0,0.0000,1.000,0.5069,0.7916,0.0154
140000,8,560,37.27,1.30,9.98,0.26,18.30,0.32,1.30,0.095,0.076,102303.4,23641.5,5,0,4.89,1.39,1.21,1.8099,105.63,94872.4,0.0000,9.1248,13695,8.7324,1839,1.0036,2005.9,99.07,2.7269,0.0,0.0000,1.000,0.3906,0.7630,0.6540
140000,0,19,25.42,0.74,8.21,0.79,13.79,0.21,1.14,0.053,0.011,1426.2,278.4,2,10,4.00,1.27,1.00,0.0254,4.06,25690.1,0.0000,0.0058,2689,1.2795,115,0.0000,0.0,104.75,0.0014,0.0,0.0000,1.000,0.3247,0.2292,0.0135
150000,8,759,37.20,0.72,8.95,0.05,12.44,0.12,1.20,0.046,0.077,274857.9,101994.8,14,0,3.95,1.17,1.22,4.8426,155.90,84573.1,0.3501,26.9889,13619,21.3067,2057,2.2842,8104.1,95.69,10.9603,0.0,0.0000,1.000,0.3611,0.8851,1.6772
150000,0,3,36.25,0.00,13.67,0.00,14.33,0.00,1.00,0.000,0.002,860.4,129.2,3,3,4.67,1.00,1.00,0.0281,2.15,32246.5,0.0000,0.0056,2765,4.0443,36,0.0000,0.1,121.21,0.0015,0.0,0.0000,1.000,0.4716,0.1025,0.0267
160000,8,563,52.82,0.14,11.71,0.01,18.67,0.01,1.02,0.002,0.075,73530.5,22173.7,2,0,4.77,1.01,1.04,1.5348,105.45,90862.8,0.0000,8.4644,14390,5.9410,3880,1.5952,1993.9,100.02,2.6648,0.0,0.0000,1.000,0.3845,1.6732,0.4298
160000,0,4,57.59,0.00,21.25,0.00,15.25,0.00,1.00,0.000,0.004,314.1,74.6,1,4,5.00,1.00,1.00,0.0154,0.62,16244.1,0.0000,0.0026,1994,1.0218,39,0.0000,0.0,99.86,0.0002,0.0,0.0000,1.000,0.3455,0.1611,0.0076
