step,mass,born_size,born_hard,born_muscle,born_sensor,born_digestive,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace,rich,born_rich
100000,2.00,16,0,6,0,10,0,0,0,1,0,1.00,12,0.000,4166,0.00,180.61,33.13,182,8,8,0,1.00,1.00,1.00,1,1,1,33.7,8.745,1,2.000,0.005,4,1.000,12,8.49,5.75,0,0.0897,0.636,0.0000,3191,1.0000,1,1
100000,2.00,16,0,6,0,10,0,0,0,1,0,1.00,12,0.000,3967,0.00,100.61,61.30,182,8,8,0,1.00,1.00,1.00,1,1,1,26.6,2.827,1,2.000,0.004,4,1.000,4,18.88,-3.75,0,0.0906,0.683,0.0000,2895,1.0000,1,1
100000,6.00,25,0,19,0,6,0,2,0,1,0,1.00,10,0.333,3472,0.00,121.29,62.71,182,0,8,0,1.00,1.00,1.00,2,2,3,27.1,25.900,3,2.000,0.007,5,1.000,4,54.76,54.75,0,0.0978,0.582,0.0000,3111,1.0000,0,1
100000,30.00,16,0,3,0,13,0,3,0,12,0,1.00,0,0.100,3199,0.29,104.64,8.06,182,8,8,0,1.00,1.00,1.00,4,4,4,39.1,42.498,15,2.000,0.008,4,1.000,1,14.98,12.50,0,0.0939,0.576,0.0000,2298,0.7303,1,1
100000,18.00,16,0,6,0,10,0,2,0,7,0,1.00,0,0.111,3009,1.33,138.59,14.26,182,8,8,0,1.00,1.00,1.00,2,4,4,27.0,27.671,9,2.000,0.005,4,1.000,3,27.29,-13.00,0,0.0897,0.636,0.0000,2259,0.9428,1,1
100000,32.00,16,0,3,0,13,0,3,0,13,0,1.00,0,0.094,3002,0.00,89.46,4.88,182,8,8,0,1.00,1.00,1.00,4,4,4,29.7,20.917,16,2.000,0.004,4,1.000,0,5.39,-2.00,0,0.0914,0.566,0.0000,2122,0.7071,1,1
100000,30.00,16,0,12,0,4,0,12,0,3,0,1.00,0,0.400,2904,-0.00,91.86,5.65,182,0,8,0,1.00,1.00,1.00,4,4,4,15.7,12.955,15,2.000,0.007,4,1.000,1,59.84,49.75,0,0.0976,0.582,0.0000,2057,0.7303,0,1
100000,18.00,16,0,3,0,13,0,0,0,9,0,1.00,2,0.000,2886,0.00,106.54,8.80,182,8,8,0,1.00,1.00,1.00,4,3,4,34.3,9.773,9,2.000,0.004,4,1.000,1,3.81,3.50,0,0.0915,0.567,0.0000,2096,0.9428,1,1
100000,24.00,16,0,6,0,10,0,6,0,6,0,1.00,0,0.250,2854,0.06,68.95,38.49,182,8,8,0,1.00,1.00,1.00,2,4,4,29.8,25.591,12,2.000,0.004,4,1.000,2,2.66,2.00,0,0.0906,0.683,0.0000,2037,0.8165,1,1
100000,28.00,16,0,6,0,10,0,4,0,10,0,1.00,0,0.143,2813,4.53,148.98,17.64,182,8,8,0,1.00,1.00,1.00,2,4,4,44.8,78.084,14,2.000,0.005,4,1.000,0,29.42,-22.25,0,0.0895,0.655,0.0000,2006,0.7559,1,1
100000,32.00,16,0,6,0,10,0,6,0,10,0,1.00,0,0.188,2588,0.00,87.31,18.68,182,8,8,0,1.00,1.00,1.00,4,4,4,25.8,59.556,16,2.000,0.005,4,1.000,0,47.46,-38.50,0,0.0895,0.655,0.0000,1829,0.7071,0,1
100000,24.00,16,0,6,0,10,0,4,0,8,0,1.00,0,0.167,2395,0.00,74.37,10.40,182,8,8,0,1.00,1.00,1.00,3,4,4,31.2,17.374,12,2.000,0.004,4,1.000,1,4.59,-2.25,0,0.0910,0.700,0.0000,1806,0.8165,1,1
100000,24.00,16,0,3,0,13,0,0,0,12,0,1.00,2,0.000,2392,0.00,94.40,6.22,182,8,8,0,1.00,1.00,1.00,4,3,4,28.3,44.062,12,2.000,0.004,4,1.000,0,12.09,-6.00,0,0.0915,0.567,0.0000,1711,0.8165,1,1
100000,30.00,16,0,6,0,10,0,6,0,9,0,1.00,0,0.200,2193,0.00,57.95,17.91,182,8,8,0,1.00,1.00,1.00,4,4,4,40.2,13.046,15,2.000,0.004,4,1.000,1,24.01,14.00,0,0.0890,0.647,0.0000,1561,0.7303,0,1
100000,18.00,16,0,6,0,10,0,3,0,6,0,1.00,2,0.167,2150,0.00,68.07,3.10,275,8,8,0,1.00,1.00,1.00,4,4,3,36.2,16.798,9,2.000,0.001,4,1.000,1,13.70,3.50,0,0.0896,0.000,0.0000,1866,0.9428,1,1
