step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
1000,178,0.8708,1815.4,827,54,64,60,0,62,56,20381,18682,18908,0,0,0,1.000,1.000,1.000,42,11,0,0.2488,0.2021,0.7416,0.0598
2000,801,0.5493,8520.4,326,191,265,345,0,265,345,27738,23985,23688,0,0,0,1.000,1.000,1.000,155,60,5,0.1397,0.3448,0.5422,0.0848
3000,686,0.5554,9861.0,504,223,271,192,0,268,192,31952,26596,27197,0,0,0,1.000,1.000,1.000,173,64,3,0.1359,0.3355,0.5648,0.0909
4000,699,0.4592,10088.2,591,221,297,181,0,295,177,36276,28802,30572,0,0,0,1.000,1.000,1.000,180,54,1,0.1285,0.3418,0.5558,0.0970
5000,719,0.4826,10268.9,624,217,301,201,0,299,197,40513,32099,35119,0,0,0,1.000,1.000,1.000,160,59,0,0.1110,0.3711,0.4955,0.1177
6000,679,0.5125,9839.6,654,220,270,189,0,270,187,43687,34928,38707,0,0,0,1.000,1.000,1.000,174,62,4,0.1148,0.3556,0.5167,0.1239
7000,644,0.4519,7778.7,614,191,271,182,0,271,182,45039,35602,39002,0,0,0,1.000,1.000,1.000,150,52,2,0.1094,0.3932,0.5428,0.1269
8000,632,0.4858,8345.3,552,180,281,171,0,281,171,45206,35785,38148,0,0,0,1.000,1.000,1.000,143,49,3,0.1213,0.3313,0.5376,0.1291
9000,593,0.5160,7858.6,590,140,248,205,0,246,205,45984,36598,37779,0,0,0,1.000,1.000,1.000,113,38,1,0.1133,0.4443,0.5486,0.1324
10000,571,0.4851,7421.2,551,194,177,200,0,177,200,46255,37317,38258,0,0,0,1.000,1.000,1.000,156,44,2,0.0948,0.3822,0.5655,0.1449
11000,481,0.4304,5686.2,490,129,190,162,0,190,162,46892,38315,39054,0,0,0,1.000,1.000,1.000,94,41,2,0.0925,0.3699,0.5732,0.1498
12000,351,0.4758,4161.8,532,156,123,72,0,123,72,47125,39400,40164,0,0,0,1.000,1.000,1.000,125,32,2,0.0847,0.3166,0.6100,0.1567
13000,212,0.5991,2870.5,700,92,85,35,0,85,35,47043,40339,41063,0,0,0,1.000,1.000,1.000,64,23,0,0.0671,0.3871,0.6542,0.1573
14000,144,0.4931,2190.9,768,83,49,12,0,49,12,46345,40889,41480,0,0,0,1.000,1.000,1.000,65,11,0,0.0467,0.4432,0.6683,0.1493
15000,154,0.4870,1960.8,741,108,44,2,0,44,2,45961,41529,41856,0,0,0,1.000,1.000,1.000,94,10,0,0.0342,0.5747,0.6494,0.1565
16000,114,0.5263,1670.3,893,71,40,3,0,40,3,46074,42139,42291,0,0,0,1.000,1.000,1.000,59,13,0,0.0319,0.5554,0.6549,0.1715
