step,mass,born_size,born_hard,born_muscle,born_sensor,born_digestive,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace,rich,born_rich
100000,42.00,49,0,8,0,41,0,5,0,16,0,1.00,4,0.119,6749,5.21,187.56,32.78,463,0,0,0,1.00,1.00,1.00,3,7,5,18.3,22.127,21,2.000,0.653,7,1.000,19,54.00,54.00,0,0.0000,0.000,0.0000,2819,0.6172,1,1
100000,6.00,25,0,11,0,14,0,3,0,0,0,1.00,10,0.500,5635,0.00,180.99,35.08,99,2,0,0,1.00,1.00,1.00,1,2,3,50.5,6.115,3,2.000,0.552,5,1.000,17,55.08,-15.00,0,0.0000,0.000,0.0000,3357,1.0000,1,1
100000,20.00,25,0,10,0,15,0,3,0,7,0,1.00,0,0.150,5246,0.00,169.43,53.74,99,0,0,0,1.00,1.00,1.00,4,5,5,13.2,25.982,10,2.000,0.537,5,1.000,14,11.34,11.00,0,0.0000,0.000,0.0000,3145,0.8944,1,1
100000,24.00,25,0,10,0,15,0,6,0,6,0,1.00,0,0.250,5210,0.21,166.97,24.94,99,0,0,0,1.00,1.00,1.00,3,5,5,17.0,29.968,12,2.000,0.537,5,1.000,12,78.20,57.50,0,0.0000,0.000,0.0000,3131,0.8165,1,1
100000,22.00,25,0,10,0,15,0,3,0,8,0,1.00,0,0.136,5150,1.73,210.58,28.18,99,2,0,0,1.00,1.00,1.00,4,5,5,40.3,45.640,11,2.000,0.503,5,1.000,12,49.66,48.00,0,0.0000,0.000,0.0000,3115,0.8528,1,1
100000,38.00,25,0,10,0,15,0,7,0,12,0,1.00,0,0.184,4758,1.81,143.94,49.19,99,1,2,0,1.00,1.00,1.00,4,5,5,36.4,71.115,19,2.000,0.503,5,1.000,6,1.25,0.00,0,0.0000,0.000,0.0000,2721,0.6489,1,1
100000,40.00,25,0,11,0,14,0,9,0,11,0,1.00,0,0.225,4468,5.53,130.75,30.44,99,1,0,0,1.00,1.00,1.00,4,5,5,31.4,23.205,20,2.000,0.552,5,1.000,5,26.76,26.75,0,0.0000,0.000,0.0000,2550,0.6325,1,1
100000,66.00,36,0,17,0,19,0,16,0,17,0,1.00,0,0.242,4171,0.48,179.06,53.34,463,2,1,0,1.00,1.00,1.00,6,6,6,47.8,106.275,33,2.000,0.769,6,1.000,3,38.25,-38.25,0,0.0000,0.385,0.0000,1993,0.4924,1,1
100000,46.00,25,0,10,0,15,0,8,0,15,0,1.00,0,0.174,3958,0.02,175.45,22.75,99,2,1,0,1.00,1.00,1.00,4,5,5,39.8,75.855,23,2.000,0.610,5,1.000,2,19.50,-19.50,0,0.0000,0.000,0.0000,2248,0.5898,1,1
100000,42.00,25,0,10,0,15,0,7,0,14,0,1.00,0,0.167,3698,4.65,165.45,19.92,99,2,0,0,1.00,1.00,1.00,4,5,5,40.7,90.883,21,2.000,0.516,5,1.000,4,39.87,-39.25,0,0.0000,0.000,0.0000,2125,0.6172,1,1
100000,88.00,49,0,23,0,26,0,20,0,24,0,1.00,0,0.227,3664,0.00,173.73,65.78,432,1,0,0,1.00,1.00,1.00,9,7,7,29.1,60.113,44,2.000,0.776,7,1.000,2,23.95,-23.25,0,0.0000,0.377,0.0000,1522,0.4264,1,1
100000,18.00,16,0,8,0,8,0,6,0,3,0,1.00,0,0.333,3597,0.03,126.81,11.37,469,0,0,0,1.00,1.00,1.00,3,4,4,15.1,26.274,9,2.000,0.814,4,1.000,6,9.26,-0.50,0,0.0000,0.000,0.0000,2719,0.9428,1,1
100000,88.00,49,0,23,0,26,0,18,0,26,0,1.00,0,0.205,3572,-0.00,127.79,70.42,432,0,0,0,1.00,1.00,1.00,6,7,7,16.2,27.685,44,2.000,0.778,7,1.000,0,5.37,-4.75,0,0.0000,0.375,0.0000,1456,0.4264,1,1
