step,mass,born_size,born_hard,born_muscle,born_sensor,born_digestive,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace,rich,born_rich
100000,8.26,47,1,18,0,28,0,0,0,6,0,1.00,14,0.000,5119,0.00,189.78,98.20,277,0,0,0,1.00,1.00,1.00,3,1,6,23.9,7.293,6,1.377,0.435,7,1.000,6,16.28,-16.00,0,0.0000,0.044,0.0000,2836,1.0000,1,1
100000,21.89,36,2,14,0,20,1,5,0,8,0,1.25,0,0.228,5067,2.84,175.13,52.00,285,1,0,0,1.33,1.00,1.33,3,6,6,30.1,42.889,14,1.460,0.386,6,1.000,13,50.54,-2.00,0,0.0000,0.000,0.0000,3082,0.8549,1,1
100000,17.66,46,4,18,0,24,2,9,0,0,3,1.88,12,0.510,4652,0.00,122.71,145.51,277,2,0,3,2.33,1.00,2.00,2,5,3,44.2,1.187,11,1.359,0.456,7,1.000,4,34.09,-33.25,0,0.0000,0.030,0.0000,2798,0.9518,1,1
100000,43.48,46,4,18,0,24,3,14,0,12,4,1.50,2,0.322,4186,5.23,167.63,39.85,277,2,0,4,2.00,1.00,1.50,6,7,6,45.4,57.978,29,1.359,0.456,7,1.000,4,46.74,-38.50,0,0.0000,0.030,0.0000,2243,0.6067,1,1
100000,7.71,36,1,17,0,18,0,6,0,1,0,1.00,8,0.778,3704,1.30,165.67,48.61,267,0,0,0,1.00,1.00,1.00,3,5,3,21.7,14.687,7,1.102,0.323,6,1.000,4,26.02,-24.50,0,0.0057,0.000,0.0000,2810,1.0000,1,1
100000,62.23,49,2,21,0,26,2,19,0,22,4,1.14,0,0.305,3694,6.65,180.35,90.34,277,0,0,4,1.57,1.00,1.00,6,7,7,24.8,111.447,43,1.383,0.412,7,1.000,2,12.78,6.50,0,0.0000,0.079,0.0000,1766,0.5071,1,1
100000,31.99,36,0,9,0,27,0,5,0,23,0,1.00,0,0.156,3607,0.00,156.42,13.85,267,0,0,0,1.00,1.00,1.00,5,6,6,20.8,37.245,28,1.143,0.352,6,1.000,4,62.34,-60.25,0,0.0000,0.000,0.0000,2289,0.7072,1,1
100000,2.36,24,0,12,0,12,0,0,0,2,0,1.00,16,0.000,3509,0.00,121.18,43.42,267,0,0,0,1.00,1.00,1.00,1,2,2,12.4,3.777,2,1.182,0.287,6,1.000,3,5.70,-4.50,0,0.0000,0.135,0.0000,2962,1.0000,1,1
100000,14.24,36,4,7,0,25,3,3,0,5,1,1.70,4,0.211,3445,0.18,157.11,48.51,178,0,0,1,2.75,1.00,1.58,4,6,4,25.5,39.801,11,1.017,0.470,6,1.000,7,38.00,-24.25,0,0.0000,0.287,0.0000,2604,1.0000,1,1
100000,29.71,36,0,9,0,27,0,2,0,24,0,1.00,0,0.067,3412,0.00,176.44,25.95,267,0,0,0,1.00,1.00,1.00,5,6,6,27.6,57.282,26,1.143,0.352,6,1.000,4,42.71,-9.00,0,0.0000,0.000,0.0000,2179,0.7339,1,1
100000,35.42,36,0,10,0,26,0,7,0,24,0,1.00,0,0.198,3395,0.00,156.72,3.37,267,1,0,0,1.00,1.00,1.00,6,6,6,34.7,11.971,31,1.142,0.414,6,1.000,4,69.46,63.00,0,0.0000,0.000,0.0000,2157,0.6721,1,1
100000,26.43,36,0,13,1,22,0,4,1,15,0,1.00,2,0.151,3361,0.00,111.54,48.73,315,2,0,0,1.00,1.00,1.00,4,6,5,50.1,25.326,20,1.355,0.412,6,1.000,6,53.36,-40.50,1,0.0000,0.045,0.0000,2121,0.7780,1,1
100000,37.29,36,5,10,0,21,4,4,0,18,3,2.36,2,0.107,3206,3.09,98.03,25.00,267,1,0,3,2.60,1.00,2.83,5,6,5,28.6,6.379,26,1.243,0.422,6,1.000,4,10.08,4.00,0,0.0000,0.000,0.0000,1863,0.6551,1,1
