run,seed,band,share,bodies
control,9,-60,0.32315154016820596,19381
control,9,-50,0.3496569522250897,15887
control,9,-40,0.4333634006088623,17738
control,9,-30,0.6231711403149548,26861
control,9,-20,0.7572244232113726,34328
control,9,-10,0.8185034896932316,30805
control,9,0,0.8083109439369515,27915
control,9,10,0.683121376173239,31217
control,9,20,0.50880076114691,23123
control,9,30,0.2887377584330794,18380
control,9,40,0.1609562966346886,13134
control,10,-60,0.6166124186279419,15976
control,10,-50,0.6076381909547739,14925
control,10,-40,0.676127288364664,16278
control,10,-30,0.7436449624187146,23682
control,10,-20,0.8036095543101147,29976
control,10,-10,0.865485564304462,27432
control,10,0,0.8038135754168724,26327
control,10,10,0.6274021844324623,28932
control,10,20,0.4395771047272412,23079
control,10,30,0.25023938716884775,18798
control,10,40,0.09963647154833445,13479
control,11,-60,0.10961687884764808,16731
control,11,-50,0.1360909155078704,14167
control,11,-40,0.1906983125257237,14578
control,11,-30,0.2993104021269525,24072
control,11,-20,0.40890381639171525,30369
control,11,-10,0.49764697364610483,27624
control,11,0,0.4585296001808795,26537
control,11,10,0.3664893258805307,29698
control,11,20,0.28077399929153385,22584
control,11,30,0.1564552729009913,16746
control,11,40,0.04416379640260237,13065
fresh 0.05,9,-60,0.6988972156217632,16413
fresh 0.05,9,-50,0.6600548010483679,16788
fresh 0.05,9,-40,0.6548101627176706,17515
fresh 0.05,9,-30,0.7767056678316365,26324
fresh 0.05,9,-20,0.84182524398603,30637
fresh 0.05,9,-10,0.9486979456889186,26919
fresh 0.05,9,0,0.9024770341207349,24384
fresh 0.05,9,10,0.7009710139696061,27703
fresh 0.05,9,20,0.558095072564526,23014
fresh 0.05,9,30,0.3845485639828438,18419
fresh 0.05,9,40,0.169786866359447,13888
fresh 0.05,10,-60,0.016406475860075168,13836
fresh 0.05,10,-50,0.013217837664420917,15585
fresh 0.05,10,-40,0.031817914485679,17003
fresh 0.05,10,-30,0.11235119047619048,24192
fresh 0.05,10,-20,0.1860417658662676,29402
fresh 0.05,10,-10,0.2727843383420299,25489
fresh 0.05,10,0,0.30542200854700857,22464
fresh 0.05,10,10,0.2663008253035475,23143
fresh 0.05,10,20,0.24663558334216382,18874
fresh 0.05,10,30,0.19348355663824604,16420
fresh 0.05,10,40,0.08823529411764706,11560
fresh 0.05,11,-60,0.5275276870368895,12551
fresh 0.05,11,-50,0.5281098957008394,15724
fresh 0.05,11,-40,0.5298192944980082,17321
fresh 0.05,11,-30,0.6654082528533801,22780
fresh 0.05,11,-20,0.7616949431724592,24284
fresh 0.05,11,-10,0.8985235039390619,19167
fresh 0.05,11,0,0.8498427672955975,16536
fresh 0.05,11,10,0.6683177074119936,22612
fresh 0.05,11,20,0.5636758678583773,20251
fresh 0.05,11,30,0.4060226786478391,18696
fresh 0.05,11,40,0.20292676377794186,14897
fresh 0.2,9,-60,0.8278844263906179,15263
fresh 0.2,9,-50,0.7943118875159778,18776
fresh 0.2,9,-40,0.8290358447609467,18887
fresh 0.2,9,-30,0.891566265060241,24319
fresh 0.2,9,-20,0.9073253971478487,24613
fresh 0.2,9,-10,0.9055683859379009,23382
fresh 0.2,9,0,0.8954545454545455,22220
fresh 0.2,9,10,0.8588716407945252,23964
fresh 0.2,9,20,0.8147192402972749,19376
fresh 0.2,9,30,0.7355607355607355,19305
fresh 0.2,9,40,0.6766877286331893,15035
fresh 0.2,10,-60,0.841717791411043,13855
fresh 0.2,10,-50,0.803170265099754,18295
fresh 0.2,10,-40,0.8030861596797978,18988
fresh 0.2,10,-30,0.839006942983379,23765
fresh 0.2,10,-20,0.8469909243105119,22698
fresh 0.2,10,-10,0.8511836578846889,20952
fresh 0.2,10,0,0.8415083076310815,20102
fresh 0.2,10,10,0.8367123047217834,22788
fresh 0.2,10,20,0.8105733507380259,19918
fresh 0.2,10,30,0.7610243902439024,20500
fresh 0.2,10,40,0.7414901536171077,14777
fresh 0.2,11,-60,0.634728393292246,13954
fresh 0.2,11,-50,0.6072633354417035,18972
fresh 0.2,11,-40,0.6148749219762808,20827
fresh 0.2,11,-30,0.6081212356712649,25735
fresh 0.2,11,-20,0.6104142011834319,25350
fresh 0.2,11,-10,0.618590831918506,23560
fresh 0.2,11,0,0.60967273348714,23406
fresh 0.2,11,10,0.5686957187129357,26137
fresh 0.2,11,20,0.5242626480086114,23225
fresh 0.2,11,30,0.4719752267197523,22605
fresh 0.2,11,40,0.44907548666625985,16387
