run,unit,fresh,kinds_at,placed_at,kills,pop,travel,d_hunger,d_thirst,d_cold,d_broken,d_wound,pop_land,w_drunk,w_air,w_sweat,born_dry,w_err,stand_spring,stand_summer,stand_autumn,stand_winter,lawn_spring,lawn_summer,lawn_autumn,lawn_winter,fill_stand_spring,fill_stand_summer,fill_stand_autumn,fill_stand_winter,fill_lawn_spring,fill_lawn_summer,fill_lawn_autumn,fill_lawn_winter,home,lawn_autumn_share,lawn_spring_share,n_stand_spring,water_stand_spring,cool_stand_spring,warm_stand_spring,n_stand_summer,water_stand_summer,cool_stand_summer,warm_stand_summer,n_stand_autumn,water_stand_autumn,cool_stand_autumn,warm_stand_autumn,n_stand_winter,water_stand_winter,cool_stand_winter,warm_stand_winter,n_lawn_spring,water_lawn_spring,cool_lawn_spring,warm_lawn_spring,n_lawn_summer,water_lawn_summer,cool_lawn_summer,warm_lawn_summer,n_lawn_autumn,water_lawn_autumn,cool_lawn_autumn,warm_lawn_autumn,n_lawn_winter,water_lawn_winter,cool_lawn_winter,warm_lawn_winter,lines,top_share
life9_u9.4_f0.2,9.4,0.2,6.88,3.56,0.32263693451055325,9202.709677419354,12.5,0.4041794831140003,0.45763608200900097,0.013923479406276298,0.0027051749582271225,0.12155578051249527,3792.7419354838707,4167.721664516129,943.0807741935483,2923.98884516129,0.176936777777076,1.47e-11,0.07127952591603372,0.05203619909502263,0.06971093422706326,0.0695137420718816,0.0444408129373911,0.02234858210342721,0.049070249075553726,0.018716193046690928,0.5016313579834738,0.3706750727213963,0.491156413908672,0.6419874841437632,0.3742905381083724,0.21831115769063913,0.31650831194895157,0.4547628627368561,1.5078057311636208,0.703910363842228,0.6234723416895582,382,0.5391125654450264,0.0026545824978577086,0.00032181717501607516,215,0.3873023255813952,0.004218773852942906,0.00024134972232824019,387,0.5280335917312663,0.002580718212526945,0.0006728060062451667,273,0.710153846153846,0.0003569130222740003,0.004376292060299814,10929,0.4849961570134486,0.001230213667178474,0.006711113578322123,4230,0.2561914893617023,0.003377758622924197,0.00035941567323193,12953,0.3405200339689644,0.0019012083328287875,0.0022069799318760967,3842,0.5958417490890169,0.00024073410691967119,0.01865193166956383,1,0.8015806719904565
life9_u9.4_f0.5,9.4,0.5,5.2,2.04,0.3358057990777763,10596.322580645161,19.75,0.4404278584709787,0.37835885919469464,0.02584780576999689,0.002298796040874514,0.15306668052345526,3915.967741935484,5365.640335483871,1155.8081451612902,3598.290264516129,0.21094931961551933,3.32e-11,0.07950631458094144,0.05850818005360939,0.06380120886501008,0.0612638687891944,0.054603984316909625,0.037534454290457125,0.034559830381200585,0.022871563464721443,0.48740579793340993,0.35079131158147697,0.49057959320732986,0.6427886637723108,0.3942732831450906,0.2291838580405869,0.35628761826935823,0.4941344863400415,1.6073050121165728,0.5416798677642912,0.686788019350589,370,0.7391081081081082,0.0028384577169261196,0.004638267604446365,210,0.6336285714285714,0.005080424499781386,0.00047280337696740645,250,0.8166840000000003,0.002353976227154674,0.006395960736979947,192,0.8627552083333331,0.0009977914474110204,0.015900194155861823,14381,0.6703513663862003,0.0018291029595308764,0.011543346936401494,7976,0.5510961634904706,0.004062407172949507,0.0007530973939487496,10302,0.6562624733061547,0.002133382264321735,0.009388084888976753,4157,0.7760303103199433,0.0004388298881703093,0.024896750478983914,1,0.9088639709317491
life9_u0,0.0,0.05,7.08,4.44,0.28189704173222596,9509.0,4.75,0.35887906425078114,0.4813635689136505,0.01790174508678738,0.0020727899493294955,0.13978283179945147,4138.129032258064,0.0,0.0,0.0,0.0,2.28e-14,0.09548496212956835,0.027045075125208682,0.11205336951605609,0.0807671937656049,0.027983323811293828,0.005773411966959168,0.046268166610407294,0.01705035509147964,0.7454964188543275,0.436171036913374,0.6137069802502638,0.8699670235303019,0.3172520339305832,0.16386170494922986,0.25995072873108704,0.3652311537720442,2.7925817231327628,0.4129118723536247,0.2930652449054946,1753,0.7790867084997164,0.0021650664900877185,0.0027954565652939713,250,0.2005479999999999,0.003938328533812128,0.00015715912688284714,1651,0.4636638400969113,0.001953132606058541,0.002364502937685238,906,0.8924470198675497,0.0005774247613053627,0.011324843695018122,7060,0.6441007082152973,0.0014379853867254547,0.00521277688679611,1041,0.25843227665706037,0.002903925955434164,0.00033514313565245166,10570,0.30978684957426855,0.0009661415178593633,0.004811340916590262,3545,0.6955458392101556,0.0003186817978410043,0.01562543545331638,4,0.550360347947027
life9_u9.4,9.4,0.05,6.88,3.2,0.24085598076860074,8428.967741935483,2.25,0.30921425454488016,0.5153564327306402,0.028244206228070348,0.002439041246008976,0.14474606525040035,3819.6129032258063,1715.958122580645,716.1321064516129,1530.4514741935484,0.06686131146811575,4.75e-12,0.07562692040836555,0.014307638992029309,0.13545209930446261,0.10120164275211682,0.026320777337550384,0.0024119931438980466,0.057405149996683766,0.0203853691293563,0.6400960501536327,0.4544793455121539,0.5984937807787989,0.779724108908381,0.38713391466185587,0.2095303577027024,0.29852540372287256,0.43257567323109825,2.513157713305398,0.42380406277536736,0.3480344987661151,952,0.3545955882352943,0.0020379716850627027,0.007011392594694185,149,0.16894630872483235,0.002337888180118306,0.003451495298973434,1482,0.2280809716599193,0.002100256217171231,0.007152892483973995,877,0.5963169897377425,0.0007526704028178419,0.017984531249367976,7097,0.268562632098069,0.0009521332651783619,0.011551008119622064,494,0.14055263157894737,0.0017532193961109538,0.0005540724954118879,13764,0.11837191223481458,0.0006119606003756224,0.004330810751873368,3829,0.3455053538782982,0.0003308951904875477,0.020448431413496698,1,0.6687652412125644
