step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool
70000,1,574,40.20,2.95,8.44,0.06,14.73,0.70,1.86,0.298,0.173,333046.0,258581.5,8,58,4.52,2.06,1.38,10.8521,177.28,32080.1,0.0000,30.7905,5461,26.4236,999,7.2632,30172.6,81.35,16.2139,0.0,0.0000,1.000,0.2025
70000,2,383,42.10,3.16,9.82,0.07,15.43,0.98,1.90,0.381,0.124,239206.5,154336.8,6,58,4.85,2.19,1.29,6.1461,107.57,35825.9,0.0000,22.5953,5461,26.4236,830,4.5466,16960.0,53.21,33.4041,0.0,0.0000,1.000,0.0207
80000,0,488,42.78,0.81,12.01,0.18,17.09,0.16,1.19,0.059,0.167,166983.3,54483.1,8,48,4.94,1.22,1.20,2.6969,177.50,31479.8,0.0000,15.8442,5462,9.5105,766,2.0289,6800.7,165.42,0.9654,0.0,0.0000,1.000,0.7635
80000,1,392,39.78,0.77,10.76,0.69,18.12,0.12,1.17,0.043,0.135,81154.8,22233.0,8,64,5.18,1.22,1.15,1.1543,134.10,35997.6,0.0000,7.6846,5461,9.5088,643,0.9079,2582.3,81.35,4.4104,0.0,0.0000,1.000,0.2025
80000,2,294,40.77,1.14,10.97,1.49,18.75,0.30,1.26,0.085,0.111,52711.9,13495.7,8,49,5.22,1.36,1.10,0.7724,119.89,40142.1,0.0000,5.0236,5461,9.5088,627,0.5989,1347.4,53.21,8.5202,0.0,0.0000,1.000,0.0207
90000,0,585,37.71,1.49,8.98,0.62,14.42,0.48,1.37,0.174,0.172,335377.2,221076.3,11,65,4.35,1.52,1.18,9.8778,208.33,32236.6,0.0000,31.3866,5462,26.1689,908,5.8395,26775.7,165.42,2.2164,0.0,0.0000,1.000,0.7635
90000,1,548,36.69,1.44,7.88,0.87,14.75,0.44,1.41,0.177,0.156,313280.2,206242.3,11,80,4.21,1.51,1.23,9.1755,186.70,34680.5,0.0000,29.3260,5461,26.1641,820,5.6243,25673.4,81.35,15.9341,0.0,0.0000,1.000,0.2025
90000,2,348,37.90,1.33,8.43,0.60,14.53,0.35,1.37,0.144,0.099,228936.3,124844.2,9,61,4.26,1.52,1.19,5.3943,114.69,36592.2,0.0000,21.7996,5461,26.1641,793,3.8605,15737.7,53.21,33.4365,0.0,0.0000,1.000,0.0207
100000,0,580,38.59,1.12,9.36,1.95,13.37,0.20,1.28,0.081,0.172,163543.4,64826.0,4,48,4.30,1.30,1.18,2.8723,317.02,30503.4,0.0000,15.8820,5462,9.2362,1063,1.8455,6718.2,165.42,0.9896,0.0,0.0000,1.000,0.7635
100000,1,454,37.87,1.07,8.08,1.91,15.05,0.19,1.24,0.090,0.135,80156.3,24709.4,3,89,4.46,1.29,1.12,1.1688,162.12,34942.6,0.0000,7.8318,5461,9.2345,846,0.8384,2657.3,81.35,4.4799,0.0,0.0000,1.000,0.2025
100000,2,303,38.57,1.14,8.63,1.91,15.06,0.27,1.24,0.122,0.093,52217.8,16080.8,4,86,4.39,1.34,1.09,0.7935,108.78,38962.2,0.0000,5.0695,5461,9.2345,734,0.5453,1406.6,53.21,8.5391,0.0,0.0000,1.000,0.0207
