step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange
100000,2.00,28,0,0,0,1,0,1.00,56,0.000,3468,0.00,199.95,26.57,101,2,1,0,1.00,1.00,1.00,1,1,1,42.4,1.568,1,2.000,0.010,15,1.000,18,11.79,1.00,0,0.0000,0.000,0.0000
100000,18.00,26,0,2,0,7,0,1.00,44,0.111,3399,0.00,172.11,21.16,101,2,0,0,1.00,1.00,1.00,2,4,4,43.9,6.576,9,2.000,0.010,15,1.000,16,38.93,38.75,0,0.0000,0.000,0.0000
100000,6.00,28,0,3,0,0,0,1.00,52,0.500,3341,0.00,206.95,33.40,101,0,0,0,1.00,1.00,1.00,1,2,2,27.2,2.338,3,2.000,0.010,15,1.000,17,50.44,44.50,0,0.0000,0.000,0.0000
100000,10.00,28,0,2,0,3,0,1.00,48,0.200,3305,0.00,229.31,37.27,101,2,0,0,1.00,1.00,1.00,3,4,2,46.4,21.619,5,2.000,0.010,15,1.000,19,57.57,-55.00,0,0.0000,0.000,0.0000
100000,12.00,28,0,1,0,5,0,1.00,46,0.083,3278,2.72,188.22,34.38,101,2,0,0,1.00,1.00,1.00,2,5,2,40.2,20.917,6,2.000,0.010,15,1.000,17,21.37,2.25,0,0.0000,0.000,0.0000
100000,12.00,28,0,3,0,3,0,1.00,46,0.250,3246,0.04,231.89,25.85,101,1,0,0,1.00,1.00,1.00,2,5,2,38.2,16.751,6,2.000,0.010,15,1.000,14,27.90,-27.25,0,0.0000,0.000,0.0000
100000,10.00,28,0,1,0,4,0,1.00,44,0.100,3245,0.94,194.55,60.14,101,2,0,0,1.00,1.00,1.00,3,4,4,44.8,31.806,5,2.000,0.010,15,1.000,17,35.39,-32.50,0,0.0000,0.000,0.0000
100000,6.00,25,0,3,0,0,0,1.00,52,0.500,3240,0.00,169.84,28.79,101,0,0,0,1.00,1.00,1.00,2,3,1,23.2,4.736,3,2.000,0.009,15,1.000,16,18.68,-5.00,0,0.0000,0.000,0.0000
100000,10.00,25,0,0,0,5,0,1.00,48,0.000,3230,1.60,189.30,27.29,101,0,0,0,1.00,1.00,1.00,4,4,2,26.8,29.599,5,2.000,0.009,15,1.000,16,35.53,22.50,0,0.0000,0.000,0.0000
100000,6.00,28,0,0,0,3,0,1.00,52,0.000,3216,0.20,176.78,38.72,101,0,0,0,1.00,1.00,1.00,1,3,1,26.8,13.395,3,2.000,0.010,15,1.000,15,9.49,-3.00,0,0.0000,0.000,0.0000
100000,4.00,28,0,0,0,2,0,1.00,54,0.000,3191,0.00,186.86,30.04,101,0,0,0,1.00,1.00,1.00,1,1,2,19.5,6.943,2,2.000,0.010,15,1.000,16,11.25,0.25,0,0.0000,0.000,0.0000
100000,14.00,28,0,1,0,6,0,1.00,44,0.071,3184,2.63,159.55,26.13,101,0,0,0,1.00,1.00,1.00,2,4,4,6.6,21.090,7,2.000,0.010,15,1.000,15,15.02,-0.75,0,0.0000,0.000,0.0000
100000,4.00,26,0,0,0,2,0,1.00,54,0.000,3181,0.32,174.43,16.43,101,1,0,0,1.00,1.00,1.00,1,2,1,36.4,9.853,2,2.000,0.010,15,1.000,15,51.15,-43.75,0,0.0000,0.000,0.0000
100000,18.00,25,0,1,0,8,0,1.00,44,0.056,3142,1.96,189.09,37.65,101,0,0,0,1.00,1.00,1.00,3,5,3,9.5,39.650,9,2.000,0.009,15,1.000,12,17.46,17.00,0,0.0000,0.000,0.0000
100000,6.00,28,0,0,0,3,0,1.00,50,0.000,3080,1.53,214.16,53.32,101,1,0,0,1.00,1.00,1.00,1,2,3,37.5,16.877,3,2.000,0.010,15,1.000,13,44.12,-23.25,0,0.0000,0.000,0.0000
100000,18.00,28,0,2,0,7,0,1.00,42,0.111,3052,0.00,254.17,43.10,101,0,0,0,1.00,1.00,1.00,4,4,5,20.0,55.537,9,2.000,0.010,15,1.000,14,43.61,27.00,0,0.0000,0.000,0.0000
100000,36.00,28,0,5,0,13,0,1.00,34,0.139,3024,1.73,278.54,37.33,101,2,1,0,1.00,1.00,1.00,3,7,6,40.6,117.304,18,2.000,0.010,15,1.000,9,62.61,62.50,0,0.0000,0.000,0.0000
100000,16.00,28,0,0,0,8,0,1.00,44,0.000,3014,1.89,213.24,22.28,101,0,0,0,1.00,1.00,1.00,2,2,6,18.5,33.939,8,2.000,0.010,15,1.000,12,34.73,-30.00,0,0.0000,0.000,0.0000
100000,30.00,28,0,3,0,12,0,1.00,38,0.100,3006,0.00,132.12,34.42,101,0,0,0,1.00,1.00,1.00,3,5,6,21.5,32.308,15,2.000,0.010,15,1.000,11,22.37,5.25,0,0.0000,0.000,0.0000
100000,38.00,28,0,5,0,14,0,1.00,36,0.132,2942,0.00,216.77,17.07,101,1,0,0,1.00,1.00,1.00,5,6,6,34.2,90.663,19,2.000,0.010,15,1.000,7,10.41,-4.25,0,0.0000,0.000,0.0000
100000,38.00,28,0,7,0,12,0,1.00,32,0.184,2897,0.00,191.03,39.83,101,0,0,0,1.00,1.00,1.00,4,8,6,4.7,49.883,19,2.000,0.010,15,1.000,9,24.48,20.25,0,0.0000,0.000,0.0000
100000,14.00,27,0,0,0,7,0,1.00,48,0.000,2885,0.50,206.89,21.81,101,0,0,0,1.00,1.00,1.00,2,2,4,7.3,21.504,7,2.000,0.010,15,1.000,11,16.89,-7.25,0,0.0000,0.000,0.0000
100000,26.00,42,0,1,0,12,0,1.00,40,0.038,2845,0.00,248.65,24.69,101,1,0,0,1.00,1.00,1.00,4,4,6,39.1,34.226,13,2.000,0.015,15,1.000,11,30.75,-14.25,0,0.0000,0.000,0.0000
100000,18.00,26,0,3,0,6,0,1.00,44,0.167,2840,2.14,185.41,20.05,101,0,0,0,1.00,1.00,1.00,3,5,3,11.5,45.595,9,2.000,0.010,15,1.000,11,1.41,1.00,0,0.0000,0.000,0.0000
100000,12.00,41,0,1,0,5,0,1.00,38,0.083,2787,0.14,178.27,19.08,101,1,0,0,1.00,1.00,1.00,2,5,4,34.1,41.033,6,2.000,0.013,14,1.000,7,57.50,0.50,0,0.0000,0.000,0.0000
100000,30.00,26,0,4,0,11,0,1.00,38,0.133,2767,4.92,232.70,9.96,101,1,0,0,1.00,1.00,1.00,3,6,5,33.2,83.428,15,2.000,0.010,15,1.000,9,60.37,-52.25,0,0.0000,0.000,0.0000
100000,36.00,28,0,8,0,10,0,1.00,34,0.222,2647,0.00,148.19,10.56,101,0,1,0,1.00,1.00,1.00,4,9,4,26.4,30.662,18,2.000,0.010,15,1.000,7,32.54,-17.00,0,0.0000,0.000,0.0000
100000,40.00,28,0,7,0,13,0,1.00,30,0.175,2628,1.70,206.46,15.79,101,1,0,0,1.00,1.00,1.00,6,9,6,38.5,98.658,20,2.000,0.010,15,1.000,8,21.43,-6.25,0,0.0000,0.000,0.0000
100000,42.00,27,0,6,0,15,0,1.00,34,0.143,2625,0.13,162.24,12.77,101,0,0,0,1.00,1.00,1.00,5,8,5,5.5,48.499,21,2.000,0.010,15,1.000,6,14.71,7.75,0,0.0000,0.000,0.0000
100000,40.00,28,0,5,0,15,0,1.00,32,0.125,2616,4.27,220.31,21.33,101,2,1,0,1.00,1.00,1.00,5,8,6,47.0,85.432,20,2.000,0.010,15,1.000,8,26.83,24.00,0,0.0000,0.000,0.0000
100000,38.00,25,0,8,0,11,0,1.00,34,0.211,2597,0.00,108.08,30.66,101,0,0,0,1.00,1.00,1.00,5,9,4,4.8,26.840,19,2.000,0.009,15,1.000,6,8.87,8.25,0,0.0000,0.000,0.0000
100000,44.00,28,0,8,0,14,0,1.00,30,0.182,2580,1.77,150.54,23.00,101,0,0,0,1.00,1.00,1.00,5,9,6,19.8,65.370,22,2.000,0.010,15,1.000,6,12.01,0.50,0,0.0000,0.000,0.0000
100000,36.00,25,0,8,0,10,0,1.00,32,0.222,2562,0.38,186.89,7.60,101,2,0,0,1.00,1.00,1.00,5,9,5,45.4,74.143,18,2.000,0.009,15,1.000,7,63.02,60.75,0,0.0000,0.000,0.0000
100000,48.00,28,0,8,0,16,0,1.00,32,0.167,2551,0.00,175.27,9.01,101,0,0,0,1.00,1.00,1.00,7,8,6,27.8,71.168,24,2.000,0.010,15,1.000,4,27.94,19.25,0,0.0000,0.000,0.0000
100000,36.00,28,0,8,0,10,0,1.00,32,0.222,2542,1.03,174.42,19.47,101,0,0,0,1.00,1.00,1.00,5,9,5,0.8,58.685,18,2.000,0.010,15,1.000,10,27.92,-26.25,0,0.0000,0.000,0.0000
100000,36.00,27,0,4,0,14,0,1.00,34,0.111,2475,2.53,159.32,15.46,101,0,0,0,1.00,1.00,1.00,4,8,5,16.9,39.454,18,2.000,0.010,15,1.000,9,19.90,9.00,0,0.0000,0.000,0.0000
100000,38.00,25,0,8,0,11,0,1.00,34,0.211,2474,0.00,111.22,6.30,101,0,0,0,1.00,1.00,1.00,5,9,4,16.8,7.529,19,2.000,0.009,15,1.000,6,4.43,-4.25,0,0.0000,0.000,0.0000
100000,46.00,28,0,8,0,15,0,1.00,30,0.174,2414,0.04,258.89,19.37,101,0,0,0,1.00,1.00,1.00,5,9,6,22.2,101.483,23,2.000,0.010,15,1.000,5,15.13,7.75,0,0.0000,0.000,0.0000
100000,48.00,28,0,7,0,17,0,1.00,30,0.146,2401,0.00,166.67,25.60,101,0,0,0,1.00,1.00,1.00,7,9,6,27.9,41.489,24,2.000,0.010,15,1.000,4,20.01,-0.50,0,0.0000,0.000,0.0000
