step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
1000,2364,0.3236,17348.7,103,845,1029,490,13,24,23,26550,27887,30202,0,0,0,1.000,1.000,1.000,713,392,39,0.4047,0.0923,0.5468,0.0818
2000,1625,0.4831,15095.0,238,495,673,457,41,33,38,31324,31070,35493,0,0,0,1.000,1.000,1.000,411,191,16,0.4016,0.1265,0.6425,0.0629
3000,1689,0.4920,17292.9,280,618,655,416,42,52,49,29798,29365,35100,0,0,0,1.000,1.000,1.000,495,264,31,0.4171,0.1125,0.6414,0.0614
4000,1898,0.4868,21157.1,307,670,723,505,39,61,72,27294,27558,34254,0,0,0,1.000,1.000,1.000,542,275,30,0.4139,0.1227,0.6154,0.0655
5000,1956,0.4785,24398.6,328,665,751,540,39,62,66,27329,26479,33557,0,0,0,1.000,1.000,1.000,539,252,21,0.3870,0.1213,0.6046,0.0705
6000,1716,0.4598,23226.5,346,554,662,500,75,58,81,24952,24331,31904,0,0,0,1.000,1.000,1.000,434,250,26,0.4830,0.1043,0.6758,0.0568
7000,1924,0.4314,20221.2,269,736,728,460,73,70,75,24049,24196,32014,0,0,0,1.000,1.000,1.000,580,290,32,0.5107,0.1026,0.6730,0.0507
8000,1950,0.4554,19768.7,271,696,793,461,82,65,75,25068,26329,33116,0,0,0,1.000,1.000,1.000,541,323,21,0.4807,0.0902,0.6645,0.0522
9000,1600,0.4344,18404.9,286,609,636,355,74,85,57,25805,27299,34465,0,0,0,1.000,1.000,1.000,503,250,7,0.4954,0.0954,0.7051,0.0536
10000,1365,0.4623,15804.9,311,492,552,321,50,55,74,26785,29052,35713,0,0,0,1.000,1.000,1.000,384,221,20,0.4967,0.0964,0.7189,0.0520
11000,1029,0.5666,12752.2,414,502,311,216,47,50,58,28816,33237,39419,0,0,0,1.000,1.000,1.000,427,110,25,0.4741,0.0962,0.7662,0.0598
12000,669,0.5456,10154.3,461,333,184,152,27,40,36,29516,36444,41827,0,0,0,1.000,1.000,1.000,293,83,8,0.4407,0.1154,0.7780,0.0681
13000,495,0.5717,7759.1,580,270,146,79,32,32,28,31055,40013,44652,0,0,0,1.000,1.000,1.000,215,45,6,0.3256,0.1646,0.7932,0.0854
14000,285,0.4982,5099.3,639,218,52,15,19,18,8,31204,42615,46431,0,0,0,1.000,1.000,1.000,182,23,0,0.1989,0.1883,0.8340,0.0952
15000,255,0.5686,4840.0,741,206,41,8,14,18,4,30784,44043,47358,0,0,0,1.000,1.000,1.000,150,19,0,0.1541,0.2295,0.7519,0.1053
