step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest
10000,977,1.151,2.066,14.88,62037,51917,0,9882,709,817560,619993.5,434426.7,0.215,0.479,0.148,0.158,143,27.81,12.08,0.06,0.75,8.38,4.92,0.66,1.86,5.99,5.25,0.00,0.00,0.305,0.141,583,0.052,0.054,0.913,0.011,0.021,114524,98584,4,0.653,0.223,0.212,3097965,0.289,3.185,0.226,46.90,42085,221,0.531,0.270,0.354,3736178,1.01,1.61,0.397,0.438,0.000,9.8,28.1,45.8,77.9,14756,0.056,0.00,0.0106,0.084,219,0.470,0.000,0.385,0.480,3.10,4.07,4.07,0.02,0.008,1.00,1.02,1.01,0.508,0.00499,51.11,24.4203,349.59,96851.2,140078.7,0.100,26.9766,124.560,0.000,1.000,0.000,26.1,51.932,71.228,4405,29241.0,14.55,52.509,6.29,22.318,2003.1,5.781,0.135,2.00,7.8599,7679.1,0.6903,0.3644,15.10,1.891,0.125,1.5122,0.0000,0.469,0.145,0.355,0.0000,4.47,0.57,6,16,25,36,48.2343,0.0147,0.4821,0.0000,0.0000,51.0283,100.00,84.6894,168.3818,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,76.3030,0.7739,0.0036,0.0015,0.000007,1,0.1288,0.0184,0.0168,48,165,466,0.0000,0.0000,0.0591,0.251,2.3902,0.0073,0.8011,0.0235,0.3690,0.1458,0.0000,0.00049,0.880,0.0229,0.653,0.109,0.61,0.212,0.464,0.045,0.1623,0.142,0.638,1.0025,1.0656,1.4153,1.5209,0.09445,0.05172
20000,1638,1.097,1.453,19.09,20800,17796,0,2287,36,155673,202035.3,97187.1,0.168,0.586,0.100,0.147,176,25.72,8.97,0.00,0.14,5.49,3.25,0.93,2.14,7.08,3.76,0.00,0.12,0.212,0.110,889,0.057,0.122,0.858,0.005,0.014,24288,20430,4,0.698,0.039,0.341,1668753,0.239,2.722,0.155,18.02,13095,270,0.624,0.330,0.188,1779594,1.00,1.00,0.361,0.435,0.001,13.0,27.7,31.9,64.1,22111,0.084,0.00,0.0017,0.067,676,0.437,0.000,0.200,0.230,3.11,3.87,3.89,0.00,0.001,1.00,1.00,1.00,0.452,0.00103,7.39,3.6210,374.92,99810.2,140078.7,0.000,9.5332,41.671,0.000,1.000,0.000,41.6,17.849,24.634,3280,20241.5,22.45,15.673,4.45,9.066,990.8,1.354,0.133,2.00,8.4165,13786.1,0.8041,0.5028,13.50,1.975,0.043,0.4878,0.0000,0.518,0.131,0.565,0.0000,4.13,0.36,7,15,16,36,16.7232,0.0028,0.4597,0.0000,0.0000,14.6222,100.00,94.9830,89.2956,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,30.8162,0.8448,0.0027,0.0012,0.000001,20,0.1473,0.0421,0.0254,54,191,639,0.0000,0.0000,0.0170,0.041,0.3249,0.0198,0.1852,0.0299,0.4354,0.0364,0.0000,0.00027,0.463,0.0080,0.815,0.217,0.85,0.341,0.420,0.028,0.0786,0.082,0.666,1.0466,1.0379,1.5465,1.7432,0.08593,0.04913
30000,1161,0.999,1.340,25.92,69335,56690,0,12920,172,565325,541795.5,368267.1,0.134,0.637,0.100,0.130,123,24.78,9.13,0.00,0.00,6.78,3.56,0.68,1.63,5.27,3.19,0.00,0.00,0.272,0.116,587,0.059,0.089,0.890,0.003,0.018,88843,72254,2,0.450,0.533,0.207,6646909,0.249,2.644,0.141,48.94,50685,264,0.651,0.367,0.326,6724752,1.00,1.32,0.492,0.463,0.000,9.0,29.0,32.0,56.9,14784,0.056,0.00,0.0089,0.093,364,0.500,0.000,0.269,0.264,3.02,3.69,3.70,0.00,0.000,1.00,1.00,1.00,0.517,0.00381,48.56,12.6827,375.84,106141.1,140078.7,0.000,20.5165,117.837,0.000,1.000,0.002,27.7,48.613,76.704,2880,18419.6,15.19,41.690,4.18,19.554,961.4,5.055,0.134,2.00,8.8046,10222.2,0.8642,0.5354,12.73,1.999,0.004,1.5122,0.0000,0.331,0.134,0.109,0.0000,4.03,0.18,5,16,16,31,45.4868,0.0031,0.4651,0.0000,0.0000,51.8316,100.00,83.7659,169.8321,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,78.8773,0.8587,0.0029,0.0012,0.000004,30,0.2448,0.0405,0.0190,42,167,634,0.0000,0.0000,0.0306,0.060,1.3374,0.0346,0.8050,0.0181,0.3881,0.1470,0.0000,0.00022,0.380,0.0091,0.982,0.567,0.66,0.207,0.283,0.029,0.0403,0.094,0.738,1.1570,1.1854,1.6910,1.7714,0.06524,0.05362
40000,1488,1.114,1.523,28.70,20001,15800,0,3842,9,162367,181780.9,103567.8,0.072,0.732,0.074,0.121,170,25.39,9.34,0.00,0.00,6.03,3.50,0.47,1.72,6.43,3.82,0.00,0.00,0.240,0.124,694,0.100,0.106,0.860,0.004,0.030,22364,17504,4,0.664,0.263,0.164,1091520,0.198,2.825,0.168,17.32,15309,290,0.638,0.408,0.227,1771418,1.00,1.26,0.478,0.427,0.000,10.0,30.0,32.0,113.9,19246,0.073,0.00,0.0019,0.095,524,0.361,0.000,0.170,0.195,3.01,3.70,3.73,0.00,0.000,1.00,1.00,1.00,0.375,0.00157,7.25,3.1129,366.57,99296.9,140078.7,0.000,7.4446,38.471,0.000,1.000,0.000,36.6,16.179,23.285,3332,21639.3,26.78,13.418,3.94,6.991,1120.1,1.234,0.135,2.00,8.9914,13379.2,0.8694,0.5515,12.93,2.000,0.001,0.4878,0.0000,0.369,0.144,0.163,0.0000,4.03,0.23,5,15,16,57,14.7019,0.0002,0.4435,0.0000,0.0000,14.6227,100.00,98.4242,85.0781,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,33.7288,0.8318,0.0025,0.0010,0.000002,23,0.1777,0.0430,0.0302,37,158,740,0.0000,0.0000,0.0063,0.010,0.1739,0.0203,0.1326,0.0208,0.4882,0.0579,0.0000,0.00031,0.047,0.0009,0.980,0.719,0.43,0.164,0.189,0.009,0.0249,0.064,0.798,1.1138,1.2011,1.7816,1.7419,0.06142,0.08548
50000,1039,0.690,1.205,35.26,56020,45982,0,10331,20,450209,521748.5,285096.7,0.154,0.701,0.072,0.073,124,27.85,7.35,0.00,0.00,7.08,2.68,0.08,0.49,6.81,2.51,0.00,0.00,0.251,0.082,399,0.226,0.042,0.950,0.001,0.007,64926,48497,2,0.831,0.158,0.035,1135393,0.225,2.518,0.126,46.84,46911,257,0.633,0.399,0.105,6964014,1.00,0.64,0.584,0.405,0.000,16.0,32.0,32.0,50.0,14512,0.055,0.00,0.0074,0.158,277,0.512,0.000,0.206,0.213,3.31,3.85,3.84,0.00,0.000,1.00,1.00,1.00,0.526,0.00477,46.25,10.4379,420.61,101985.4,140078.7,0.000,17.9391,110.927,0.000,1.000,0.008,32.7,47.212,72.945,2589,16284.2,17.24,38.692,3.96,18.038,883.6,4.859,0.136,1.99,16.3868,17025.9,1.3581,0.5081,13.97,2.000,0.000,1.5122,0.0000,0.328,0.122,0.093,0.0000,4.00,0.07,8,16,16,25,43.8752,0.0041,0.5804,0.0000,0.0000,52.2934,100.00,81.6966,167.0674,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,84.3413,0.8740,0.0025,0.0010,0.000005,136,0.8931,0.2435,0.0320,38,159,684,0.0000,0.0000,0.0085,0.017,0.4705,0.1345,0.3832,0.0500,0.3733,0.1721,0.0000,0.00067,0.035,0.0008,1.000,0.929,0.08,0.035,0.167,0.011,0.0465,0.063,0.810,1.0772,1.1163,1.7839,1.5860,0.04611,0.05931
60000,1254,0.964,1.043,34.92,13591,11607,0,1570,9,77612,183970.6,55544.9,0.211,0.677,0.058,0.054,183,27.43,7.75,0.00,0.00,6.11,2.89,0.15,0.77,7.53,3.22,0.00,0.00,0.224,0.100,456,0.255,0.116,0.864,0.002,0.017,12504,9271,4,0.386,0.069,0.062,304433,0.206,2.357,0.110,17.20,10640,235,0.716,0.459,0.148,1792149,1.00,0.74,0.591,0.351,0.000,16.0,32.0,32.0,85.0,17292,0.066,0.00,0.0019,0.122,411,0.421,0.000,0.157,0.115,3.22,3.83,3.83,0.00,0.000,1.00,1.00,1.00,0.428,0.00138,7.22,3.7893,290.88,106431.4,140078.7,0.000,7.2419,37.140,0.000,1.000,0.000,34.3,16.569,23.773,2248,14190.8,12.23,13.550,3.97,6.171,677.8,1.023,0.135,1.99,11.6613,14623.3,0.9951,0.4942,13.79,2.000,0.000,0.4878,0.0000,0.386,0.206,0.301,0.0000,4.02,0.19,8,16,16,43,15.5288,0.0038,0.4841,0.0000,0.0000,14.6021,100.00,98.5029,86.5023,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,34.7264,0.8900,0.0019,0.0008,0.000002,190,0.7321,0.0758,0.0802,45,200,1193,0.0000,0.0000,0.0093,0.014,0.0807,0.1343,0.1362,0.0231,0.4557,0.0488,0.0000,0.00033,0.039,0.0010,0.924,0.695,0.15,0.062,0.233,0.015,0.0254,0.069,0.786,0.9903,1.0868,1.3973,1.1114,0.05366,0.05821
70000,1199,0.820,1.012,34.92,41064,34552,0,6188,34,272785,502924.8,177827.3,0.151,0.761,0.051,0.038,136,27.14,8.00,0.00,0.00,6.10,2.74,0.17,0.97,7.38,2.87,0.00,0.00,0.223,0.094,445,0.390,0.093,0.897,0.000,0.010,41797,28591,5,0.401,0.330,0.052,1052526,0.181,2.289,0.103,46.14,33134,186,0.652,0.426,0.069,6855386,1.00,0.80,0.590,0.379,0.000,12.0,32.0,32.0,46.0,16373,0.062,0.00,0.0057,0.141,294,0.513,0.000,0.224,0.150,3.23,3.80,3.80,0.00,0.000,1.00,1.00,1.00,0.521,0.00376,44.74,9.9763,469.16,103574.0,140078.7,0.000,14.4532,102.827,0.000,1.000,0.005,34.4,45.572,72.616,2173,13325.7,22.06,36.568,3.96,14.174,647.7,4.179,0.137,2.00,15.2187,18247.2,1.3361,0.4515,13.66,2.000,0.000,1.5122,0.0000,0.508,0.260,0.524,0.0000,4.00,0.04,6,16,16,25,42.6616,0.0047,0.5388,0.0000,0.0000,52.4165,100.00,83.1130,161.1279,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,90.2957,0.8967,0.0021,0.0009,0.000004,345,1.7693,0.2244,0.0570,41,177,840,0.0000,0.0000,0.0072,0.013,0.2705,0.3183,0.3752,0.0651,0.3838,0.1319,0.0000,-0.00014,0.039,0.0008,0.917,0.622,0.16,0.052,0.141,0.015,0.0270,0.061,0.757,0.9690,1.0057,1.1495,1.0984,0.04022,0.05164
80000,1173,1.011,0.973,34.43,11628,10220,0,1233,8,59009,177282.9,46876.5,0.210,0.707,0.040,0.042,192,28.09,7.03,0.01,0.26,5.87,2.91,0.16,0.70,8.08,3.29,0.00,0.00,0.211,0.101,410,0.269,0.134,0.848,0.001,0.017,10308,7499,6,0.429,0.190,0.068,342564,0.175,2.216,0.097,16.91,8908,261,0.794,0.431,0.117,1745147,1.00,0.63,0.650,0.330,0.000,16.0,32.0,32.0,49.0,16561,0.063,0.00,0.0019,0.114,349,0.411,0.000,0.165,0.112,3.27,3.85,3.84,0.00,0.001,1.00,1.00,1.00,0.416,0.00138,7.11,3.8248,231.67,106908.9,140078.7,0.000,5.9253,35.558,0.000,1.000,0.000,31.6,15.961,23.581,2207,12873.2,12.77,12.879,3.95,4.643,572.3,0.818,0.137,2.00,13.0868,15350.9,1.0953,0.4985,14.12,2.000,0.000,0.4878,0.0000,0.639,0.251,0.699,0.0000,4.00,0.00,8,16,16,16,15.0298,0.0052,0.4663,0.0000,0.0000,14.6172,100.00,100.8467,82.0686,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,36.6366,0.9032,0.0018,0.0008,0.000001,193,0.7915,0.0997,0.0974,48,201,1499,0.0000,0.0000,0.0049,0.007,0.0397,0.1473,0.1271,0.0256,0.4731,0.0485,0.0000,0.00067,0.043,0.0009,0.905,0.559,0.16,0.068,0.174,0.017,0.0146,0.065,0.728,0.9547,1.0275,0.8458,0.9651,0.04260,0.05295
90000,1201,0.770,0.884,34.67,36682,31024,0,5199,19,230899,493951.8,162419.8,0.159,0.763,0.040,0.039,146,27.50,7.60,0.00,0.04,5.79,2.68,0.11,0.65,7.90,3.08,0.00,0.00,0.210,0.092,470,0.300,0.073,0.913,0.002,0.012,36256,24696,9,0.719,0.149,0.050,746899,0.180,2.107,0.087,45.68,28951,195,0.703,0.437,0.072,6880994,1.00,0.67,0.593,0.381,0.000,14.0,32.0,32.0,50.0,16580,0.063,0.00,0.0052,0.125,341,0.524,0.000,0.241,0.136,3.27,3.84,3.83,0.00,0.002,1.00,1.00,1.00,0.531,0.00351,44.44,10.1074,420.58,104990.7,140078.7,0.000,12.0185,100.546,0.000,1.000,0.003,36.3,44.546,73.065,1945,11339.8,15.14,35.633,3.96,11.076,492.3,3.494,0.133,2.00,15.8087,18986.2,1.3799,0.4596,13.81,2.000,0.000,1.5122,0.0000,0.730,0.201,0.876,0.0000,4.00,0.05,8,16,16,25,41.8407,0.0046,0.5420,0.0000,0.0000,52.5989,100.00,84.2198,156.0737,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,93.9705,0.9132,0.0019,0.0008,0.000003,412,1.9322,0.2298,0.0674,40,185,975,0.0000,0.0000,0.0030,0.005,0.2023,0.3335,0.3565,0.0724,0.3771,0.1228,0.0000,0.00046,0.033,0.0006,0.948,0.579,0.10,0.050,0.147,0.017,0.0267,0.067,0.723,0.9474,0.9900,1.1781,1.0304,0.03939,0.04854
100000,1204,1.143,1.067,35.02,11338,9804,0,1313,2,60955,176431.0,48517.0,0.205,0.704,0.041,0.050,202,28.38,7.48,0.00,0.03,6.25,3.13,0.09,0.71,7.89,3.00,0.00,0.00,0.221,0.094,374,0.395,0.143,0.845,0.000,0.012,9999,7327,9,0.301,0.269,0.027,230619,0.182,2.333,0.110,17.19,8615,251,0.796,0.430,0.116,1754483,1.00,0.63,0.655,0.326,0.000,16.0,32.0,32.0,126.0,17135,0.065,0.00,0.0019,0.117,429,0.418,0.000,0.164,0.109,3.28,3.84,3.86,0.00,0.001,1.00,1.00,1.00,0.424,0.00134,7.05,4.1612,317.33,103825.0,140078.7,0.000,5.9251,35.201,0.000,1.000,0.000,30.8,15.577,24.035,2386,14314.8,21.10,12.862,3.96,4.429,626.8,0.784,0.137,2.00,13.8586,16685.8,1.1500,0.4897,14.23,2.000,0.000,0.4878,0.0000,0.758,0.145,0.923,0.0000,4.01,0.15,8,16,16,63,14.6242,0.0069,0.4444,0.0000,0.0000,14.6517,100.00,100.2735,81.1297,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,36.5945,0.8899,0.0017,0.0008,0.000001,216,0.8499,0.1005,0.1006,45,199,1465,0.0000,0.0000,0.0016,0.003,0.0313,0.1673,0.1299,0.0174,0.4652,0.0470,0.0000,-0.00034,0.038,0.0006,0.953,0.508,0.08,0.027,0.107,0.021,0.0362,0.063,0.718,0.8692,1.0718,1.0413,1.0403,0.05117,0.05422
