step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest
10000,845,1.184,1.835,13.51,57725,49628,0,8152,541,890339,654380.5,472500.0,0.204,0.347,0.230,0.219,137,36.83,14.97,0.33,1.17,10.10,5.67,0.78,1.80,8.94,5.88,0.09,0.47,0.279,0.131,567,0.025,0.062,0.923,0.002,0.013,117091,100819,3,0.533,0.192,0.252,4188632,0.284,3.055,0.199,49.16,42583,238,0.531,0.212,0.314,2574493,1.09,1.75,0.369,0.508,0.043,13.9,40.2,47.8,84.5,17012,0.065,0.00,0.0087,0.092,241,0.422,0.001,0.328,0.522,3.60,4.72,4.71,0.24,0.089,1.08,1.11,1.10,0.475,0.00536,54.45,27.6597,362.17,99802.3,140215.1,0.102,32.2321,130.957,0.000,1.000,0.000,29.6,53.510,72.693,3950,25929.7,17.37,55.603,6.54,26.604,1640.8,6.616,0.136,1.99,10.2959,8700.0,0.6933,0.3606,20.13,1.832,0.058,1.5299,0.0000,0.655,0.143,0.794,0.0000,5.15,0.41,7,22,25,46,50.1693,0.0085,0.5089,0.0000,0.0000,46.8618,100.00,78.5365,181.6786,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,73.4895,0.8013,0.0034,0.0014,0.000007,2,0.1433,0.0485,0.0194,57,182,493,0.0000,0.0000,0.0314,0.087,2.9521,0.0119,1.0153,0.0260,0.3921,0.1433,0.0000,-0.00084,0.987,0.0589,0.858,0.087,0.75,0.252,0.623,0.052,0.2530,0.177,0.663,1.0189,1.2098,1.4319,2.0032,0.12668,0.02420
20000,899,1.791,1.973,15.23,13272,11811,0,1386,1,153828,181205.5,89394.4,0.161,0.485,0.225,0.129,185,46.56,22.99,0.41,1.73,11.23,8.16,1.16,1.93,11.59,8.35,0.01,0.10,0.248,0.123,606,0.063,0.130,0.849,0.003,0.018,16513,14247,3,0.598,0.000,0.494,1005438,0.248,3.174,0.218,16.98,8873,371,0.581,0.283,0.216,601269,1.11,1.56,0.516,0.475,0.003,18.7,46.8,68.7,197.6,21929,0.084,0.00,0.0017,0.068,239,0.255,0.000,0.176,0.270,4.05,5.10,5.05,0.16,0.072,1.03,1.18,1.12,0.278,0.00245,6.51,3.8246,537.35,94049.8,140215.1,0.000,10.9041,36.579,0.000,1.000,0.000,28.5,15.792,22.381,4232,28080.1,34.76,13.625,5.66,10.291,1821.4,1.411,0.134,1.99,12.6387,11362.2,0.6967,0.4667,24.39,1.922,0.053,0.4701,0.0000,0.771,0.059,0.999,0.0000,5.46,0.85,10,25,36,100,14.4084,0.0001,0.3971,0.0000,0.0000,12.6213,100.00,90.8531,102.2266,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,30.6131,0.7824,0.0027,0.0011,0.000003,20,0.1687,0.0578,0.0368,64,197,678,0.0000,0.0000,0.0008,0.002,0.3307,0.0291,0.1565,0.0156,0.5521,0.0561,0.0000,0.00055,0.990,0.0521,0.782,0.062,1.10,0.494,0.616,0.046,0.2817,0.151,0.748,0.8888,0.4958,1.3036,1.0835,0.10513,0.00962
30000,2374,1.132,2.036,23.77,70231,55216,0,13506,24,904746,591989.8,521644.7,0.231,0.407,0.206,0.156,120,27.47,13.95,0.12,1.08,6.41,5.26,0.32,1.60,7.53,9.26,0.01,0.12,0.248,0.171,1262,0.042,0.040,0.883,0.033,0.044,110195,86978,1,0.630,0.370,0.088,3810377,0.283,3.217,0.230,52.10,60724,231,0.577,0.270,0.414,3564642,1.03,1.94,0.461,0.534,0.005,8.9,30.9,43.1,152.7,34161,0.130,0.00,0.0033,0.048,463,0.423,0.000,0.227,0.381,3.01,3.81,3.90,0.01,0.006,1.04,1.02,1.03,0.468,0.00204,48.26,21.5493,1075.51,88157.0,140215.1,0.000,42.9632,127.375,0.000,1.000,0.000,66.2,49.604,75.559,4326,28877.0,13.64,48.090,5.20,41.053,1901.4,7.781,0.136,2.00,6.1660,14638.1,0.6441,0.4466,14.39,1.959,0.137,1.5299,0.0000,0.790,0.128,0.966,0.0000,4.34,0.85,5,16,23,81,46.0763,0.0025,0.4806,0.0000,0.0000,48.1932,100.00,69.0631,195.2810,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,61.0566,0.7698,0.0031,0.0012,0.000003,10,0.1839,0.0185,0.0171,49,176,523,0.0000,0.0000,0.0009,0.002,1.9772,0.0222,0.8418,0.0105,0.4199,0.0589,0.0000,0.00035,0.988,0.0758,0.640,0.121,0.28,0.088,0.588,0.051,0.2411,0.170,0.800,1.1073,0.7912,1.7926,1.8999,0.07390,0.01347
40000,475,1.218,0.928,13.53,16028,15468,0,2433,8,183776,195075.4,96596.5,0.184,0.495,0.182,0.139,170,47.49,28.02,0.24,1.54,15.58,14.90,7.02,7.91,20.72,15.29,0.00,0.05,0.301,0.175,365,0.032,0.044,0.943,0.002,0.011,23953,19648,3,0.585,0.036,0.579,1121055,0.274,2.224,0.092,16.82,13112,206,0.526,0.294,0.267,1076234,1.04,2.94,0.291,0.566,0.002,14.4,42.9,92.8,137.8,20692,0.079,0.00,0.0020,0.135,110,0.426,0.000,0.205,0.370,6.16,6.89,6.74,0.14,0.027,1.01,1.06,1.04,0.451,0.00354,7.11,5.3556,366.11,117238.1,140215.1,0.000,11.2542,40.353,0.000,1.000,0.075,30.3,18.375,21.613,1839,12032.4,16.38,15.447,6.68,9.901,629.0,1.121,0.135,2.01,14.1262,6710.0,0.4535,0.3586,43.56,1.226,0.291,0.4701,0.0000,0.552,0.120,0.756,0.0000,7.55,1.59,12,44,81,100,17.2696,0.0038,0.5516,0.0000,0.0000,12.5200,100.00,90.7614,99.5538,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,30.6605,0.9077,0.0034,0.0015,0.000005,18,0.1363,0.0695,0.0270,57,189,530,0.0000,0.0000,0.0114,0.028,0.4798,0.0232,0.1545,0.0168,0.4245,0.0901,0.0000,-0.00021,0.358,0.0120,0.122,0.019,4.04,0.579,0.581,0.046,0.1616,0.165,0.692,0.8439,0.7483,1.2459,0.8490,0.09334,0.08095
50000,788,1.128,1.037,20.30,69143,54137,0,14658,26,1004365,545225.2,458697.9,0.181,0.544,0.134,0.142,114,29.75,14.42,0.08,0.76,9.87,6.91,1.72,4.19,11.45,11.28,0.01,0.12,0.324,0.152,507,0.084,0.046,0.904,0.019,0.032,103018,73930,3,0.348,0.409,0.263,4306607,0.272,2.319,0.102,49.18,54372,212,0.457,0.329,0.368,4034568,1.02,3.01,0.419,0.520,0.004,10.9,32.0,48.1,91.1,18216,0.069,0.00,0.0060,0.079,174,0.418,0.000,0.286,0.357,3.91,5.02,4.84,0.02,0.009,1.03,1.01,1.02,0.462,0.00742,50.21,18.3094,341.87,114894.2,140215.1,0.000,23.8982,118.212,0.000,1.000,0.085,30.5,46.850,73.353,2174,13447.2,19.26,41.840,6.38,21.804,828.1,5.875,0.134,2.00,8.8107,6942.8,0.5634,0.3546,23.12,1.498,0.479,1.5299,0.0000,0.701,0.213,0.816,0.0000,5.68,1.71,8,16,48,99,42.5787,0.0040,0.5279,0.0000,0.0000,47.6811,100.00,85.7129,175.1203,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,81.7870,0.8981,0.0036,0.0014,0.000011,9,0.1618,0.0457,0.0154,42,137,460,0.0000,0.0000,0.0022,0.007,4.1895,0.0168,1.1990,0.0343,0.4084,0.2289,0.0000,-0.00040,0.657,0.0479,0.358,0.050,1.27,0.263,0.534,0.050,0.2273,0.164,0.682,0.9465,0.8185,1.2385,0.8788,0.06864,0.08131
60000,540,1.136,0.598,9.29,10621,9754,0,1091,8,118373,164403.4,55399.5,0.093,0.719,0.074,0.114,204,41.79,17.55,0.02,0.52,12.36,10.89,4.73,3.66,21.83,8.03,0.00,0.00,0.270,0.131,380,0.035,0.087,0.898,0.000,0.015,11547,8527,1,1.000,0.000,0.889,1885693,0.196,1.691,0.052,15.00,5851,299,0.468,0.337,0.094,853353,1.00,1.38,0.326,0.559,0.000,19.8,40.8,57.2,104.9,21035,0.080,0.00,0.0014,0.130,132,0.318,0.000,0.301,0.212,5.87,6.55,6.57,0.01,0.002,1.00,1.01,1.01,0.334,0.00400,6.92,2.4341,207.36,118868.6,140215.1,0.000,3.9760,33.306,0.000,1.000,0.096,29.6,14.957,19.862,1200,6953.7,18.06,11.225,6.80,3.533,288.4,0.822,0.135,2.01,19.3637,10456.4,0.6122,0.3640,38.95,1.130,0.069,0.4701,0.0000,0.544,0.055,0.852,0.0000,6.91,0.90,20,36,49,91,13.7132,0.0074,0.4944,0.0000,0.0000,12.6023,100.00,103.4904,89.5463,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,38.9554,0.9481,0.0028,0.0012,0.000006,16,0.2338,0.1648,0.0455,52,156,691,0.0000,0.0000,0.0049,0.013,0.4724,0.0401,0.1669,0.0574,0.4891,0.1130,0.0000,-0.00083,0.013,0.0000,0.006,0.000,4.30,0.889,0.473,0.019,0.0252,0.107,0.525,0.6420,0.5837,0.8193,0.5895,0.09927,0.12469
70000,993,1.105,1.535,14.78,38067,30935,0,6453,221,678534,513023.0,308139.8,0.050,0.724,0.074,0.152,139,38.39,20.70,0.18,0.94,10.27,7.24,2.93,4.18,10.66,11.72,0.01,0.21,0.263,0.142,725,0.035,0.032,0.948,0.003,0.017,50541,37970,3,0.094,0.829,0.621,4807212,0.213,2.890,0.169,47.65,21169,344,0.454,0.157,0.353,3524819,1.03,2.96,0.353,0.604,0.005,13.3,38.2,66.5,154.0,23876,0.091,0.00,0.0048,0.114,249,0.419,0.000,0.537,0.306,4.11,5.10,5.10,0.07,0.025,1.02,1.03,1.03,0.445,0.00869,49.77,12.1121,609.35,104367.0,140215.1,0.000,19.4878,106.027,0.000,1.000,0.001,39.4,45.332,70.096,3165,21575.1,15.79,37.537,7.06,18.622,1229.4,5.310,0.134,2.00,8.8602,8798.1,0.5482,0.3698,24.04,1.760,0.358,1.5299,0.0000,0.406,0.185,0.402,0.0000,5.84,1.26,8,25,42,99,39.3000,0.0024,0.5428,0.0000,0.0000,47.7776,100.00,87.3465,166.2944,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,86.8474,0.8306,0.0029,0.0012,0.000014,5,0.2143,0.0393,0.0313,55,178,599,0.0000,0.0000,0.0185,0.075,2.2365,0.0269,0.7077,0.0373,0.4165,0.1599,0.0000,-0.00063,0.085,0.0007,0.008,0.001,2.50,0.621,0.455,0.010,0.1266,0.063,0.684,0.7645,0.8529,1.0206,1.0879,0.09164,0.09101
80000,545,1.060,0.758,12.14,9979,9661,0,746,6,115513,169217.0,58129.1,0.035,0.805,0.045,0.115,200,35.06,15.62,0.11,0.78,9.28,8.21,3.37,4.73,15.38,11.34,0.01,0.12,0.251,0.140,402,0.075,0.094,0.901,0.000,0.006,11392,8920,3,0.648,0.000,0.646,2424550,0.211,1.972,0.071,14.84,5165,476,0.503,0.190,0.211,986833,1.03,2.18,0.218,0.580,0.004,12.3,35.9,49.8,96.5,15337,0.059,0.00,0.0020,0.152,155,0.314,0.000,0.304,0.236,4.65,5.69,5.52,0.08,0.028,1.02,1.04,1.02,0.326,0.00482,7.20,2.5371,197.61,120211.3,140215.1,0.000,4.6645,34.680,0.000,1.000,0.102,24.2,15.982,19.163,1529,9419.0,23.96,11.721,6.36,4.221,439.8,0.962,0.131,2.02,12.1036,6596.5,0.5856,0.3954,28.14,1.387,0.408,0.4701,0.0000,0.594,0.074,0.950,0.0000,6.15,1.01,10,26,46,100,14.5349,0.0067,0.5138,0.0000,0.0000,12.5349,100.00,102.7366,86.6984,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,38.2188,0.9294,0.0026,0.0012,0.000008,14,0.2107,0.1009,0.0467,60,191,793,0.0000,0.0000,0.0061,0.030,0.3056,0.0473,0.1275,0.0477,0.5035,0.1235,0.0000,-0.00080,0.050,0.0002,0.002,0.001,2.86,0.646,0.395,0.012,0.0576,0.067,0.624,0.6161,0.6897,0.7770,0.7987,0.11808,0.11102
90000,923,0.985,0.956,14.26,53130,44330,0,8348,71,840689,521328.2,368412.6,0.024,0.822,0.042,0.112,139,33.38,19.80,0.11,0.78,9.57,7.63,2.41,3.75,14.01,13.10,0.02,0.21,0.276,0.156,684,0.059,0.051,0.930,0.001,0.018,74234,53260,3,0.375,0.576,0.523,6791178,0.159,2.265,0.096,47.34,32381,310,0.438,0.187,0.258,5113539,1.02,3.18,0.223,0.598,0.010,9.8,33.0,52.3,162.0,24103,0.092,0.00,0.0040,0.113,255,0.414,0.000,0.417,0.330,4.37,5.39,5.23,0.04,0.015,1.03,1.03,1.02,0.441,0.00899,49.00,14.5891,424.26,114916.9,140215.1,0.000,17.8561,110.208,0.000,1.000,0.096,41.6,45.197,70.524,2004,12586.3,17.70,38.080,6.11,16.243,639.2,5.176,0.136,1.99,8.7339,8061.4,0.5138,0.3471,26.11,1.418,0.429,1.5299,0.0000,0.541,0.149,0.705,0.0000,6.10,1.29,7,25,45,114,39.7434,0.0097,0.5125,0.0000,0.0000,47.8125,100.00,90.4724,160.8973,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,90.2742,0.9045,0.0032,0.0013,0.000019,3,0.1183,0.0303,0.0181,53,162,545,0.0000,0.0000,0.0102,0.028,3.3760,0.0132,1.1586,0.0282,0.4174,0.2558,0.0000,0.00045,0.026,0.0002,0.005,0.001,2.08,0.523,0.375,0.007,0.1000,0.042,0.684,0.7427,0.8479,0.9195,1.0308,0.07930,0.07851
100000,579,1.057,0.662,11.82,9188,8698,0,802,7,94732,154761.2,50611.1,0.015,0.844,0.033,0.108,233,32.61,14.30,0.05,0.88,8.82,7.25,2.31,3.34,15.46,9.00,0.00,0.00,0.257,0.146,404,0.055,0.109,0.879,0.000,0.012,9458,7333,2,0.839,0.000,0.608,1980342,0.148,1.789,0.059,14.36,4530,503,0.534,0.221,0.157,923051,1.01,2.16,0.036,0.539,0.000,12.9,34.7,48.0,79.5,15428,0.059,0.00,0.0017,0.150,95,0.299,0.000,0.288,0.183,4.80,5.64,5.61,0.02,0.003,1.00,1.01,1.01,0.309,0.00421,6.98,2.4070,176.90,121514.7,140215.1,0.000,3.4716,31.588,0.000,1.000,0.090,21.3,14.366,18.703,1314,7822.0,11.80,10.247,6.13,2.821,367.8,0.720,0.135,2.01,11.8324,6851.0,0.6345,0.4200,26.65,1.309,0.308,0.4701,0.0000,0.507,0.168,0.815,0.0000,6.17,0.78,10,29,41,62,12.9924,0.0183,0.4629,0.0000,0.0000,12.5680,100.00,105.1476,84.3710,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,40.2868,0.9412,0.0024,0.0011,0.000008,25,0.2484,0.0881,0.0539,57,173,829,0.0000,0.0000,0.0126,0.066,0.3138,0.0755,0.1455,0.0846,0.5135,0.1204,0.0000,-0.00039,0.010,0.0001,0.002,0.000,2.05,0.608,0.432,0.010,0.0553,0.051,0.509,0.5245,0.5981,0.8215,0.6192,0.14550,0.11527
