step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest
10000,1981,1.666,2.410,21.05,113262,85206,0,26830,694,1791150,1002541.9,865991.2,0.122,0.684,0.125,0.070,91,40.98,24.91,0.17,1.11,8.29,7.61,2.34,4.75,11.08,12.75,0.01,0.15,0.214,0.150,1322,0.039,0.028,0.945,0.003,0.024,196234,149055,3,0.033,0.942,0.348,3405284,0.178,3.422,0.283,83.68,88931,198,0.483,0.219,0.325,10625625,1.05,2.50,0.317,0.553,0.007,12.0,39.9,65.0,213.8,43362,0.165,0.00,0.0046,0.091,521,0.541,0.000,0.503,0.441,3.80,4.71,4.87,0.02,0.013,1.07,1.02,1.05,0.575,0.00539,67.05,40.4011,1139.75,82579.3,140078.7,0.104,35.1403,206.380,0.000,1.000,0.000,65.3,83.635,94.253,5351,35708.5,19.62,89.788,5.95,26.838,1748.8,8.923,0.135,2.00,6.5771,13029.2,0.4938,0.3605,21.89,1.971,0.074,1.5122,0.0000,0.270,0.226,0.207,0.0000,5.42,1.13,6,21,36,121,74.6697,0.0006,0.4508,0.0000,0.0000,47.1567,100.00,71.0445,248.8983,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,22.9389,0.6563,0.0033,0.0014,0.000006,0,0.1542,0.0131,0.0127,50,171,450,0.0000,0.0000,0.0155,0.052,4.4248,0.0107,1.7712,0.0197,0.3313,0.1396,0.0000,0.00087,0.036,0.0010,0.249,0.104,1.77,0.348,0.000,0.000,0.0000,0.000,0.000,0.0000,1.1192,0.0000,1.7367,0.00000,0.05642
20000,1450,1.796,2.002,25.79,27487,23311,0,4637,61,373927,345282.9,194856.5,0.091,0.701,0.139,0.068,118,46.21,26.38,0.01,0.24,12.44,10.09,1.00,2.50,10.17,9.06,0.00,0.00,0.255,0.133,1025,0.026,0.046,0.935,0.000,0.019,34586,25290,3,0.908,0.052,0.345,3157097,0.196,3.237,0.235,31.81,20549,290,0.521,0.217,0.309,2275551,1.00,2.88,0.359,0.613,0.000,14.0,46.0,72.0,198.0,34251,0.131,0.00,0.0023,0.118,319,0.360,0.000,0.311,0.270,4.09,4.95,5.09,0.00,0.001,1.00,1.00,1.00,0.381,0.00374,10.08,7.2551,766.08,89185.6,140078.7,0.000,11.8710,70.684,0.000,1.000,0.000,47.4,31.031,32.590,4446,29760.1,17.96,28.606,5.63,10.428,1322.8,2.270,0.137,1.99,9.7247,14100.8,0.6041,0.4249,23.62,1.997,0.023,0.4878,0.0000,0.685,0.164,0.872,0.0000,5.74,0.95,7,24,36,100,27.3546,0.0025,0.3979,0.0000,0.0000,14.0888,100.00,89.7710,165.8417,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,13.5016,0.7172,0.0028,0.0012,0.000005,9,0.1751,0.0345,0.0250,60,202,598,0.0000,0.0000,0.0159,0.046,0.6993,0.0262,0.2798,0.0186,0.4913,0.0730,0.0000,0.00029,0.017,0.0007,0.686,0.212,0.90,0.345,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9851,0.0000,1.5624,0.00000,0.07715
30000,2437,1.045,1.897,31.45,102063,76516,0,24470,66,1118305,883890.0,642174.2,0.118,0.701,0.104,0.077,75,28.46,11.93,0.05,0.55,6.34,4.51,0.81,2.08,7.44,6.00,0.00,0.08,0.223,0.139,1191,0.063,0.059,0.920,0.004,0.018,143046,97244,4,0.217,0.777,0.274,11162039,0.189,3.119,0.223,81.59,91155,260,0.574,0.264,0.180,12163836,1.01,1.08,0.535,0.441,0.000,14.0,30.0,32.0,162.0,35658,0.136,0.00,0.0049,0.089,576,0.534,0.000,0.353,0.313,3.19,3.90,3.94,0.01,0.004,1.01,1.01,1.01,0.554,0.00386,64.48,22.8873,613.92,79068.9,140078.7,0.000,32.6234,192.134,0.000,1.000,0.000,65.8,78.882,91.194,4454,28301.3,15.95,75.908,4.41,30.932,1237.3,8.616,0.135,2.00,10.6367,25921.7,0.9215,0.4682,14.63,1.996,0.024,1.5122,0.0000,0.809,0.191,0.918,0.0000,4.19,0.56,7,16,16,81,72.2786,0.0030,0.5059,0.0000,0.0000,48.0351,100.00,62.7753,252.8645,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,22.7312,0.7175,0.0026,0.0011,0.000004,24,0.5437,0.1128,0.0209,50,187,591,0.0000,0.0000,0.0054,0.013,1.8697,0.0503,0.9228,0.0279,0.3477,0.1269,0.0000,0.00039,0.137,0.0034,0.962,0.857,0.74,0.274,0.000,0.000,0.0000,0.000,0.000,0.0000,1.4253,0.0000,2.1483,0.00000,0.05400
40000,1781,1.161,1.269,31.23,22354,21056,0,1731,17,106932,346044.4,86759.7,0.187,0.630,0.086,0.096,140,31.06,12.14,0.03,0.44,5.85,3.23,1.20,2.34,9.14,5.63,0.00,0.06,0.193,0.098,922,0.063,0.094,0.891,0.002,0.013,22330,16852,6,0.349,0.143,0.404,3255161,0.228,2.630,0.144,31.96,16470,346,0.811,0.309,0.090,2881151,1.01,0.71,0.567,0.391,0.002,16.0,31.0,46.0,108.6,28909,0.110,0.00,0.0021,0.094,415,0.411,0.000,0.183,0.151,3.43,4.13,4.15,0.01,0.003,1.01,1.01,1.01,0.417,0.00158,11.20,6.4218,429.14,90051.1,140078.7,0.000,8.6128,69.049,0.000,1.000,0.009,48.6,31.260,33.699,3081,18594.8,53.53,28.423,4.29,6.813,629.0,1.653,0.138,2.00,14.6059,26013.1,1.1106,0.5284,16.23,1.989,0.035,0.4878,0.0000,0.814,0.146,0.966,0.0000,4.32,0.70,9,16,25,62,29.7461,0.0053,0.4705,0.0000,0.0000,13.9993,100.00,90.8433,167.7317,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,15.9367,0.8060,0.0020,0.0009,0.000002,206,1.1258,0.1510,0.0737,74,223,1058,0.0000,0.0000,0.0086,0.023,0.1371,0.2048,0.2054,0.0382,0.4748,0.0523,0.0000,0.00011,0.227,0.0045,0.902,0.830,1.10,0.404,0.000,0.000,0.0000,0.000,0.000,0.0000,1.0847,0.0000,1.2219,0.00000,0.04902
50000,2115,0.794,1.179,33.91,51325,44580,0,5375,34,270601,866582.2,253445.4,0.178,0.669,0.076,0.078,106,26.77,8.36,0.04,0.61,5.80,2.74,0.87,1.87,7.07,3.21,0.00,0.02,0.217,0.087,1021,0.131,0.045,0.946,0.000,0.009,53636,38204,7,0.722,0.057,0.447,11095241,0.219,2.495,0.133,82.35,38420,248,0.937,0.358,0.041,10590111,1.01,0.76,0.547,0.451,0.000,14.0,30.0,32.0,92.0,29150,0.111,0.00,0.0058,0.107,538,0.530,0.000,0.227,0.154,3.26,3.83,3.85,0.00,0.001,1.01,1.01,1.01,0.535,0.00297,66.33,23.7686,1178.88,75159.1,140078.7,0.018,18.1870,176.397,0.000,1.000,0.000,56.6,75.521,96.150,2936,16547.6,20.36,72.085,4.03,12.852,471.5,5.398,0.133,2.01,20.2057,42735.0,1.7651,0.4637,13.78,2.000,0.000,1.5122,0.0000,0.842,0.095,0.985,0.0000,4.03,0.17,7,16,16,30,72.0300,0.0183,0.5527,0.0000,0.0000,48.0048,100.00,56.2599,264.3580,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,38.2192,0.8073,0.0016,0.0007,0.000003,1002,4.6604,0.3357,0.0952,66,208,1353,0.0000,0.0000,0.0036,0.009,0.2833,0.8697,0.7380,0.0870,0.3747,0.1033,0.0000,0.00020,0.360,0.0059,1.000,0.977,0.80,0.447,0.000,0.000,0.0000,0.000,0.000,0.0000,1.1656,0.0000,1.0830,0.00000,0.04113
60000,1888,0.879,1.084,33.69,17123,15498,0,1241,9,66787,342495.6,83089.5,0.279,0.572,0.080,0.069,147,28.16,7.93,0.03,0.47,5.75,2.90,1.11,2.14,7.71,3.62,0.00,0.06,0.205,0.094,804,0.157,0.085,0.907,0.001,0.007,15167,11581,5,0.776,0.087,0.546,5231010,0.212,2.387,0.121,32.80,12252,284,1.244,0.374,0.060,2862786,1.01,0.57,0.653,0.338,0.002,16.0,31.0,32.0,91.0,27562,0.105,0.00,0.0024,0.118,497,0.439,0.000,0.175,0.100,3.34,3.90,3.92,0.00,0.002,1.01,1.00,1.01,0.442,0.00122,11.61,10.9748,616.30,84634.5,140078.7,0.000,9.5539,67.654,0.000,1.000,0.000,51.2,28.893,35.262,2735,15477.9,20.89,28.404,4.00,4.699,480.6,1.195,0.127,2.02,18.4944,34917.4,1.5023,0.5040,14.60,2.000,0.000,0.4878,0.0000,0.795,0.119,0.972,0.0000,4.05,0.24,9,16,16,49,27.6969,0.0150,0.5260,0.0000,0.0000,13.9637,100.00,88.0478,158.0523,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,16.8403,0.8239,0.0014,0.0006,0.000001,602,2.2517,0.1838,0.1462,71,226,3132,0.0000,0.0000,0.0033,0.010,0.0488,0.4426,0.3131,0.0461,0.4541,0.0431,0.0000,0.00005,0.311,0.0067,1.000,0.974,1.01,0.546,0.000,0.000,0.0000,0.000,0.000,0.0000,1.2332,0.0000,0.9785,0.00000,0.03996
70000,2126,0.706,1.012,33.93,43329,37856,0,3892,21,198337,847294.3,243980.3,0.234,0.625,0.078,0.062,112,26.38,8.82,0.01,0.21,5.51,2.65,0.77,1.70,7.27,3.57,0.00,0.00,0.212,0.087,1026,0.142,0.045,0.949,0.002,0.004,43833,31448,4,0.730,0.184,0.413,13769503,0.213,2.296,0.110,81.67,31787,240,1.230,0.369,0.048,9998336,1.00,0.84,0.530,0.464,0.000,12.0,30.0,32.0,72.0,28829,0.110,0.00,0.0055,0.100,556,0.540,0.000,0.226,0.136,3.24,3.81,3.82,0.00,0.000,1.00,1.00,1.00,0.544,0.00255,67.59,28.6907,1338.75,75946.2,140078.7,0.012,18.4267,172.782,0.000,1.000,0.000,58.1,72.004,95.552,2508,13667.5,18.58,70.662,3.98,9.631,355.3,4.185,0.136,1.99,21.1071,44873.6,1.8801,0.4490,13.56,2.000,0.000,1.5122,0.0000,0.810,0.109,0.974,0.0000,4.02,0.17,6,16,16,36,69.1757,0.0265,0.5682,0.0000,0.0000,47.8554,100.00,53.0841,262.1147,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,41.0132,0.8318,0.0013,0.0006,0.000002,1322,5.7438,0.3697,0.1273,68,212,2865,0.0000,0.0000,0.0023,0.007,0.1703,1.0939,0.8251,0.1087,0.3692,0.0902,0.0000,0.00005,0.299,0.0054,1.000,0.980,0.71,0.413,0.000,0.000,0.0000,0.000,0.000,0.0000,1.1721,0.0000,0.8554,0.00000,0.03575
80000,1886,0.903,1.137,34.46,16203,14850,0,891,5,56632,332189.8,79930.7,0.300,0.557,0.081,0.062,148,27.62,8.95,0.05,0.67,5.27,2.92,1.30,2.20,7.80,3.88,0.00,0.02,0.191,0.093,859,0.125,0.083,0.905,0.002,0.011,14192,10591,10,0.292,0.134,0.550,5081294,0.219,2.434,0.126,32.30,11494,307,1.411,0.386,0.052,2674005,1.01,0.69,0.615,0.371,0.001,16.0,30.0,32.0,128.0,27181,0.104,0.00,0.0023,0.109,456,0.428,0.000,0.168,0.089,3.33,3.88,3.89,0.00,0.002,1.01,1.01,1.01,0.431,0.00112,11.67,11.2077,650.09,86076.3,140078.7,0.000,9.1404,66.172,0.000,1.000,0.000,51.4,28.310,34.625,2867,16189.4,28.92,27.352,4.00,4.142,501.2,1.047,0.135,2.00,17.2732,32577.3,1.4414,0.4967,14.41,2.000,0.000,0.4878,0.0000,0.794,0.124,0.959,0.0000,4.06,0.27,8,16,16,64,27.2888,0.0113,0.5355,0.0000,0.0000,13.9784,100.00,90.3475,158.6416,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,17.8274,0.8167,0.0014,0.0006,0.000001,697,2.3308,0.1813,0.1587,74,235,3248,0.0000,0.0000,0.0028,0.009,0.0397,0.4648,0.3285,0.0461,0.4674,0.0401,0.0000,0.00022,0.247,0.0054,1.000,0.979,1.21,0.550,0.000,0.000,0.0000,0.000,0.000,0.0000,1.1744,0.0000,0.8123,0.00000,0.03753
90000,2183,0.793,1.047,34.72,42526,38058,0,2742,5,180205,841966.7,237888.2,0.218,0.637,0.077,0.068,111,26.74,8.75,0.01,0.13,5.43,2.56,0.93,1.81,7.46,3.61,0.00,0.02,0.206,0.084,1027,0.102,0.064,0.931,0.000,0.005,42855,30609,7,0.355,0.286,0.485,14483397,0.227,2.342,0.117,81.23,31588,298,1.320,0.313,0.036,9854058,1.00,0.74,0.534,0.458,0.000,14.0,30.0,32.0,98.0,30192,0.115,0.00,0.0052,0.114,617,0.527,0.000,0.230,0.135,3.32,3.84,3.86,0.00,0.001,1.00,1.00,1.00,0.531,0.00240,67.52,28.1801,1212.10,74979.4,140078.7,0.103,17.3765,171.381,0.000,1.000,0.000,57.9,71.531,94.995,2644,14496.5,20.83,69.798,3.98,8.792,361.3,3.929,0.135,2.00,20.6051,44980.9,1.8030,0.4607,13.83,2.000,0.000,1.5122,0.0000,0.808,0.097,0.981,0.0000,4.03,0.22,7,16,16,49,68.8091,0.0294,0.5465,0.0000,0.0000,47.8223,100.00,55.3483,263.2899,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,42.2999,0.8247,0.0013,0.0006,0.000002,1424,5.6740,0.3601,0.1276,72,215,2882,0.0000,0.0000,0.0020,0.007,0.1645,1.0500,0.7978,0.0971,0.3847,0.0856,0.0000,0.00003,0.289,0.0051,1.000,0.983,0.87,0.485,0.000,0.000,0.0000,0.000,0.000,0.0000,1.1211,0.0000,0.8183,0.00000,0.03543
100000,2000,0.905,1.097,34.45,15937,14643,0,813,2,56417,333871.2,81485.8,0.271,0.585,0.077,0.067,159,27.91,8.51,0.02,0.42,5.45,2.87,1.21,2.20,7.87,3.80,0.00,0.00,0.195,0.093,906,0.089,0.086,0.900,0.002,0.012,14073,10552,10,0.264,0.160,0.525,5329483,0.226,2.402,0.123,32.31,11401,302,1.444,0.348,0.076,2884373,1.01,0.68,0.617,0.371,0.000,16.0,30.0,32.0,82.0,29091,0.111,0.00,0.0021,0.095,560,0.439,0.000,0.184,0.095,3.33,3.90,3.92,0.00,0.002,1.01,1.01,1.01,0.442,0.00108,11.66,11.2891,672.67,84746.0,140078.7,0.000,9.1223,66.483,0.000,1.000,0.000,54.5,28.347,34.540,2729,15602.4,25.29,27.518,4.03,4.182,487.5,1.085,0.136,1.98,17.1874,34374.8,1.4002,0.5109,14.55,2.000,0.000,0.4878,0.0000,0.793,0.132,0.958,0.0000,4.08,0.31,8,16,16,36,27.2621,0.0147,0.5100,0.0000,0.0000,13.9579,100.00,89.9966,161.3250,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,17.8070,0.8234,0.0013,0.0006,0.000001,662,2.3691,0.1700,0.1606,75,238,3269,0.0000,0.0000,0.0026,0.007,0.0477,0.4695,0.3357,0.0365,0.4595,0.0381,0.0000,0.00002,0.308,0.0068,1.000,0.977,1.12,0.525,0.000,0.000,0.0000,0.000,0.000,0.0000,1.1718,0.0000,0.9012,0.00000,0.03830
