step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest
10000,733,1.598,1.289,12.08,35398,32082,0,3685,345,695075,604566.9,327989.2,0.117,0.695,0.124,0.065,159,56.90,32.85,3.42,5.46,14.59,10.54,3.00,6.12,18.63,15.83,1.08,1.63,0.258,0.142,614,0.041,0.020,0.966,0.000,0.014,74025,62213,2,0.176,0.698,0.381,2312706,0.160,2.669,0.141,44.28,28550,310,0.472,0.187,0.281,3193439,1.76,3.06,0.243,0.711,0.329,15.5,51.2,97.2,206.6,29054,0.111,0.00,0.0044,0.157,215,0.422,0.000,0.454,0.545,5.64,6.51,6.54,1.36,0.416,1.85,1.28,2.06,0.450,0.01103,48.56,20.4120,479.68,107407.6,140078.7,0.103,23.1225,114.886,0.000,1.000,0.068,40.8,50.934,64.813,2697,17979.4,23.82,49.333,7.42,19.032,1001.5,5.319,0.136,2.00,12.9693,9506.5,0.5267,0.3166,39.64,1.510,0.379,1.5122,0.0000,0.486,0.149,0.416,0.0000,7.29,1.58,8,36,81,100,45.3593,0.0010,0.5075,0.0000,0.0000,51.3958,100.00,88.9246,166.1737,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,84.3873,0.8588,0.0032,0.0014,0.000019,2,0.1586,0.0614,0.0296,55,194,523,0.0000,0.0000,0.0186,0.057,2.0305,0.0131,0.5245,0.0259,0.4159,0.1912,0.0000,0.00063,0.809,0.0214,0.284,0.072,2.11,0.381,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9358,0.0000,1.1211,0.00000,0.08049
20000,658,1.478,0.781,9.43,6537,6324,0,272,2,102132,176713.9,46753.9,0.034,0.858,0.088,0.019,213,56.88,18.70,1.00,3.40,11.57,4.90,2.43,4.59,23.04,9.93,0.16,0.76,0.212,0.091,450,0.064,0.117,0.880,0.000,0.003,6671,5739,2,0.913,0.000,0.596,1440968,0.130,1.994,0.075,15.94,2704,565,0.458,0.199,0.094,640543,1.20,0.94,0.462,0.533,0.049,27.6,59.2,74.3,121.9,25032,0.095,0.00,0.0012,0.135,124,0.265,0.000,0.442,0.203,5.66,6.45,6.42,0.66,0.173,1.16,1.19,1.23,0.276,0.00464,6.83,2.2889,263.34,113795.3,140078.7,0.000,5.4265,34.573,0.000,1.000,0.000,34.1,16.223,20.664,1710,9991.9,15.00,12.556,7.53,5.071,451.1,1.008,0.134,2.00,17.8209,11726.1,0.5931,0.3600,38.04,1.501,0.099,0.4878,0.0000,0.654,0.053,0.988,0.0000,6.67,0.54,19,36,49,64,14.5505,0.0015,0.4894,0.0000,0.0000,14.5608,100.00,104.3737,77.2341,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,37.5077,0.9247,0.0023,0.0010,0.000009,14,0.2346,0.1368,0.0769,61,206,916,0.0000,0.0000,0.0026,0.009,0.3716,0.0501,0.0946,0.0365,0.5688,0.0701,0.0000,0.00023,0.947,0.0110,0.473,0.049,1.85,0.596,0.000,0.000,0.0000,0.000,0.000,0.0000,0.6638,0.0000,0.7053,0.00000,0.11871
30000,1259,1.038,1.174,22.18,47433,38422,0,8393,0,622625,492241.0,347043.8,0.133,0.749,0.099,0.019,158,26.17,10.40,0.01,0.13,7.49,3.79,0.32,1.51,5.63,3.73,0.00,0.06,0.290,0.114,557,0.098,0.064,0.912,0.002,0.022,61664,48472,1,0.619,0.381,0.108,3440505,0.142,2.477,0.126,45.25,30613,307,0.557,0.288,0.339,4689712,1.00,1.30,0.545,0.454,0.001,8.0,31.2,31.9,74.9,16932,0.065,0.00,0.0069,0.128,320,0.422,0.000,0.473,0.276,3.10,3.77,3.78,0.01,0.004,1.00,1.00,1.00,0.444,0.00549,46.65,11.2568,357.14,108564.3,140078.7,0.000,14.1431,105.975,0.000,1.000,0.071,29.1,43.280,69.635,2593,16151.7,21.29,35.262,5.28,12.699,728.1,4.227,0.135,2.01,8.1694,10285.3,0.7917,0.4698,13.45,1.969,0.076,1.5122,0.0000,0.509,0.156,0.468,0.0000,4.10,0.33,4,16,16,49,38.6022,0.0001,0.4353,0.0000,0.0000,52.2364,100.00,91.8472,154.7511,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,90.9340,0.8740,0.0028,0.0011,0.000007,17,0.3470,0.0342,0.0258,43,168,661,0.0000,0.0000,0.0008,0.002,1.1374,0.0650,0.5321,0.0111,0.4286,0.1506,0.0000,0.00037,0.382,0.0079,0.962,0.430,0.28,0.108,0.000,0.000,0.0000,0.000,0.000,0.0000,1.0006,0.0000,1.2042,0.00000,0.07309
40000,1211,1.114,1.450,24.29,16440,14111,0,2350,0,122569,178083.1,86066.7,0.289,0.595,0.072,0.044,195,28.63,9.79,0.02,0.20,6.04,3.45,0.69,2.11,8.11,5.20,0.00,0.09,0.217,0.116,604,0.065,0.121,0.855,0.003,0.021,18430,14784,4,0.298,0.476,0.198,704777,0.197,2.711,0.152,17.30,11749,370,0.702,0.344,0.169,1378328,1.00,0.75,0.576,0.414,0.001,15.0,31.6,32.0,91.6,17996,0.069,0.00,0.0018,0.098,429,0.363,0.000,0.259,0.197,3.35,3.98,3.95,0.02,0.007,1.00,1.01,1.00,0.376,0.00150,7.34,2.9405,301.65,101480.9,140078.7,0.000,6.5324,37.585,0.000,1.000,0.000,31.4,16.068,23.836,3251,19947.7,18.99,13.248,4.10,6.011,1113.2,0.954,0.135,2.00,10.5477,12773.2,0.9428,0.5860,14.86,1.978,0.060,0.4878,0.0000,0.458,0.161,0.353,0.0000,4.15,0.44,8,16,17,49,14.9460,0.0020,0.4517,0.0000,0.0000,14.5888,100.00,100.7378,82.0821,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,34.6733,0.8483,0.0023,0.0010,0.000002,27,0.2126,0.0677,0.0364,46,184,857,0.0000,0.0000,0.0000,0.000,0.0995,0.0287,0.0842,0.0190,0.4904,0.0533,0.0000,0.00036,0.122,0.0017,0.970,0.584,0.62,0.198,0.000,0.000,0.0000,0.000,0.000,0.0000,1.1112,0.0000,1.0120,0.00000,0.05735
50000,1136,0.932,1.171,26.17,55431,47412,0,8048,2,411829,504731.1,290373.3,0.284,0.577,0.094,0.045,143,25.84,8.68,0.00,0.00,6.72,3.96,0.28,0.97,6.06,3.94,0.00,0.00,0.262,0.135,513,0.114,0.084,0.886,0.003,0.028,65801,51408,5,0.758,0.216,0.132,2481557,0.206,2.497,0.124,45.47,41550,398,0.705,0.315,0.260,4668067,1.00,1.16,0.543,0.456,0.000,10.0,31.0,32.0,67.3,14844,0.057,0.00,0.0073,0.128,279,0.427,0.000,0.286,0.218,3.10,3.70,3.73,0.00,0.000,1.00,1.00,1.00,0.442,0.00400,47.26,9.5492,338.53,109336.5,140078.7,0.000,16.3009,109.178,0.000,1.000,0.045,30.9,46.102,71.867,2497,15989.4,23.63,37.017,4.07,16.143,845.5,4.213,0.135,1.99,8.6927,9874.9,0.8369,0.5808,13.07,1.999,0.003,1.5122,0.0000,0.129,0.125,0.024,0.0000,4.01,0.09,5,16,16,34,43.1246,0.0051,0.5035,0.0000,0.0000,51.9302,100.00,86.9085,164.3488,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,86.9589,0.8762,0.0026,0.0012,0.000006,44,0.3631,0.0458,0.0279,49,179,725,0.0000,0.0000,0.0002,0.001,0.3677,0.0419,0.2645,0.0123,0.4428,0.1456,0.0000,-0.00048,0.035,0.0008,0.988,0.562,0.28,0.132,0.000,0.000,0.0000,0.000,0.000,0.0000,1.0505,0.0000,1.0490,0.00000,0.05067
60000,1201,1.015,1.280,26.64,13987,12630,0,1251,0,71781,173727.0,55126.1,0.293,0.615,0.054,0.038,198,27.42,8.24,0.00,0.06,5.47,3.21,0.37,1.27,8.10,4.60,0.00,0.00,0.203,0.110,569,0.062,0.152,0.833,0.002,0.013,13770,10856,5,0.351,0.479,0.142,885054,0.218,2.596,0.137,16.57,9681,466,0.768,0.348,0.107,1099391,1.00,0.70,0.578,0.417,0.000,16.0,31.0,32.0,98.1,16743,0.064,0.00,0.0018,0.116,442,0.298,0.000,0.227,0.133,3.26,3.87,3.83,0.00,0.000,1.00,1.00,1.00,0.306,0.00145,7.07,2.3037,267.83,104780.3,140078.7,0.000,6.4713,35.420,0.000,1.000,0.000,31.6,15.877,22.860,2800,17721.5,18.58,12.530,3.97,6.231,949.1,1.027,0.133,1.99,10.3376,12415.4,0.9665,0.6252,13.94,1.996,0.026,0.4878,0.0000,0.125,0.104,0.014,0.0000,4.02,0.22,8,16,16,81,14.8766,0.0003,0.4654,0.0000,0.0000,14.6000,100.00,100.3967,79.8467,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,35.4422,0.8634,0.0022,0.0010,0.000002,41,0.2532,0.0733,0.0453,62,205,955,0.0000,0.0000,0.0001,0.000,0.0536,0.0366,0.0607,0.0208,0.5562,0.0522,0.0000,0.00008,0.224,0.0066,0.943,0.487,0.35,0.142,0.000,0.000,0.0000,0.000,0.000,0.0000,1.0124,0.0000,1.0608,0.00000,0.05527
70000,1625,0.953,1.832,32.22,63315,49456,0,13409,0,512747,514854.0,317418.9,0.210,0.669,0.068,0.053,126,27.61,9.99,0.00,0.00,6.16,4.39,0.36,1.28,7.54,6.20,0.00,0.00,0.228,0.140,622,0.156,0.106,0.880,0.001,0.012,75316,54489,1,0.532,0.468,0.130,2521550,0.193,3.086,0.204,45.87,47061,284,0.619,0.299,0.174,5626885,1.00,0.92,0.599,0.401,0.000,14.0,32.0,32.0,125.8,22847,0.087,0.00,0.0042,0.080,352,0.430,0.000,0.277,0.207,3.28,3.79,3.84,0.00,0.000,1.00,1.00,1.00,0.447,0.00375,46.33,9.4174,335.20,93150.0,140078.7,0.000,24.6558,110.468,0.000,1.000,0.000,48.4,46.526,67.788,3961,26403.9,13.09,37.520,3.90,26.475,1583.8,6.043,0.136,1.99,8.8702,14414.0,0.8218,0.5204,14.06,1.996,0.029,1.5122,0.0000,0.250,0.157,0.089,0.0000,4.05,0.32,7,16,16,81,42.4306,0.0008,0.5231,0.0000,0.0000,52.0042,100.00,81.4705,164.7631,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,77.0838,0.7955,0.0027,0.0012,0.000005,26,0.3223,0.0898,0.0193,48,178,609,0.0000,0.0000,0.0002,0.000,0.4600,0.0367,0.3297,0.0283,0.4231,0.1390,0.0000,-0.00001,0.182,0.0065,0.957,0.680,0.34,0.130,0.000,0.000,0.0000,0.000,0.000,0.0000,1.1614,0.0000,1.5782,0.00000,0.06055
80000,1029,1.109,1.507,28.58,15131,13944,0,1730,0,84570,183134.8,61762.6,0.195,0.720,0.038,0.047,179,27.21,9.71,0.05,0.45,6.68,4.23,0.36,1.36,6.93,4.67,0.00,0.00,0.241,0.123,544,0.067,0.128,0.856,0.002,0.014,15237,11248,10,0.343,0.207,0.151,1024269,0.162,2.835,0.164,16.64,10397,406,0.730,0.298,0.245,1642448,1.01,1.26,0.509,0.490,0.000,12.0,30.1,32.0,69.3,14436,0.055,0.00,0.0026,0.102,319,0.358,0.000,0.225,0.143,3.05,3.83,3.87,0.05,0.017,1.00,1.02,1.02,0.365,0.00203,7.07,2.6854,231.88,104882.3,140078.7,0.000,8.0411,38.305,0.000,1.000,0.000,27.6,17.596,22.493,3220,21327.9,13.73,13.381,4.06,7.819,1235.0,1.237,0.135,2.00,8.5364,8784.0,0.8213,0.5811,14.03,1.965,0.080,0.4878,0.0000,0.310,0.189,0.190,0.0000,4.16,0.39,7,16,16,36,16.3946,0.0047,0.4548,0.0000,0.0000,14.6177,100.00,97.5792,84.2551,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,33.7659,0.8363,0.0023,0.0010,0.000003,53,0.3182,0.0369,0.0527,71,214,938,0.0000,0.0000,0.0003,0.000,0.0897,0.0500,0.0927,0.0194,0.5046,0.0729,0.0000,0.00018,0.539,0.0171,0.996,0.657,0.33,0.151,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9852,0.0000,1.2055,0.00000,0.06049
90000,1027,0.846,1.710,34.74,54746,43703,0,10853,124,429431,526124.9,266016.8,0.127,0.755,0.047,0.072,119,27.75,9.99,0.03,0.59,6.79,3.89,0.27,1.11,6.91,4.81,0.00,0.00,0.246,0.121,484,0.127,0.059,0.935,0.002,0.004,65670,44573,2,0.342,0.323,0.088,2371783,0.154,2.997,0.188,46.37,44152,271,0.619,0.303,0.119,6978795,1.00,0.88,0.560,0.424,0.000,14.0,32.0,32.0,157.6,14367,0.055,0.00,0.0074,0.131,328,0.487,0.000,0.268,0.220,3.32,3.82,3.85,0.00,0.001,1.00,1.00,1.00,0.500,0.00607,45.58,9.7167,322.52,96822.3,140078.7,0.000,28.0071,110.348,0.000,1.000,0.000,31.9,48.108,67.785,3629,24312.5,11.12,39.173,4.04,30.556,1483.6,6.673,0.136,2.00,13.4101,13772.2,1.1468,0.4917,13.99,1.999,0.004,1.5122,0.0000,0.085,0.117,0.022,0.0000,4.06,0.31,7,16,16,63,44.1035,0.0016,0.5609,0.0000,0.0000,52.0826,100.00,76.4008,167.7020,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,73.1823,0.8120,0.0024,0.0010,0.000007,68,0.7237,0.1879,0.0302,54,187,641,0.0000,0.0000,0.0028,0.005,0.5547,0.1050,0.3985,0.0545,0.3806,0.2190,0.0000,0.00050,0.538,0.0195,0.987,0.781,0.26,0.088,0.000,0.000,0.0000,0.000,0.000,0.0000,1.1767,0.0000,1.6709,0.00000,0.06250
100000,1290,1.188,1.333,33.92,13867,12366,0,1116,12,57835,183895.6,45124.1,0.193,0.699,0.049,0.058,189,27.83,8.73,0.00,0.00,5.17,3.94,0.43,1.41,8.53,5.11,0.00,0.00,0.187,0.127,556,0.106,0.175,0.810,0.002,0.012,12868,9292,5,0.257,0.291,0.142,579750,0.200,2.671,0.143,16.63,9988,344,0.780,0.297,0.143,1527085,1.00,0.74,0.616,0.383,0.000,16.0,32.0,32.0,128.0,18232,0.070,0.00,0.0017,0.120,330,0.353,0.000,0.177,0.103,3.26,3.83,3.87,0.00,0.000,1.00,1.00,1.00,0.358,0.00143,7.13,2.9268,299.37,104045.0,140078.7,0.000,8.4878,36.837,0.000,1.000,0.000,32.5,16.952,22.378,2883,18553.2,26.04,13.460,3.98,8.088,1026.9,1.260,0.131,2.01,9.2330,11910.5,0.8743,0.5541,14.13,2.000,0.002,0.4878,0.0000,0.128,0.139,0.025,0.0000,4.03,0.24,8,16,16,64,15.9370,0.0011,0.4318,0.0000,0.0000,14.5673,100.00,96.6769,83.0849,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,33.5023,0.8569,0.0021,0.0009,0.000002,110,0.5240,0.0535,0.0668,79,220,1055,0.0000,0.0000,0.0023,0.005,0.0548,0.0929,0.1020,0.0326,0.5177,0.0509,0.0000,-0.00014,0.695,0.0396,0.840,0.573,0.41,0.142,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9492,0.0000,1.1106,0.00000,0.05518
