step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water
100000,26.00,16,0,8,0,5,0,1.00,0,0.308,2967,0.00,88.91,103.15,741,0,0,0,1.00,1.00,1.00,2,4,4,21.8,31.716,13,2.000,0.220,4,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2938,0.00,64.52,170.38,741,1,2,0,1.00,1.00,1.00,4,4,4,34.7,19.978,16,2.000,0.220,4,1.000
100000,30.00,16,0,11,0,4,0,1.00,0,0.367,2906,0.00,45.96,121.19,891,0,1,0,1.00,1.00,1.00,2,4,4,19.5,1.228,15,2.000,0.111,4,1.000
100000,28.00,16,0,8,0,6,0,1.00,0,0.286,2897,0.33,60.31,241.99,741,1,0,0,1.00,1.00,1.00,1,4,4,35.4,24.858,14,2.000,0.169,4,1.000
100000,30.00,16,0,11,0,4,0,1.00,0,0.367,2896,0.00,67.62,133.35,891,2,1,0,1.00,1.00,1.00,4,4,4,46.6,8.815,15,2.000,0.098,4,1.000
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,2864,0.07,107.08,150.34,741,1,0,0,1.00,1.00,1.00,4,4,4,36.7,31.655,15,2.000,0.184,4,1.000
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,2794,1.40,95.96,122.48,741,2,0,0,1.00,1.00,1.00,2,4,4,39.2,54.759,15,2.000,0.167,4,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2753,0.00,72.96,174.63,886,1,0,0,1.00,1.00,1.00,2,4,4,29.7,34.763,16,2.000,0.077,4,1.000
100000,32.00,16,0,12,0,4,0,1.00,0,0.375,2752,0.00,67.39,160.32,891,2,0,0,1.00,1.00,1.00,4,4,4,65.6,12.854,16,2.000,0.104,4,1.000
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2739,1.52,54.08,130.27,859,1,1,0,1.00,1.00,1.00,1,4,4,36.2,8.900,16,2.000,0.092,4,1.000
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,2702,0.00,103.94,122.52,741,0,0,0,1.00,1.00,1.00,2,4,4,25.5,59.311,15,2.000,0.393,4,1.000
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2695,-0.00,80.14,178.26,741,0,2,0,1.00,1.00,1.00,4,4,4,22.0,42.017,16,2.000,0.121,4,1.000
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2667,0.00,68.89,157.21,741,2,0,0,1.00,1.00,1.00,2,4,4,39.6,25.359,16,2.000,0.200,4,1.000
100000,30.00,16,0,9,0,6,0,1.00,0,0.300,2566,0.00,65.22,171.56,741,2,0,0,1.00,1.00,1.00,2,4,4,38.0,32.102,15,2.000,0.169,4,1.000
100000,32.00,16,0,12,0,4,0,1.00,0,0.375,2539,2.85,62.79,88.52,891,1,0,0,1.00,1.00,1.00,2,4,4,26.9,8.826,16,2.000,0.108,4,1.000
100000,32.00,16,0,6,0,10,0,1.00,0,0.188,2523,2.66,72.18,166.48,741,1,1,0,1.00,1.00,1.00,2,4,4,35.7,30.965,16,2.000,0.240,4,1.000
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,2523,0.00,85.71,57.30,741,1,0,0,1.00,1.00,1.00,3,4,4,28.8,17.978,15,2.000,0.184,4,1.000
100000,32.00,16,0,12,0,4,0,1.00,0,0.375,2502,0.00,68.80,153.82,891,2,0,0,1.00,1.00,1.00,1,4,4,49.0,15.322,16,2.000,0.108,4,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2491,0.00,72.23,92.40,859,2,0,0,1.00,1.00,1.00,2,4,4,52.7,22.375,16,2.000,0.092,4,1.000
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2482,1.74,60.98,160.04,891,0,0,0,1.00,1.00,1.00,1,4,4,0.5,28.799,16,2.000,0.102,4,1.000
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2445,4.62,71.47,136.53,741,1,0,0,1.00,1.00,1.00,2,4,4,26.9,25.856,16,2.000,0.121,4,1.000
100000,30.00,16,0,9,0,6,0,1.00,0,0.300,2444,0.00,69.71,66.53,886,1,0,0,1.00,1.00,1.00,4,4,4,32.4,2.275,15,2.000,0.077,4,1.000
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2441,0.50,96.09,56.74,859,1,2,0,1.00,1.00,1.00,2,4,4,28.8,40.179,16,2.000,0.092,4,1.000
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,2439,-0.00,67.41,121.22,859,0,0,0,1.00,1.00,1.00,1,4,4,6.9,33.016,16,2.000,0.092,4,1.000
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,2434,0.00,62.39,136.39,891,1,0,0,1.00,1.00,1.00,4,4,4,35.9,12.897,15,2.000,0.099,4,1.000
