step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free
10000,1868,1.119,0.729,16.43,96693,78353,280,15332,2290,993206,1046432.5,734294.4,0.183,0.587,0.135,0.095,121,26.17,15.62,0.46,1.82,4.62,5.40,0.17,1.22,9.76,8.05,0.00,0.05,0.160,0.161,1267,0.025,0.069,0.891,0.011,0.029,229751,193600,3,0.305,0.493,0.041,3348570,0.248,2.475,0.060,20.64,85830,255,0.739,0.214,0.390,12111251,1.18,4.68,0.212,0.610,0.001,7.5,24.0,49.8,97.8,28030,0.107,0.00,0.0057,0.115,474,0.802,0.000,0.650,0.586,2.87,4.12,4.35,0.02,0.011,1.12,1.21,1.21,0.827,0.00534,8.41,53.8198,989.93,114598.2,140185.7,12.945,100.1612,193.243,0.000,1.000,0.220,56.5,82.660,235.024,1041,3774.3,30.36,44.786,6.32,150.722,6639.8,71.650,0.134,2.00,5.6306,10518.0,0.6176,0.4207,15.01,1.737,0.463,1.5345,0.0000,0.274,0.118,0.031,0.0000,5.36,1.43,4,15,25,64,74.7821,0.5414,0.4550,0.0000,0.0000,58.6884,100.00,78.6680,503.0395,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0034,0.0015,0.000015
20000,2800,0.928,0.384,17.10,61806,49962,27,8978,1907,460985,429608.0,262395.3,0.084,0.774,0.092,0.051,207,17.70,11.80,0.61,2.45,2.88,4.26,0.16,0.89,9.29,8.58,0.02,0.17,0.123,0.160,1897,0.010,0.103,0.836,0.019,0.041,81394,58415,3,0.331,0.404,0.051,546498,0.127,1.587,0.030,23.21,37650,314,0.569,0.192,0.338,6331481,1.25,9.64,0.125,0.587,0.011,3.6,16.0,32.0,97.0,36244,0.138,0.00,0.0017,0.117,696,0.540,0.000,0.687,0.289,2.68,3.90,4.22,0.03,0.016,1.20,1.27,1.28,0.559,0.00339,5.36,9.6542,654.04,117379.8,140185.7,0.152,18.5562,88.581,0.000,1.000,0.301,74.2,39.344,52.059,493,1712.5,27.66,11.761,4.95,34.416,3048.6,19.415,0.133,2.00,4.5919,12857.3,0.6494,0.4292,12.94,1.388,0.604,0.4655,0.0000,0.301,0.115,0.022,0.0000,6.40,2.34,4,12,24,83,32.9793,0.2053,0.4189,0.0000,0.0000,13.1431,100.00,111.6097,236.2380,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0035,0.0017,0.000010
30000,2833,0.947,0.418,21.28,189247,141541,200,39833,7640,1634004,1121195.8,956951.4,0.125,0.729,0.091,0.055,95,22.53,13.13,0.43,2.04,4.88,5.11,0.03,0.50,8.39,6.42,0.01,0.17,0.163,0.164,1130,0.176,0.119,0.846,0.009,0.026,324149,240017,5,0.464,0.187,0.009,443437,0.187,1.782,0.034,31.54,153247,224,0.586,0.216,0.303,21978895,1.19,7.41,0.391,0.452,0.006,4.2,28.0,32.0,102.0,38914,0.148,0.00,0.0047,0.126,728,0.717,0.000,0.769,0.425,2.28,3.59,4.50,0.03,0.011,1.20,1.14,1.21,0.742,0.00631,12.85,46.9759,768.81,106734.1,140185.7,11.255,75.6741,231.897,0.000,1.000,0.120,87.1,96.167,222.154,567,1829.1,32.16,37.732,4.41,141.370,3597.7,81.441,0.135,2.00,7.9641,22562.3,0.7633,0.4014,13.74,1.526,0.591,1.5345,0.0000,0.260,0.152,0.050,0.0000,5.84,2.28,4,15,17,71,83.7662,0.2582,0.4599,0.0000,0.0000,54.3920,100.00,89.7318,556.8239,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0037,0.0017,0.000023
40000,2746,0.891,0.312,17.27,56100,44880,352,8738,2217,343961,459224.3,217144.0,0.088,0.749,0.110,0.053,212,18.17,12.74,0.35,1.86,3.72,4.98,0.07,1.13,8.56,6.52,0.05,0.32,0.127,0.165,1185,0.042,0.113,0.851,0.004,0.032,69085,48205,3,0.551,0.080,0.012,153419,0.185,1.366,0.026,26.20,32326,360,0.631,0.199,0.298,5016793,1.14,11.37,0.256,0.536,0.024,3.0,15.0,32.0,86.0,34861,0.133,0.00,0.0020,0.120,762,0.411,0.000,0.522,0.235,2.43,3.13,4.80,0.07,0.029,1.14,1.10,1.16,0.425,0.00400,6.94,8.1764,579.15,114672.4,140185.7,0.316,13.1610,93.964,0.000,1.000,0.312,78.7,43.540,44.528,399,1357.3,20.93,8.869,3.30,29.702,2441.1,19.565,0.135,2.00,6.1458,16876.2,0.7291,0.4786,12.70,1.317,0.608,0.4655,0.0000,0.275,0.113,0.005,0.0000,6.74,2.43,4,14,18,53,36.6202,0.7082,0.4297,0.0000,0.0000,13.1061,100.00,110.4287,257.1793,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0028,0.0014,0.000013
50000,2659,1.014,0.496,21.99,148112,113238,1009,28019,5933,987638,1099710.6,644103.4,0.175,0.702,0.079,0.045,105,24.00,11.46,0.32,1.63,4.90,4.67,0.10,0.90,8.89,5.87,0.02,0.18,0.163,0.151,935,0.071,0.118,0.846,0.007,0.029,241813,180235,3,0.545,0.065,0.017,406764,0.213,2.072,0.041,28.96,118202,197,0.652,0.249,0.226,19402443,1.13,5.98,0.485,0.368,0.010,6.1,32.0,32.0,78.0,37794,0.144,0.00,0.0047,0.108,698,0.716,0.000,0.680,0.397,2.27,3.56,4.51,0.03,0.016,1.14,1.11,1.15,0.733,0.00636,9.75,34.7453,1093.20,100106.8,140185.7,14.682,70.3403,220.953,0.000,1.000,0.112,79.7,97.757,227.014,641,2372.5,68.45,35.926,3.63,140.591,4245.0,81.341,0.135,2.00,10.4901,27893.3,0.8963,0.4187,14.21,1.625,0.558,1.5345,0.0000,0.227,0.126,0.015,0.0000,5.49,2.21,6,16,16,64,88.5671,0.2601,0.4558,0.0000,0.0000,57.4205,100.00,82.7573,559.4524,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0031,0.0014,0.000024
60000,2644,0.983,0.378,18.51,53743,42499,514,8416,2329,300386,448474.2,205459.7,0.131,0.711,0.098,0.060,213,19.37,12.42,0.16,1.13,4.39,4.98,0.12,1.41,7.77,5.39,0.00,0.05,0.149,0.164,882,0.126,0.130,0.827,0.006,0.037,67469,48339,4,0.454,0.032,0.017,248737,0.185,1.558,0.030,23.04,31458,336,0.684,0.234,0.280,4815475,1.07,10.12,0.376,0.426,0.001,3.1,20.2,32.0,72.0,32894,0.125,0.00,0.0022,0.134,674,0.427,0.000,0.506,0.242,2.23,3.18,4.38,0.01,0.004,1.05,1.07,1.08,0.440,0.00393,5.50,8.7298,613.56,110801.3,140185.7,0.338,15.8153,91.764,0.000,1.000,0.265,70.0,42.437,49.841,535,1903.9,32.45,9.368,3.29,34.140,2914.1,21.807,0.134,2.01,7.3717,19490.7,0.8097,0.5044,12.44,1.439,0.616,0.4655,0.0000,0.260,0.145,0.031,0.0000,6.26,2.49,4,14,16,53,36.4121,0.6888,0.4009,0.0000,0.0000,13.2530,100.00,108.8352,268.4954,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0027,0.0013,0.000014
70000,2163,0.989,0.651,25.68,133039,95932,1467,30651,5470,847716,1057988.8,588532.1,0.269,0.641,0.045,0.045,105,26.91,9.46,0.14,1.12,5.91,4.36,0.04,0.49,8.41,5.88,0.00,0.06,0.198,0.141,595,0.291,0.135,0.833,0.006,0.026,215218,165416,4,0.624,0.138,0.008,289380,0.217,2.312,0.055,25.01,112938,167,0.694,0.293,0.184,16998294,1.06,2.85,0.650,0.254,0.001,9.3,32.0,32.0,84.0,31360,0.120,0.00,0.0058,0.121,524,0.726,0.000,0.643,0.391,1.97,3.73,4.15,0.01,0.003,1.06,1.06,1.07,0.742,0.00729,6.00,33.7937,874.04,98773.2,140185.7,13.267,77.3963,213.271,0.000,1.000,0.090,65.3,94.583,235.740,932,3742.3,62.21,35.390,3.67,148.177,5634.0,82.206,0.135,2.00,12.6579,27379.1,1.0225,0.4372,14.50,1.849,0.395,1.5345,0.0000,0.171,0.118,0.018,0.0000,4.63,1.65,7,16,16,65,87.0095,0.1819,0.5127,0.0000,0.0000,58.9531,100.00,78.3993,552.7130,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0027,0.0012,0.000027
80000,2739,0.987,0.357,19.82,52907,41233,526,8679,1893,295496,442854.8,198297.6,0.167,0.711,0.088,0.034,208,19.61,12.35,0.22,1.61,4.09,4.64,0.08,1.10,8.02,5.31,0.00,0.04,0.140,0.156,1023,0.060,0.135,0.817,0.012,0.036,64900,46365,2,0.441,0.339,0.012,162617,0.182,1.469,0.028,22.28,31989,307,0.671,0.250,0.278,4809684,1.09,9.91,0.389,0.422,0.001,3.1,22.0,32.0,64.5,33999,0.130,0.00,0.0020,0.138,675,0.444,0.000,0.544,0.235,2.17,3.17,4.45,0.01,0.008,1.07,1.10,1.10,0.457,0.00380,4.80,8.5599,544.35,111193.2,140185.7,0.405,17.1744,89.999,0.000,1.000,0.286,73.4,41.632,51.972,494,1743.7,24.99,9.673,3.37,35.285,2714.6,21.741,0.135,2.01,7.0461,19299.3,0.7573,0.4941,12.41,1.458,0.606,0.4655,0.0000,0.250,0.137,0.016,0.0000,6.23,2.51,4,15,16,54,35.8730,0.4451,0.4115,0.0000,0.0000,13.5024,100.00,109.0335,260.1116,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0027,0.0013,0.000012
90000,2189,0.988,0.656,25.95,132826,94893,1434,32066,4983,853507,1083934.2,600470.9,0.260,0.665,0.038,0.037,101,27.33,9.24,0.14,1.22,6.02,4.30,0.04,0.91,8.42,5.07,0.00,0.05,0.199,0.138,581,0.186,0.124,0.836,0.005,0.035,218927,169964,6,0.461,0.283,0.005,184109,0.203,2.293,0.058,25.73,117816,157,0.704,0.299,0.172,18360606,1.06,2.94,0.684,0.217,0.001,9.4,32.0,32.0,71.8,32030,0.122,0.00,0.0059,0.124,514,0.748,0.000,0.661,0.402,1.87,3.74,4.12,0.00,0.002,1.05,1.06,1.06,0.762,0.00731,5.76,34.7776,912.60,97880.6,140185.7,12.574,75.3337,217.382,0.000,1.000,0.091,65.8,97.021,236.108,951,4018.0,47.39,37.062,3.69,147.953,5417.0,83.759,0.135,2.00,12.8488,28126.1,1.0048,0.4328,14.63,1.847,0.399,1.5345,0.0000,0.166,0.128,0.014,0.0000,4.65,1.67,8,16,16,68,89.4720,0.1232,0.5057,0.0000,0.0000,59.3852,100.00,77.8798,556.9853,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0026,0.0012,0.000026
100000,2584,0.998,0.377,20.19,52961,41105,489,8901,2071,299788,441074.2,196217.0,0.167,0.722,0.082,0.028,204,20.73,12.22,0.19,1.60,4.44,4.76,0.03,0.53,8.33,5.81,0.00,0.06,0.151,0.157,827,0.125,0.149,0.805,0.006,0.040,64868,46505,5,0.414,0.012,0.006,136447,0.158,1.588,0.030,21.45,31887,288,0.655,0.256,0.288,4814309,1.08,9.07,0.429,0.392,0.002,3.8,26.0,32.0,71.0,33572,0.128,0.00,0.0020,0.139,664,0.442,0.000,0.559,0.233,2.24,3.26,4.43,0.01,0.003,1.07,1.08,1.08,0.455,0.00408,4.25,8.5384,546.77,111723.3,140185.7,0.234,18.1203,89.645,0.000,1.000,0.271,72.0,41.592,53.670,531,1771.6,23.68,10.288,3.35,36.878,3119.3,22.382,0.136,2.00,7.1844,18564.5,0.7322,0.4826,12.99,1.502,0.593,0.4655,0.0000,0.247,0.127,0.007,0.0000,6.06,2.46,4,16,16,66,36.0253,0.2835,0.4102,0.0000,0.0000,13.4599,100.00,109.1438,272.1101,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0027,0.0013,0.000014
