step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free
10000,2953,1.008,0.376,8.75,82530,70944,2217,4275,3571,305387,1361304.8,525512.9,0.131,0.536,0.175,0.159,110,25.56,17.64,0.33,1.69,4.51,6.32,0.12,0.85,13.65,8.53,0.01,0.12,0.130,0.164,1758,0.046,0.090,0.903,0.000,0.007,194880,168117,10,0.415,0.178,0.037,5368833,0.237,1.335,0.030,60.66,61548,609,1.721,0.189,0.281,16015845,1.11,9.05,0.115,0.505,0.003,6.5,18.3,52.9,110.8,54953,0.210,0.00,0.0034,0.137,715,0.826,0.000,0.702,0.585,3.70,4.92,4.77,0.05,0.024,1.10,1.12,1.12,0.832,0.00293,51.67,51.5469,1522.26,97730.7,140185.7,1.275,29.3446,281.434,0.000,1.000,0.114,99.4,128.245,156.016,719,2810.8,24.53,53.741,6.85,87.161,621.9,74.840,0.133,2.00,10.7355,31701.9,0.9293,0.6003,18.61,1.312,0.193,1.5345,0.0000,0.507,0.133,0.381,0.0000,7.05,1.33,5,15,36,64,122.0027,0.4719,0.4897,0.0000,0.0000,50.6444,100.00,61.8524,368.0619,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0022,0.0009,0.000002
20000,3146,0.950,0.287,11.71,45627,33359,197,11102,776,623527,487874.5,373594.8,0.055,0.642,0.119,0.184,192,21.25,15.09,0.19,1.20,3.98,5.88,0.01,0.27,8.57,6.26,0.03,0.27,0.121,0.157,1775,0.037,0.123,0.862,0.000,0.015,56633,40022,3,0.558,0.039,0.002,187185,0.198,0.978,0.016,38.20,27051,472,0.599,0.163,0.313,4237510,1.07,11.82,0.133,0.648,0.012,3.7,18.4,43.9,112.8,40122,0.153,0.00,0.0018,0.123,713,0.410,0.000,0.549,0.275,2.83,3.98,4.19,0.03,0.014,1.06,1.06,1.09,0.435,0.00464,11.76,9.8881,542.68,104963.8,140185.7,0.000,6.1729,105.849,0.000,1.000,0.184,76.8,45.933,29.368,640,2183.2,17.67,10.022,5.16,13.187,422.4,10.806,0.135,2.00,8.3000,26111.8,1.1490,0.5003,12.75,1.557,0.389,0.4655,0.0000,0.668,0.216,0.499,0.0000,6.99,2.16,3,13,23,77,35.2869,0.3535,0.3980,0.0000,0.0000,13.1254,100.00,107.5091,201.5774,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0022,0.0010,0.000006
30000,4462,0.852,0.477,14.57,196803,137411,271,49916,7889,1835835,1248338.2,1419941.8,0.046,0.424,0.210,0.320,77,17.53,12.21,0.38,1.86,3.46,4.72,0.01,0.32,6.52,5.85,0.00,0.09,0.138,0.170,2228,0.024,0.077,0.892,0.000,0.031,331361,249549,3,0.525,0.238,0.002,151125,0.296,1.428,0.039,58.58,152622,441,0.773,0.176,0.363,20647191,1.16,11.79,0.175,0.674,0.002,2.5,16.0,32.0,98.8,46275,0.177,0.00,0.0043,0.104,979,0.750,0.000,0.690,0.416,2.32,3.59,3.63,0.03,0.019,1.11,1.19,1.17,0.781,0.00320,34.22,56.1650,1191.13,103264.6,140185.7,0.081,35.6134,332.107,0.000,1.000,0.175,100.2,126.791,179.422,1047,4518.0,15.20,39.275,4.51,103.995,815.1,87.556,0.135,2.00,5.2977,23638.1,0.9475,0.5971,10.37,1.577,0.404,1.5345,0.0000,0.708,0.246,0.595,0.0000,6.48,2.32,2,10,16,70,113.8540,1.4013,0.4415,0.0000,0.0000,54.5271,100.00,72.2872,365.2070,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0024,0.0010,0.000004
40000,3494,0.860,0.402,14.32,62631,48227,188,13713,1471,545781,497966.9,359541.3,0.056,0.644,0.116,0.184,174,17.59,12.74,0.31,1.74,3.37,5.02,0.02,0.65,7.30,6.13,0.00,0.02,0.116,0.165,1443,0.080,0.122,0.857,0.000,0.021,69405,42434,3,0.480,0.018,0.003,32966,0.270,1.252,0.030,38.89,38666,441,0.659,0.220,0.271,5722247,1.12,12.89,0.213,0.568,0.000,3.2,14.4,32.0,100.0,38442,0.147,0.00,0.0020,0.122,786,0.430,0.000,0.601,0.190,2.44,3.66,3.96,0.01,0.005,1.07,1.16,1.12,0.450,0.00350,11.00,9.1748,553.95,106524.6,140185.7,0.000,5.2992,110.148,0.000,1.000,0.255,79.2,47.048,29.052,995,3902.1,15.22,8.987,4.28,13.132,665.5,11.169,0.134,2.00,6.5141,22760.4,1.0980,0.5516,11.00,1.475,0.393,0.4655,0.0000,0.667,0.243,0.444,0.0000,6.97,2.20,2,11,16,67,37.6609,0.6997,0.4130,0.0000,0.0000,13.2486,100.00,108.7248,218.8389,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0025,0.0012,0.000006
50000,4103,0.751,0.341,16.09,207203,147115,729,49083,9667,1445689,1273804.6,1120922.4,0.101,0.516,0.140,0.242,72,17.20,12.80,0.28,1.67,3.77,5.18,0.01,0.47,6.21,5.31,0.00,0.09,0.134,0.176,1594,0.040,0.089,0.874,0.000,0.038,298193,200233,3,0.436,0.456,0.001,149584,0.259,1.121,0.022,65.10,146738,421,0.775,0.177,0.313,25896196,1.12,12.68,0.206,0.566,0.002,2.4,13.9,32.0,80.0,42148,0.161,0.00,0.0050,0.118,1016,0.756,0.000,0.793,0.322,2.32,3.69,3.29,0.01,0.008,1.10,1.15,1.11,0.776,0.00319,37.91,44.5327,749.94,104761.3,140185.7,0.194,27.6678,326.077,0.000,1.000,0.211,100.2,131.948,168.697,793,2824.8,28.71,38.694,4.35,94.688,581.0,81.603,0.134,2.00,6.1502,25234.5,1.1050,0.5844,10.27,1.512,0.408,1.5345,0.0000,0.701,0.248,0.527,0.0000,6.62,2.17,2,11,16,60,119.4616,1.9067,0.4558,0.0000,0.0000,53.5138,100.00,77.5550,391.9725,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0024,0.0011,0.000004
60000,3328,0.918,0.355,17.18,60771,45480,181,14138,1747,448277,494934.0,321371.5,0.056,0.701,0.091,0.151,173,19.69,12.90,0.11,1.20,3.72,4.93,0.02,0.27,8.02,5.74,0.00,0.02,0.124,0.156,1270,0.114,0.116,0.857,0.000,0.026,63445,35599,3,0.437,0.113,0.011,109862,0.261,1.147,0.025,39.75,37400,448,0.717,0.209,0.309,5859426,1.04,11.65,0.331,0.492,0.000,3.4,18.0,32.0,108.0,39510,0.151,0.00,0.0019,0.151,650,0.427,0.000,0.549,0.154,2.61,3.72,3.90,0.01,0.004,1.02,1.05,1.04,0.443,0.00391,11.73,8.3078,570.56,107524.7,140185.7,0.000,4.5691,107.146,0.000,1.000,0.250,80.7,47.102,26.529,792,3084.5,16.79,8.009,4.31,11.646,567.5,9.950,0.134,2.00,6.7288,22393.4,1.0060,0.5964,11.87,1.548,0.414,0.4655,0.0000,0.710,0.262,0.515,0.0000,6.67,2.37,3,14,16,64,36.9539,0.8437,0.4201,0.0000,0.0000,13.1473,100.00,109.4275,215.8515,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0024,0.0011,0.000007
70000,3804,0.837,0.565,20.58,189289,132668,1263,48757,6125,1507653,1298408.6,1044335.5,0.096,0.596,0.114,0.194,69,21.82,11.93,0.33,1.72,4.77,4.97,0.01,0.16,7.38,5.68,0.00,0.02,0.162,0.165,1357,0.091,0.088,0.890,0.001,0.022,278724,179062,5,0.511,0.106,0.002,253727,0.254,1.622,0.050,64.92,143445,319,0.693,0.199,0.378,29589529,1.14,8.83,0.357,0.498,0.000,3.6,27.9,32.0,98.0,47477,0.181,0.00,0.0046,0.113,916,0.814,0.000,0.733,0.338,2.42,3.79,3.87,0.01,0.004,1.10,1.19,1.14,0.833,0.00359,30.15,42.0308,798.23,96452.5,140185.7,0.326,30.7480,321.418,0.000,1.000,0.143,105.0,133.287,183.439,1403,6197.6,17.68,46.800,4.32,100.224,1032.4,83.247,0.134,2.00,7.7602,29519.6,0.8804,0.5154,12.48,1.643,0.411,1.5345,0.0000,0.774,0.255,0.663,0.0000,6.00,2.29,3,15,16,64,121.5447,0.6811,0.4800,0.0000,0.0000,55.7851,100.00,72.6926,393.4985,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0024,0.0011,0.000004
80000,3161,1.006,0.618,22.44,60179,43464,364,15312,1682,493588,506179.2,308558.9,0.040,0.711,0.090,0.159,165,22.77,11.97,0.29,2.00,4.64,4.25,0.02,0.51,7.95,6.32,0.01,0.18,0.166,0.150,1180,0.189,0.119,0.852,0.000,0.029,63164,33379,9,0.515,0.022,0.003,37450,0.285,1.704,0.057,38.46,36557,317,0.625,0.222,0.375,6358378,1.12,7.56,0.367,0.405,0.001,4.6,28.0,32.0,117.6,40791,0.156,0.00,0.0020,0.151,728,0.482,0.000,0.543,0.149,2.57,3.84,4.02,0.01,0.006,1.09,1.15,1.12,0.501,0.00464,9.01,7.3255,409.38,102803.6,140185.7,0.000,5.4962,108.701,0.000,1.000,0.221,83.6,48.981,34.973,1561,7392.3,13.25,12.646,4.37,15.384,1050.9,12.529,0.135,2.00,7.1336,22549.2,0.7817,0.5306,12.90,1.701,0.397,0.4655,0.0000,0.806,0.250,0.676,0.0000,5.76,2.35,3,15,16,81,38.6464,0.2293,0.4151,0.0000,0.0000,13.4234,100.00,108.8843,233.4452,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0024,0.0011,0.000007
90000,3489,0.844,0.795,24.64,159658,105985,3125,44523,5697,1341838,1304078.8,807615.8,0.023,0.700,0.111,0.167,72,23.61,10.14,0.45,1.96,5.00,4.04,0.00,0.06,7.43,5.43,0.00,0.08,0.186,0.148,1269,0.208,0.082,0.895,0.000,0.023,220773,142805,5,0.647,0.100,0.001,94313,0.247,2.186,0.077,67.66,117477,180,0.602,0.287,0.276,30127459,1.19,5.42,0.182,0.336,0.001,7.5,28.0,32.0,104.0,44950,0.171,0.00,0.0050,0.117,797,0.814,0.000,0.551,0.298,2.51,3.90,4.02,0.01,0.006,1.13,1.25,1.20,0.831,0.00523,23.43,36.1047,1153.13,82485.8,140185.7,1.049,38.2447,299.221,0.000,1.000,0.055,103.0,128.825,194.133,1860,9379.1,62.77,58.318,4.31,101.439,1405.0,77.680,0.135,2.00,11.4600,39984.1,1.0510,0.4476,12.88,1.774,0.373,1.5345,0.0000,0.846,0.235,0.770,0.0000,5.27,2.07,5,14,16,64,115.5446,0.0907,0.5036,0.0000,0.0000,57.8282,100.00,58.8971,388.9738,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0021,0.0009,0.000005
100000,2815,0.952,0.612,24.78,52267,38650,939,11756,1596,394538,504204.0,256433.5,0.024,0.717,0.094,0.165,165,22.80,10.43,0.13,1.08,5.30,4.09,0.03,0.70,7.08,6.01,0.00,0.00,0.200,0.155,1036,0.083,0.106,0.865,0.000,0.028,53630,29827,7,0.339,0.013,0.002,41486,0.232,1.662,0.053,36.84,32071,275,0.650,0.275,0.322,6364717,1.07,5.78,0.204,0.361,0.000,5.9,26.0,32.0,88.0,35305,0.135,0.00,0.0025,0.161,660,0.498,0.000,0.465,0.135,2.70,3.80,3.98,0.01,0.004,1.06,1.08,1.07,0.514,0.00507,8.45,7.8343,427.36,97343.4,140185.7,0.000,7.4498,105.786,0.000,1.000,0.165,76.6,48.338,38.165,1580,7017.9,30.51,13.687,4.31,17.462,1098.2,13.586,0.136,2.00,10.2240,28780.7,0.9987,0.5406,12.54,1.776,0.370,0.4655,0.0000,0.843,0.229,0.766,0.0000,5.29,2.12,4,14,16,81,38.9280,0.1785,0.4334,0.0000,0.0000,13.5211,100.00,105.3429,227.8250,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0022,0.0010,0.000007
