step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free
10000,2785,1.069,1.075,23.12,175535,122269,4,50828,1079,3070970,1314757.2,1375983.1,0.139,0.691,0.096,0.073,78,28.72,16.79,0.43,2.12,4.13,5.02,0.25,1.72,13.55,14.22,0.02,0.19,0.148,0.164,1646,0.032,0.049,0.920,0.009,0.022,313103,211012,3,0.260,0.429,0.036,3980058,0.233,2.324,0.111,117.79,135657,179,0.448,0.215,0.349,21507516,1.18,3.51,0.329,0.590,0.013,8.0,29.9,50.0,244.0,51141,0.195,0.00,0.0035,0.117,643,0.779,0.000,0.638,0.453,3.30,4.50,4.60,0.09,0.041,1.20,1.16,1.18,0.822,0.00764,69.54,59.7418,654.72,101770.5,140185.7,0.094,28.6014,279.934,0.000,1.000,0.079,95.6,113.028,120.836,2892,15087.2,18.01,111.286,5.90,13.665,295.9,7.447,0.134,2.00,5.7933,16134.4,0.5301,0.3370,18.36,1.641,0.428,1.5345,0.0000,0.463,0.182,0.437,0.0000,5.31,1.47,6,16,37,122,94.0570,0.0047,0.4894,0.0000,0.0000,50.3163,100.00,76.5554,268.1315,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0035,0.0014,0.000007
20000,2882,0.967,0.823,25.06,58018,46765,37,10489,630,589500,504225.0,290430.4,0.137,0.722,0.084,0.057,158,23.43,12.44,0.22,1.66,4.69,4.47,0.02,0.39,8.71,5.64,0.01,0.15,0.155,0.143,1068,0.158,0.121,0.849,0.004,0.026,60991,30568,4,0.345,0.068,0.004,261564,0.169,1.966,0.081,48.98,34701,335,0.493,0.180,0.321,6929814,1.09,7.62,0.486,0.416,0.005,4.3,32.0,32.0,102.0,39303,0.150,0.00,0.0020,0.140,626,0.572,0.000,0.500,0.177,2.55,3.83,4.09,0.02,0.008,1.08,1.08,1.10,0.594,0.00404,12.43,7.2771,360.18,102022.7,140185.7,0.000,3.1299,105.763,0.000,1.000,0.190,81.0,47.312,32.250,2290,11078.9,14.56,25.364,5.04,1.439,142.2,0.846,0.133,2.01,7.1004,20463.4,0.7278,0.4125,13.64,1.627,0.515,0.4655,0.0000,0.364,0.186,0.368,0.0000,5.80,2.41,4,16,17,60,38.4541,0.1891,0.4247,0.0000,0.0000,13.4260,100.00,107.4344,205.1515,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0030,0.0014,0.000007
30000,2674,0.799,0.372,27.89,87758,69229,3754,14213,770,564722,1301314.5,412780.8,0.116,0.790,0.069,0.025,105,27.57,12.42,0.24,1.42,3.21,3.98,0.05,0.61,11.26,5.27,0.03,0.25,0.099,0.120,680,0.238,0.145,0.846,0.000,0.009,102162,53851,12,0.389,0.284,0.014,335441,0.178,1.344,0.021,129.68,58628,280,0.731,0.203,0.182,26178958,1.09,4.89,0.676,0.243,0.015,7.1,32.0,32.0,108.0,39453,0.151,0.00,0.0043,0.169,726,0.779,0.000,0.424,0.205,3.03,3.77,4.16,0.05,0.018,1.10,1.05,1.10,0.786,0.00785,65.13,25.4739,1061.70,90672.6,140185.7,1.488,11.2627,263.713,0.000,1.000,0.062,90.9,121.668,118.424,990,2977.1,39.44,86.928,4.04,4.387,7.5,2.993,0.133,2.00,14.8496,39707.9,1.1711,0.4554,14.75,1.770,0.417,1.5345,0.0000,0.188,0.192,0.140,0.0000,5.17,1.98,6,16,17,57,106.5015,0.0704,0.4589,0.0000,0.0000,50.7237,100.00,58.9690,331.7813,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0017,0.0008,0.000006
40000,2102,0.900,0.438,27.72,30299,21829,1009,7614,419,217263,472864.1,184807.2,0.062,0.826,0.100,0.012,229,26.33,12.16,0.26,1.51,5.40,3.86,0.08,0.83,8.63,4.79,0.04,0.23,0.169,0.118,619,0.485,0.182,0.809,0.000,0.010,24228,10581,2,0.714,0.028,0.013,143253,0.165,1.279,0.033,47.31,16252,447,0.851,0.113,0.153,3784562,1.11,4.36,0.660,0.278,0.033,5.3,32.0,32.0,100.0,30197,0.115,0.00,0.0026,0.183,539,0.326,0.000,0.235,0.079,3.09,3.69,4.26,0.11,0.041,1.13,1.06,1.12,0.336,0.00851,16.26,5.9432,168.14,100319.1,140185.7,0.000,2.6177,94.963,0.000,1.000,0.165,66.0,45.740,13.451,1253,4914.8,18.07,7.522,3.92,0.080,35.0,0.052,0.138,1.99,14.0953,29628.4,1.1495,0.6930,14.37,1.725,0.456,0.4655,0.0000,0.135,0.135,0.001,0.0000,5.03,1.65,5,16,16,56,34.1069,0.5110,0.3925,0.0000,0.0000,12.6242,100.00,107.5321,199.2239,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0014,0.0007,0.000011
50000,2358,0.683,0.290,29.17,41418,26517,6339,7975,331,265946,1231698.9,347760.9,0.066,0.793,0.128,0.013,140,28.30,10.13,0.11,0.67,2.14,3.53,0.05,0.81,12.66,5.24,0.07,0.44,0.069,0.112,590,0.404,0.106,0.885,0.002,0.008,51644,28888,4,0.453,0.188,0.011,301643,0.202,1.628,0.011,122.72,31862,268,1.308,0.167,0.192,15580466,1.03,2.89,0.702,0.241,0.026,12.0,32.0,32.0,98.0,35284,0.135,0.00,0.0041,0.216,682,0.591,0.000,0.163,0.276,3.19,3.78,4.24,0.09,0.031,1.05,1.01,1.04,0.596,0.01448,77.34,39.3427,2011.80,84635.3,140185.7,2.855,18.3376,230.735,0.000,1.000,0.034,92.0,103.923,83.319,317,740.8,74.14,56.091,4.04,1.107,2.8,0.739,0.135,2.00,20.2548,47760.9,1.4807,0.5065,14.96,1.835,0.365,1.5345,0.0000,0.109,0.134,0.000,0.0000,4.72,1.47,9,16,16,49,82.2605,0.0313,0.4975,0.0000,0.0000,47.3796,100.00,48.5001,298.4625,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0008,0.0004,0.000006
60000,2213,0.797,0.240,27.74,31873,22719,1114,7809,376,235089,461009.4,211299.3,0.041,0.831,0.120,0.008,228,25.74,12.26,0.15,1.15,5.56,4.02,0.04,0.50,8.08,4.10,0.01,0.12,0.175,0.122,570,0.540,0.167,0.822,0.000,0.011,26683,12205,2,0.702,0.025,0.008,157941,0.160,0.683,0.009,46.02,17608,479,0.899,0.133,0.238,3276510,1.07,5.06,0.658,0.287,0.009,5.1,32.0,32.0,98.0,30608,0.117,0.00,0.0026,0.204,593,0.276,0.000,0.272,0.093,2.97,3.55,4.18,0.03,0.014,1.08,1.03,1.07,0.287,0.00849,17.84,6.6572,110.79,106948.2,140185.7,0.000,2.8222,94.936,0.000,1.000,0.215,75.0,45.447,9.016,600,1667.3,15.40,3.555,3.77,0.021,2.9,0.016,0.135,1.99,11.8961,26326.1,1.0390,0.7281,13.83,1.736,0.432,0.4655,0.0000,0.140,0.146,0.001,0.0000,5.10,1.75,4,16,16,62,33.2701,0.7255,0.4153,0.0000,0.0000,12.3922,100.00,108.3351,188.8947,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0015,0.0007,0.000013
70000,2325,0.723,0.282,31.83,41422,26740,6364,7926,280,263063,1237971.5,347065.5,0.064,0.789,0.131,0.015,136,30.15,11.97,0.32,1.70,2.44,4.01,0.04,0.56,12.69,5.80,0.13,0.64,0.073,0.114,634,0.382,0.098,0.890,0.000,0.012,52315,27814,8,0.617,0.169,0.008,264318,0.230,1.325,0.011,123.77,33172,278,1.319,0.177,0.162,16157065,1.10,2.49,0.702,0.258,0.041,12.8,32.0,38.3,196.0,35999,0.137,0.00,0.0042,0.213,713,0.609,0.000,0.148,0.280,3.18,3.87,4.23,0.14,0.043,1.15,1.03,1.11,0.614,0.01431,74.70,38.6995,1355.16,85641.9,140185.7,3.643,17.6582,233.165,0.000,1.000,0.051,89.9,105.175,91.219,443,1141.4,44.26,61.422,4.07,1.191,2.6,0.796,0.132,2.01,20.1051,46744.4,1.4538,0.5045,15.48,1.877,0.315,1.5345,0.0000,0.109,0.125,0.001,0.0000,4.65,1.40,9,16,19,64,84.2611,0.0303,0.4886,0.0000,0.0000,48.1021,100.00,48.6080,296.9253,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0008,0.0004,0.000006
80000,2248,0.862,0.588,26.66,32292,23748,950,7162,509,223870,465695.3,208677.2,0.048,0.812,0.126,0.013,219,25.52,12.35,0.12,1.16,5.49,3.97,0.06,0.73,8.24,4.44,0.01,0.16,0.173,0.124,578,0.463,0.160,0.824,0.001,0.015,27591,12826,5,0.641,0.007,0.012,169025,0.169,1.588,0.052,46.89,17927,540,0.932,0.128,0.181,4052688,1.05,4.98,0.636,0.276,0.009,5.0,32.0,32.0,126.0,31269,0.119,0.00,0.0025,0.206,532,0.332,0.000,0.327,0.112,3.02,3.55,4.34,0.03,0.012,1.06,1.03,1.06,0.341,0.00734,16.67,6.3284,124.63,98069.0,140185.7,0.000,2.7289,96.085,0.000,1.000,0.154,66.8,45.552,13.722,1697,7485.8,13.44,8.063,3.81,0.144,53.8,0.091,0.137,1.98,13.0509,29338.4,1.1377,0.7648,13.91,1.725,0.437,0.4655,0.0000,0.142,0.151,0.004,0.0000,5.15,1.77,4,16,16,49,34.4975,0.8014,0.4270,0.0000,0.0000,12.5631,100.00,107.1749,200.6519,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0015,0.0007,0.000011
90000,2177,0.780,0.304,34.56,38152,24550,6484,6889,300,221822,1235090.9,336907.1,0.080,0.789,0.109,0.021,146,31.86,6.82,0.10,0.99,1.49,2.85,0.03,0.43,14.23,4.34,0.00,0.03,0.048,0.092,258,0.593,0.097,0.895,0.002,0.006,50645,25773,10,0.338,0.376,0.009,245471,0.229,1.387,0.013,123.02,31028,283,1.519,0.182,0.121,15184888,1.04,0.28,0.899,0.087,0.001,32.0,32.0,32.0,100.0,34507,0.132,0.00,0.0040,0.210,608,0.585,0.000,0.145,0.305,3.17,3.99,3.99,0.01,0.006,1.05,1.02,1.05,0.589,0.01577,77.50,40.9622,1390.44,80392.2,140185.7,2.497,18.6873,229.871,0.000,1.000,0.021,85.5,103.597,81.226,567,1450.4,51.33,54.237,4.06,1.033,3.4,0.718,0.134,2.00,23.7175,51633.1,1.5898,0.5005,15.85,2.000,0.000,1.5345,0.0000,0.064,0.046,0.001,0.0000,4.06,0.26,16,16,16,49,81.7443,0.0305,0.4736,0.0000,0.0000,47.3543,100.00,48.0402,300.7183,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0007,0.0003,0.000006
100000,1747,0.828,0.290,34.08,13842,10579,2123,1517,53,58149,498673.9,101794.5,0.053,0.844,0.087,0.016,233,31.70,6.76,0.06,0.70,2.63,3.77,0.03,0.46,13.09,4.64,0.00,0.00,0.082,0.113,171,0.528,0.147,0.848,0.000,0.005,14852,7893,8,0.242,0.072,0.009,202938,0.168,1.453,0.011,49.40,10470,492,1.751,0.193,0.052,3561763,1.02,0.30,0.922,0.064,0.000,32.0,32.0,32.0,128.0,27616,0.105,0.00,0.0022,0.231,516,0.364,0.000,0.150,0.210,3.23,3.97,3.97,0.01,0.002,1.03,1.01,1.03,0.366,0.01125,13.94,12.1068,1019.44,83973.7,140185.7,0.002,5.6684,89.446,0.000,1.000,0.066,67.5,44.264,18.922,537,1447.4,76.96,13.358,4.05,0.177,3.9,0.106,0.133,2.01,27.9547,48836.8,1.8587,0.6273,15.81,2.000,0.000,0.4655,0.0000,0.079,0.059,0.001,0.0000,4.05,0.27,16,16,16,64,32.4375,0.0002,0.4058,0.0000,0.0000,12.7588,100.00,98.7765,232.2813,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0008,0.0004,0.000006
