step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free
10000,2787,0.903,0.465,6.88,82001,72304,1027,1814,5499,79464,1128284.0,399194.9,0.253,0.415,0.184,0.147,101,14.96,18.48,0.73,3.15,2.70,5.42,0.52,3.03,9.43,11.47,0.01,0.19,0.223,0.276,1014,0.172,0.103,0.858,0.002,0.037,257609,246043,15,0.680,0.065,0.060,3653361,0.236,2.542,0.032,7.83,78323,346,5.024,0.306,0.274,8417824,1.22,16.98,0.051,0.318,0.006,3.3,6.8,43.7,122.9,37287,0.142,0.00,0.0043,0.086,619,0.804,0.000,0.639,0.684,2.89,3.88,3.63,0.08,0.023,1.19,1.23,1.25,0.807,0.00107,2.52,65.1991,2258.39,90946.7,140185.7,18.512,100.6077,179.090,0.000,1.000,0.043,73.3,82.438,244.870,352,1188.9,73.68,28.073,6.65,166.121,3762.0,95.097,0.134,2.00,13.7067,38200.5,1.3536,0.6313,13.38,1.036,0.141,1.5345,0.0000,0.461,0.073,0.267,0.0000,7.96,1.05,3,6,37,110,77.0727,4.0166,0.4815,0.0000,0.0000,56.4274,100.00,61.6106,467.7503,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0032,0.0014,0.000006
20000,2305,1.036,0.414,6.45,56744,47913,395,5927,2991,154509,456466.5,213509.1,0.170,0.606,0.125,0.099,215,14.68,12.33,0.26,1.87,3.67,5.71,0.07,0.79,7.59,6.11,0.01,0.19,0.158,0.219,1026,0.173,0.110,0.867,0.000,0.023,96734,85811,1,0.990,0.010,0.017,319684,0.209,2.218,0.029,12.28,27336,475,1.382,0.201,0.222,5559084,1.07,11.28,0.015,0.418,0.006,3.7,8.3,31.0,95.1,26713,0.102,0.00,0.0026,0.075,625,0.560,0.000,0.759,0.436,2.86,4.41,3.61,0.04,0.021,1.05,1.08,1.07,0.568,0.00187,2.17,16.4873,1632.02,95727.5,140185.7,0.278,23.3089,85.731,0.000,1.000,0.012,52.5,38.414,61.964,152,465.7,46.85,4.664,4.60,48.960,4262.1,33.341,0.134,2.01,14.9898,34551.4,1.6669,0.8150,11.59,1.160,0.236,0.4655,0.0000,0.466,0.073,0.302,0.0000,6.79,1.45,4,9,23,59,34.2777,1.8188,0.4156,0.0000,0.0000,12.5849,100.00,104.4193,262.9252,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0031,0.0015,0.000008
30000,4247,0.647,0.470,17.39,216840,154649,575,41591,18083,604483,1054955.5,920492.3,0.083,0.616,0.235,0.066,90,8.93,9.49,0.05,0.63,1.79,2.99,0.02,0.38,3.34,4.35,0.00,0.05,0.157,0.169,1351,0.061,0.057,0.902,0.002,0.039,399390,342604,3,0.605,0.152,0.003,403056,0.179,2.009,0.037,7.52,155276,448,1.523,0.177,0.370,27176615,1.03,14.28,0.003,0.566,0.001,2.0,6.0,18.0,128.8,22065,0.084,0.00,0.0074,0.097,1049,0.768,0.000,0.936,0.461,1.89,3.53,1.90,0.01,0.005,1.04,1.03,1.03,0.781,0.00173,3.07,61.2377,1230.69,106365.5,140185.7,13.339,94.9854,228.487,0.000,1.000,0.134,79.6,89.354,242.922,389,1340.4,34.67,7.775,4.27,175.757,4766.6,109.142,0.134,2.00,5.3064,22536.4,1.9529,1.0796,5.20,1.728,0.456,1.5345,0.0000,0.475,0.104,0.336,0.0000,6.10,1.38,1,4,10,64,77.1503,7.8502,0.4952,0.0000,0.0000,51.7238,100.00,74.5790,548.1169,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0029,0.0014,0.000010
40000,2452,1.266,0.503,20.08,66160,50827,76,12636,4416,271686,434735.3,305175.1,0.097,0.629,0.198,0.075,169,17.29,13.14,0.11,1.12,3.59,4.48,0.01,0.65,6.03,5.23,0.00,0.07,0.154,0.165,1283,0.045,0.092,0.877,0.001,0.029,102624,85416,3,0.617,0.060,0.002,58644,0.211,2.549,0.036,11.76,44242,447,1.123,0.177,0.305,6494961,1.04,7.86,0.057,0.521,0.001,3.8,14.0,32.0,117.9,23872,0.091,0.00,0.0029,0.081,538,0.570,0.000,0.803,0.377,2.39,3.83,3.32,0.01,0.008,1.04,1.04,1.04,0.583,0.00277,1.91,15.5721,2390.86,98478.7,140185.7,0.024,25.1405,86.066,0.000,1.000,0.000,44.9,35.582,63.338,270,915.2,70.80,5.226,4.66,49.747,4560.5,31.700,0.136,1.99,12.0186,29469.6,1.8547,0.8201,9.74,1.692,0.477,0.4655,0.0000,0.300,0.114,0.021,0.0000,5.50,1.73,2,9,16,66,30.3699,1.2797,0.3707,0.0000,0.0000,12.8323,100.00,107.2873,244.9662,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0029,0.0014,0.000012
50000,2476,1.267,0.652,26.57,110158,76556,976,25811,6791,556184,1062895.9,964716.2,0.082,0.624,0.202,0.092,73,21.26,12.91,0.11,0.82,4.51,5.08,0.01,0.41,6.57,5.29,0.01,0.20,0.169,0.164,1006,0.071,0.070,0.905,0.000,0.025,334538,290471,4,0.161,0.687,0.002,112874,0.186,3.780,0.041,5.16,173874,499,1.735,0.233,0.365,19681600,1.05,5.26,0.326,0.453,0.006,4.6,22.0,32.0,102.0,27726,0.106,0.00,0.0065,0.087,610,0.849,0.000,0.854,0.672,2.10,3.56,3.41,0.02,0.011,1.06,1.04,1.06,0.859,0.00275,2.18,84.0210,4092.34,86047.1,140185.7,13.380,121.9542,173.813,0.000,1.000,0.002,55.1,62.092,245.745,338,1217.9,165.96,5.363,4.17,180.131,5041.7,104.264,0.135,2.00,15.8354,39208.5,1.9917,1.1033,11.20,1.828,0.394,1.5345,0.0000,0.195,0.143,0.015,0.0000,4.79,1.51,3,12,16,64,52.3722,5.4547,0.4216,0.0000,0.0000,50.5602,100.00,61.3985,428.4093,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0022,0.0011,0.000016
60000,2550,1.175,0.412,18.64,51475,37204,458,11723,2016,241509,443739.1,301423.9,0.133,0.697,0.097,0.072,157,17.03,12.78,0.06,1.07,3.84,5.08,0.02,0.67,6.17,4.37,0.00,0.02,0.136,0.169,603,0.119,0.125,0.842,0.000,0.033,100243,85847,2,0.471,0.089,0.002,10791,0.225,2.126,0.031,14.24,50728,393,1.248,0.287,0.271,6383428,1.02,10.09,0.327,0.357,0.000,3.7,10.0,32.0,68.0,25711,0.098,0.00,0.0028,0.086,595,0.558,0.000,0.661,0.506,1.98,3.73,3.05,0.00,0.001,1.02,1.02,1.02,0.567,0.00228,2.50,21.0396,1804.41,99565.2,140185.7,0.031,26.8704,83.051,0.000,1.000,0.008,50.6,35.338,58.578,175,527.7,54.14,4.156,4.15,46.613,3892.8,30.092,0.134,2.01,11.7478,29956.8,1.4487,0.7949,10.08,1.496,0.534,0.4655,0.0000,0.331,0.128,0.031,0.0000,5.90,2.00,3,9,16,64,30.8541,1.3195,0.3824,0.0000,0.0000,12.8892,100.00,102.4546,222.4565,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0023,0.0011,0.000008
70000,2580,1.192,0.533,24.72,103079,71506,2372,21791,7380,414798,1049128.8,623380.4,0.127,0.674,0.110,0.089,81,20.67,12.25,0.12,1.10,4.38,4.89,0.00,0.14,6.97,4.83,0.00,0.03,0.149,0.159,629,0.193,0.103,0.880,0.000,0.017,270453,238752,6,0.549,0.117,0.000,28501,0.234,3.248,0.035,9.45,137380,287,1.503,0.307,0.240,18354784,1.04,6.25,0.424,0.248,0.001,4.7,26.0,32.0,87.6,29615,0.113,0.00,0.0058,0.076,645,0.818,0.000,0.683,0.623,2.14,3.75,3.42,0.01,0.005,1.04,1.04,1.05,0.826,0.00256,3.28,72.8757,3190.05,71205.0,140185.7,25.193,105.8059,169.622,0.000,1.000,0.005,63.6,64.703,240.212,282,929.7,93.44,8.830,4.29,163.895,4227.4,97.272,0.135,2.00,21.7200,56037.6,2.1589,0.7137,11.48,1.703,0.479,1.5345,0.0000,0.378,0.149,0.153,0.0000,5.13,1.82,4,13,16,81,57.6466,3.4391,0.4484,0.0000,0.0000,49.5868,100.00,52.0996,414.4119,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0023,0.0010,0.000011
80000,2273,1.278,0.410,20.43,50854,38454,1017,8795,2895,196095,457425.1,237865.9,0.100,0.682,0.130,0.087,163,19.30,12.62,0.06,0.95,4.34,4.92,0.00,0.19,6.89,4.74,0.00,0.04,0.147,0.161,481,0.187,0.115,0.866,0.000,0.018,91321,77270,4,0.473,0.040,0.001,16665,0.218,2.205,0.031,13.54,45379,336,1.213,0.287,0.223,6563710,1.02,7.72,0.411,0.309,0.002,4.0,20.0,32.0,65.3,25687,0.098,0.00,0.0029,0.079,579,0.583,0.000,0.615,0.466,2.21,2.83,4.76,0.01,0.003,1.03,1.02,1.02,0.591,0.00285,2.52,21.3237,1493.08,89172.9,140185.7,0.295,26.3719,84.843,0.000,1.000,0.000,49.5,36.767,58.815,227,807.1,65.66,3.931,3.77,47.799,4062.1,32.270,0.135,2.00,17.8040,40468.6,1.7973,0.6718,11.30,1.551,0.526,0.4655,0.0000,0.382,0.149,0.098,0.0000,5.70,1.99,4,12,16,64,32.4088,1.0532,0.3872,0.0000,0.0000,12.1201,100.00,99.3186,236.7204,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0024,0.0012,0.000010
90000,2374,1.221,0.566,27.44,94976,69344,2580,15241,7710,383547,1053896.0,583329.7,0.094,0.717,0.125,0.064,83,22.80,11.45,0.09,1.23,4.97,4.82,0.00,0.04,7.25,4.82,0.00,0.04,0.172,0.158,693,0.216,0.075,0.901,0.000,0.024,262163,222718,7,0.366,0.406,0.000,15323,0.283,3.576,0.037,8.97,140743,311,1.521,0.306,0.245,18992714,1.04,4.43,0.505,0.300,0.000,6.0,32.0,32.0,64.0,29200,0.111,0.00,0.0061,0.090,618,0.827,0.000,0.700,0.642,2.20,3.33,4.02,0.00,0.003,1.04,1.03,1.05,0.835,0.00318,2.63,75.0481,3589.59,71197.8,140185.7,27.022,105.6854,167.330,0.000,1.000,0.027,64.2,64.881,242.852,261,990.3,120.58,9.307,3.29,163.393,4308.6,98.334,0.135,2.00,23.4469,55663.0,2.1673,0.6436,12.30,1.800,0.417,1.5345,0.0000,0.375,0.159,0.163,0.0000,4.76,1.58,4,16,16,64,57.3752,3.6240,0.4608,0.0000,0.0000,49.3920,100.00,50.4264,406.4795,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0023,0.0011,0.000015
100000,2268,1.369,0.401,20.72,47924,37198,1065,6725,3042,192050,461513.0,235776.2,0.062,0.737,0.141,0.061,168,19.69,11.88,0.04,0.83,4.12,4.81,0.00,0.00,7.86,5.65,0.00,0.06,0.143,0.159,558,0.171,0.124,0.853,0.000,0.023,91619,75842,10,0.422,0.062,0.000,6588,0.243,2.476,0.028,13.37,45347,367,1.228,0.303,0.250,7099572,1.02,7.24,0.378,0.358,0.000,4.7,18.0,32.0,67.8,27264,0.104,0.00,0.0026,0.101,566,0.600,0.000,0.652,0.496,2.47,3.02,4.85,0.00,0.002,1.03,1.02,1.02,0.608,0.00311,2.83,22.5069,1750.55,89480.1,140185.7,0.597,25.8685,84.483,0.000,1.000,0.000,50.5,36.725,58.349,138,519.5,95.84,3.624,3.04,47.391,3981.6,32.927,0.135,1.99,17.6765,40090.4,1.7427,0.6404,12.02,1.550,0.527,0.4655,0.0000,0.380,0.133,0.099,0.0000,5.69,1.98,4,12,16,64,32.0884,1.0620,0.3717,0.0000,0.0000,12.0771,100.00,99.2904,256.6280,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0024,0.0012,0.000011
