step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free
10000,2811,1.182,0.826,13.96,154638,122237,5,28913,2124,2392198,1297645.0,1028548.7,0.144,0.620,0.151,0.085,87,24.40,16.22,0.52,2.66,3.51,5.51,3.55,5.32,13.40,15.80,0.01,0.13,0.111,0.153,2077,0.018,0.047,0.922,0.005,0.026,272359,185846,5,0.391,0.176,0.372,13516982,0.346,1.991,0.081,118.89,110504,252,0.430,0.180,0.344,17673320,1.17,9.74,0.155,0.652,0.005,4.2,23.3,42.0,144.0,58967,0.225,0.00,0.0034,0.089,784,0.754,0.000,0.710,0.453,3.73,4.72,4.97,0.06,0.027,1.15,1.18,1.17,0.793,0.00584,83.30,50.9078,1226.89,109013.4,140307.6,0.087,21.3620,277.660,0.000,1.000,0.227,90.4,116.567,111.477,2244,10653.7,12.32,105.092,6.47,8.141,116.4,5.017,0.136,2.00,4.6155,12974.1,0.4197,0.3002,20.98,1.322,0.552,1.5299,0.0000,0.450,0.151,0.388,0.0000,7.20,2.08,4,20,38,108,102.8788,0.0481,0.3956,0.0000,0.0000,40.2459,100.00,80.4577,280.1042,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0037,0.0015,0.000008
20000,2455,1.072,0.631,17.80,45514,35518,158,9865,329,632540,491461.2,301140.5,0.083,0.691,0.146,0.079,182,25.26,16.29,0.36,1.89,4.84,6.21,1.37,2.78,11.07,10.04,0.00,0.10,0.146,0.164,1919,0.018,0.075,0.899,0.004,0.022,52289,29387,4,0.487,0.052,0.365,3902604,0.336,1.725,0.059,48.33,26342,384,0.476,0.147,0.361,4130945,1.12,5.40,0.175,0.671,0.002,5.2,23.4,47.0,124.0,43326,0.165,0.00,0.0018,0.109,610,0.419,0.000,0.462,0.227,3.42,4.20,4.72,0.03,0.014,1.12,1.13,1.12,0.446,0.00546,17.10,8.0784,680.85,109841.8,140307.6,0.000,3.6757,102.561,0.000,1.000,0.364,77.4,45.319,21.061,1632,7775.4,13.29,16.009,5.07,0.582,84.1,0.391,0.133,2.00,6.5916,16182.5,0.6060,0.4035,17.65,1.462,0.543,0.4701,0.0000,0.387,0.120,0.169,0.0000,5.78,1.07,5,17,27,73,35.4370,0.3572,0.4069,0.0000,0.0000,11.0017,100.00,107.5148,223.3834,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0027,0.0012,0.000007
30000,3013,0.758,0.397,23.11,170545,125776,60,43182,969,1957107,1175630.4,975510.7,0.100,0.641,0.227,0.031,83,19.58,10.53,0.18,1.17,3.54,4.26,1.39,2.28,8.80,8.40,0.01,0.09,0.137,0.155,1884,0.048,0.098,0.869,0.007,0.026,233504,138348,9,0.309,0.228,0.438,14722340,0.305,1.316,0.032,118.94,123974,269,0.498,0.224,0.300,19969533,1.07,6.74,0.315,0.537,0.004,4.7,20.9,31.0,73.6,41903,0.160,0.00,0.0044,0.124,673,0.685,0.000,0.639,0.303,3.00,3.67,4.23,0.02,0.013,1.09,1.06,1.07,0.715,0.00650,88.46,31.0658,719.96,103556.2,140307.6,0.000,12.0603,268.872,0.000,1.000,0.153,84.9,110.640,90.823,994,4125.6,25.30,72.285,4.45,4.386,32.1,2.995,0.135,2.00,8.8638,26706.8,0.8551,0.4016,13.91,1.491,0.569,1.5299,0.0000,0.300,0.143,0.092,0.0000,5.62,1.86,4,15,20,72,94.8460,0.2446,0.4391,0.0000,0.0000,38.8722,100.00,85.4833,276.0852,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0031,0.0013,0.000007
40000,3078,0.844,0.551,14.02,47449,36197,736,9940,511,355407,469236.8,234155.4,0.074,0.635,0.257,0.034,205,16.56,12.51,0.39,1.51,4.31,5.65,0.25,1.56,8.07,8.64,0.14,0.60,0.239,0.230,2305,0.009,0.083,0.884,0.004,0.029,48835,28092,7,0.635,0.209,0.057,2809163,0.351,1.516,0.048,46.81,25698,446,0.659,0.202,0.309,3554239,1.16,11.70,0.005,0.617,0.058,3.8,13.9,31.7,98.1,40066,0.153,0.00,0.0019,0.101,755,0.334,0.000,0.335,0.124,2.99,3.93,4.13,0.17,0.075,1.19,1.11,1.17,0.352,0.00339,19.19,7.6091,504.79,111590.0,140307.6,0.014,3.4302,98.691,0.000,1.000,0.376,78.6,44.463,13.915,1599,6685.4,13.33,8.814,4.17,0.280,47.4,0.186,0.134,1.99,5.1969,15996.0,0.6813,0.5395,13.02,1.252,0.301,0.4701,0.0000,0.297,0.081,0.023,0.0000,6.90,1.01,3,11,25,87,35.4537,2.2483,0.4246,0.0000,0.0000,10.7186,100.00,104.7268,230.4985,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0023,0.0010,0.000004
50000,2312,0.832,0.321,11.45,168189,127174,1,38374,3406,2222312,1176917.9,1024586.5,0.054,0.672,0.235,0.039,111,25.99,19.34,2.97,4.33,3.46,5.23,0.05,0.60,12.86,12.13,0.88,1.31,0.082,0.122,1912,0.007,0.104,0.889,0.002,0.005,218779,127249,6,0.295,0.303,0.016,1592242,0.162,1.090,0.024,117.70,98985,280,0.461,0.142,0.326,19260220,2.07,10.98,0.115,0.699,0.348,3.5,21.4,52.9,102.1,44703,0.171,0.00,0.0040,0.122,559,0.660,0.000,0.754,0.268,3.57,4.59,4.87,0.90,0.353,2.39,1.33,2.33,0.694,0.01081,90.28,29.9758,318.71,114547.2,140307.6,0.000,11.2180,270.263,0.000,1.000,0.238,87.3,110.894,91.446,828,3288.8,14.75,71.789,4.90,4.118,15.3,2.890,0.135,2.00,7.4782,17289.6,0.6235,0.3759,19.34,1.084,0.432,1.5299,0.0000,0.353,0.111,0.118,0.0000,7.44,2.20,5,19,34,107,91.4688,0.2075,0.4554,0.0000,0.0000,38.5692,100.00,88.7119,267.5523,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0032,0.0014,0.000015
60000,2484,1.017,0.612,12.92,41220,31311,53,9253,431,615505,477582.7,309597.4,0.034,0.752,0.179,0.035,229,23.23,17.04,0.63,2.00,5.27,6.82,0.78,2.40,10.15,11.14,0.15,0.55,0.157,0.183,2016,0.016,0.081,0.895,0.006,0.018,42185,20298,6,0.276,0.495,0.222,573250,0.165,1.723,0.058,47.88,20415,464,0.503,0.081,0.387,3390071,1.19,11.19,0.131,0.712,0.079,3.5,19.3,48.1,138.1,41827,0.160,0.00,0.0019,0.126,606,0.324,0.000,0.410,0.173,3.35,4.35,4.66,0.18,0.096,1.27,1.11,1.20,0.350,0.00715,18.03,6.1388,864.60,111768.9,140307.6,0.002,2.6389,101.417,0.000,1.000,0.377,75.0,45.309,15.961,1539,7439.7,15.45,10.666,5.03,0.345,73.1,0.240,0.134,2.01,5.9397,14754.1,0.6170,0.4462,16.84,1.339,0.595,0.4701,0.0000,0.430,0.131,0.315,0.0000,7.22,2.61,4,16,27,121,33.2032,0.4560,0.3865,0.0000,0.0000,10.7571,100.00,109.8012,224.0871,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0023,0.0010,0.000013
70000,2469,0.834,0.402,17.70,202901,146390,5,52610,3911,3141610,1174863.2,1240710.6,0.039,0.705,0.183,0.072,80,21.11,16.13,0.27,1.51,4.80,7.61,1.58,4.16,12.78,14.48,0.01,0.15,0.136,0.190,1920,0.026,0.058,0.912,0.002,0.028,280014,150875,6,0.114,0.778,0.301,14322318,0.215,1.353,0.036,119.62,139427,252,0.395,0.153,0.304,21434012,1.09,16.43,0.163,0.646,0.009,2.8,18.7,45.0,149.0,47973,0.183,0.00,0.0037,0.120,537,0.657,0.001,0.680,0.306,3.49,4.48,4.97,0.06,0.030,1.07,1.11,1.08,0.703,0.00977,88.04,38.8437,586.87,113987.5,140307.6,0.000,16.4128,277.818,0.000,1.000,0.208,82.6,107.814,93.615,968,4572.8,12.43,76.050,5.30,4.388,25.5,3.084,0.136,2.00,6.7021,16547.5,0.5920,0.3299,19.43,1.157,0.647,1.5299,0.0000,0.598,0.205,0.520,0.0000,8.79,3.20,4,18,36,112,87.7625,0.2650,0.4034,0.0000,0.0000,38.6180,100.00,88.8745,268.4115,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0036,0.0015,0.000016
80000,3089,1.078,0.779,19.85,50585,36494,390,12237,844,710230,476403.7,335254.2,0.027,0.694,0.226,0.054,177,17.59,12.58,0.12,1.06,4.60,5.73,0.66,2.42,8.97,12.81,0.01,0.12,0.193,0.203,2109,0.071,0.055,0.910,0.007,0.028,54707,25827,4,0.421,0.528,0.148,2351601,0.201,2.017,0.081,47.79,31822,396,0.472,0.151,0.432,3146294,1.05,15.38,0.193,0.703,0.005,2.3,16.5,32.0,112.0,44321,0.169,0.00,0.0017,0.115,781,0.292,0.000,0.322,0.172,2.78,3.75,4.38,0.02,0.014,1.05,1.06,1.05,0.325,0.00468,18.04,8.3521,1259.13,111471.8,140307.6,0.015,4.0322,101.444,0.000,1.000,0.390,74.0,43.922,17.119,1855,10032.4,15.72,11.820,4.93,0.415,88.2,0.298,0.133,2.01,3.7489,11580.4,0.5252,0.4115,14.35,1.360,0.679,0.4701,0.0000,0.591,0.218,0.493,0.0000,7.82,3.92,3,13,28,146,32.2662,1.7596,0.3208,0.0000,0.0000,10.7596,100.00,107.0362,225.1664,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0025,0.0011,0.000010
90000,2889,0.803,0.475,25.24,226448,156654,142,63714,6138,3438713,1249271.9,1221674.0,0.021,0.746,0.155,0.078,66,22.68,13.39,0.41,1.56,4.68,4.64,0.17,0.99,10.21,11.45,0.04,0.27,0.155,0.152,1661,0.058,0.074,0.901,0.002,0.022,295343,148199,9,0.379,0.585,0.060,9125680,0.150,1.493,0.045,126.47,156884,207,0.355,0.186,0.411,24855052,1.12,11.50,0.389,0.538,0.028,2.7,28.0,34.0,100.0,44697,0.171,0.00,0.0042,0.138,725,0.665,0.001,0.623,0.266,2.71,3.90,4.24,0.10,0.061,1.10,1.09,1.14,0.709,0.00886,78.35,33.6959,313.33,108326.4,140307.6,0.000,13.4724,294.432,0.000,1.000,0.224,100.3,118.009,105.756,1228,5970.8,9.54,84.831,4.85,5.328,36.5,3.890,0.135,2.00,7.0877,20476.4,0.6682,0.2997,15.47,1.459,0.665,1.5299,0.0000,0.235,0.174,0.034,0.0000,6.91,3.58,4,16,25,155,96.7417,0.2884,0.4573,0.0000,0.0000,40.5231,100.00,86.3279,295.0946,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0035,0.0015,0.000012
100000,2496,0.888,0.469,28.70,36223,28590,462,6867,697,359720,491565.6,236048.4,0.016,0.741,0.221,0.023,188,22.55,13.29,0.61,1.88,4.02,3.96,0.15,1.10,9.71,9.36,0.11,0.48,0.138,0.134,1449,0.158,0.088,0.891,0.002,0.019,35624,15032,2,0.483,0.159,0.034,477640,0.139,1.493,0.042,48.79,23181,584,0.656,0.077,0.362,3202272,1.19,10.92,0.398,0.533,0.064,3.2,26.0,34.0,160.0,36164,0.138,0.00,0.0020,0.150,610,0.295,0.000,0.292,0.125,2.76,3.74,4.18,0.17,0.101,1.18,1.11,1.23,0.313,0.00680,16.93,5.5143,379.79,111536.2,140307.6,0.048,2.3949,100.283,0.000,1.000,0.394,78.3,47.020,15.363,1160,5678.0,20.19,10.351,4.58,0.301,38.0,0.231,0.132,2.01,7.0774,17665.1,0.7180,0.5685,14.49,1.515,0.650,0.4701,0.0000,0.272,0.147,0.037,0.0000,6.65,3.55,4,16,23,87,34.0696,2.3158,0.3982,0.0000,0.0000,10.9400,100.00,107.0571,247.3919,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0019,0.0009,0.000012
