step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange
100000,4.80,33,0,1,0,3,0,1.00,20,0.209,3006,0.00,135.72,10.25,737,1,1,0,1.00,1.00,1.00,2,3,3,38.2,11.492,4,1.199,0.495,8,1.000,2,11.75,-0.25,0,0.0000,0.000,0.0000
100000,1.17,24,0,0,0,1,0,1.00,28,0.000,2995,0.00,138.19,11.50,737,2,1,0,1.00,1.00,1.00,1,1,1,46.9,3.738,1,1.173,0.462,8,1.000,7,25.95,-21.00,0,0.0000,0.000,0.0000
100000,20.00,16,0,6,0,4,0,1.00,0,0.300,2954,0.00,89.42,136.60,949,2,0,0,1.00,1.00,1.00,3,4,4,45.6,66.249,10,2.000,0.000,4,1.000,6,46.36,40.25,0,0.0930,0.011,0.5014
100000,12.00,16,0,6,0,0,0,1.00,4,0.500,2945,0.00,88.76,98.37,1239,0,0,0,1.00,1.00,1.00,2,2,4,21.1,24.358,6,2.000,0.000,4,1.000,6,29.73,10.00,0,0.0978,0.058,0.4376
100000,24.00,16,0,9,0,3,0,1.00,0,0.375,2941,0.00,76.06,160.28,949,2,2,0,1.00,1.00,1.00,2,4,4,39.8,23.176,12,2.000,0.000,4,1.000,4,71.56,-39.75,0,0.0925,0.012,0.3962
100000,14.00,16,0,5,0,2,0,1.00,0,0.357,2939,1.04,81.56,172.11,949,1,0,0,1.00,1.00,1.00,2,4,4,31.7,27.215,7,2.000,0.000,4,1.000,9,66.92,36.25,0,0.0932,0.007,0.4881
100000,22.00,16,0,7,0,4,0,1.00,0,0.318,2926,3.02,58.76,253.55,949,2,0,0,1.00,1.00,1.00,4,4,4,41.4,33.376,11,2.000,0.000,4,1.000,5,59.51,7.75,0,0.0930,0.014,0.5452
100000,16.00,16,0,5,0,3,0,1.00,0,0.312,2838,0.00,68.48,118.75,949,0,0,0,1.00,1.00,1.00,3,4,4,11.1,14.906,8,2.000,0.000,4,1.000,8,18.98,-18.50,0,0.0930,0.014,0.5094
100000,12.00,16,0,5,0,1,0,1.00,2,0.417,2778,0.00,41.00,156.89,949,0,0,0,1.00,1.00,1.00,2,4,3,20.9,10.858,6,2.000,0.000,4,1.000,5,39.76,-30.50,0,0.0925,0.012,0.4657
100000,22.00,16,0,8,0,3,0,1.00,0,0.364,2749,0.00,60.35,233.32,949,0,1,0,1.00,1.00,1.00,2,4,4,15.4,30.483,11,2.000,0.000,4,1.000,5,64.45,11.00,0,0.0925,0.012,0.4065
