step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat
10000,2611,1.425,2.780,23.50,147999,109106,0,36645,1117,2329112,1186598.8,1275460.4,0.250,0.350,0.225,0.176,61,33.88,20.18,0.23,1.54,8.94,7.03,0.10,1.53,7.53,7.77,0.02,0.20,0.279,0.152,1763,0.021,0.031,0.941,0.006,0.022,281197,221733,2,0.392,0.474,0.016,1666703,0.318,3.457,0.323,105.26,127719,209,0.548,0.218,0.400,7185771,1.08,2.97,0.231,0.542,0.012,10.0,32.0,54.0,155.6,43899,0.167,0.00,0.0060,0.043,684,0.490,0.001,0.377,0.482,3.16,4.25,4.31,0.04,0.022,1.07,1.09,1.08,0.555,0.00309,71.96,61.3094,1389.85,71136.4,140496.8,0.104,49.1684,260.385,0.000,1.000,0.000,71.5,95.406,107.943,6558,40938.9,19.83,108.302,5.73,32.197,1936.7,10.812,0.135,2.00,6.9876,18244.7,0.6179,0.4172,16.81,1.995,0.041,1.5414,0.0000,0.059,0.076,0.005,0.0000,5.02,1.03,5,16,28,86,88.6255,0.0017,0.4584,0.0000,0.0000,43.0151,100.00,52.3773,283.5091,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0032,0.0012,0.000003,2,0.1930,0.0126,0.0123,51,175,479,0.0000,0.0000,0.0070,0.021,6.4547,0.0097,2.8174,0.0191,0.3577,0.0857,0.0000,0.00064,0.990,0.0894,0.452,0.107,0.06,0.016,0.629,0.062,0.2837,0.174,0.722
20000,2389,1.549,1.972,22.14,42324,36180,0,6009,341,579652,447318.2,296638.4,0.274,0.341,0.203,0.182,72,39.64,22.54,0.84,2.91,8.86,7.58,0.53,2.32,15.01,12.65,0.17,0.72,0.242,0.186,1807,0.010,0.032,0.942,0.004,0.022,63189,50742,4,0.322,0.529,0.076,462711,0.346,3.113,0.221,41.32,36846,227,0.512,0.261,0.313,1753080,1.25,2.86,0.272,0.576,0.064,12.0,38.0,69.6,198.0,60286,0.230,0.00,0.0012,0.046,623,0.385,0.000,0.297,0.362,4.22,5.33,5.32,0.25,0.089,1.29,1.18,1.29,0.433,0.00124,9.40,13.6430,1394.19,82710.2,140496.8,1.439,14.5706,92.753,0.000,1.000,0.014,82.0,38.825,40.002,4758,28493.4,25.48,36.890,6.24,10.914,1075.9,2.370,0.135,1.99,8.2870,19797.8,0.5194,0.3794,25.23,1.628,0.461,0.4586,0.0000,0.195,0.229,0.153,0.0000,6.04,1.33,8,25,46,121,36.5160,0.0027,0.4437,0.0000,0.0000,12.0611,100.00,73.3410,193.6168,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0032,0.0014,0.000002,16,0.1569,0.0234,0.0211,58,191,537,0.0000,0.0000,0.0085,0.021,1.8000,0.0168,0.6496,0.0251,0.4559,0.0312,0.0000,0.00014,0.874,0.0485,0.302,0.044,0.40,0.076,0.639,0.071,0.2688,0.195,0.641
30000,2370,1.630,2.038,22.20,108243,87012,0,19567,1663,1689958,1170043.4,898267.8,0.239,0.423,0.178,0.161,56,42.67,23.83,3.00,5.95,10.68,8.43,0.34,1.89,13.49,12.01,0.90,1.64,0.257,0.161,1806,0.017,0.031,0.949,0.003,0.017,185747,139526,3,0.368,0.346,0.065,1201982,0.249,3.129,0.232,109.48,102535,257,0.532,0.238,0.227,8118969,1.80,2.64,0.290,0.606,0.256,14.0,41.8,72.0,256.0,65210,0.249,0.00,0.0037,0.050,601,0.529,0.000,0.403,0.434,4.46,5.43,5.53,1.18,0.259,2.01,1.19,2.08,0.568,0.00314,68.87,44.2062,1310.41,76200.2,140496.8,0.038,38.7822,249.087,0.000,1.000,0.004,84.8,100.360,113.514,5037,29722.9,20.47,100.025,5.88,30.311,1085.5,11.620,0.136,2.01,10.5212,24935.2,0.5991,0.3946,27.51,1.585,0.464,1.5414,0.0000,0.204,0.230,0.102,0.0000,6.14,1.59,8,24,56,100,94.3062,0.0095,0.4481,0.0000,0.0000,43.8434,100.00,52.0363,303.0145,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0028,0.0011,0.000003,20,0.4215,0.0485,0.0261,53,195,643,0.0000,0.0000,0.0102,0.038,6.9631,0.0408,2.3649,0.0354,0.3571,0.0767,0.0000,0.00033,0.833,0.0495,0.212,0.032,0.27,0.065,0.599,0.030,0.2725,0.090,0.695
40000,2347,1.718,2.483,14.33,37826,32609,0,5081,151,576200,459967.2,268740.2,0.187,0.546,0.145,0.123,90,32.03,17.15,0.16,1.28,10.75,7.22,0.67,2.52,7.25,6.17,0.08,0.56,0.332,0.161,1444,0.071,0.051,0.927,0.004,0.018,50052,38720,3,0.240,0.670,0.125,2036621,0.208,3.351,0.290,44.50,22016,319,0.466,0.189,0.377,2971343,1.05,3.01,0.296,0.552,0.024,8.7,32.8,50.7,132.0,44185,0.169,0.00,0.0027,0.073,505,0.444,0.000,0.351,0.299,3.44,4.51,4.63,0.09,0.027,1.07,1.02,1.06,0.473,0.00213,10.11,10.0057,1672.94,78142.5,140496.8,1.616,9.7139,97.719,0.000,1.000,0.015,56.3,41.997,41.888,5880,36341.7,25.51,34.946,6.15,7.014,1374.5,2.121,0.131,2.00,6.8503,16077.6,0.5519,0.3784,18.83,1.708,0.163,0.4586,0.0000,0.359,0.132,0.100,0.0000,5.32,0.70,5,20,32,64,38.2910,0.0046,0.3498,0.0000,0.0000,11.8952,100.00,82.4430,215.0814,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0029,0.0012,0.000003,8,0.2418,0.0170,0.0340,57,190,646,0.0000,0.0000,0.0090,0.036,2.0035,0.0368,0.7024,0.0422,0.3891,0.0549,0.0000,0.00013,0.417,0.0103,0.734,0.240,0.53,0.125,0.527,0.021,0.1403,0.072,0.593
50000,2848,1.099,1.664,18.30,101896,84338,0,16462,474,1211225,1151625.0,739248.6,0.244,0.407,0.200,0.149,58,31.76,16.29,1.84,3.46,8.27,5.84,0.11,1.02,10.78,8.77,0.88,1.49,0.267,0.155,2224,0.010,0.028,0.958,0.004,0.011,167904,128113,12,0.414,0.132,0.024,898471,0.213,2.877,0.186,106.33,89381,240,0.610,0.225,0.255,8693806,1.57,4.77,0.190,0.661,0.284,11.0,30.7,50.0,156.0,59822,0.228,0.00,0.0038,0.055,703,0.552,0.000,0.285,0.410,3.79,5.24,4.71,0.93,0.295,1.87,1.19,1.63,0.581,0.00240,65.64,37.3208,1141.03,81114.0,140496.8,2.003,37.7136,248.045,0.000,1.000,0.014,96.6,103.098,112.440,4198,24042.9,17.61,98.244,5.22,34.189,760.8,12.447,0.133,2.00,9.5116,27089.1,0.6535,0.4400,21.00,1.455,0.420,1.5414,0.0000,0.317,0.255,0.402,0.0000,6.17,1.25,8,21,35,77,97.8264,0.0048,0.5098,0.0000,0.0000,44.3786,100.00,42.4890,302.2768,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0024,0.0010,0.000002,121,1.4393,0.0636,0.0376,58,205,693,0.0000,0.0000,0.0094,0.025,4.1884,0.2373,1.8736,0.0411,0.3372,0.0668,0.0000,0.00034,0.708,0.0173,0.264,0.021,0.10,0.024,0.621,0.017,0.2516,0.073,0.675
60000,2591,1.078,1.522,22.50,38593,35052,0,3587,184,459239,482349.6,248610.0,0.122,0.582,0.204,0.092,135,29.71,14.72,0.78,2.74,7.91,5.59,0.24,2.18,9.08,8.17,0.19,0.71,0.268,0.152,1477,0.118,0.054,0.905,0.010,0.031,48365,34991,4,0.533,0.087,0.034,393768,0.209,2.721,0.166,46.37,22124,411,0.541,0.174,0.349,3591574,1.22,3.96,0.358,0.533,0.073,12.0,31.7,46.4,148.0,46677,0.178,0.00,0.0020,0.070,716,0.429,0.000,0.378,0.271,3.36,4.30,4.87,0.26,0.096,1.23,1.17,1.25,0.450,0.00179,11.33,9.8994,724.23,88374.3,140496.8,1.684,6.8512,102.696,0.000,1.000,0.100,77.3,44.307,42.444,4012,22011.7,15.96,34.843,5.69,4.060,649.7,1.538,0.135,2.00,8.7902,22775.5,0.6874,0.4202,18.02,1.656,0.383,0.4586,0.0000,0.178,0.210,0.044,0.0000,5.58,1.73,8,16,30,81,41.0965,0.0052,0.4631,0.0000,0.0000,11.6920,100.00,87.3545,226.4325,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0027,0.0012,0.000002,27,0.3554,0.0367,0.0399,64,195,782,0.0000,0.0000,0.0095,0.020,2.3511,0.0654,0.8772,0.0340,0.4309,0.0508,0.0000,0.00028,0.567,0.0497,0.539,0.048,0.14,0.034,0.565,0.012,0.3026,0.057,0.473
70000,3306,1.046,1.606,23.41,124384,105591,0,16465,1512,1205066,1215122.4,697781.3,0.136,0.529,0.214,0.121,80,26.91,12.30,0.47,2.04,7.01,4.66,0.12,1.45,8.74,7.35,0.15,0.63,0.256,0.149,1757,0.069,0.045,0.917,0.010,0.028,194831,144600,2,0.504,0.088,0.021,1042345,0.233,2.796,0.180,117.04,82181,238,0.579,0.176,0.294,13710259,1.15,4.59,0.354,0.504,0.058,9.9,28.8,36.0,162.0,54030,0.206,0.00,0.0042,0.072,943,0.583,0.000,0.348,0.383,3.25,4.03,4.79,0.18,0.071,1.16,1.08,1.17,0.604,0.00211,69.85,36.0685,874.86,76629.5,140496.8,0.182,24.8602,265.399,0.000,1.000,0.008,94.9,113.259,120.439,4225,23343.6,16.49,101.712,4.65,22.250,753.3,10.082,0.135,1.99,9.7484,32228.3,0.8207,0.3918,16.34,1.654,0.420,1.5414,0.0000,0.189,0.229,0.081,0.0000,5.56,1.85,7,16,25,81,108.0698,0.0094,0.4834,0.0000,0.0000,43.2180,100.00,54.4053,313.3291,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0027,0.0011,0.000002,101,1.2378,0.0835,0.0325,63,187,667,0.0000,0.0000,0.0140,0.037,7.3064,0.1578,3.0072,0.0517,0.3212,0.0747,0.0000,0.00025,0.626,0.0551,0.563,0.042,0.08,0.021,0.617,0.005,0.3418,0.033,0.554
80000,2891,1.088,1.519,21.37,46626,40766,0,5596,593,384048,486892.8,228052.9,0.084,0.608,0.222,0.086,123,26.30,12.72,0.37,2.26,7.16,4.87,0.09,1.23,8.57,7.16,0.03,0.28,0.271,0.154,1355,0.079,0.086,0.880,0.005,0.029,53500,36573,5,0.467,0.054,0.018,367536,0.222,2.724,0.167,46.84,24069,365,0.594,0.177,0.310,4421560,1.12,5.86,0.390,0.444,0.010,9.2,29.1,32.0,166.0,46788,0.178,0.00,0.0020,0.073,839,0.432,0.000,0.328,0.210,3.13,4.06,4.74,0.09,0.034,1.10,1.12,1.13,0.449,0.00153,11.00,10.1436,754.88,84674.5,140496.8,1.716,6.7050,103.700,0.000,1.000,0.092,77.4,44.795,42.430,3994,21969.4,12.85,34.319,4.56,3.855,610.3,1.532,0.135,2.00,9.0596,26191.2,0.7686,0.4445,16.18,1.618,0.409,0.4586,0.0000,0.210,0.226,0.042,0.0000,5.87,1.94,7,16,24,67,41.8573,0.0368,0.4372,0.0000,0.0000,11.7286,100.00,86.1463,224.5151,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0026,0.0012,0.000002,86,0.8120,0.0543,0.0411,60,172,728,0.0000,0.0000,0.0142,0.028,2.4036,0.1383,1.0915,0.0488,0.4224,0.0595,0.0000,0.00036,0.536,0.0496,0.460,0.026,0.06,0.018,0.627,0.005,0.3178,0.028,0.455
90000,3264,1.003,1.649,24.06,125352,103410,0,19552,1696,1109858,1219687.1,656651.1,0.129,0.535,0.202,0.134,77,26.92,11.48,0.35,2.09,7.07,4.52,0.13,1.29,8.43,6.50,0.03,0.27,0.263,0.143,1560,0.096,0.052,0.920,0.007,0.021,183979,130849,5,0.491,0.015,0.029,914735,0.200,2.840,0.187,117.09,80289,212,0.592,0.193,0.271,14253526,1.10,4.71,0.418,0.451,0.010,10.6,30.0,32.0,112.0,52151,0.199,0.00,0.0044,0.070,962,0.584,0.000,0.268,0.345,3.13,4.15,4.52,0.07,0.026,1.07,1.11,1.11,0.603,0.00226,67.33,34.8953,967.31,71364.4,140496.8,0.332,25.5319,266.537,0.000,1.000,0.001,95.5,114.201,120.715,4236,23988.0,17.65,101.562,4.52,23.970,730.7,10.768,0.136,2.00,11.3332,36991.6,0.9348,0.3946,15.98,1.692,0.402,1.5414,0.0000,0.169,0.221,0.017,0.0000,5.52,1.91,8,16,24,73,108.7335,0.0220,0.4798,0.0000,0.0000,43.8181,100.00,47.2834,315.9738,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0025,0.0011,0.000002,321,2.3672,0.1235,0.0381,60,180,648,0.0000,0.0000,0.0103,0.027,5.7299,0.3906,2.7927,0.0637,0.3169,0.0824,0.0000,0.00042,0.635,0.0588,0.537,0.033,0.09,0.029,0.638,0.003,0.3635,0.023,0.520
100000,2670,1.019,1.555,22.59,46481,40548,0,5836,531,385548,489126.2,227892.7,0.088,0.620,0.203,0.089,135,26.95,11.68,0.27,1.76,7.52,4.67,0.12,1.46,8.38,7.15,0.03,0.26,0.276,0.142,1184,0.126,0.080,0.883,0.008,0.029,52054,35783,3,0.558,0.112,0.016,365731,0.206,2.746,0.171,46.94,23803,340,0.591,0.205,0.334,4206407,1.08,5.44,0.427,0.431,0.010,9.9,32.0,32.2,100.0,43523,0.166,0.00,0.0022,0.089,709,0.400,0.000,0.295,0.197,3.12,4.22,4.46,0.08,0.026,1.07,1.09,1.08,0.416,0.00176,10.96,10.4490,654.72,85049.7,140496.8,1.569,7.0164,104.393,0.000,1.000,0.089,72.7,45.238,41.820,4129,22650.1,16.94,34.010,4.75,3.949,659.2,1.561,0.134,2.00,9.6401,25739.0,0.7973,0.4405,16.30,1.663,0.396,0.4586,0.0000,0.195,0.229,0.024,0.0000,5.70,1.96,7,16,25,65,42.1889,0.0304,0.4479,0.0000,0.0000,11.7279,100.00,85.2813,226.6908,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0026,0.0012,0.000002,160,1.0809,0.0704,0.0457,59,167,733,0.0000,0.0000,0.0307,0.047,2.0749,0.1852,1.0409,0.0337,0.4499,0.0680,0.0000,0.00024,0.585,0.0529,0.482,0.025,0.07,0.016,0.638,0.003,0.3304,0.023,0.448
