step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange
100000,70.00,36,0,19,0,16,0,1.00,0,0.271,1325,0.00,133.69,181.87,782,1,0,0,1.00,1.00,1.00,4,6,6,36.8,114.238,35,2.000,0.505,6,1.000,1,64.74,64.00,0,0.0000,0.735,0.0000
100000,19.99,25,0,7,0,3,0,1.00,6,0.350,1274,0.00,48.20,0.60,795,1,1,0,1.00,1.00,1.00,2,2,5,35.6,2.577,10,1.999,0.438,5,0.237,0,61.50,-61.50,0,0.0000,0.413,0.0000
100000,2.00,25,0,0,0,1,0,1.00,16,0.000,1261,0.00,73.72,147.26,782,1,2,0,1.00,1.00,1.00,1,1,1,38.9,1.833,1,2.000,0.776,5,1.000,0,43.16,43.00,0,0.0000,0.599,0.0000
100000,4.00,25,0,2,0,0,0,1.00,14,0.500,1085,0.00,53.02,103.95,820,0,2,0,1.00,1.00,1.00,1,1,2,20.8,0.476,2,2.000,0.490,5,1.000,0,60.96,5.00,0,0.0000,0.000,0.0000
100000,8.00,49,0,2,0,2,0,1.00,20,0.250,959,0.00,137.82,16.25,806,2,0,0,1.00,1.00,1.00,2,2,2,41.8,6.880,4,2.000,0.328,7,1.000,0,40.00,39.75,0,0.0000,0.576,0.0000
100000,66.00,36,2,22,0,7,0,1.38,0,0.333,916,5.53,49.14,139.11,807,1,2,4,1.00,1.83,1.33,6,6,6,35.3,66.102,31,2.000,0.568,6,1.000,0,59.08,28.50,0,0.0000,0.712,0.0000
100000,4.00,25,0,1,0,1,0,1.00,14,0.250,902,0.00,37.27,65.33,782,0,1,0,1.00,1.00,1.00,2,2,1,19.5,1.867,2,2.000,0.420,5,1.000,0,15.56,10.75,0,0.0000,0.523,0.0000
100000,30.00,36,0,6,0,9,0,1.00,6,0.200,900,0.00,26.00,15.63,807,1,2,0,1.00,1.00,1.00,2,3,6,38.7,12.867,15,2.000,0.538,6,0.502,0,19.25,19.25,0,0.0000,0.729,0.0000
100000,40.00,25,0,7,0,13,0,1.00,0,0.175,880,0.00,36.11,53.89,782,0,2,0,1.00,1.00,1.00,4,5,5,20.8,4.984,20,2.000,0.776,5,1.000,1,26.50,0.00,0,0.0000,0.599,0.0000
100000,18.00,25,3,0,0,3,0,2.57,6,0.000,846,1.77,32.05,19.31,782,2,2,0,2.40,2.40,3.00,2,2,5,46.8,9.272,6,2.000,0.578,5,0.668,0,18.50,0.00,0,0.0000,0.000,0.0000
100000,20.00,36,4,2,0,0,0,4.00,14,0.100,824,0.00,16.95,77.21,807,1,1,1,1.00,6.00,4.33,2,3,2,31.8,1.170,6,2.000,0.820,6,0.254,0,20.75,20.75,0,0.0000,0.259,0.0000
100000,38.00,36,0,17,0,2,0,1.00,4,0.447,806,0.18,22.28,175.91,782,2,2,0,1.00,1.00,1.00,2,4,6,46.6,25.775,19,2.000,0.481,6,0.583,0,23.70,14.50,0,0.0000,0.886,0.0000
100000,2.00,36,0,0,0,1,0,1.00,20,0.000,766,0.18,3.85,42.58,805,0,1,0,1.00,1.00,1.00,1,1,1,27.3,2.150,1,2.000,0.059,6,0.235,0,37.65,31.25,0,0.0000,0.943,0.0000
100000,16.00,16,0,3,0,5,0,1.00,4,0.188,759,2.03,33.84,14.83,822,1,2,0,1.00,1.00,1.00,2,3,3,28.7,12.488,8,2.000,0.345,4,1.000,0,31.87,13.75,0,0.0000,0.067,0.0000
100000,30.00,25,0,2,0,13,0,1.00,4,0.067,754,0.00,23.06,29.72,782,2,2,0,1.00,1.00,1.00,2,3,5,44.4,0.917,15,2.000,0.651,5,0.018,0,20.00,0.00,0,0.0000,0.146,0.0000
