step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat
10000,3152,1.236,2.157,19.69,129150,101862,0,24996,583,2150237,1213708.9,1175168.8,0.218,0.408,0.195,0.180,61,31.99,17.83,1.25,2.86,7.36,5.37,0.25,1.33,7.57,6.44,0.34,0.89,0.240,0.139,2349,0.015,0.036,0.945,0.004,0.014,247018,196033,8,0.062,0.812,0.073,5841644,0.342,3.166,0.247,108.16,105956,252,0.547,0.203,0.325,8137095,1.39,2.10,0.260,0.644,0.145,10.2,31.0,50.0,184.1,51789,0.198,0.00,0.0051,0.049,899,0.490,0.001,0.422,0.489,3.27,4.34,4.28,0.47,0.195,1.48,1.29,1.41,0.540,0.00267,72.44,58.3414,1267.66,73972.4,140215.1,0.335,43.7218,264.017,0.000,1.000,0.004,85.9,98.216,112.525,5403,31599.7,25.27,110.299,5.84,26.381,1180.4,10.052,0.136,2.00,7.9029,24909.9,0.7070,0.4154,16.43,1.861,0.275,1.5299,0.0000,0.205,0.192,0.126,0.0000,4.84,0.80,6,16,25,81,91.4264,0.0049,0.4724,0.0000,0.0000,43.3520,100.00,55.1261,283.2243,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0029,0.0011,0.000003,0,0.2755,0.0225,0.0175,53,190,560,0.0000,0.0000,0.0119,0.032,6.8631,0.0218,2.8723,0.0412,0.3737,0.0739,0.0000,0.00046,0.675,0.0313,0.057,0.008,0.23,0.073,0.609,0.090,0.3588,0.239,0.726
20000,2918,1.107,1.227,15.11,43529,39474,0,3801,459,398899,513638.6,241825.5,0.182,0.495,0.200,0.123,92,27.33,16.41,0.61,2.35,6.64,5.20,0.45,2.27,10.62,9.60,0.17,0.73,0.252,0.148,1931,0.039,0.050,0.900,0.012,0.038,52889,40510,9,0.344,0.209,0.087,1650872,0.299,2.438,0.128,48.07,26380,353,0.606,0.254,0.272,3220628,1.13,3.83,0.121,0.573,0.057,8.0,24.0,49.0,126.2,53442,0.204,0.00,0.0017,0.059,670,0.405,0.000,0.434,0.248,3.55,4.74,4.26,0.19,0.065,1.18,1.06,1.14,0.426,0.00135,11.34,9.8829,965.74,90863.8,140215.1,0.114,8.0921,108.086,0.000,1.000,0.198,85.2,47.049,44.532,3387,17172.4,27.01,39.372,5.56,5.385,341.0,1.787,0.133,2.00,8.3428,24344.2,0.7246,0.4698,18.31,1.598,0.341,0.4701,0.0000,0.400,0.244,0.536,0.0000,5.46,0.99,5,15,36,81,44.2288,0.0053,0.4609,0.0000,0.0000,12.1123,100.00,89.7079,239.4347,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0027,0.0012,0.000002,29,0.3369,0.0456,0.0325,61,198,771,0.0000,0.0000,0.0379,0.080,2.0955,0.0539,0.8620,0.1090,0.4609,0.0406,0.0000,0.00009,0.389,0.0085,0.090,0.013,0.34,0.087,0.592,0.036,0.2533,0.112,0.631
30000,2872,1.096,1.167,15.65,140732,118501,0,19610,2652,1413140,1206706.8,910531.2,0.157,0.467,0.226,0.150,63,32.16,17.28,1.57,3.62,6.70,4.96,0.20,1.33,12.84,10.09,0.41,1.08,0.220,0.142,2216,0.018,0.044,0.936,0.007,0.014,211824,158869,16,0.323,0.387,0.053,2769603,0.302,2.375,0.123,117.68,103848,302,0.644,0.234,0.246,10828825,1.33,2.93,0.173,0.645,0.146,11.1,30.0,52.6,134.3,61201,0.233,0.00,0.0033,0.050,710,0.498,0.000,0.536,0.355,3.98,4.96,4.83,0.50,0.181,1.45,1.18,1.37,0.530,0.00248,73.10,40.0268,836.14,87546.9,140215.1,0.006,24.3296,273.882,0.000,1.000,0.057,100.7,109.364,122.076,3274,16485.4,15.68,101.215,5.38,16.350,319.4,7.795,0.134,2.00,9.9099,28461.2,0.6657,0.4821,21.31,1.514,0.341,1.5299,0.0000,0.459,0.193,0.604,0.0000,5.63,0.99,7,19,36,64,103.8377,0.0075,0.5153,0.0000,0.0000,43.5369,100.00,65.0029,314.3587,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0029,0.0012,0.000003,15,0.4330,0.0606,0.0201,54,187,664,0.0000,0.0000,0.0412,0.076,9.6920,0.0567,3.8431,0.0561,0.3902,0.0883,0.0000,0.00058,0.311,0.0090,0.104,0.014,0.17,0.053,0.618,0.055,0.3167,0.160,0.718
40000,2418,1.527,1.496,15.45,34408,31595,0,3116,105,375825,505819.2,232200.9,0.110,0.584,0.193,0.113,110,37.04,21.81,0.45,2.00,9.49,7.51,0.13,0.79,11.61,9.45,0.12,0.58,0.257,0.153,1935,0.019,0.068,0.910,0.001,0.021,42145,31262,13,0.345,0.303,0.048,902304,0.252,2.698,0.163,49.70,20925,454,0.618,0.235,0.271,3609430,1.10,3.56,0.147,0.632,0.043,11.0,35.3,65.4,262.6,52430,0.200,0.00,0.0018,0.064,644,0.433,0.000,0.457,0.261,4.05,5.01,5.13,0.18,0.068,1.10,1.08,1.12,0.449,0.00177,12.14,9.8333,1251.84,87161.1,140215.1,0.428,5.7955,106.785,0.000,1.000,0.186,73.3,46.696,44.375,3947,21196.0,17.03,36.342,5.73,2.826,515.4,1.198,0.134,2.00,9.5075,22989.0,0.6358,0.4701,21.68,1.684,0.243,0.4701,0.0000,0.477,0.120,0.425,0.0000,5.96,0.83,6,21,36,121,43.6930,0.0111,0.4256,0.0000,0.0000,11.9207,100.00,94.7107,265.9457,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0024,0.0010,0.000002,46,0.6690,0.0484,0.0531,61,204,934,0.0000,0.0000,0.0243,0.052,1.7637,0.1492,0.7581,0.0724,0.4444,0.0471,0.0000,0.00035,0.214,0.0058,0.031,0.002,0.13,0.048,0.572,0.027,0.2518,0.084,0.476
50000,3032,0.984,1.694,23.57,110838,91195,0,18629,339,1481121,1187527.1,881737.6,0.196,0.455,0.228,0.121,59,30.48,12.40,0.96,2.29,7.24,4.22,0.12,0.83,9.77,8.11,0.49,1.14,0.244,0.128,1852,0.065,0.042,0.940,0.006,0.011,180513,131653,8,0.484,0.168,0.035,1214559,0.265,2.875,0.190,114.68,102173,276,0.595,0.254,0.234,10486756,1.26,1.85,0.339,0.581,0.175,14.3,32.0,46.9,112.6,54832,0.209,0.00,0.0040,0.058,848,0.547,0.000,0.406,0.405,3.50,4.54,4.47,0.56,0.206,1.36,1.10,1.29,0.577,0.00241,68.77,39.3357,774.28,71548.4,140215.1,1.282,28.7599,263.679,0.000,1.000,0.023,99.8,105.934,121.340,4461,24887.2,21.80,100.639,5.29,21.572,798.8,9.273,0.134,2.00,11.8661,35978.1,0.8948,0.4488,18.08,1.711,0.344,1.5299,0.0000,0.523,0.151,0.567,0.0000,4.97,1.17,8,16,33,64,100.3316,0.0091,0.5244,0.0000,0.0000,44.3622,100.00,56.4256,320.7184,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0024,0.0010,0.000003,61,0.9656,0.1191,0.0334,54,197,740,0.0000,0.0000,0.0163,0.039,5.9539,0.1367,2.5764,0.0501,0.3478,0.0703,0.0000,0.00026,0.552,0.0131,0.052,0.005,0.10,0.035,0.634,0.028,0.4065,0.102,0.660
60000,2424,1.257,1.177,14.30,30459,29186,0,1779,18,283767,516012.1,192095.5,0.151,0.607,0.163,0.079,119,34.63,16.36,1.57,2.70,8.48,6.09,0.27,1.27,12.70,8.51,0.85,1.40,0.253,0.154,2022,0.018,0.072,0.918,0.002,0.008,36762,26812,10,0.286,0.101,0.078,607063,0.273,2.369,0.123,49.27,19598,537,0.677,0.224,0.224,4105335,1.38,2.37,0.147,0.696,0.300,13.6,32.8,53.7,127.0,55810,0.213,0.00,0.0017,0.076,657,0.462,0.000,0.426,0.256,4.18,5.24,5.12,0.95,0.325,1.61,1.10,1.42,0.473,0.00167,11.79,8.5217,738.26,90232.8,140215.1,0.549,5.6084,108.616,0.000,1.000,0.215,79.8,48.974,44.752,3351,16662.3,15.65,37.929,5.64,3.440,311.5,1.407,0.134,1.99,10.6839,25897.8,0.6441,0.5022,23.02,1.435,0.194,0.4701,0.0000,0.511,0.108,0.552,0.0000,5.77,0.79,9,23,36,81,46.2706,0.0160,0.4583,0.0000,0.0000,11.9602,100.00,93.1038,274.7382,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0021,0.0010,0.000002,84,0.8787,0.0623,0.0761,70,231,1171,0.0000,0.0000,0.0055,0.010,1.0722,0.1729,0.5575,0.0623,0.4252,0.0468,0.0000,-0.00010,0.241,0.0055,0.276,0.025,0.25,0.078,0.533,0.020,0.1750,0.066,0.499
70000,3098,1.043,1.634,25.90,95003,81950,0,12151,107,1122882,1194473.8,675420.5,0.220,0.477,0.192,0.111,81,31.76,13.45,1.21,2.75,7.57,4.23,0.10,0.84,9.82,7.92,0.55,1.21,0.246,0.121,1975,0.068,0.038,0.949,0.002,0.011,145768,102869,13,0.143,0.448,0.026,1480284,0.282,2.827,0.185,115.99,85429,264,0.602,0.271,0.186,11006928,1.33,1.55,0.354,0.601,0.193,15.2,32.0,50.0,172.0,57932,0.221,0.00,0.0039,0.063,804,0.559,0.000,0.372,0.373,3.54,4.54,4.51,0.60,0.207,1.48,1.11,1.39,0.581,0.00233,67.46,29.6298,919.31,69434.0,140215.1,1.833,22.5313,263.186,0.000,1.000,0.016,103.2,112.178,123.154,4319,23888.8,21.02,99.936,5.13,20.796,689.0,9.416,0.134,2.00,12.4950,38709.6,0.9187,0.4433,18.70,1.719,0.380,1.5299,0.0000,0.485,0.174,0.552,0.0000,4.91,1.06,8,16,34,78,106.8123,0.0078,0.5284,0.0000,0.0000,44.5852,100.00,53.3248,323.0688,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0022,0.0009,0.000002,121,1.4087,0.1298,0.0476,56,212,930,0.0000,0.0000,0.0064,0.013,4.1000,0.1956,1.9157,0.0484,0.3399,0.0697,0.0000,0.00014,0.595,0.0191,0.030,0.003,0.08,0.026,0.632,0.041,0.4456,0.150,0.746
80000,2171,1.419,1.271,14.07,29632,28327,0,2137,16,338052,513305.3,206872.4,0.124,0.616,0.172,0.088,141,40.29,19.63,1.24,2.69,10.20,7.45,0.73,2.50,13.88,9.33,0.70,1.38,0.253,0.139,1833,0.012,0.059,0.926,0.002,0.012,36310,26086,11,0.412,0.057,0.147,657300,0.221,2.503,0.136,49.30,19708,433,0.612,0.243,0.220,4023224,1.27,2.43,0.226,0.718,0.229,13.8,40.5,64.6,117.2,56545,0.216,0.00,0.0017,0.082,515,0.464,0.000,0.426,0.267,4.51,5.49,5.37,0.75,0.241,1.43,1.09,1.29,0.478,0.00217,11.96,8.7555,833.71,88652.8,140215.1,0.565,5.6303,108.518,0.000,1.000,0.186,76.9,48.884,44.080,3491,18053.1,33.66,37.245,5.78,3.294,361.6,1.387,0.140,1.99,11.8968,25828.0,0.6455,0.4631,26.05,1.508,0.238,0.4701,0.0000,0.540,0.130,0.649,0.0000,6.04,0.74,9,25,43,80,45.6847,0.0054,0.4482,0.0000,0.0000,11.8996,100.00,93.8314,274.5270,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0022,0.0010,0.000002,79,0.8260,0.0825,0.0749,66,232,1160,0.0000,0.0000,0.0076,0.013,1.1589,0.1431,0.5565,0.0548,0.4116,0.0571,0.0000,0.00018,0.191,0.0034,0.053,0.008,0.62,0.147,0.514,0.021,0.1601,0.067,0.587
90000,2648,1.167,1.080,16.14,97583,85563,0,11389,128,1434882,1209652.1,838003.5,0.120,0.590,0.174,0.116,87,32.97,15.85,2.13,3.37,8.05,5.70,0.04,0.51,14.08,9.94,1.23,1.65,0.250,0.153,2281,0.018,0.045,0.945,0.000,0.009,175369,126511,11,0.290,0.384,0.008,1294024,0.248,2.274,0.112,118.29,85421,367,0.584,0.186,0.221,13606799,1.52,2.34,0.204,0.751,0.399,12.0,32.0,52.2,128.0,64332,0.245,0.00,0.0032,0.070,703,0.594,0.000,0.541,0.459,4.21,5.36,5.17,1.27,0.406,1.86,1.15,1.55,0.617,0.00297,77.07,37.8215,681.41,90916.3,140215.1,0.115,19.6938,270.555,0.000,1.000,0.055,101.1,111.465,121.387,3109,15218.0,14.20,99.553,5.76,12.638,270.7,7.030,0.135,2.00,10.0703,26666.1,0.6162,0.4261,24.29,1.356,0.454,1.5299,0.0000,0.575,0.100,0.818,0.0000,5.85,0.94,8,24,38,97,105.4566,0.0086,0.5170,0.0000,0.0000,42.5467,100.00,67.2821,318.6607,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0024,0.0010,0.000003,26,0.6183,0.0536,0.0362,63,226,812,0.0000,0.0000,0.0133,0.026,7.7332,0.0794,2.9995,0.0600,0.3109,0.0897,0.0000,0.00018,0.355,0.0079,0.205,0.034,0.04,0.008,0.471,0.026,0.2393,0.091,0.639
100000,2215,1.554,1.319,13.31,31553,29455,0,2504,11,502733,504894.3,260827.6,0.064,0.726,0.124,0.085,150,40.20,23.93,1.63,3.16,10.93,9.38,0.48,2.07,14.25,10.67,0.98,1.62,0.261,0.159,1972,0.008,0.047,0.944,0.001,0.008,41363,28225,9,0.330,0.115,0.150,419803,0.200,2.560,0.141,49.49,19258,472,0.519,0.138,0.308,4626577,1.42,3.41,0.175,0.788,0.304,11.5,38.0,70.5,184.3,60437,0.231,0.00,0.0016,0.085,533,0.482,0.000,0.547,0.300,4.47,5.60,5.53,1.00,0.309,1.66,1.14,1.49,0.499,0.00249,12.55,9.0311,1043.62,92478.9,140215.1,0.406,5.1108,108.702,0.000,1.000,0.222,79.0,47.295,43.062,3514,18698.4,19.40,35.401,6.18,2.761,389.8,1.227,0.132,2.01,9.4026,20826.8,0.5487,0.4123,27.29,1.432,0.388,0.4701,0.0000,0.529,0.152,0.650,0.0000,6.42,0.83,8,26,49,100,43.4382,0.0042,0.4406,0.0000,0.0000,11.8079,100.00,97.2293,257.2756,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0024,0.0011,0.000003,16,0.3673,0.0402,0.0504,67,221,923,0.0000,0.0000,0.0054,0.013,2.4149,0.0578,0.8512,0.0465,0.3870,0.0658,0.0000,-0.00013,0.177,0.0018,0.178,0.034,0.42,0.150,0.333,0.022,0.0873,0.065,0.643
