step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat
10000,3084,1.157,2.927,27.86,196991,119391,0,75307,656,2991035,1116520.4,1649732.1,0.230,0.383,0.182,0.205,54,25.64,11.58,0.00,0.00,8.50,5.53,0.16,0.99,4.24,4.61,0.00,0.00,0.319,0.149,1100,0.124,0.033,0.925,0.009,0.032,346461,272290,1,0.037,0.963,0.056,3447844,0.353,3.480,0.341,102.93,153569,196,0.552,0.229,0.446,8406292,1.00,1.81,0.534,0.455,0.000,8.0,32.0,32.0,124.0,39800,0.152,0.00,0.0085,0.051,748,0.427,0.001,0.340,0.438,2.76,3.58,3.71,0.00,0.000,1.00,1.00,1.00,0.500,0.00346,73.88,63.5649,1325.28,66602.9,140078.7,0.101,45.3049,274.281,0.000,1.000,0.000,68.9,88.784,109.106,7031,43384.9,20.04,104.375,5.11,24.496,1953.5,8.500,0.136,2.00,6.5849,20308.0,0.7013,0.4612,12.91,2.000,0.007,1.5122,0.0000,0.104,0.103,0.010,0.0000,4.10,0.36,4,16,16,62,79.8565,0.0005,0.4514,0.0000,0.0000,46.3534,100.00,55.9044,261.3423,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0029,0.0011,0.000003,2,0.1690,0.0101,0.0082,40,153,444,0.0000,0.0000,0.0104,0.038,5.6255,0.0053,2.6366,0.0126,0.3906,0.1137,0.0000,0.00073,0.962,0.0642,0.059,0.016,0.14,0.056,0.608,0.083,0.3312,0.256,0.797
20000,2504,1.318,1.730,18.72,48755,39941,0,8914,476,629696,488610.3,327299.2,0.273,0.361,0.183,0.183,87,29.23,16.34,0.19,1.72,9.61,8.07,0.32,1.74,10.95,11.49,0.02,0.29,0.321,0.212,1422,0.118,0.067,0.908,0.009,0.016,80292,64481,4,0.375,0.216,0.067,787931,0.312,2.921,0.191,44.90,38990,227,0.520,0.252,0.376,2112936,1.05,2.68,0.420,0.489,0.005,8.0,32.0,51.8,110.0,52757,0.201,0.00,0.0018,0.061,567,0.406,0.001,0.254,0.416,3.85,4.73,4.75,0.03,0.008,1.04,1.05,1.05,0.455,0.00149,12.10,15.4201,1088.70,88041.9,140078.7,0.000,13.0776,102.111,0.000,1.000,0.055,74.3,43.038,40.788,4321,24992.6,28.01,38.532,6.57,9.069,780.4,2.151,0.135,2.00,7.5304,18856.1,0.5700,0.3712,21.07,1.517,0.537,0.4878,0.0000,0.350,0.247,0.391,0.0000,5.41,1.34,6,16,38,100,40.3307,0.0081,0.4349,0.0000,0.0000,13.8445,100.00,90.4594,193.5033,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0033,0.0015,0.000002,4,0.1443,0.0144,0.0195,54,173,527,0.0000,0.0000,0.0396,0.134,2.5771,0.0122,0.7829,0.0244,0.3939,0.0475,0.0000,-0.00032,0.853,0.0336,0.249,0.039,0.25,0.067,0.577,0.068,0.2378,0.180,0.684
30000,3092,1.016,1.709,21.61,121789,97624,0,22421,1133,1345583,1108895.4,761819.2,0.335,0.324,0.169,0.172,64,25.42,11.08,0.19,1.50,7.85,5.19,0.21,1.22,8.77,8.90,0.00,0.03,0.309,0.175,1506,0.154,0.042,0.935,0.009,0.014,222508,175268,11,0.299,0.250,0.049,1293255,0.317,2.904,0.191,104.11,98206,200,0.566,0.251,0.324,7038853,1.05,3.66,0.425,0.461,0.001,8.0,30.0,32.0,95.3,52650,0.201,0.00,0.0041,0.052,894,0.511,0.000,0.299,0.464,3.47,4.21,4.68,0.03,0.016,1.05,1.07,1.05,0.553,0.00168,66.54,37.0526,812.44,78892.2,140078.7,0.000,29.8327,244.804,0.000,1.000,0.000,88.7,102.645,111.277,4383,25018.2,19.88,94.249,5.18,29.278,873.5,11.180,0.134,2.00,9.1810,28387.8,0.7487,0.3830,17.03,1.579,0.501,1.5122,0.0000,0.257,0.199,0.128,0.0000,5.36,1.70,7,16,28,92,98.7722,0.0626,0.4848,0.0000,0.0000,47.8334,100.00,57.8919,285.3654,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0027,0.0011,0.000002,23,0.8158,0.0524,0.0277,58,188,631,0.0000,0.0000,0.0458,0.102,7.3973,0.0792,2.6671,0.0427,0.3551,0.0648,0.0000,-0.00008,0.971,0.0394,0.093,0.012,0.18,0.049,0.653,0.049,0.3119,0.144,0.627
40000,2655,1.040,1.634,21.57,54046,44699,0,9382,380,655543,490845.3,310032.4,0.262,0.417,0.160,0.161,88,26.68,12.73,0.12,1.49,8.60,5.75,0.32,2.31,9.85,12.64,0.00,0.10,0.319,0.175,1378,0.128,0.040,0.926,0.018,0.017,73079,52136,14,0.258,0.133,0.045,917765,0.286,2.829,0.178,46.66,33241,242,0.473,0.258,0.442,3075000,1.04,4.36,0.405,0.478,0.002,8.0,32.0,34.5,91.3,50176,0.191,0.00,0.0019,0.071,820,0.410,0.000,0.287,0.302,3.52,4.26,4.76,0.02,0.009,1.03,1.04,1.04,0.448,0.00159,12.45,10.8230,810.67,87345.3,140078.7,0.000,9.0263,108.104,0.000,1.000,0.066,79.5,45.530,42.893,4238,23739.8,14.08,37.041,4.95,7.050,731.8,2.171,0.134,2.00,8.1756,21706.3,0.6560,0.3716,18.90,1.582,0.512,0.4878,0.0000,0.288,0.204,0.216,0.0000,5.60,1.97,7,16,37,103,42.5692,0.0346,0.4734,0.0000,0.0000,13.7577,100.00,91.1103,214.0149,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0029,0.0012,0.000002,22,0.3358,0.0320,0.0265,53,171,646,0.0000,0.0000,0.0461,0.076,3.1479,0.0420,1.2072,0.0331,0.3885,0.0651,0.0000,-0.00029,0.922,0.0338,0.201,0.020,0.19,0.045,0.601,0.041,0.2655,0.145,0.546
50000,3058,0.996,1.647,15.97,121656,96038,0,23466,1664,1579624,1111948.8,818046.8,0.269,0.379,0.183,0.169,66,22.35,12.42,1.17,3.32,7.97,6.30,0.13,0.89,6.57,5.68,0.38,1.14,0.355,0.195,2078,0.043,0.044,0.929,0.003,0.023,209234,155860,13,0.329,0.228,0.035,1117286,0.328,2.847,0.184,105.76,87405,220,0.518,0.245,0.357,8635644,1.40,7.01,0.183,0.661,0.116,7.0,21.5,32.3,101.9,48447,0.185,0.00,0.0055,0.073,790,0.523,0.001,0.341,0.430,3.29,4.03,4.87,0.46,0.136,1.42,1.20,1.60,0.565,0.00207,68.82,37.7620,1060.65,85616.2,140078.7,0.112,29.9249,249.866,0.000,1.000,0.025,75.8,101.415,112.127,4216,23875.5,25.50,93.323,5.12,25.749,599.7,10.016,0.135,2.00,7.5203,22997.0,0.7171,0.3752,15.84,1.413,0.437,1.5122,0.0000,0.355,0.177,0.186,0.0000,6.20,1.67,5,15,27,97,96.8341,0.0443,0.4555,0.0000,0.0000,47.3179,100.00,57.4299,284.2628,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0025,0.0010,0.000003,85,1.3077,0.0301,0.0339,52,178,661,0.0000,0.0000,0.0431,0.119,8.9128,0.1559,3.2644,0.0798,0.3336,0.0842,0.0000,-0.00014,0.968,0.0240,0.296,0.018,0.12,0.035,0.619,0.062,0.2390,0.189,0.643
60000,2728,1.020,1.903,20.61,52056,43634,0,8243,473,559181,494113.1,291612.2,0.195,0.471,0.175,0.158,105,24.65,11.31,0.27,1.76,7.50,4.70,0.15,1.27,7.69,6.52,0.00,0.05,0.306,0.156,1315,0.255,0.058,0.916,0.011,0.016,63470,45046,5,0.544,0.000,0.027,454641,0.366,3.031,0.213,47.66,27116,300,0.521,0.249,0.318,3565868,1.08,4.35,0.382,0.486,0.003,8.0,29.5,32.0,86.8,42593,0.162,0.00,0.0024,0.086,668,0.421,0.000,0.276,0.240,3.35,3.93,4.56,0.09,0.033,1.04,1.10,1.09,0.449,0.00157,11.97,10.0039,683.81,76990.5,140078.7,0.019,8.7050,107.466,0.000,1.000,0.046,74.2,44.459,44.126,4815,28070.7,16.98,36.954,4.62,6.366,963.0,2.072,0.136,2.00,10.1585,27712.5,0.8635,0.4228,15.61,1.608,0.449,0.4878,0.0000,0.223,0.238,0.172,0.0000,5.34,1.54,6,16,24,66,41.3994,0.0364,0.4696,0.0000,0.0000,13.8945,100.00,90.3343,219.3304,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0027,0.0012,0.000002,36,0.4201,0.0718,0.0265,55,176,670,0.0000,0.0000,0.0807,0.213,3.1882,0.0577,1.2155,0.0480,0.3949,0.0665,0.0000,0.00008,0.941,0.0302,0.760,0.069,0.12,0.027,0.550,0.064,0.2217,0.205,0.561
70000,2933,0.869,1.926,22.69,123894,97813,0,24068,1546,1195914,1135030.4,677592.4,0.164,0.476,0.193,0.166,87,24.70,9.99,0.16,1.42,7.54,4.30,0.12,1.49,7.18,6.46,0.00,0.00,0.303,0.149,1196,0.311,0.056,0.929,0.004,0.012,183475,144076,2,0.648,0.016,0.015,690492,0.345,3.053,0.217,107.47,72483,192,0.567,0.255,0.326,13008496,1.05,3.67,0.414,0.460,0.000,8.5,30.0,32.0,106.5,44002,0.168,0.00,0.0054,0.097,792,0.614,0.000,0.251,0.347,3.25,3.80,4.46,0.04,0.012,1.02,1.06,1.06,0.638,0.00226,66.59,30.9996,733.25,72372.4,140078.7,0.044,25.7176,253.185,0.000,1.000,0.001,86.6,106.745,114.713,4830,28327.6,18.27,93.953,4.19,25.455,1062.4,10.280,0.135,1.99,10.9348,32071.7,0.9242,0.4009,15.00,1.670,0.449,1.5122,0.0000,0.176,0.223,0.045,0.0000,5.05,1.44,7,16,21,65,101.9478,0.0312,0.5193,0.0000,0.0000,48.2039,100.00,51.5136,290.4253,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0024,0.0010,0.000002,262,2.6403,0.1316,0.0394,56,173,624,0.0000,0.0000,0.0705,0.168,4.6749,0.4236,2.3573,0.0413,0.2760,0.0899,0.0000,0.00003,0.954,0.0336,0.830,0.059,0.08,0.015,0.565,0.051,0.2726,0.163,0.604
80000,3151,0.947,1.587,19.37,54588,44972,0,8541,743,456236,511523.0,253523.1,0.135,0.561,0.169,0.136,115,22.82,10.70,0.14,1.40,6.94,4.49,0.17,1.62,7.35,5.66,0.00,0.00,0.300,0.149,1242,0.260,0.081,0.894,0.010,0.015,62201,45660,2,0.521,0.002,0.017,259593,0.354,2.804,0.177,48.40,25726,263,0.556,0.282,0.298,4933166,1.04,5.20,0.380,0.446,0.000,7.4,24.6,32.0,98.7,46023,0.176,0.00,0.0022,0.083,912,0.468,0.000,0.254,0.200,3.14,3.66,4.59,0.03,0.010,1.03,1.05,1.06,0.487,0.00141,11.82,9.5976,555.31,80805.5,140078.7,0.000,7.6478,110.346,0.000,1.000,0.079,83.4,47.377,44.440,4108,23307.4,14.30,37.748,4.00,5.778,655.9,2.097,0.135,2.00,9.1313,28772.7,0.8083,0.4322,14.61,1.562,0.460,0.4878,0.0000,0.237,0.234,0.046,0.0000,5.43,1.51,6,16,19,64,44.3331,0.0422,0.4672,0.0000,0.0000,13.9160,100.00,90.6828,234.8059,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0026,0.0012,0.000001,114,1.0677,0.0527,0.0392,54,167,681,0.0000,0.0000,0.0555,0.133,1.6180,0.1874,0.8671,0.0235,0.3706,0.0636,0.0000,-0.00014,0.955,0.0289,0.842,0.066,0.10,0.017,0.504,0.045,0.1962,0.162,0.527
90000,3134,0.920,1.762,20.75,137285,107902,0,26599,2551,1229441,1154718.1,689347.8,0.159,0.496,0.188,0.157,83,23.79,10.22,0.18,1.33,7.01,4.42,0.07,0.90,7.72,6.23,0.00,0.00,0.289,0.144,1219,0.256,0.065,0.917,0.004,0.013,193950,149293,2,0.576,0.009,0.014,499924,0.373,2.939,0.196,110.84,76041,197,0.561,0.255,0.304,13754162,1.06,4.44,0.368,0.456,0.000,8.0,27.8,32.0,81.9,46963,0.179,0.00,0.0048,0.098,792,0.599,0.000,0.265,0.320,3.23,3.79,4.46,0.06,0.019,1.03,1.07,1.07,0.622,0.00221,67.79,29.7518,826.83,75723.6,140078.7,0.049,21.5405,260.129,0.000,1.000,0.002,87.4,109.976,117.351,4487,25724.9,17.28,94.691,4.03,21.180,880.6,9.334,0.135,2.00,9.9001,31027.0,0.8619,0.4036,14.99,1.606,0.465,1.5122,0.0000,0.210,0.232,0.058,0.0000,5.24,1.47,6,16,21,64,104.9878,0.0375,0.4914,0.0000,0.0000,47.9023,100.00,56.0428,298.9949,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0026,0.0011,0.000002,250,2.5371,0.1206,0.0356,53,166,598,0.0000,0.0000,0.0311,0.073,3.9262,0.4021,2.1218,0.0380,0.2899,0.0916,0.0000,0.00019,0.957,0.0303,0.833,0.061,0.05,0.014,0.542,0.050,0.2427,0.171,0.584
100000,3093,0.949,1.429,18.23,57040,47466,0,8603,923,448225,516238.4,250178.3,0.133,0.566,0.169,0.132,126,22.61,11.24,0.16,1.43,6.71,4.96,0.09,1.34,7.91,6.16,0.00,0.00,0.284,0.150,1214,0.233,0.086,0.890,0.010,0.014,62973,45112,2,0.506,0.006,0.009,261553,0.373,2.662,0.156,49.13,25631,277,0.558,0.281,0.311,4823588,1.05,5.51,0.346,0.460,0.000,6.5,26.0,32.0,72.5,45976,0.175,0.00,0.0021,0.076,873,0.446,0.000,0.268,0.187,3.20,3.73,4.56,0.04,0.014,1.02,1.06,1.05,0.464,0.00140,12.21,9.2399,554.73,85232.0,140078.7,0.000,6.6374,111.685,0.000,1.000,0.109,82.5,48.199,44.565,3786,20809.4,11.05,37.421,4.04,4.751,543.2,1.859,0.136,2.00,8.7333,27012.2,0.7912,0.4356,14.86,1.524,0.472,0.4878,0.0000,0.248,0.233,0.044,0.0000,5.52,1.52,6,16,23,64,45.2510,0.0465,0.4669,0.0000,0.0000,13.8230,100.00,93.6482,235.5004,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3088,0.0000,0.0000,0.0027,0.0012,0.000002,89,0.9573,0.0601,0.0359,54,164,678,0.0000,0.0000,0.0429,0.101,1.7755,0.1650,0.9492,0.0230,0.3982,0.0638,0.0000,0.00054,0.957,0.0284,0.838,0.068,0.05,0.009,0.486,0.049,0.1933,0.169,0.496
