step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat
10000,824,1.318,2.081,14.01,62780,35949,0,10573,549,994977,621016.5,547019.5,0.127,0.591,0.157,0.124,53,28.65,14.19,0.67,2.33,5.77,4.71,0.01,0.25,7.88,6.80,0.09,0.47,0.220,0.163,466,0.124,0.030,0.928,0.019,0.022,134920,115705,1,0.937,0.063,0.002,1071096,0.279,3.139,0.247,48.34,51035,169,0.550,0.224,0.380,4325028,1.23,2.02,0.424,0.567,0.046,8.0,31.8,49.0,97.4,11802,0.045,0.00,0.0096,0.086,229,0.525,0.001,0.393,0.546,3.10,3.88,3.95,0.14,0.069,1.23,1.23,1.24,0.567,0.00495,27.33,49.9925,1110.40,99856.7,140122.1,0.302,35.7405,104.286,0.000,1.000,0.160,21.0,33.868,166.797,5109,31107.2,14.78,56.857,6.42,11.282,879.0,4.297,0.134,2.00,5.5640,4584.7,0.5928,0.3395,14.32,1.936,0.135,1.5345,0.0000,0.392,0.108,0.161,0.0000,4.42,0.71,4,16,24,49,30.3822,0.0005,0.4260,0.0000,0.0000,164.1493,100.00,87.3422,165.8337,0.0,0.0000,0.0000,0.8587,0.7421,16305,0.2964,0.0000,0.0000,0.0030,0.0011,0.000006,1,0.0748,0.0049,0.0116,40,148,386,0.0000,0.0000,0.0119,0.038,2.9064,0.0021,1.0272,0.0121,0.3512,0.1304,0.5892,0.00675,0.046,0.0010,0.926,0.351,0.01,0.002,0.503,0.040,0.0793,0.161,0.748
20000,933,1.688,2.079,16.22,20966,13249,0,1551,45,136341,192897.0,80631.4,0.052,0.837,0.075,0.036,45,37.92,25.71,0.81,2.93,7.33,7.62,0.17,1.71,11.89,12.24,0.05,0.36,0.197,0.125,602,0.063,0.049,0.908,0.004,0.039,23311,19292,1,0.186,0.814,0.019,97690,0.182,3.165,0.243,18.26,12491,195,0.591,0.271,0.150,2150715,1.29,1.30,0.354,0.550,0.026,16.0,32.0,63.6,184.6,18847,0.072,0.00,0.0017,0.096,258,0.486,0.000,0.260,0.215,3.64,4.54,4.50,0.13,0.071,1.32,1.25,1.29,0.498,0.00172,2.89,8.9613,949.64,95889.4,140122.1,0.000,11.1641,32.758,0.000,1.000,0.157,24.4,12.385,50.545,5125,31167.5,22.69,15.919,4.58,5.686,842.0,1.113,0.134,2.00,8.4213,7857.1,0.6526,0.4170,20.20,1.917,0.210,0.4655,0.0000,0.185,0.140,0.043,0.0000,4.84,1.58,8,16,35,114,11.1329,0.0000,0.4062,0.0000,0.0000,49.4344,100.00,88.2177,84.1540,0.0,0.0000,0.0000,0.8941,0.7360,6011,0.3029,0.0000,0.0000,0.0027,0.0012,0.000003,1,0.0238,0.0129,0.0101,47,180,472,0.0000,0.0000,0.0050,0.007,0.3463,0.0010,0.1526,0.0161,0.4095,0.0566,0.4795,0.00804,0.102,0.0023,0.994,0.514,0.10,0.019,0.315,0.017,0.0528,0.062,0.856
30000,1361,1.486,2.213,26.88,80211,48159,0,19479,202,814358,502600.9,458102.1,0.078,0.796,0.081,0.045,35,26.84,11.29,0.15,1.24,5.40,4.12,0.14,0.97,7.65,5.07,0.00,0.03,0.207,0.141,563,0.156,0.050,0.900,0.014,0.036,118679,88665,1,0.026,0.974,0.041,292149,0.191,3.233,0.261,45.91,67066,149,0.563,0.277,0.285,8308085,1.05,1.35,0.506,0.493,0.001,12.0,32.0,32.0,131.5,18164,0.069,0.00,0.0048,0.065,297,0.592,0.000,0.418,0.349,2.70,3.69,3.78,0.02,0.009,1.05,1.06,1.05,0.617,0.00300,21.02,28.5171,929.75,93530.7,140122.1,0.052,27.6534,96.981,0.000,1.000,0.133,29.5,34.671,159.381,5403,33456.1,22.46,43.495,4.31,16.651,743.2,5.125,0.135,2.00,5.5428,7543.8,0.6038,0.4117,13.35,2.000,0.002,1.5345,0.0000,0.066,0.080,0.004,0.0000,4.07,0.36,6,16,16,48,31.1531,0.0000,0.3747,0.0000,0.0000,167.7762,100.00,78.2650,146.9385,0.0,0.0000,0.0000,0.9394,0.8179,11940,0.2939,0.0000,0.0000,0.0030,0.0012,0.000004,3,0.0516,0.0066,0.0064,39,153,407,0.0000,0.0000,0.0033,0.006,1.5073,0.0027,0.7058,0.0044,0.3117,0.1089,0.6469,0.01292,0.061,0.0017,0.995,0.861,0.12,0.041,0.261,0.011,0.0400,0.054,0.873
40000,970,1.263,2.092,27.85,22154,15182,0,2535,18,134712,194523.9,75173.2,0.105,0.780,0.093,0.022,49,28.14,12.24,0.34,1.69,5.72,4.49,0.04,0.62,7.67,5.38,0.04,0.26,0.208,0.143,475,0.081,0.052,0.903,0.007,0.038,23507,17461,2,0.670,0.316,0.008,94899,0.161,3.165,0.245,18.18,17036,162,0.558,0.308,0.206,2319814,1.15,1.43,0.512,0.488,0.025,10.0,32.0,34.0,161.8,13351,0.051,0.00,0.0026,0.098,182,0.512,0.000,0.269,0.181,2.99,3.75,3.84,0.08,0.041,1.17,1.12,1.16,0.523,0.00155,2.94,7.8187,818.76,97698.9,140122.1,0.000,10.2277,34.774,0.000,1.000,0.163,23.6,14.076,50.010,5153,31431.2,15.92,16.080,4.21,5.706,914.9,1.149,0.131,2.00,6.5542,6357.6,0.6624,0.3997,13.76,1.999,0.005,0.4655,0.0000,0.056,0.079,0.010,0.0000,4.15,0.48,5,16,16,81,12.8555,0.0020,0.4361,0.0000,0.0000,49.4455,100.00,85.4693,80.8134,0.0,0.0000,0.0000,0.9166,0.7950,4807,0.3159,0.0000,0.0000,0.0028,0.0013,0.000002,3,0.0413,0.0072,0.0129,47,180,475,0.0000,0.0000,0.0009,0.001,0.1694,0.0020,0.0803,0.0052,0.3900,0.0525,0.5396,0.01017,0.063,0.0023,0.995,0.849,0.03,0.008,0.288,0.003,0.0561,0.030,0.895
50000,1054,1.201,2.221,28.57,65622,44098,0,9768,120,462679,503086.1,269199.2,0.122,0.815,0.048,0.014,45,32.83,18.03,0.33,1.63,5.32,4.35,0.09,0.98,10.39,9.49,0.01,0.17,0.177,0.140,398,0.183,0.038,0.930,0.005,0.028,88243,64172,1,0.080,0.920,0.020,474930,0.138,3.268,0.259,45.75,59980,142,0.582,0.298,0.177,8142228,1.11,0.75,0.658,0.322,0.009,20.0,32.0,44.0,335.1,17008,0.065,0.00,0.0046,0.094,298,0.614,0.000,0.291,0.297,3.19,4.02,4.06,0.05,0.028,1.15,1.06,1.13,0.628,0.00286,19.95,23.1753,1219.21,93294.0,140122.1,0.555,25.4928,93.291,0.000,1.000,0.183,33.7,37.352,159.420,5357,33201.2,31.58,42.696,4.21,17.532,811.0,5.591,0.132,2.01,8.0152,8448.0,0.6602,0.3757,16.14,2.000,0.003,1.5345,0.0000,0.023,0.044,0.000,0.0000,4.23,0.69,10,16,20,169,34.8396,0.0006,0.5085,0.0000,0.0000,167.6153,100.00,78.3712,153.9471,0.0,0.0000,0.0000,0.9248,0.8225,11552,0.3035,0.0000,0.0000,0.0029,0.0013,0.000004,0,0.0776,0.0209,0.0099,45,175,450,0.0000,0.0000,0.0008,0.002,0.6236,0.0008,0.2687,0.0028,0.3158,0.0981,0.6723,0.01649,0.016,0.0004,0.950,0.695,0.07,0.020,0.262,0.006,0.0245,0.031,0.903
60000,1101,1.337,2.215,27.45,21996,14914,0,2215,29,135953,198190.2,70896.5,0.139,0.807,0.040,0.015,56,28.94,9.93,0.05,0.69,5.61,4.40,0.21,1.30,8.65,5.22,0.00,0.03,0.196,0.133,370,0.252,0.081,0.864,0.007,0.048,23188,17474,1,0.925,0.075,0.040,153269,0.119,3.231,0.258,18.71,16656,158,0.521,0.342,0.186,2227922,1.03,0.92,0.654,0.344,0.001,16.0,32.0,32.0,106.0,15992,0.061,0.00,0.0021,0.099,373,0.488,0.000,0.242,0.172,3.04,3.85,3.88,0.01,0.005,1.02,1.02,1.03,0.499,0.00146,2.79,7.9457,1179.30,93833.2,140122.1,0.000,10.2080,34.694,0.000,1.000,0.159,28.1,14.084,49.072,5348,33081.1,32.80,16.129,4.36,5.525,713.0,1.206,0.134,2.01,7.1331,7853.5,0.6558,0.3699,14.52,2.000,0.000,0.4655,0.0000,0.018,0.030,0.001,0.0000,4.09,0.39,8,16,16,53,12.7798,0.0004,0.4287,0.0000,0.0000,49.2416,100.00,86.0238,85.5902,0.0,0.0000,0.0000,0.9168,0.7849,4787,0.3004,0.0000,0.0000,0.0028,0.0013,0.000002,4,0.0577,0.0154,0.0158,46,174,476,0.0000,0.0000,0.0003,0.001,0.2345,0.0035,0.0734,0.0045,0.4123,0.0474,0.5691,0.01045,0.048,0.0020,0.959,0.677,0.19,0.040,0.245,0.007,0.1008,0.036,0.895
70000,1017,1.326,2.222,27.81,68522,46231,0,10872,77,483642,514535.9,269798.7,0.111,0.834,0.041,0.014,50,28.79,8.32,0.04,0.43,6.07,4.18,0.03,0.32,9.85,8.80,0.00,0.03,0.212,0.148,349,0.218,0.052,0.909,0.005,0.034,89648,67093,1,0.313,0.687,0.011,400097,0.144,3.230,0.263,46.97,59875,131,0.558,0.328,0.197,8724550,1.01,1.05,0.654,0.339,0.001,16.0,32.0,32.0,72.0,16250,0.062,0.00,0.0051,0.072,468,0.621,0.000,0.274,0.282,3.17,3.99,4.04,0.01,0.007,1.01,1.01,1.01,0.634,0.00306,20.34,22.9937,947.34,94064.9,140122.1,0.399,23.9742,96.332,0.000,1.000,0.146,28.1,38.927,161.286,5403,33596.6,14.15,43.401,4.12,15.908,705.6,5.500,0.135,2.00,7.5655,7694.1,0.6434,0.3636,15.98,1.908,0.333,1.5345,0.0000,0.091,0.220,0.069,0.0000,4.28,0.85,9,16,16,91,36.2960,0.0000,0.4435,0.0000,0.0000,167.7849,100.00,78.6707,156.7667,0.0,0.0000,0.0000,0.9118,0.8329,11424,0.3005,0.0000,0.0000,0.0030,0.0013,0.000004,2,0.1016,0.0197,0.0115,40,169,451,0.0000,0.0000,0.0007,0.001,0.4724,0.0032,0.2157,0.0010,0.3105,0.1045,0.6888,0.01613,0.132,0.0084,0.970,0.778,0.03,0.011,0.265,0.008,0.0514,0.038,0.894
80000,1186,1.405,2.000,29.30,22284,15045,0,2288,11,145832,202308.4,70922.4,0.126,0.812,0.043,0.019,60,30.76,12.05,0.02,0.41,5.26,4.01,0.04,0.61,10.05,6.70,0.00,0.10,0.178,0.125,422,0.230,0.065,0.904,0.011,0.020,23668,17290,2,0.464,0.110,0.009,89317,0.208,3.094,0.232,18.83,17230,147,0.486,0.346,0.180,2357676,1.01,1.10,0.627,0.372,0.002,16.0,32.0,44.0,154.0,18234,0.070,0.00,0.0017,0.090,390,0.496,0.000,0.229,0.179,3.25,3.93,4.00,0.00,0.002,1.01,1.00,1.01,0.507,0.00137,2.97,7.8941,954.96,95918.3,140122.1,0.001,9.6091,35.582,0.000,1.000,0.123,33.4,14.426,49.772,5010,29994.1,15.73,16.411,4.32,5.017,561.4,1.173,0.134,1.99,7.5873,8998.6,0.6648,0.3401,15.37,2.000,0.000,0.4655,0.0000,0.049,0.060,0.002,0.0000,4.24,0.54,8,16,22,77,13.1069,0.0001,0.4545,0.0000,0.0000,49.4485,100.00,87.3246,86.2448,0.0,0.0000,0.0000,0.9035,0.8000,4766,0.3041,0.0000,0.0000,0.0028,0.0012,0.000002,5,0.0673,0.0185,0.0150,44,169,488,0.0000,0.0000,0.0002,0.000,0.2747,0.0054,0.0898,0.0076,0.4046,0.0453,0.5842,0.00910,0.050,0.0009,0.970,0.783,0.03,0.009,0.341,0.030,0.0160,0.113,0.879
90000,1027,1.497,2.010,29.34,65767,44268,0,9258,19,493835,534408.1,271264.2,0.092,0.871,0.027,0.010,56,29.83,9.56,0.06,0.77,6.10,3.91,0.02,0.28,8.70,4.72,0.01,0.12,0.205,0.119,344,0.288,0.048,0.916,0.004,0.032,85716,61775,1,0.447,0.553,0.005,121026,0.118,3.113,0.234,48.89,59655,133,0.549,0.333,0.203,8891158,1.02,1.04,0.658,0.342,0.003,16.0,32.0,32.0,90.0,15267,0.058,0.00,0.0060,0.102,293,0.610,0.000,0.286,0.285,3.02,3.89,3.92,0.01,0.005,1.02,1.01,1.02,0.623,0.00329,20.67,24.4274,1202.91,96844.0,140122.1,0.331,23.3578,98.399,0.000,1.000,0.129,26.8,39.628,167.688,4963,29825.6,36.09,44.671,4.27,14.005,648.3,5.413,0.134,2.00,7.9605,8175.4,0.6866,0.3554,14.87,2.000,0.000,1.5345,0.0000,0.032,0.038,0.001,0.0000,4.16,0.48,8,16,16,36,36.7803,0.0001,0.4109,0.0000,0.0000,167.5162,100.00,81.5492,164.0746,0.0,0.0000,0.0000,0.9171,0.8215,12380,0.2964,0.0000,0.0000,0.0029,0.0012,0.000004,1,0.1170,0.0282,0.0135,41,170,463,0.0000,0.0000,0.0001,0.000,0.5027,0.0042,0.2095,0.0029,0.3209,0.1067,0.6724,0.01614,0.038,0.0009,0.985,0.787,0.02,0.005,0.225,0.010,0.0376,0.036,0.883
100000,994,1.479,2.185,29.76,21111,13710,0,2515,6,135503,201808.6,71431.8,0.101,0.855,0.031,0.013,68,30.19,9.86,0.04,0.66,5.74,3.85,0.00,0.00,9.28,5.47,0.00,0.00,0.195,0.121,325,0.336,0.126,0.847,0.001,0.026,21387,14960,1,0.866,0.134,0.000,20233,0.161,3.217,0.257,19.45,16089,153,0.527,0.356,0.135,2265262,1.01,0.82,0.686,0.313,0.000,16.0,32.0,32.0,128.0,14968,0.057,0.00,0.0022,0.122,286,0.460,0.000,0.220,0.160,3.14,3.91,3.96,0.01,0.003,1.00,1.02,1.01,0.470,0.00188,2.82,8.3577,878.01,93416.8,140122.1,0.000,9.8338,35.023,0.000,1.000,0.125,24.5,13.838,52.246,5336,32899.5,24.01,16.181,4.19,4.563,828.7,1.157,0.134,1.99,8.8720,8818.8,0.7486,0.3844,15.06,2.000,0.000,0.4655,0.0000,0.039,0.054,0.003,0.0000,4.14,0.41,8,16,16,64,12.3318,0.0005,0.3994,0.0000,0.0000,49.4397,100.00,89.9032,89.4947,0.0,0.0000,0.0000,0.8931,0.7888,4909,0.3029,0.0000,0.0000,0.0025,0.0011,0.000003,4,0.0666,0.0151,0.0155,43,168,518,0.0000,0.0000,0.0004,0.001,0.1211,0.0044,0.0532,0.0070,0.4311,0.0611,0.5741,0.01222,0.148,0.0045,0.984,0.830,0.00,0.000,0.228,0.018,0.0247,0.056,0.887
