step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
38000,640,0.3594,5007.2,178,483,100,57,25,35,17,29761,35161,35223,0,0,0,0.976,0.672,0.852,448,48,35,0.2277,0.1621,0.7290,0.0425
39000,799,0.3830,4792.6,191,233,362,204,32,62,50,28646,34989,37048,0,0,0,0.861,0.946,0.715,162,316,102,0.2709,0.1334,0.7418,0.0430
40000,1056,0.3854,6174.6,177,362,294,400,36,54,54,30193,32246,34208,0,0,0,0.944,0.849,0.874,325,223,279,0.2773,0.1336,0.6951,0.0422
41000,1067,0.3636,5555.1,167,308,304,455,39,41,36,27623,30718,33614,0,0,0,0.970,0.910,0.892,291,240,361,0.2915,0.1345,0.7400,0.0368
42000,1370,0.4029,7274.5,162,575,481,314,39,90,36,24710,30623,32687,0,0,0,0.893,0.966,0.866,445,447,227,0.2604,0.1402,0.7220,0.0364
43000,1353,0.4176,7189.2,155,549,508,296,20,37,32,27271,27012,28604,0,0,0,0.935,0.827,0.946,496,352,265,0.3368,0.1192,0.6935,0.0338
44000,1494,0.3963,9229.5,157,479,443,572,38,38,23,29322,27674,29049,0,0,0,0.949,0.876,0.795,428,327,336,0.2630,0.1653,0.6590,0.0404
45000,1184,0.4409,6222.6,154,545,363,276,28,26,35,29149,35049,33887,0,0,0,0.934,0.942,0.817,466,318,176,0.2405,0.1583,0.7272,0.0444
46000,1278,0.4131,8458.1,165,402,537,339,32,33,38,32118,29500,34559,0,0,0,0.790,0.785,0.904,265,309,279,0.2625,0.1343,0.5449,0.0558
47000,1531,0.3514,10346.4,137,457,507,567,32,30,31,34122,29949,28954,0,0,0,0.914,0.951,0.864,359,454,386,0.2060,0.1815,0.5886,0.0587
48000,848,0.3514,6880.6,178,423,199,226,23,43,21,31028,34996,31886,0,0,0,0.943,0.831,0.861,364,145,167,0.2001,0.1792,0.6802,0.0439
49000,979,0.4065,7204.6,205,247,417,315,29,41,40,34823,31864,35905,0,0,0,0.910,0.883,0.880,200,321,231,0.2092,0.1901,0.6046,0.0547
50000,921,0.5190,7144.4,216,293,252,376,55,42,26,37042,34168,34871,0,0,0,0.950,0.909,0.905,267,208,295,0.1837,0.2142,0.5872,0.0564
51000,591,0.4349,4540.5,230,375,73,143,23,24,21,35624,38246,35980,0,0,0,0.927,0.882,0.875,317,53,105,0.1897,0.1946,0.6590,0.0567
52000,427,0.4637,3700.7,241,98,216,113,21,26,36,36858,38401,39440,0,0,0,0.841,0.963,0.952,65,193,97,0.1710,0.2526,0.6102,0.0653
53000,319,0.4295,3151.4,236,170,87,62,16,22,16,38760,38409,38954,0,0,0,0.911,0.943,0.828,141,75,42,0.1526,0.2356,0.6465,0.0667
54000,323,0.4675,2627.8,236,239,66,18,14,34,12,37199,39136,39685,0,0,0,0.961,0.869,0.674,214,38,9,0.1272,0.2909,0.6891,0.0644
55000,202,0.5644,1702.2,351,121,66,15,9,44,15,34910,39579,40710,0,0,0,0.855,0.964,0.835,85,61,11,0.1383,0.3118,0.7130,0.0590
56000,80,0.4250,763.5,375,46,27,7,7,13,7,33839,37920,39452,0,0,0,0.947,0.915,0.806,40,21,3,0.1718,0.2126,0.7526,0.0485
57000,116,0.4052,1225.1,316,60,46,10,4,13,5,32347,36136,37556,0,0,0,0.924,0.714,0.990,44,20,9,0.2768,0.1943,0.8156,0.0428
58000,689,0.4398,3696.5,183,483,146,60,16,52,35,31836,35335,36143,0,0,0,0.883,0.927,0.837,368,120,38,0.2245,0.1530,0.8058,0.0426
59000,854,0.2998,4849.6,159,505,233,116,40,52,42,29838,31334,31574,0,0,0,0.934,0.846,0.931,422,163,95,0.3312,0.1092,0.7725,0.0351
60000,1049,0.4175,5961.7,185,254,406,389,59,48,53,29145,31149,30595,0,0,0,0.928,0.892,0.794,220,309,223,0.3101,0.1267,0.7476,0.0352
