step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
37000,611,0.4746,6302.3,397,499,84,28,14,44,16,20508,43379,49514,0,0,0,1.000,1.000,1.000,371,37,5,0.3294,0.1375,0.8427,0.0676
38000,1090,0.4459,11388.0,309,582,303,205,46,73,64,19078,39809,47111,0,0,0,1.000,1.000,1.000,413,109,28,0.3552,0.1278,0.7318,0.0665
39000,1922,0.4017,14792.5,228,876,613,433,60,93,99,16840,35520,43646,0,0,0,1.000,1.000,1.000,655,226,72,0.4114,0.1082,0.6879,0.0559
40000,2347,0.3498,16077.6,203,1076,766,505,82,90,102,13178,28247,36717,0,0,0,1.000,1.000,1.000,782,298,92,0.5954,0.0769,0.7488,0.0380
41000,2909,0.3730,21150.3,222,1113,997,799,85,70,115,10735,24338,33198,0,0,0,1.000,1.000,1.000,781,340,156,0.6106,0.0796,0.7405,0.0355
42000,3204,0.4391,32169.5,339,1111,1285,808,63,66,96,7521,18270,27717,0,0,0,1.000,1.000,1.000,747,400,118,0.5901,0.0719,0.6869,0.0349
43000,3408,0.4844,38218.3,399,1219,1264,925,53,85,83,7612,16001,25838,0,0,0,1.000,1.000,1.000,876,472,181,0.5739,0.0781,0.6674,0.0340
44000,3375,0.5191,48820.9,526,1285,1210,880,80,88,118,6176,11414,21768,0,0,0,1.000,1.000,1.000,885,439,173,0.5698,0.0736,0.6585,0.0338
45000,3754,0.4995,53855.6,588,1285,1333,1136,88,104,116,4514,8301,18868,0,0,0,1.000,1.000,1.000,894,434,185,0.5554,0.0836,0.6357,0.0357
46000,3603,0.5171,51567.2,612,1280,1365,958,81,96,104,7114,10588,20085,0,0,0,1.000,1.000,1.000,896,489,152,0.5398,0.0770,0.6337,0.0358
47000,3718,0.5223,48962.6,566,1353,1342,1023,97,94,105,9328,12104,21941,0,0,0,1.000,1.000,1.000,877,450,141,0.5173,0.0877,0.6270,0.0386
48000,3450,0.4849,38758.9,547,1207,1238,1005,75,81,106,12267,16349,26186,0,0,0,1.000,1.000,1.000,878,461,177,0.5209,0.0884,0.6442,0.0410
49000,3327,0.5032,35059.6,460,1312,1162,853,73,79,91,16256,19825,28992,0,0,0,1.000,1.000,1.000,988,480,161,0.4610,0.0927,0.6157,0.0450
50000,2848,0.5098,27089.1,427,1061,1084,703,74,84,87,21383,25864,33866,0,0,0,1.000,1.000,1.000,744,402,111,0.3904,0.1148,0.6180,0.0534
51000,2131,0.5129,22044.4,453,935,710,486,68,71,81,24603,30006,37489,0,0,0,1.000,1.000,1.000,717,274,98,0.3422,0.1215,0.6445,0.0613
52000,1676,0.5251,17512.7,449,821,460,395,55,54,72,25605,34719,41302,0,0,0,1.000,1.000,1.000,610,194,57,0.2711,0.1611,0.6772,0.0730
53000,1051,0.5243,12182.9,514,619,283,149,40,52,51,26320,39668,45528,0,0,0,1.000,1.000,1.000,466,99,29,0.2030,0.1907,0.7397,0.0882
54000,712,0.5169,8425.2,560,528,117,67,23,38,34,25489,43889,49119,0,0,0,1.000,1.000,1.000,393,39,16,0.1251,0.3323,0.7787,0.1078
55000,452,0.5509,5481.1,632,379,52,21,10,31,16,25532,47611,52729,0,0,0,1.000,1.000,1.000,305,23,3,0.0638,0.3814,0.6789,0.1574
56000,478,0.4749,4781.0,450,432,37,9,2,29,9,23862,47856,53488,0,0,0,1.000,1.000,1.000,324,9,0,0.0837,0.3544,0.8378,0.1379
57000,650,0.4538,7495.8,427,503,113,34,6,61,27,20816,44359,50951,0,0,0,1.000,1.000,1.000,350,35,12,0.1913,0.1751,0.8241,0.0845
58000,1250,0.4136,13678.8,375,629,334,287,30,56,59,18857,40502,48070,0,0,0,1.000,1.000,1.000,492,162,34,0.2339,0.1539,0.7073,0.0836
59000,1866,0.4357,15941.5,325,811,600,455,61,76,88,17069,36561,44818,0,0,0,1.000,1.000,1.000,574,251,79,0.3422,0.1402,0.6855,0.0626
60000,2591,0.4631,22775.5,343,989,886,716,80,101,116,15497,31965,40913,0,0,0,1.000,1.000,1.000,698,327,127,0.3762,0.1169,0.6648,0.0551
61000,3560,0.4660,30946.6,377,1170,1331,1059,115,117,130,13176,26839,35955,0,0,0,1.000,1.000,1.000,832,594,175,0.3828,0.1191,0.6050,0.0528
62000,3850,0.4657,33875.3,416,1389,1364,1097,99,127,165,13700,24384,33436,0,0,0,1.000,1.000,1.000,1020,487,158,0.3977,0.1173,0.5916,0.0498
63000,4164,0.4906,37723.1,427,1437,1515,1212,112,127,145,13293,20680,30307,0,0,0,1.000,1.000,1.000,1005,570,148,0.4240,0.1209,0.5967,0.0465
64000,4525,0.4628,40762.3,440,1543,1684,1298,134,119,182,14430,19581,28113,0,0,0,1.000,1.000,1.000,1103,606,193,0.3962,0.1306,0.5629,0.0500
65000,4247,0.5036,42010.3,479,1481,1419,1347,107,109,160,14563,16445,25131,0,0,0,1.000,1.000,1.000,1065,514,205,0.4603,0.1168,0.6032,0.0434
66000,4269,0.5139,42204.7,493,1514,1515,1240,123,124,152,14735,16186,24073,0,0,0,1.000,1.000,1.000,1055,513,196,0.4698,0.1078,0.6035,0.0417
67000,4331,0.4812,41700.9,471,1605,1526,1200,110,126,120,16852,16319,24811,0,0,0,1.000,1.000,1.000,1128,506,220,0.4275,0.1245,0.5790,0.0469
68000,4104,0.4922,38603.6,465,1454,1440,1210,117,109,131,19221,20484,27384,0,0,0,1.000,1.000,1.000,973,546,195,0.3918,0.1336,0.5780,0.0517
69000,3635,0.4911,35318.3,481,1299,1282,1054,115,113,147,20194,21233,28195,0,0,0,1.000,1.000,1.000,933,468,166,0.4020,0.1240,0.6160,0.0492
70000,3306,0.4834,32228.3,505,1148,1215,943,102,136,146,21268,24324,31038,0,0,0,1.000,1.000,1.000,823,443,167,0.3756,0.1272,0.6268,0.0528
71000,2506,0.5132,25636.1,585,1023,807,676,87,103,136,23600,29129,35374,0,0,0,1.000,1.000,1.000,752,265,122,0.3468,0.1419,0.6674,0.0598
72000,1801,0.5042,19632.6,656,879,524,398,82,90,110,24812,34030,39504,0,0,0,1.000,1.000,1.000,655,197,85,0.3070,0.1508,0.6951,0.0676
73000,1266,0.5055,13966.0,707,670,365,231,66,69,96,25493,38953,44004,0,0,0,1.000,1.000,1.000,497,134,31,0.2282,0.1985,0.7283,0.0817
74000,864,0.5498,9688.2,756,532,183,149,37,48,63,25668,43918,48488,0,0,0,1.000,1.000,1.000,419,57,26,0.0986,0.3361,0.7198,0.1146
75000,526,0.5361,5940.8,753,406,69,51,17,38,21,25140,47212,51803,0,0,0,1.000,1.000,1.000,315,29,10,0.1105,0.2876,0.6454,0.1389
76000,548,0.4818,6150.6,527,479,54,15,7,39,10,23714,47548,52730,0,0,0,1.000,1.000,1.000,375,21,0,0.0910,0.3372,0.8322,0.1390
77000,847,0.4215,9967.8,515,554,169,124,19,72,55,21239,44846,51139,0,0,0,1.000,1.000,1.000,433,70,19,0.1259,0.2759,0.8024,0.1108
78000,1426,0.4530,14957.1,473,724,399,303,43,71,99,19696,41983,49482,0,0,0,1.000,1.000,1.000,527,174,62,0.1405,0.2302,0.7299,0.1073
79000,2201,0.4284,19711.2,394,960,718,523,66,108,100,16407,35756,44573,0,0,0,1.000,1.000,1.000,701,298,125,0.3117,0.1342,0.6810,0.0660
80000,2891,0.4372,26191.2,400,1053,999,839,95,117,124,13954,30332,40388,0,0,0,1.000,1.000,1.000,760,397,154,0.3839,0.1141,0.6643,0.0560
81000,3489,0.4586,34156.3,449,1348,1251,890,114,117,168,12212,24846,35163,0,0,0,1.000,1.000,1.000,1013,467,158,0.4259,0.1086,0.6479,0.0486
82000,3923,0.4629,41526.5,503,1295,1314,1314,152,118,173,9605,19475,31016,0,0,0,1.000,1.000,1.000,878,470,262,0.4457,0.1113,0.6194,0.0451
83000,4409,0.4756,47056.1,514,1520,1677,1212,140,156,207,9530,16546,28202,0,0,0,1.000,1.000,1.000,1080,614,219,0.4302,0.1209,0.5909,0.0468
84000,4624,0.5063,50900.5,536,1670,1648,1306,156,137,190,10589,14663,25246,0,0,0,1.000,1.000,1.000,1202,590,213,0.4225,0.1260,0.5776,0.0478
85000,4630,0.4862,51725.3,570,1637,1633,1360,148,172,167,10637,12381,23377,0,0,0,1.000,1.000,1.000,1169,552,201,0.4509,0.1139,0.5892,0.0436
86000,4412,0.4753,49854.2,578,1561,1632,1219,141,151,166,11704,12433,22951,0,0,0,1.000,1.000,1.000,1113,642,183,0.4727,0.1049,0.6088,0.0417
87000,4161,0.5016,49410.9,616,1440,1528,1193,142,149,178,12708,12788,23122,0,0,0,1.000,1.000,1.000,1017,577,185,0.4618,0.1059,0.6031,0.0429
88000,4245,0.4883,48049.8,578,1562,1423,1260,126,125,175,15115,14135,23568,0,0,0,1.000,1.000,1.000,1112,533,182,0.4401,0.1163,0.5959,0.0465
89000,3905,0.4953,42325.3,585,1460,1395,1050,94,143,167,17641,18665,26711,0,0,0,1.000,1.000,1.000,1061,532,174,0.4129,0.1187,0.6135,0.0502
90000,3264,0.4798,36991.6,597,1242,1060,962,101,127,170,19811,21764,29789,0,0,0,1.000,1.000,1.000,886,417,205,0.4105,0.1074,0.6378,0.0518
91000,2365,0.5336,29021.5,685,934,808,623,82,115,148,22318,26926,34049,0,0,0,1.000,1.000,1.000,663,305,140,0.3898,0.1115,0.6915,0.0551
92000,1756,0.5251,22779.6,789,831,508,417,85,95,133,22829,31408,37300,0,0,0,1.000,1.000,1.000,610,209,60,0.3825,0.1367,0.7203,0.0579
93000,1479,0.5355,17044.5,749,759,407,313,72,86,108,24825,37645,42572,0,0,0,1.000,1.000,1.000,554,140,51,0.2275,0.2015,0.7146,0.0840
94000,881,0.5482,10233.6,816,556,197,128,35,73,65,25588,43682,48180,0,0,0,1.000,1.000,1.000,442,91,21,0.0985,0.3445,0.7240,0.1142
95000,665,0.5519,7467.3,648,539,81,45,15,49,20,25181,47187,51941,0,0,0,1.000,1.000,1.000,403,35,1,0.0659,0.4162,0.6242,0.1680
96000,536,0.4646,5733.7,562,466,56,14,3,48,13,24436,48428,53719,0,0,0,1.000,1.000,1.000,337,21,1,0.0475,0.4772,0.8428,0.1768
97000,800,0.4275,9282.8,550,571,150,79,14,87,57,21458,45313,51744,0,0,0,1.000,1.000,1.000,396,51,7,0.1098,0.3507,0.8246,0.1147
98000,1468,0.4898,15165.4,484,727,394,347,41,103,108,19603,41607,49508,0,0,0,1.000,1.000,1.000,504,169,41,0.1424,0.2343,0.7035,0.1069
99000,2260,0.4142,19443.7,397,916,805,539,67,110,125,17215,36927,45832,0,0,0,1.000,1.000,1.000,679,352,88,0.2501,0.1742,0.6797,0.0799
100000,2670,0.4479,25739.0,445,1036,925,709,105,132,152,14149,30499,40402,0,0,0,1.000,1.000,1.000,736,354,75,0.4030,0.1165,0.6728,0.0545
