step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land
1000,20486,17464,122330,878408,842677,737655,18423,80244,2300,1,230167,8081759,185091.665,69080.233,0.2743,65134.181,0.231,0.293,0.258,0.218,0.675,0.302,1274,0.0157,0.7449,0.098,7.9,35.3,75.1,36.59,3.16,4.14,2.44,26.85,7.64,1.034,0.105,0.045,0.046,21.841,0.775,0.0023,187,553,2381,11968,112,0,0.000,10169,6182,4792,9512,2036,6969,11481,0.00,1.10,9931,32.6679,66009,8622,538229,1107.2,-0.0,462790,67.634,2631002.543,3.54e-16,0.00093,30.00,255736,139.732,2.129,134.106,3.497,139.733,15644,1671,3171,0.4329,0.829,1.026,1.238,1.028,0.922,1.123,37506.891,12451.573,179989.064,38099.812,32136.970,2454.282,784.811,706.958,0.740,0.552,0.570,0.898,0.725,0.692,6597,23276,0.8620,0.7008,0.7085,0.9999,0.0549,0.0558,0.6211,0.8429,0.9049,0.0971,0.0623,0.0300,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,17709,1.0000,0.7692,0.7911,0.9990,0.0549,0.0558,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0792,5.1805,5.0817,0.1421,0.1907,0.1685,0.356,0.426,0.379,0.378,2290,0.0207,0.0022,0.0025,0.00039,0.00034,0.00035,25.22,27.99,28.64,718.1238,0.0158,69.3725,41.0956,26.5381,1071277,1529848,0.6954,0.0062,0.0,0.0000,21.62
2000,18176,7202,63592,125184,108179,60087,1505,45803,4621,0,408069,4832932,41304.866,18448.532,0.3195,10300.162,0.144,0.575,0.141,0.140,0.519,0.355,3815,0.0828,0.7341,0.094,9.0,28.8,75.8,31.23,3.05,6.87,1.29,20.01,7.43,1.066,0.221,0.116,0.123,12.574,0.520,0.0031,182,1166,2042,31304,123,0,0.000,9876,1673,3682,12821,773,2118,15285,0.00,11.11,8433,9.3962,61708,5395,487819,1613.4,-0.0,534590,41.402,2631002.543,1.59e-15,0.00068,25.34,37252,50.236,2.169,46.477,1.590,50.237,5508,4807,7861,0.3644,0.928,1.043,1.237,1.087,0.963,1.114,16296.848,14084.213,14099.412,16268.743,21236.874,2707.140,3155.838,2285.393,0.578,0.443,0.563,0.674,0.396,0.477,4511,7788,0.8419,0.5325,0.5311,0.9994,0.0361,0.0477,0.5219,1.0474,0.9561,0.1849,0.0416,0.0227,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,7021,0.9997,0.8941,0.8132,0.9991,0.0361,0.0477,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1078,5.2450,5.0999,0.0826,0.1138,0.1026,0.205,0.202,0.178,0.232,669,0.0215,0.0014,0.0004,0.00051,0.00032,0.00032,27.72,27.72,27.93,4420.6994,0.0407,37.7365,23.7427,17.6597,1089105,1525199,1.4795,0.0565,0.0,0.0000,26.00
3000,16943,6663,54785,127592,111243,71705,1102,36494,5067,0,420015,4647095,45639.162,19358.258,0.3218,10909.413,0.090,0.715,0.091,0.103,0.512,0.342,5552,0.1011,0.7180,0.076,8.9,33.4,87.3,34.14,4.47,8.99,1.24,19.44,7.50,1.076,0.249,0.269,0.284,16.044,0.381,0.0031,161,613,2009,31252,145,0,0.000,9433,225,2134,14584,875,3440,12628,0.25,9.26,7912,10.1815,44541,6852,450186,1850.5,-0.0,585805,24.943,2631002.543,2.18e-14,0.00102,14.43,36176,43.133,2.145,39.943,1.045,43.133,7358,4813,4772,0.3865,0.920,1.042,1.273,1.110,0.963,1.138,12265.497,9703.393,29410.247,12190.736,14947.592,2510.530,3006.190,2932.124,0.698,0.376,0.505,0.785,0.330,0.474,4562,10275,0.7915,0.3769,0.4625,0.9983,0.0321,0.0605,0.4993,1.0702,0.9033,0.1987,0.0367,0.0298,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,3826,0.9998,0.8952,0.8333,0.9974,0.0321,0.0605,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0660,5.0958,5.0669,0.0830,0.1198,0.1080,0.154,0.231,0.194,0.195,356,0.0129,0.0022,0.0007,0.00053,0.00029,0.00028,26.90,28.15,28.01,17206.9489,0.0673,27.5174,9.5910,15.3516,1085202,1525653,2.1455,0.1153,0.0,0.0000,22.38
4000,16749,7427,61605,128123,109169,65301,1217,37247,6005,6,517640,6140613,45522.760,21150.859,0.3062,11244.347,0.061,0.784,0.076,0.080,0.563,0.309,4834,0.1062,0.7110,0.069,11.0,34.0,84.3,33.88,4.51,9.86,1.03,18.48,7.43,1.104,0.265,0.297,0.315,19.857,0.466,0.0029,145,520,2459,34984,247,0,0.000,9798,133,2797,13819,1049,3164,12536,1.12,9.74,6059,9.2071,31162,5879,416750,1453.1,-0.0,633317,26.492,2631002.543,2.55e-14,0.00039,37.93,38028,48.869,2.286,45.577,1.006,48.870,7387,4590,4772,0.3630,0.934,1.070,1.323,1.132,0.969,1.191,14570.583,9865.509,26820.422,14438.880,15507.805,3050.090,3241.189,3615.233,0.723,0.460,0.522,0.730,0.337,0.471,4497,14935,0.7878,0.3616,0.4045,0.9988,0.0313,0.0639,0.5011,1.1056,0.9202,0.2030,0.0293,0.0335,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,3249,0.9995,0.8842,0.8013,0.9989,0.0313,0.0639,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0509,5.0866,5.0427,0.0911,0.0963,0.0841,0.155,0.139,0.184,0.133,357,0.0089,0.0015,0.0011,0.00051,0.00029,0.00030,27.83,27.41,27.61,13523.9144,0.0807,30.3870,11.5523,14.9394,1083819,1523748,2.3635,0.1342,0.0,0.0000,25.42
5000,14366,6731,46702,93089,78422,45596,791,28715,3841,7,386200,5375946,36704.299,15496.349,0.3082,8056.236,0.057,0.812,0.059,0.072,0.577,0.299,2439,0.1011,0.6930,0.070,13.4,35.5,84.2,34.85,4.47,9.90,0.98,19.49,7.46,1.117,0.252,0.318,0.338,21.982,0.462,0.0027,158,602,3162,23522,386,16,0.546,8358,155,2103,12108,725,2348,11293,1.75,10.48,7389,9.9677,22493,7312,385173,1502.6,-0.0,676810,24.894,2631002.543,4.60e-15,0.00092,12.68,28321,36.636,2.074,33.948,0.614,36.636,6046,3774,4546,0.3370,0.938,1.077,1.356,1.147,0.970,1.198,12999.227,9611.246,18034.743,12853.975,13871.817,2169.382,2164.410,3106.321,0.731,0.509,0.495,0.696,0.359,0.462,5493,12841,0.7911,0.3053,0.3773,0.9980,0.0405,0.0644,0.5045,1.0640,0.8945,0.2086,0.0266,0.0320,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,3463,0.9993,0.8802,0.7977,0.9983,0.0406,0.0645,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1290,5.0026,4.9004,0.0981,0.0906,0.0820,0.156,0.126,0.180,0.126,218,0.0047,0.0017,0.0009,0.00052,0.00027,0.00030,28.40,27.89,27.92,8763.3142,0.0695,27.1210,11.7422,13.1521,1087220,1521709,1.7163,0.0972,0.0,0.0000,23.03
6000,15971,7275,56425,112937,96320,55348,1164,30447,3690,13,404520,6106118,40234.955,18398.590,0.3063,10655.205,0.061,0.816,0.052,0.071,0.584,0.303,2455,0.0910,0.7060,0.072,11.3,32.3,81.0,32.52,4.01,9.11,0.89,18.51,7.37,1.126,0.241,0.303,0.335,19.499,0.491,0.0026,152,531,4814,27135,668,26,0.693,9740,223,1968,13780,1369,2651,11951,2.02,11.06,8329,13.6382,17523,6352,351102,1401.9,0.0,717395,26.245,2631002.543,5.31e-15,0.00050,23.20,34750,38.388,1.985,35.345,1.058,38.389,7204,3674,5093,0.3169,0.945,1.093,1.390,1.154,0.971,1.198,14908.955,11657.912,17726.010,14753.335,18410.814,2354.753,2133.374,3255.258,0.703,0.519,0.538,0.613,0.413,0.495,4831,16051,0.7544,0.3010,0.3524,0.9985,0.0394,0.0592,0.5592,1.0540,0.9297,0.1868,0.0376,0.0382,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,4456,0.9994,0.8240,0.8254,0.9984,0.0394,0.0592,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1068,4.9868,4.8616,0.0966,0.0882,0.0798,0.138,0.134,0.156,0.135,163,0.0034,0.0012,0.0006,0.00048,0.00031,0.00035,27.19,28.07,27.97,5069.1841,0.0748,33.7387,11.9244,14.3208,1090294,1518978,0.9343,0.0314,0.0,0.0000,19.40
7000,16154,6339,49666,93244,78238,42787,791,27657,2749,26,354054,5473052,35972.992,15878.952,0.3071,9084.336,0.052,0.845,0.042,0.062,0.572,0.312,2095,0.0843,0.6925,0.074,12.0,29.9,76.3,30.35,3.68,8.70,0.79,17.18,7.30,1.130,0.249,0.284,0.322,17.615,0.428,0.0026,159,613,6698,23182,1126,33,0.534,9656,586,1585,13983,1029,2307,12818,2.75,11.98,9166,14.5394,14287,6806,319906,1278.9,-0.0,755822,24.117,2631002.543,1.20e-14,0.00032,24.47,29094,42.428,2.332,38.940,1.156,42.430,6364,4350,5440,0.3501,0.952,1.080,1.427,1.172,0.973,1.207,12947.465,10195.935,16644.164,12775.949,15637.215,2769.862,1569.679,2455.076,0.678,0.510,0.502,0.602,0.363,0.445,5636,14616,0.7769,0.3553,0.3374,0.9991,0.0466,0.0701,0.5934,1.0799,0.9018,0.1957,0.0459,0.0447,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,4263,0.9995,0.8570,0.8054,0.9989,0.0467,0.0701,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0823,4.7146,4.8122,0.0887,0.0813,0.0700,0.124,0.117,0.144,0.124,172,0.0035,0.0013,0.0010,0.00050,0.00029,0.00033,28.20,28.38,28.56,3355.4355,0.0825,28.9884,12.4569,11.6603,1094235,1516659,0.7696,0.0158,0.0,0.0000,21.78
8000,13424,5876,52345,94236,78127,41029,862,33079,3506,49,413651,5797095,35254.228,16574.493,0.3096,8571.248,0.057,0.855,0.035,0.053,0.548,0.327,2941,0.1214,0.7218,0.068,12.1,31.6,78.7,31.01,3.75,9.02,0.75,17.49,7.42,1.156,0.248,0.283,0.325,19.021,0.460,0.0029,157,571,8440,28925,1653,35,0.487,8578,717,1319,11388,1025,2091,10308,3.25,13.16,9511,15.1257,12192,5310,293159,1186.7,-0.0,786374,24.931,2631002.543,1.56e-14,0.00008,7.77,28075,44.257,2.380,41.051,0.826,44.257,6163,3237,4024,0.3186,0.963,1.106,1.498,1.203,0.978,1.227,13152.005,9879.151,15834.701,12989.157,15001.618,2798.993,2257.177,2947.074,0.648,0.491,0.499,0.567,0.346,0.441,4323,14408,0.7682,0.2765,0.3076,0.9995,0.0443,0.0651,0.6099,1.1243,0.9051,0.1894,0.0245,0.0374,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,3792,0.9992,0.8995,0.8108,0.9991,0.0443,0.0651,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1221,4.8551,4.8871,0.0935,0.0782,0.0681,0.125,0.105,0.139,0.113,241,0.0073,0.0011,0.0009,0.00054,0.00036,0.00040,27.02,28.35,28.08,2165.6316,0.0925,28.5342,11.1081,13.8227,1097741,1515364,1.4089,0.1132,0.0,0.0000,16.84
9000,11780,5324,42611,73107,59466,29778,718,24295,2483,60,314997,4490736,30172.787,12916.121,0.3123,6768.695,0.053,0.862,0.034,0.051,0.539,0.335,1623,0.1088,0.7008,0.072,13.6,33.4,78.2,31.59,3.65,8.95,0.71,18.28,7.45,1.162,0.241,0.261,0.310,19.745,0.428,0.0027,152,594,10046,22230,2767,33,0.274,7354,45,1428,10307,510,2238,9032,3.25,13.32,10806,16.0983,10614,5912,273519,1309.2,-0.0,810312,19.508,2631002.543,2.35e-14,0.00123,30.68,22258,34.683,2.336,31.694,0.653,34.685,5337,2922,3521,0.3118,0.958,1.106,1.498,1.228,0.970,1.223,11204.876,7503.013,14868.042,11056.924,11016.515,2524.262,1540.406,2082.758,0.646,0.485,0.458,0.571,0.319,0.361,5258,14742,0.7869,0.2879,0.3255,0.9997,0.0472,0.0762,0.6357,1.1092,0.8862,0.1879,0.0316,0.0317,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,2519,0.9995,0.8751,0.7721,0.9986,0.0472,0.0762,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1713,4.8475,4.9347,0.0964,0.0694,0.0605,0.114,0.108,0.114,0.110,156,0.0077,0.0010,0.0012,0.00055,0.00032,0.00037,27.02,28.23,28.31,1656.1322,0.0858,22.4809,9.2999,10.2084,1100894,1513767,2.6189,0.2100,0.0,0.0000,18.95
10000,12962,5429,46569,87819,73082,40288,962,24151,2755,88,323116,4795347,33561.593,14375.408,0.3190,7933.539,0.051,0.856,0.036,0.057,0.555,0.326,1952,0.0971,0.7048,0.077,12.0,32.4,77.6,30.86,3.22,9.18,0.60,17.87,7.46,1.181,0.246,0.217,0.259,17.472,0.394,0.0026,149,551,10520,20646,3858,35,0.479,7820,61,1716,11185,635,2568,9759,3.00,12.00,11303,17.7507,9328,6191,255767,1466.9,0.0,830950,19.151,2631002.543,3.36e-15,0.00218,11.37,26475,36.440,2.311,33.472,0.657,36.493,6200,3047,3715,0.3083,0.971,1.113,1.531,1.242,0.981,1.245,12047.733,8490.459,17074.334,11893.438,12527.360,2895.818,1517.045,2029.005,0.644,0.511,0.485,0.626,0.335,0.419,5412,14848,0.7892,0.2091,0.3568,0.9996,0.0438,0.0757,0.6541,1.1697,0.8701,0.1680,0.0208,0.0313,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,3344,0.9994,0.9079,0.7910,0.9987,0.0438,0.0757,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1752,4.7982,5.0134,0.0946,0.0655,0.0575,0.100,0.097,0.114,0.105,201,0.0072,0.0008,0.0008,0.00054,0.00031,0.00034,27.25,28.18,28.19,1370.1663,0.0817,24.8895,8.4828,10.6684,1103008,1511705,3.1957,0.2173,0.0,0.0000,19.36
