step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under
1000,-60,0,5237,1188.8136,594.64,88.00,1.83,283,2.52,0.210,14.827
1000,-60,1,2495,1166.8013,365.48,644.03,0.93,336,0.38,0.062,16.088
1000,-60,2,2,1.2729,0.00,2.51,22.54,0,8.90,0.044,8.729
1000,-50,0,7092,1590.3241,652.58,95.54,15.06,455,11.86,2.182,10.159
1000,-50,1,1601,878.3374,282.10,498.83,14.14,286,10.55,1.597,10.464
1000,-50,2,5,3.5090,0.33,7.80,29.42,2,12.63,0.380,6.654
1000,-40,0,6338,1204.5477,517.47,63.05,26.41,367,21.32,6.365,6.797
1000,-40,1,1741,891.7141,215.71,635.55,23.27,350,19.24,4.999,7.082
1000,-40,2,2,1.0287,0.00,2.39,13.17,1,22.13,3.656,3.370
1000,-30,0,4324,970.5064,366.60,88.11,33.46,284,27.92,10.208,5.093
1000,-30,1,3254,1480.6355,494.85,1520.39,29.60,585,27.14,9.041,4.656
1000,-30,2,599,256.3222,65.98,844.86,34.76,107,28.75,8.263,2.808
1000,-20,0,1820,389.2753,117.92,41.40,55.87,45,33.35,13.735,3.973
1000,-20,1,2521,1186.3355,426.26,1071.13,30.03,284,32.55,12.414,3.476
1000,-20,2,3878,1900.5810,508.96,11057.30,33.07,827,31.46,8.585,1.375
1000,-10,0,1808,401.2815,178.07,24.35,65.26,16,36.97,16.245,3.329
1000,-10,1,2073,1010.5831,370.05,921.12,35.06,36,36.85,15.124,2.565
1000,-10,2,4343,2341.1057,750.31,15831.97,34.84,1113,33.82,9.436,0.657
1000,0,0,1824,365.7153,148.35,31.11,72.13,13,38.85,17.469,2.947
1000,0,1,1740,857.7205,330.41,841.90,40.68,17,38.62,16.165,2.147
1000,0,2,4803,2602.5045,722.34,15257.59,38.05,990,34.85,10.583,0.781
1000,10,0,3014,847.9827,319.04,51.73,74.60,35,37.73,16.705,3.171
1000,10,1,2709,1636.4833,575.86,1338.72,44.81,143,37.14,15.191,2.449
1000,10,2,3722,2136.1523,541.30,9755.51,22.85,939,32.00,9.522,1.679
1000,20,0,3994,705.0958,235.90,62.11,62.26,139,32.28,13.459,4.615
1000,20,1,3278,1841.4600,534.27,1560.84,36.39,373,32.22,12.292,3.674
1000,20,2,1173,774.6599,223.34,2055.87,8.26,273,29.28,8.836,2.942
1000,30,0,6744,1291.7043,500.40,85.09,37.43,379,26.43,9.860,6.027
1000,30,1,2310,1449.9589,430.26,1004.21,42.41,398,29.15,10.073,4.067
1000,30,2,220,194.2764,88.76,242.93,71.00,63,26.02,7.166,3.902
1000,40,0,6695,1129.6214,524.01,63.83,28.38,266,19.87,6.093,7.779
1000,40,1,1252,818.9571,271.60,492.05,49.77,253,23.56,6.622,5.261
1000,40,2,223,177.5974,61.70,262.08,65.79,52,23.26,5.476,4.432
1000,50,0,5138,404.4143,292.14,13.83,19.39,29,11.20,2.307,10.931
1000,50,1,567,252.5276,94.44,138.70,53.69,60,17.48,3.587,7.107
1000,50,2,11,7.1094,2.88,13.68,35.34,1,18.83,2.547,4.783
1000,60,0,3853,71.2216,69.28,0.77,11.91,0,2.35,0.233,15.057
1000,60,1,2,1.3187,1.12,0.32,20.07,0,9.27,0.485,9.931
1000,70,0,4656,4.0444,5.14,0.16,8.42,0,-5.43,0.001,20.728
1000,80,0,3564,0.0238,0.47,0.06,4.84,0,-11.91,0.000,26.913
2000,-60,0,5295,52.6941,348.79,89.88,-15.57,7,-8.97,0.000,24.028
2000,-60,1,2437,21.5777,148.19,609.45,-19.23,8,-11.24,0.000,26.256
2000,-60,2,2,0.0000,0.00,2.43,-6.37,0,0.39,0.000,14.736
2000,-50,0,7119,319.3986,521.92,95.63,-9.01,34,1.00,0.121,15.908
2000,-50,1,1575,152.6092,195.32,487.35,-2.32,29,0.61,0.065,15.961
2000,-50,2,4,0.2588,0.19,6.64,-2.40,0,5.39,0.000,10.524
2000,-40,0,6341,513.3410,537.85,62.57,2.53,112,12.02,2.256,10.101
2000,-40,1,1738,196.9142,163.87,633.48,8.43,41,10.82,1.582,10.297
2000,-40,2,2,0.0091,0.00,2.36,-7.22,0,13.54,0.664,6.492
2000,-30,0,4325,505.5459,436.74,87.75,12.53,132,20.48,6.041,7.132
2000,-30,1,3248,594.7061,482.00,1519.43,19.54,192,20.57,5.418,6.476
2000,-30,2,604,88.7652,56.16,855.85,24.64,43,23.12,5.092,4.187
2000,-20,0,1822,263.3994,198.31,41.62,14.50,81,28.03,10.326,5.114
2000,-20,1,2515,561.4604,311.43,1073.33,22.64,207,27.63,9.358,4.583
2000,-20,2,3882,549.0964,334.99,11119.48,32.19,326,27.31,6.100,2.158
2000,-10,0,1809,387.5056,371.95,24.35,24.66,51,34.54,14.491,3.730
2000,-10,1,2069,716.9959,420.80,920.51,25.98,172,34.31,13.434,3.023
2000,-10,2,4346,663.7848,365.96,15878.63,40.53,387,32.11,8.244,0.847
2000,0,0,1824,276.1821,292.33,30.78,25.90,14,38.82,17.309,2.862
2000,0,1,1745,621.4110,474.77,844.61,30.13,80,38.54,16.105,2.128
2000,0,2,4798,803.0561,541.70,15264.61,44.58,276,35.74,10.991,0.594
2000,10,0,3018,441.9483,484.82,51.56,24.91,18,40.19,18.236,2.616
2000,10,1,2733,860.4655,860.28,1359.37,33.80,25,39.77,16.932,1.931
2000,10,2,3694,489.1878,369.74,9742.25,57.89,159,35.53,11.528,0.995
2000,20,0,3997,272.2726,308.02,61.77,30.00,29,37.77,16.839,3.320
2000,20,1,3278,683.2609,708.60,1555.59,49.18,37,38.22,16.049,2.401
2000,20,2,1170,204.7003,132.57,2059.33,66.05,93,34.98,12.062,1.668
2000,30,0,6747,638.1348,654.91,85.00,43.10,58,35.06,14.933,3.800
2000,30,1,2301,395.7428,330.95,995.47,42.29,60,37.19,14.980,2.282
2000,30,2,226,78.2602,43.18,250.65,19.24,33,35.04,12.237,1.722
2000,40,0,6690,728.5644,647.69,63.38,43.94,91,31.11,12.051,4.395
2000,40,1,1253,358.8605,294.20,495.32,28.54,88,33.90,12.405,2.569
2000,40,2,227,71.6167,41.31,269.99,16.88,30,33.20,10.755,1.823
2000,50,0,5132,518.8995,385.55,13.43,41.77,100,24.99,8.031,5.639
2000,50,1,573,299.2966,226.16,143.41,18.66,65,29.80,9.641,3.280
2000,50,2,11,3.3219,0.00,14.09,26.53,1,28.38,6.943,1.983
2000,60,0,3853,174.6057,154.87,0.77,34.55,8,18.77,3.946,6.704
