step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under
1000,-60,0,5237,1200.2057,598.97,88.00,1.83,248,2.52,0.202,14.796
1000,-60,1,2495,1159.1315,312.50,644.03,0.93,334,0.39,0.030,15.750
1000,-60,2,2,1.7993,1.85,2.51,22.54,0,8.66,0.000,7.167
1000,-50,0,7092,1590.0680,721.89,95.54,15.06,436,11.86,2.157,10.123
1000,-50,1,1601,883.4923,273.47,498.83,14.14,261,10.50,1.122,9.720
1000,-50,2,5,2.9894,0.00,7.80,29.42,2,12.29,0.000,4.418
1000,-40,0,6338,1183.2245,473.63,63.05,26.41,318,21.32,6.332,6.765
1000,-40,1,1741,933.1752,264.92,635.55,23.27,346,19.18,3.964,6.058
1000,-40,2,2,0.9685,0.22,2.39,13.17,1,22.79,1.684,1.173
1000,-30,0,4324,971.1111,371.44,88.11,33.46,292,27.91,10.130,5.026
1000,-30,1,3254,1437.6711,436.65,1520.40,29.60,586,27.05,7.468,3.383
1000,-30,2,599,245.6442,51.59,844.86,34.76,129,28.42,4.304,0.550
1000,-20,0,1820,408.6804,132.77,41.41,55.87,46,33.35,13.644,3.898
1000,-20,1,2521,1121.0727,257.83,1071.15,30.03,443,32.54,10.908,2.359
1000,-20,2,3878,1791.9593,351.70,11057.34,33.07,1322,31.12,3.901,0.126
1000,-10,0,1808,380.3458,157.01,24.35,65.26,51,36.97,16.186,3.286
1000,-10,1,2073,953.4001,220.48,921.11,35.06,191,36.89,13.578,1.557
1000,-10,2,4343,2256.3696,607.71,15831.90,34.84,1668,33.44,5.031,0.086
1000,0,0,1824,376.9807,187.26,31.11,72.11,6,38.84,17.394,2.895
1000,0,1,1740,808.6279,252.19,841.90,40.70,58,38.68,14.504,1.164
1000,0,2,4803,2440.0148,509.29,15257.76,38.05,1601,34.40,6.103,0.094
1000,10,0,3014,828.2221,301.23,51.73,74.60,50,37.72,16.629,3.118
1000,10,1,2709,1522.8859,420.94,1338.69,44.81,377,37.12,13.455,1.390
1000,10,2,3722,2109.8741,409.46,9755.35,22.85,1814,31.75,4.752,0.166
1000,20,0,3994,726.8713,250.82,62.11,62.26,175,32.28,13.393,4.564
1000,20,1,3278,1794.4299,516.44,1560.83,36.39,642,32.11,10.584,2.494
1000,20,2,1173,746.2647,248.39,2055.87,8.26,407,29.26,4.363,0.451
1000,30,0,6744,1297.2172,463.32,85.09,37.43,389,26.43,9.812,5.985
1000,30,1,2310,1429.5930,424.56,1004.21,42.41,526,28.92,8.538,2.991
1000,30,2,220,188.3908,97.42,242.93,71.00,89,25.12,3.823,1.715
1000,40,0,6695,1096.9404,491.43,63.83,28.38,240,19.87,6.060,7.750
1000,40,1,1252,787.1163,230.34,492.05,49.77,282,23.27,5.409,4.321
1000,40,2,223,172.7505,48.62,262.08,65.79,98,22.37,2.413,2.165
1000,50,0,5138,401.0702,284.07,13.83,19.39,22,11.20,2.299,10.924
1000,50,1,567,272.6273,106.34,138.70,53.69,55,17.29,2.985,6.560
1000,50,2,11,6.6192,2.26,13.68,35.34,4,18.38,0.582,2.558
1000,60,0,3853,68.7890,60.53,0.77,11.91,5,2.35,0.232,15.057
1000,60,1,2,1.2142,0.72,0.32,20.07,0,9.20,0.359,9.645
1000,70,0,4656,4.0622,5.12,0.16,8.42,0,-5.43,0.001,20.728
1000,80,0,3564,0.0237,0.47,0.06,4.84,0,-11.91,0.000,26.914
2000,-60,0,5295,59.3524,353.70,89.88,-15.57,8,-8.96,0.000,24.021
2000,-60,1,2437,23.2539,129.05,609.45,-19.23,9,-11.19,0.000,26.195
