step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under
1000,-60,0,5237,1199.0760,601.94,88.00,1.83,250,2.52,0.210,14.827
1000,-60,1,2495,1201.4662,381.10,644.03,0.93,333,0.38,0.062,16.088
1000,-60,2,2,1.2617,0.00,2.51,22.54,1,8.90,0.044,8.729
1000,-50,0,7092,1608.9735,661.95,95.54,15.06,483,11.86,2.182,10.159
1000,-50,1,1601,883.1929,263.12,498.83,14.14,369,10.55,1.597,10.464
1000,-50,2,5,3.5358,3.04,7.80,29.42,1,12.63,0.380,6.654
1000,-40,0,6338,1206.2580,515.22,63.06,26.41,359,21.32,6.365,6.797
1000,-40,1,1741,895.6865,207.81,635.55,23.27,339,19.24,4.999,7.082
1000,-40,2,2,0.9658,0.33,2.39,13.17,0,22.13,3.656,3.370
1000,-30,0,4324,945.3478,359.93,88.11,33.46,273,27.92,10.208,5.093
1000,-30,1,3254,1462.1016,515.45,1520.40,29.60,510,27.14,9.041,4.656
1000,-30,2,599,246.7080,47.37,844.86,34.76,106,28.75,8.263,2.808
1000,-20,0,1820,399.0409,137.83,41.40,55.87,39,33.35,13.735,3.973
1000,-20,1,2521,1153.8287,376.72,1071.13,30.03,273,32.55,12.414,3.476
1000,-20,2,3878,1852.4955,444.17,11057.32,33.07,862,31.46,8.585,1.375
1000,-10,0,1808,384.0339,120.06,24.35,65.26,26,36.97,16.245,3.329
1000,-10,1,2073,976.1081,300.01,921.13,35.06,49,36.85,15.124,2.565
1000,-10,2,4343,2275.3955,647.62,15832.00,34.84,1280,33.82,9.436,0.657
1000,0,0,1825,353.0117,125.61,31.21,72.11,16,38.85,17.468,2.948
1000,0,1,1739,857.4838,302.36,841.80,40.68,34,38.62,16.164,2.147
1000,0,2,4803,2559.5839,673.50,15257.79,38.05,1203,34.85,10.583,0.781
1000,10,0,3014,874.2153,369.35,51.72,74.60,64,37.73,16.705,3.171
1000,10,1,2709,1663.5084,633.36,1338.72,44.81,243,37.14,15.191,2.449
1000,10,2,3722,2189.1774,519.04,9755.69,22.85,1148,32.00,9.522,1.679
1000,20,0,3994,764.5223,295.14,62.11,62.26,195,32.28,13.459,4.615
1000,20,1,3278,1855.4159,533.80,1560.83,36.39,476,32.22,12.292,3.674
1000,20,2,1173,748.1224,198.04,2055.87,8.26,268,29.28,8.836,2.942
1000,30,0,6744,1274.7929,450.81,85.09,37.43,361,26.43,9.860,6.027
1000,30,1,2310,1423.8118,398.47,1004.21,42.41,432,29.15,10.073,4.067
1000,30,2,220,182.1475,63.94,242.93,71.00,62,26.02,7.166,3.902
1000,40,0,6695,1115.0371,492.79,63.83,28.38,268,19.87,6.093,7.779
1000,40,1,1252,809.5258,268.40,492.05,49.77,247,23.56,6.622,5.261
1000,40,2,223,144.9084,20.22,262.08,65.79,51,23.26,5.476,4.432
1000,50,0,5138,425.0934,297.08,13.83,19.39,51,11.20,2.307,10.931
1000,50,1,567,273.1031,106.68,138.70,53.69,63,17.48,3.587,7.107
1000,50,2,11,8.6690,3.85,13.68,35.34,2,18.83,2.547,4.783
1000,60,0,3853,64.4946,58.18,0.77,11.91,0,2.35,0.233,15.057
1000,60,1,2,0.7557,0.00,0.32,20.07,0,9.27,0.485,9.931
1000,70,0,4656,4.0420,5.14,0.16,8.42,0,-5.43,0.001,20.728
1000,80,0,3564,0.0238,0.47,0.06,4.84,0,-11.91,0.000,26.913
2000,-60,0,5295,57.7191,355.84,89.88,-15.57,12,-8.97,0.000,24.028
2000,-60,1,2437,29.0159,166.03,609.45,-19.23,10,-11.24,0.000,26.256
2000,-60,2,2,0.0000,0.00,2.43,-6.37,0,0.39,0.000,14.736
2000,-50,0,7119,349.2261,564.04,95.63,-9.01,39,1.00,0.121,15.908
2000,-50,1,1575,141.6058,181.52,487.35,-2.32,17,0.61,0.065,15.961
2000,-50,2,4,0.6303,1.88,6.64,-2.40,0,5.39,0.000,10.524
2000,-40,0,6341,513.0410,475.36,62.58,2.53,158,12.02,2.256,10.101
2000,-40,1,1738,218.7884,199.88,633.48,8.43,50,10.82,1.582,10.297
2000,-40,2,2,0.3617,0.00,2.36,-7.22,0,13.54,0.664,6.492
2000,-30,0,4325,460.9728,366.20,87.76,12.53,158,20.48,6.041,7.132
2000,-30,1,3248,510.0744,353.31,1519.45,19.54,207,20.57,5.418,6.476
2000,-30,2,604,87.1864,64.31,855.85,24.64,28,23.12,5.092,4.187
2000,-20,0,1822,281.1370,202.77,41.62,14.50,75,28.03,10.326,5.114
2000,-20,1,2515,604.7981,402.04,1073.35,22.64,181,27.63,9.358,4.583
2000,-20,2,3882,490.1458,303.69,11119.50,32.19,300,27.31,6.100,2.158
2000,-10,0,1809,269.7777,279.31,24.35,24.66,19,34.54,14.491,3.730
2000,-10,1,2069,627.9989,472.04,920.54,25.98,103,34.31,13.434,3.023
2000,-10,2,4346,672.8356,452.00,15878.67,40.53,456,32.11,8.244,0.847
2000,0,0,1825,240.0057,265.49,30.88,25.89,3,38.82,17.309,2.862
2000,0,1,1744,601.7315,602.22,844.51,30.14,14,38.54,16.105,2.127
2000,0,2,4798,745.6359,610.30,15264.85,44.58,265,35.74,10.991,0.594
2000,10,0,3018,492.0126,576.75,51.56,24.91,8,40.19,18.236,2.616
2000,10,1,2733,867.8742,918.28,1359.36,33.80,27,39.77,16.932,1.931
2000,10,2,3694,493.6419,353.63,9742.67,57.89,239,35.53,11.528,0.995
2000,20,0,3997,319.0757,367.41,61.77,30.00,41,37.77,16.839,3.320
2000,20,1,3278,658.6383,648.48,1555.59,49.18,57,38.22,16.049,2.401
2000,20,2,1170,208.6710,155.18,2059.34,66.05,145,34.98,12.062,1.668
2000,30,0,6747,591.8164,597.44,85.00,43.10,65,35.06,14.933,3.800
2000,30,1,2301,388.9777,366.51,995.46,42.29,61,37.19,14.980,2.282
2000,30,2,226,54.5563,32.72,250.65,19.24,15,35.04,12.237,1.722
2000,40,0,6690,693.6330,651.89,63.39,43.94,81,31.11,12.051,4.395
2000,40,1,1253,370.9887,320.58,495.32,28.54,65,33.90,12.405,2.569
2000,40,2,227,32.2032,20.64,269.99,16.88,14,33.20,10.755,1.823
2000,50,0,5132,514.0428,436.20,13.43,41.77,51,24.99,8.031,5.639
2000,50,1,573,371.5483,317.02,143.41,18.66,46,29.80,9.641,3.280
2000,50,2,11,5.0311,4.14,14.09,26.53,2,28.38,6.943,1.983
2000,60,0,3853,148.4402,141.21,0.77,34.55,2,18.77,3.946,6.704
2000,60,1,2,0.0020,0.00,0.34,35.46,0,21.39,4.443,5.038
2000,70,0,4656,49.2825,44.65,0.15,26.53,0,15.11,1.227,6.291
2000,80,0,3564,7.5426,7.08,0.06,26.15,0,15.33,0.201,3.831
3000,-60,0,5356,1.1499,216.59,91.47,-15.88,5,-15.20,0.000,30.199
3000,-60,1,2376,0.1001,96.42,573.79,-18.05,0,-17.43,0.000,32.435
3000,-60,2,2,0.0000,0.00,2.32,-14.98,0,-4.95,0.000,19.948
3000,-50,0,7155,197.5895,444.06,95.44,-3.48,22,-5.14,0.000,20.544
3000,-50,1,1539,83.0491,158.36,466.58,-20.52,4,-5.95,0.000,21.208
3000,-50,2,4,0.3262,1.39,6.42,-10.77,0,0.25,0.000,14.837
3000,-40,0,6347,473.6776,477.48,62.05,6.34,123,6.31,0.693,12.832
3000,-40,1,1732,320.9939,353.48,625.21,-11.75,25,4.67,0.336,13.530
3000,-40,2,2,0.0000,0.00,2.34,27.50,0,9.66,0.002,8.191
3000,-30,0,4331,533.9475,407.71,87.81,12.10,176,15.52,3.790,8.885
3000,-30,1,3235,567.9858,416.79,1512.59,2.94,153,15.41,3.253,8.353
3000,-30,2,611,182.2439,129.79,867.94,-1.79,51,18.15,2.991,5.798
3000,-20,0,1819,342.1918,303.91,41.43,14.49,39,23.99,8.143,6.267
3000,-20,1,2506,562.2308,347.18,1068.31,19.88,146,23.79,7.241,5.599
3000,-20,2,3894,628.0537,352.40,11158.60,6.93,616,23.34,4.180,3.120
3000,-10,0,1811,513.4848,508.14,24.50,12.59,40,31.50,12.674,4.399
3000,-10,1,2058,829.1676,667.82,916.35,31.37,110,32.02,11.910,3.450
3000,-10,2,4355,685.2466,354.24,15911.01,11.08,782,29.47,6.730,1.229
3000,0,0,1825,440.5896,474.20,30.59,24.16,6,37.41,16.448,3.113
3000,0,1,1745,859.3225,758.21,844.44,37.49,34,37.89,15.603,2.214
3000,0,2,4797,780.0713,464.77,15260.82,16.99,647,34.66,10.271,0.672
3000,10,0,3026,615.6485,671.40,50.09,35.83,15,40.63,18.636,2.540
3000,10,1,2748,1177.7990,1108.12,1368.79,39.59,51,40.89,17.689,1.745
3000,10,2,3671,503.2903,299.02,9693.24,10.42,318,35.80,11.608,0.872
3000,20,0,4005,434.9953,476.66,61.69,30.01,22,39.71,18.231,2.940
3000,20,1,3295,977.1770,1008.78,1559.78,23.74,33,40.41,17.492,1.959
3000,20,2,1145,162.1351,106.41,2023.57,18.17,75,36.81,13.126,1.279
3000,30,0,6758,764.9837,779.90,84.82,23.69,44,38.74,17.353,2.996
3000,30,1,2293,504.9901,467.60,986.83,33.33,36,41.08,17.597,1.570
3000,30,2,223,61.6037,63.30,247.92,36.98,1,39.30,15.032,0.951
3000,40,0,6694,785.0391,762.10,62.59,19.30,86,36.45,15.385,3.115
3000,40,1,1249,514.7983,448.63,498.56,39.83,39,39.59,16.099,1.484
3000,40,2,227,54.8799,43.56,272.95,41.55,10,38.40,14.074,0.869
3000,50,0,5128,450.9562,480.73,13.07,12.37,39,31.96,11.943,3.642
3000,50,1,577,415.5743,350.96,147.86,37.17,9,36.75,13.890,1.748
3000,50,2,11,4.2811,2.30,14.62,40.85,0,34.35,10.348,0.807
3000,60,0,3853,155.6772,190.76,0.78,12.87,0,28.19,8.395,3.505
3000,60,1,2,0.8609,0.76,0.35,1.61,0,27.48,7.576,3.118
3000,70,0,4656,91.5059,98.37,0.15,24.33,1,29.38,6.019,1.140
3000,80,0,3564,38.9246,35.01,0.06,32.21,0,31.98,4.100,0.008
4000,-60,0,5423,0.7194,132.49,93.57,-7.67,5,-14.97,0.000,29.967
4000,-60,1,2309,0.1034,55.12,539.29,-9.62,0,-17.30,0.000,32.297
4000,-60,2,2,0.0000,0.00,2.22,5.87,0,-4.94,0.000,19.939
4000,-50,0,7183,220.7345,386.77,94.51,3.24,48,-4.82,0.000,20.251
4000,-50,1,1511,94.3792,117.44,448.00,15.77,21,-5.41,0.000,20.705
4000,-50,2,4,0.3274,0.69,6.21,12.12,0,0.28,0.000,14.798
4000,-40,0,6354,485.7487,385.81,61.65,17.35,205,6.76,0.734,12.558
4000,-40,1,1725,381.1765,155.04,618.41,29.81,116,5.23,0.360,13.155
4000,-40,2,2,0.0000,0.00,2.32,-2.46,0,8.91,0.000,8.657
4000,-30,0,4331,506.5953,288.72,87.44,27.66,202,15.97,3.906,8.695
4000,-30,1,3222,650.3566,235.98,1506.65,36.69,337,15.89,3.379,8.163
4000,-30,2,624,208.8321,77.89,891.71,45.18,92,18.64,3.132,5.647
4000,-20,0,1815,327.7085,124.97,41.10,42.85,105,24.94,8.542,5.975
4000,-20,1,2489,459.3961,180.05,1055.52,38.95,212,23.99,7.319,5.545
4000,-20,2,3915,567.7244,231.82,11238.69,44.80,599,23.59,4.300,3.114
4000,-10,0,1813,557.8113,326.14,24.64,59.98,137,32.79,13.392,4.146
4000,-10,1,2047,628.8870,285.91,910.21,44.56,103,32.14,11.955,3.412
4000,-10,2,4364,552.2139,248.11,15983.91,51.18,682,29.69,6.883,1.244
4000,0,0,1828,567.4404,614.00,30.59,61.86,15,38.74,17.301,2.933
4000,0,1,1746,828.0229,697.58,845.26,44.98,11,37.97,15.605,2.162
4000,0,2,4793,668.7675,435.74,15285.49,55.31,433,34.95,10.495,0.672
4000,10,0,3037,666.7408,878.12,50.34,57.53,10,41.92,19.522,2.393
4000,10,1,2778,1300.9784,1500.48,1391.97,42.73,34,40.97,17.659,1.698
4000,10,2,3630,522.2264,338.93,9638.80,56.90,333,35.88,11.676,0.863
4000,20,0,4091,517.5095,595.85,64.24,59.91,58,40.95,19.031,2.748
4000,20,1,3238,1311.2320,1455.24,1515.79,50.93,86,40.58,17.634,1.968
4000,20,2,1116,209.9030,187.31,1981.85,43.91,62,36.44,12.939,1.351
4000,30,0,6774,915.8947,1117.43,83.99,54.05,38,39.32,17.716,2.911
4000,30,1,2277,814.1977,872.55,974.17,45.99,28,41.43,17.868,1.563
4000,30,2,223,118.1788,78.89,248.16,57.93,0,40.64,15.988,0.867
4000,40,0,6700,865.4723,953.08,62.36,50.95,85,36.92,15.659,3.039
4000,40,1,1238,546.3147,251.98,496.29,45.02,29,40.31,16.600,1.407
4000,40,2,232,116.8486,43.04,280.83,51.67,9,39.63,14.895,0.781
4000,50,0,5125,399.1936,487.45,12.77,48.53,13,32.47,12.207,3.539
