step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under
1000,-60,0,5237,1179.9930,533.56,88.00,1.83,228,2.52,0.202,14.796
1000,-60,1,2495,1163.1650,351.02,644.03,0.93,320,0.39,0.030,15.750
1000,-60,2,2,1.1900,0.00,2.51,22.54,0,8.66,0.000,7.167
1000,-50,0,7092,1577.6694,666.41,95.54,15.06,441,11.86,2.157,10.123
1000,-50,1,1601,884.3822,307.02,498.83,14.14,264,10.50,1.122,9.720
1000,-50,2,5,4.1572,3.48,7.80,29.42,0,12.29,0.000,4.418
1000,-40,0,6338,1170.9861,455.30,63.06,26.41,340,21.32,6.332,6.765
1000,-40,1,1741,902.3935,224.15,635.55,23.27,353,19.18,3.964,6.058
1000,-40,2,2,1.0541,1.33,2.39,13.17,0,22.79,1.684,1.173
1000,-30,0,4324,970.6601,373.33,88.11,33.46,270,27.91,10.130,5.026
1000,-30,1,3254,1505.9748,578.09,1520.40,29.60,519,27.05,7.468,3.383
1000,-30,2,599,255.1471,76.00,844.86,34.76,107,28.42,4.304,0.550
1000,-20,0,1820,401.5910,126.51,41.41,55.87,45,33.35,13.644,3.898
1000,-20,1,2521,1137.9093,342.69,1071.14,30.03,274,32.54,10.908,2.359
1000,-20,2,3878,1888.0877,406.71,11057.33,33.07,974,31.12,3.901,0.126
1000,-10,0,1808,371.4694,111.94,24.35,65.26,26,36.97,16.186,3.286
1000,-10,1,2073,992.4179,260.16,921.12,35.06,134,36.89,13.578,1.557
1000,-10,2,4343,2300.3611,560.03,15832.27,34.84,1366,33.44,5.031,0.086
1000,0,0,1824,371.5716,184.77,31.11,72.11,16,38.84,17.394,2.895
1000,0,1,1740,835.8111,309.25,841.90,40.70,30,38.68,14.505,1.164
1000,0,2,4803,2528.4687,580.89,15257.60,38.05,1431,34.40,6.103,0.094
1000,10,0,3014,853.0340,292.43,51.73,74.60,122,37.72,16.629,3.118
1000,10,1,2709,1574.2438,426.56,1338.70,44.81,202,37.12,13.455,1.390
1000,10,2,3722,2176.4104,510.54,9755.50,22.85,1450,31.75,4.752,0.166
1000,20,0,3994,725.1401,254.39,62.11,62.26,191,32.28,13.393,4.564
1000,20,1,3278,1825.7171,476.79,1560.84,36.39,615,32.11,10.584,2.494
1000,20,2,1173,749.1920,239.37,2055.87,8.26,337,29.26,4.363,0.451
1000,30,0,6744,1294.4597,479.01,85.09,37.43,396,26.43,9.812,5.985
1000,30,1,2310,1444.5100,452.49,1004.21,42.41,455,28.92,8.538,2.991
1000,30,2,220,186.7628,78.00,242.93,71.00,80,25.12,3.823,1.715
1000,40,0,6695,1101.1185,451.01,63.83,28.38,285,19.87,6.060,7.750
1000,40,1,1252,824.5028,287.35,492.05,49.77,273,23.27,5.409,4.321
1000,40,2,223,151.7178,26.47,262.08,65.79,95,22.37,2.413,2.165
1000,50,0,5138,360.0026,232.60,13.83,19.39,28,11.20,2.299,10.924
1000,50,1,567,244.6847,77.85,138.70,53.69,53,17.29,2.985,6.560
1000,50,2,11,8.9709,4.79,13.68,35.34,2,18.38,0.582,2.558
1000,60,0,3853,69.2827,62.37,0.77,11.91,3,2.35,0.232,15.057
1000,60,1,2,0.8980,0.00,0.32,20.07,0,9.20,0.359,9.645
1000,70,0,4656,4.0632,5.12,0.16,8.42,0,-5.43,0.001,20.728
1000,80,0,3564,0.0237,0.47,0.06,4.84,0,-11.91,0.000,26.914
2000,-60,0,5295,54.3877,315.56,89.88,-15.57,14,-8.96,0.000,24.021
2000,-60,1,2437,26.5880,152.00,609.45,-19.23,3,-11.19,0.000,26.195
2000,-60,2,2,0.0655,0.02,2.43,-6.37,0,0.54,0.000,14.463
